rmse;hl;T;RS
1.346085792510746;10;13;15
1.4766047830739024;25;13;15
1.4136515680059378;40;13;15
1.3902551515792534;55;13;15
1.428755348837991;70;13;15
1.411938472318116;85;13;15
1.4083524948545416;100;13;15
1.6321488682296164;10;26;15
1.5488406005957842;25;26;15
1.4972309970021398;40;26;15
1.5372286934658397;55;26;15
1.5260423592229768;70;26;15
1.4900666757856196;85;26;15
1.50997642469337;100;26;15
1.8090684512920727;10;39;15
1.7007292716905378;25;39;15
1.6690048131359685;40;39;15
1.6425303419470143;55;39;15
1.6557029280708295;70;39;15
1.6191347337053354;85;39;15
1.6275698729012316;100;39;15
1.925589925378148;10;52;15
1.9014428193334647;25;52;15
1.9760965440654192;40;52;15
1.9580719353847609;55;52;15
1.839295641845225;70;52;15
1.798116036272852;85;52;15
1.7246442165105729;100;52;15
1.968332377707617;10;65;15
1.995877691351532;25;65;15
1.9097891713397888;40;65;15
1.880446150205992;55;65;15
1.8860878095141875;70;65;15
1.865817312484235;85;65;15
1.9300897262043448;100;65;15
2.058610953021975;10;78;15
2.0504625323247816;25;78;15
2.0312934972185195;40;78;15
2.036057608357624;55;78;15
1.9693568983956853;70;78;15
1.9648697351911515;85;78;15
1.938832419014468;100;78;15
2.072000901526213;10;91;15
2.00319667999296;25;91;15
1.856663524420268;40;91;15
1.9547946487305337;55;91;15
1.96451074647711;70;91;15
1.891910971424441;85;91;15
1.8371142227435755;100;91;15
2.0869190664370887;10;104;15
1.9820533492393777;25;104;15
1.947558800875272;40;104;15
2.0200467321676947;55;104;15
1.954824451438876;70;104;15
1.9987341609491005;85;104;15
1.9494077669301595;100;104;15
1.7823370453250302;10;117;15
1.886253994493653;25;117;15
2.0181706940509367;40;117;15
1.94024316990467;55;117;15
1.857720086639447;70;117;15
1.9213710661907693;85;117;15
2.010024615953412;100;117;15
1.8059407816948232;10;130;15
1.907917031382852;25;130;15
1.9165899429520536;40;130;15
1.9386923158825344;55;130;15
1.9134994881342315;70;130;15
1.917326947414037;85;130;15
1.9204634730666224;100;130;15
1.9050691259854;10;143;15
2.287134679713733;25;143;15
2.1786753560105483;40;143;15
1.9574962293807827;55;143;15
2.0570992076634815;70;143;15
1.9450127994048496;85;143;15
2.0455816393951745;100;143;15
