rmse;hl;T;RS
1.4505570630649138;10;13;15
1.3800566372542884;25;13;15
1.3796581957201446;40;13;15
1.380621436099648;55;13;15
1.384377136891351;70;13;15
1.385469935149069;85;13;15
1.3748731256099709;100;13;15
1.3252524495826177;10;26;15
1.305361597726533;25;26;15
1.3989279865916249;40;26;15
1.3105851218629296;55;26;15
1.392447734105756;70;26;15
1.390206540027285;85;26;15
1.3054126373814907;100;26;15
1.4827876866244354;10;39;15
1.379746121797795;25;39;15
1.3089979762193282;40;39;15
1.3158148337698292;55;39;15
1.3683035628396794;70;39;15
1.375373507276763;85;39;15
1.3914747872436046;100;39;15
1.4547254818179975;10;52;15
1.339291681654019;25;52;15
1.3023909970055547;40;52;15
1.3015391822688775;55;52;15
1.285057870066019;70;52;15
1.3569769043176945;85;52;15
1.4092511870660749;100;52;15
1.4665634809730212;10;65;15
1.419852828252747;25;65;15
1.4189724086977962;40;65;15
1.4333181619714546;55;65;15
1.4282920013757143;70;65;15
1.425217032803553;85;65;15
1.429195488771084;100;65;15
1.4736224623152336;10;78;15
1.4463327856924657;25;78;15
1.4450735066690736;40;78;15
1.4499491170055123;55;78;15
1.4461781902758872;70;78;15
1.436625104013125;85;78;15
1.4441340477302478;100;78;15
1.4769990892804026;10;91;15
1.435574602996842;25;91;15
1.438581451612155;40;91;15
1.339146595882487;55;91;15
1.4376377665539728;70;91;15
1.4278275101565872;85;91;15
1.4286382517121792;100;91;15
1.461823687178228;10;104;15
1.4219827681131962;25;104;15
1.35515956247835;40;104;15
1.406121286482053;55;104;15
1.4204367583851307;70;104;15
1.4597507123612483;85;104;15
1.4187428482285915;100;104;15
1.4618147265964243;10;117;15
1.409425907654574;25;117;15
1.3776845072251078;40;117;15
1.422024924768326;55;117;15
1.4209433533283111;70;117;15
1.4139263801873778;85;117;15
1.4273214611190308;100;117;15
1.4631579685862517;10;130;15
1.4604761135733677;25;130;15
1.485672694028206;40;130;15
1.482659661204309;55;130;15
1.521596504208509;70;130;15
1.520630546336641;85;130;15
1.5336000560886365;100;130;15
1.5065860459047462;10;143;15
1.5129355383887162;25;143;15
1.5797496332612952;40;143;15
1.5316194068430884;55;143;15
1.5598986199167222;70;143;15
1.5427598270511869;85;143;15
1.5589572497078379;100;143;15
