rmse;hl;T;RS
1.3796615616524976;10;13;15
1.6144425825427386;25;13;15
1.3682094852940518;40;13;15
1.3936500538638912;55;13;15
1.330369493238892;70;13;15
1.371739943953224;85;13;15
1.418499402884467;100;13;15
1.3640245895510807;10;26;15
1.6280280407725802;25;26;15
1.3357710215684684;40;26;15
1.4086570076705367;55;26;15
1.3796487252765608;70;26;15
1.477345711992741;85;26;15
1.4438416081596552;100;26;15
1.3621231884220253;10;39;15
1.6431505646597002;25;39;15
1.4602198358255738;40;39;15
1.4995855109977774;55;39;15
1.5747526167431036;70;39;15
1.4646961537865653;85;39;15
1.5480777143356266;100;39;15
1.3248163939910789;10;52;15
1.6271208250362854;25;52;15
1.286265158982165;40;52;15
1.4048788766392044;55;52;15
1.483669507613967;70;52;15
1.8939871467139489;85;52;15
1.5061867926123274;100;52;15
1.3128910049509863;10;65;15
1.4723029804369256;25;65;15
1.3101572488974065;40;65;15
1.4262803226559784;55;65;15
1.3516099832921271;70;65;15
1.4224372692172476;85;65;15
1.4061419363092924;100;65;15
1.3133973615751349;10;78;15
1.536854063069971;25;78;15
1.2944181216768371;40;78;15
1.611283638492916;55;78;15
1.3916563828807211;70;78;15
1.4264718815925834;85;78;15
1.7612912391839046;100;78;15
1.3400255817601026;10;91;15
1.5319188677568194;25;91;15
1.303506894839931;40;91;15
1.408829885614061;55;91;15
1.635760545706857;70;91;15
1.477125434803812;85;91;15
1.544146167121636;100;91;15
1.3721813002749714;10;104;15
1.5438289560603755;25;104;15
1.2993640067395242;40;104;15
1.4594134729252894;55;104;15
1.4675926157701868;70;104;15
1.458248354272968;85;104;15
1.469993613187502;100;104;15
1.3747943505276867;10;117;15
1.5414225301540023;25;117;15
1.3891372701815774;40;117;15
1.3671824504036376;55;117;15
1.3645422283376645;70;117;15
1.5095775926869723;85;117;15
1.3995388380483889;100;117;15
2.390508408468754;10;130;15
1.6455979453861362;25;130;15
1.4262751898789654;40;130;15
1.500504741035753;55;130;15
1.3473671857404508;70;130;15
1.495158467227104;85;130;15
1.564910497671846;100;130;15
2.390540813258688;10;143;15
1.6321577616234055;25;143;15
1.4717539845724155;40;143;15
1.4799901111214762;55;143;15
1.420868020334067;70;143;15
1.5200869877858803;85;143;15
1.551742779248884;100;143;15
