rmse;hl;T;RS
1.3929209101594795;10;13;15
1.374338898852116;25;13;15
1.3269702144694877;40;13;15
1.3814624867003458;55;13;15
1.3899809924026794;70;13;15
1.4182442541398097;85;13;15
1.416951510952604;100;13;15
1.4093900978824907;10;26;15
1.3349853450938427;25;26;15
1.3378865448883703;40;26;15
1.346193254257871;55;26;15
1.3483398109966471;70;26;15
1.3589579879861722;85;26;15
1.3901190108352974;100;26;15
1.412538293678422;10;39;15
1.356613838463658;25;39;15
1.303850866156977;40;39;15
1.3798831662224285;55;39;15
1.3140354529127047;70;39;15
1.3476316903051144;85;39;15
1.4111152269125329;100;39;15
1.4137482759819568;10;52;15
1.3438442807855522;25;52;15
1.3331420057869174;40;52;15
1.3896672844130842;55;52;15
1.302537394586645;70;52;15
1.3712609862743976;85;52;15
1.37703573277042;100;52;15
1.422316372691151;10;65;15
1.340526530823857;25;65;15
1.4647546727980036;40;65;15
1.3701213655041835;55;65;15
1.3018319877348044;70;65;15
1.3537656345468578;85;65;15
1.368262477143721;100;65;15
1.437449600593168;10;78;15
1.3386016141350747;25;78;15
1.4332312514553476;40;78;15
1.3720032904462782;55;78;15
1.3114272864397452;70;78;15
1.3860398600450516;85;78;15
1.3510264476333325;100;78;15
1.4384089582032855;10;91;15
1.3145940738824926;25;91;15
1.3193415874980925;40;91;15
1.3615023096584526;55;91;15
1.3784337566623557;70;91;15
1.4093572767379583;85;91;15
1.4122151242419183;100;91;15
1.4273851531381676;10;104;15
1.4479300652896478;25;104;15
1.4064934601614212;40;104;15
1.3681471325540415;55;104;15
1.3177171810175947;70;104;15
1.4736419193615615;85;104;15
1.4396652958100438;100;104;15
1.4274525083621208;10;117;15
1.3858936511087236;25;117;15
1.4028105114994327;40;117;15
1.3371490932044894;55;117;15
1.3512086055695367;70;117;15
1.4655944529297005;85;117;15
1.3952124746210404;100;117;15
1.4976747538332396;10;130;15
1.394860797215708;25;130;15
1.5494961468580215;40;130;15
1.389426304985176;55;130;15
1.5175072082296028;70;130;15
1.4026571133671188;85;130;15
1.4384461717100931;100;130;15
1.5414266720290992;10;143;15
1.544429594237517;25;143;15
1.6270237835111074;40;143;15
1.622625004145533;55;143;15
1.5988879533433156;70;143;15
1.6562084555503747;85;143;15
1.654119591786898;100;143;15
