rmse;hl;T;RS
10.114553269447828;10;13;15
10.01412005916134;25;13;15
10.081830134218707;40;13;15
10.009524631233718;55;13;15
10.066780457735849;70;13;15
10.070045918985562;85;13;15
9.977687114047486;100;13;15
9.780174128234393;10;26;15
9.960895272366502;25;26;15
9.944609775142826;40;26;15
9.968178771598238;55;26;15
10.16058478795356;70;26;15
10.097510621578888;85;26;15
9.969563498557772;100;26;15
10.348267451059868;10;39;15
10.367655172073478;25;39;15
10.073907487702634;40;39;15
10.200129948875928;55;39;15
10.26210489936668;70;39;15
10.064937823803792;85;39;15
10.258280483985324;100;39;15
10.130993003823672;10;52;15
10.377245216890689;25;52;15
10.223664337018064;40;52;15
10.196540274386704;55;52;15
10.144250076441226;70;52;15
10.247832161436632;85;52;15
10.382669420152665;100;52;15
10.417505099007666;10;65;15
10.33353292587144;25;65;15
10.475294005075035;40;65;15
10.367078226931092;55;65;15
10.27371764580512;70;65;15
10.37512615886848;85;65;15
10.48945897639964;100;65;15
9.911954015452755;10;78;15
10.088390293713394;25;78;15
10.10795648226534;40;78;15
10.090300056595728;55;78;15
9.9305518808105;70;78;15
10.190023996864817;85;78;15
10.295994391455253;100;78;15
9.983831946811096;10;91;15
9.989563405604407;25;91;15
10.094762741422086;40;91;15
9.968233302645952;55;91;15
9.920604315113174;70;91;15
10.180168444010857;85;91;15
9.961224707688793;100;91;15
9.947242133473068;10;104;15
9.61661898011214;25;104;15
9.862922358972884;40;104;15
9.957217783644388;55;104;15
9.8078710264618;70;104;15
9.960216833951474;85;104;15
9.816477842636628;100;104;15
9.985095227352591;10;117;15
9.862435793503863;25;117;15
9.770496053483228;40;117;15
10.098681231827822;55;117;15
9.848227628901297;70;117;15
9.8560205821424;85;117;15
9.859794966143337;100;117;15
10.117835804764445;10;130;15
9.891539277015944;25;130;15
10.004161988354497;40;130;15
10.014194392329104;55;130;15
9.894712593204998;70;130;15
9.92570151269247;85;130;15
9.803917393031403;100;130;15
10.05673744134554;10;143;15
9.752102667059487;25;143;15
10.109595568949212;40;143;15
9.844643493358458;55;143;15
10.147642441836446;70;143;15
10.06139085692952;85;143;15
10.024022495870428;100;143;15
10.025864648402658;10;156;15
10.00998992330442;25;156;15
10.054592956907443;40;156;15
10.070225906102989;55;156;15
10.082357085711427;70;156;15
10.057523812339475;85;156;15
9.996536123300492;100;156;15
9.718400291939222;10;169;15
9.870991510851256;25;169;15
10.15111799938076;40;169;15
10.194257245477576;55;169;15
10.192100486195326;70;169;15
10.007881119092538;85;169;15
10.11868694542817;100;169;15
9.866898729822973;10;182;15
10.068020648311522;25;182;15
9.882472753861414;40;182;15
9.841710723151762;55;182;15
9.92748918453249;70;182;15
10.256493365726476;85;182;15
9.879910054378442;100;182;15
9.871044215975848;10;195;15
10.064134829092708;25;195;15
9.975718641786816;40;195;15
10.052673629921248;55;195;15
10.062749517070962;70;195;15
9.89776076436506;85;195;15
10.05778004623835;100;195;15
9.936036631276444;10;208;15
9.705923160373258;25;208;15
9.654721789791004;40;208;15
9.81073012860062;55;208;15
10.092937794564987;70;208;15
9.672954823637248;85;208;15
10.161655518391347;100;208;15
9.66719911266337;10;221;15
9.57110807344115;25;221;15
9.557977742187898;40;221;15
9.664897397649716;55;221;15
9.66110435215371;70;221;15
9.881023916354335;85;221;15
9.880449831031347;100;221;15
9.732083939724822;10;234;15
9.730327624914658;25;234;15
9.716065298557682;40;234;15
10.009761641651822;55;234;15
9.812212255223232;70;234;15
10.091194048335195;85;234;15
9.997930069702806;100;234;15
9.654647773209314;10;247;15
10.212304510708313;25;247;15
10.261664020604677;40;247;15
9.91417685796027;55;247;15
9.890136566141194;70;247;15
10.177349653477537;85;247;15
9.85921014186364;100;247;15
9.718023812045136;10;260;15
9.95248554686524;25;260;15
10.097742969559738;40;260;15
9.936626901610088;55;260;15
10.021329767061326;70;260;15
9.818081977767951;85;260;15
9.804201591751616;100;260;15
9.738390168637803;10;273;15
9.863139636440424;25;273;15
10.057621629042195;40;273;15
9.965414450056228;55;273;15
10.034230054139874;70;273;15
10.10681545646236;85;273;15
10.368482151744749;100;273;15
9.677034992866922;10;286;15
10.070539733150026;25;286;15
9.93918598936201;40;286;15
9.833508864235748;55;286;15
10.098143846418523;70;286;15
9.97353886636522;85;286;15
9.799920283573565;100;286;15
10.100485349355717;10;299;15
9.944643321785076;25;299;15
10.096419383032574;40;299;15
9.941959463797506;55;299;15
9.900043384660467;70;299;15
10.108764770468705;85;299;15
10.234649180164348;100;299;15
9.94041104444169;10;312;15
9.968970385126848;25;312;15
10.232393131204038;40;312;15
9.798488415392656;55;312;15
10.03767672012015;70;312;15
10.016851043793048;85;312;15
10.3757765693276;100;312;15
9.875505510499554;10;325;15
9.764950813398038;25;325;15
9.762904417487547;40;325;15
10.19881791115444;55;325;15
10.128443919218489;70;325;15
9.879515726836964;85;325;15
10.099625068385686;100;325;15
9.654434944874453;10;338;15
9.739415205795336;25;338;15
9.832220523706264;40;338;15
9.97908733113914;55;338;15
9.830656084213684;70;338;15
10.058641981443303;85;338;15
10.07253336557016;100;338;15
9.879341992867513;10;351;15
10.13498330270507;25;351;15
10.071379119486554;40;351;15
10.18773543894692;55;351;15
9.911369365235894;70;351;15
9.93106348886984;85;351;15
10.253612474784957;100;351;15
9.682317755776626;10;364;15
9.838851005009165;25;364;15
9.998520243835433;40;364;15
9.973178830884637;55;364;15
9.952970453302692;70;364;15
9.998883909822917;85;364;15
10.119175592989562;100;364;15
9.903476496803073;10;377;15
9.908986142497074;25;377;15
9.967359845360674;40;377;15
9.975240670253736;55;377;15
9.98026360953867;70;377;15
10.106886147000502;85;377;15
10.050546262226987;100;377;15
9.61185852907897;10;390;15
9.98143688233123;25;390;15
9.91850931737493;40;390;15
10.089337540880578;55;390;15
9.744248057808978;70;390;15
10.083370954193992;85;390;15
10.005502219825914;100;390;15
9.70576993999734;10;403;15
10.049890108546853;25;403;15
9.905346734098291;40;403;15
10.271042635419152;55;403;15
10.076402864399244;70;403;15
10.006852996302172;85;403;15
10.184315138690677;100;403;15
10.092996277357754;10;416;15
9.951582008470917;25;416;15
9.945852765056786;40;416;15
10.156766308224984;55;416;15
9.80231131773278;70;416;15
9.947069744437718;85;416;15
9.894903749180294;100;416;15
10.033699321810545;10;429;15
9.730027235718602;25;429;15
9.845926194349545;40;429;15
9.919607195918086;55;429;15
9.820434684533998;70;429;15
10.07801322243562;85;429;15
9.938685783758906;100;429;15
9.914222680841048;10;442;15
9.743508258099196;25;442;15
9.987247595805597;40;442;15
10.046977944721384;55;442;15
9.841181447694485;70;442;15
9.684361981183343;85;442;15
10.087616577206218;100;442;15
10.288862972091074;10;455;15
9.941475584123346;25;455;15
10.0403739090127;40;455;15
10.086184500413232;55;455;15
9.74665339535446;70;455;15
9.939126284383276;85;455;15
9.94265520190782;100;455;15
10.016105038009057;10;468;15
9.934826867980355;25;468;15
9.955611122786038;40;468;15
9.986450449651372;55;468;15
10.03161793683372;70;468;15
9.849976276967254;85;468;15
9.912699931201647;100;468;15
10.080894087666888;10;481;15
10.04319632285934;25;481;15
10.095739638426108;40;481;15
9.950854096059286;55;481;15
9.993673817198868;70;481;15
10.015548593190909;85;481;15
9.933013435931311;100;481;15
9.68574125428281;10;494;15
10.073890543411677;25;494;15
9.97287128443296;40;494;15
10.15282066683129;55;494;15
9.993316332848135;70;494;15
10.156854531221539;85;494;15
10.198715736120112;100;494;15
