rmse;hl;T;RS
9.932428801446338;10;13;15
9.989589946177302;25;13;15
10.010845836375411;40;13;15
10.012232345777518;55;13;15
9.97233597236245;70;13;15
9.993324327127311;85;13;15
9.959458865768395;100;13;15
9.993343032132673;10;26;15
9.984460444826455;25;26;15
10.176997204634498;40;26;15
9.895482945298571;55;26;15
9.97544586755653;70;26;15
9.981322159437964;85;26;15
9.852901456979025;100;26;15
9.9836406257707;10;39;15
10.01331757964152;25;39;15
10.102228936975898;40;39;15
9.923192555855902;55;39;15
10.004887694349195;70;39;15
10.047715741981143;85;39;15
9.947107948140454;100;39;15
9.962560573926003;10;52;15
10.075916969376252;25;52;15
10.02498030844153;40;52;15
9.962226900716368;55;52;15
10.033318582761533;70;52;15
10.151148756322195;85;52;15
9.975919356855384;100;52;15
9.95189306157314;10;65;15
10.04674121999714;25;65;15
10.085229309028968;40;65;15
10.10171047919881;55;65;15
10.028290928861583;70;65;15
10.10834144381898;85;65;15
10.015732442933158;100;65;15
9.969014914595512;10;78;15
10.069496373659565;25;78;15
10.094534789174714;40;78;15
10.049056721908464;55;78;15
10.02649965239296;70;78;15
10.125402802925802;85;78;15
10.023757628120029;100;78;15
9.914468191852125;10;91;15
10.093511139466244;25;91;15
10.10457609249008;40;91;15
10.041962826156595;55;91;15
9.997143738218483;70;91;15
10.068595646176409;85;91;15
9.985975226538208;100;91;15
9.97505351306529;10;104;15
10.076949581565003;25;104;15
10.094248056673836;40;104;15
10.079642358718512;55;104;15
9.9301342806927;70;104;15
10.012614974598112;85;104;15
10.015967970299732;100;104;15
9.942605021925294;10;117;15
10.095056056968318;25;117;15
10.021267210515097;40;117;15
10.105473828503165;55;117;15
10.002613588817024;70;117;15
10.170698497885564;85;117;15
10.011509072982374;100;117;15
10.005996838507189;10;130;15
10.101234892963442;25;130;15
10.123308802600423;40;130;15
9.96831002411284;55;130;15
9.98099458239076;70;130;15
10.062707629101345;85;130;15
10.023049121410253;100;130;15
9.951188560560686;10;143;15
10.100349661409927;25;143;15
10.10128968858893;40;143;15
10.097326014700853;55;143;15
9.995517402507453;70;143;15
10.047059469916675;85;143;15
10.013142662649823;100;143;15
9.930159385937952;10;156;15
10.153344944352966;25;156;15
10.070959831396744;40;156;15
10.078020663260087;55;156;15
10.011129576919163;70;156;15
10.062329504190428;85;156;15
10.039124596359562;100;156;15
9.984682635334698;10;169;15
10.106438212580604;25;169;15
10.070495725300283;40;169;15
10.12169485994836;55;169;15
9.980224219520682;70;169;15
10.093706568329043;85;169;15
10.040458957975025;100;169;15
9.989694411561878;10;182;15
10.106942164698372;25;182;15
10.097465786082246;40;182;15
10.0853399252762;55;182;15
10.01993270858468;70;182;15
10.08205872515539;85;182;15
10.040773285213351;100;182;15
9.983938525754889;10;195;15
10.18152640414586;25;195;15
10.137588724429106;40;195;15
10.105707102023985;55;195;15
10.012078031289189;70;195;15
10.035891441630628;85;195;15
10.023743535249205;100;195;15
10.016542958338087;10;208;15
10.1994659470413;25;208;15
10.11774694339026;40;208;15
10.14583793672693;55;208;15
9.96778611406152;70;208;15
10.065390872494726;85;208;15
9.956899777889555;100;208;15
9.980374304104364;10;221;15
10.16431308422742;25;221;15
10.110439954970774;40;221;15
10.14269799930561;55;221;15
10.045001643485907;70;221;15
10.038662007906224;85;221;15
9.946255706824536;100;221;15
10.00652827728598;10;234;15
10.072728283275648;25;234;15
10.098001244872636;40;234;15
10.113349081196285;55;234;15
10.006593024763388;70;234;15
10.100248373071889;85;234;15
9.94128217808364;100;234;15
9.953742646785738;10;247;15
10.095105024856156;25;247;15
10.113698278583218;40;247;15
10.14099780419693;55;247;15
9.997787431004117;70;247;15
10.0422197944603;85;247;15
9.95448151770243;100;247;15
10.008021738745027;10;260;15
10.157318448977897;25;260;15
10.130193399666071;40;260;15
10.083560572411374;55;260;15
10.003560017134635;70;260;15
10.052869146030178;85;260;15
9.96901781413073;100;260;15
9.961377997595235;10;273;15
10.107436816913092;25;273;15
10.118301679182888;40;273;15
10.050202424232417;55;273;15
9.961066526955086;70;273;15
10.086440668921965;85;273;15
9.931835221638034;100;273;15
9.964670491442943;10;286;15
10.051775055146706;25;286;15
10.119892996752448;40;286;15
10.016129301970103;55;286;15
9.999809671877337;70;286;15
10.06921751121345;85;286;15
9.99202015101752;100;286;15
10.006539127134678;10;299;15
10.201023951418456;25;299;15
10.11277586707696;40;299;15
10.070226701155695;55;299;15
9.972096156403635;70;299;15
