rmse;hl;T;RS
0.4207659480206184;10;13;15
0.450880557072383;25;13;15
0.442585513023302;40;13;15
0.4422483651414753;55;13;15
0.4320568764611693;70;13;15
0.4384967911152365;85;13;15
0.4351050236528126;100;13;15
0.4236865567573945;10;52;15
0.4402124263724044;25;52;15
0.4599942917179437;40;52;15
0.3929828761426057;55;52;15
0.4484839265590854;70;52;15
0.4491826536635117;85;52;15
0.4397959750067863;100;52;15
0.4021027205243191;10;91;15
0.6975931480104087;25;91;15
0.7305171442189801;40;91;15
0.6752638921137073;55;91;15
0.6347630847836198;70;91;15
0.5956237967440449;85;91;15
0.6773571794826324;100;91;15
1.8645393934152197;10;130;15
1.0158899563115673;25;130;15
0.8953036473236615;40;130;15
0.8235774811970775;55;130;15
0.890023273586485;70;130;15
0.880773354750523;85;130;15
0.930217117429591;100;130;15
