rmse;hl;T;RS
0.4342489592521332;10;13;15
0.4277310256541253;25;13;15
0.4332491922784115;40;13;15
0.4352754027307409;55;13;15
0.4397666455260567;70;13;15
0.4383211992627223;85;13;15
0.4373134015532134;100;13;15
0.4215377499901855;10;52;15
0.3979129152609506;25;52;15
0.3975898257494404;40;52;15
0.4351875358948648;55;52;15
0.760677990908807;70;52;15
0.4269967465711917;85;52;15
0.4257988020316059;100;52;15
0.5140067493333283;10;91;15
0.4424682782213778;25;91;15
0.653848750779472;40;91;15
0.7060629608771652;55;91;15
0.7463854572524604;70;91;15
0.6356064207740648;85;91;15
0.6320897518225642;100;91;15
0.45710412070768924;10;130;15
0.44784727636136956;25;130;15
0.46000593004001666;40;130;15
0.7355533840424113;55;130;15
0.760086372361248;70;130;15
0.6748479094020029;85;130;15
0.7765762464459867;100;130;15
