rmse;hl;T;RS
0.4496185608839231;10;13;15
0.4479770015637771;25;13;15
0.4529130260228279;40;13;15
0.4493702767610179;55;13;15
0.451205769083742;70;13;15
0.4545377240655849;85;13;15
0.4507627550090605;100;13;15
0.4347896169747933;10;52;15
0.5604373410980602;25;52;15
0.4665671556539269;40;52;15
0.519958653542;55;52;15
0.7158004053317697;70;52;15
0.4215832671734562;85;52;15
0.8005448906488777;100;52;15
0.4774427849211021;10;91;15
0.6869841000784324;25;91;15
0.4324016813912686;40;91;15
0.473329426745427;55;91;15
0.834323438321463;70;91;15
0.4578687747598932;85;91;15
0.783951891256007;100;91;15
0.45966014693977064;10;130;15
0.7081280981104038;25;130;15
0.8379536693061824;40;130;15
0.7775916406995124;55;130;15
1.577871034206909;70;130;15
1.6052802506026302;85;130;15
0.9559333529293411;100;130;15
