rmse;hl;T;RS;preds
6.450481129181001;10;12;15;10.92785139877082 13.761333282551298 13.46771256093319 23.06447450305965 33.17474294954815 35.67995145811565 44.91892107289119 41.11944331052338 32.460744645723835 21.87586330565463 13.688226133598873 8.972729970758627 8.07403317178313 9.45413818396011 13.906116489451726 17.20983597608406 32.69917115749018 41.19078454717979 41.51617953935367 37.611395080433894 30.258865326145017 23.05079340806594 16.82915091796283 13.306681070789134 11.821955205673625 13.58825632642472 14.314695671386549 22.78036817397072 30.751585908710716 36.91553788021944 42.7543770274976 38.583583802829985 32.59698450934502 21.03809351858518 13.945236577134931 9.285677171365727 9.099177661686332 9.299387293205282 14.934713148881638 18.280706523750325 30.872931625199065 37.123991135958214 39.715057004276055 46.74930131849416 31.530108865718468 24.827638361809303 15.228864454240066 11.147915392847374 8.930560039132974 13.71370630390689 13.361707869995099 24.637856118377776 37.416487236060576 40.249915116406925 43.40789148509719 35.259947849690796 27.845497420307897 20.31824259258711 15.187180553521577 11.41752888782334 12.271446039218889 12.319953273839603 14.9945030509778 21.15406386824889 25.960536578873455 34.999405581562684 45.69325201332465 37.59825064456684 28.78185621424511 20.00537268439511 14.021411121145896 9.962679072553964 10.965806362362684 11.44326962470103 16.500587274291416 24.572551453092633 32.61020455001986 37.66129560365514 34.351577685576906 36.47483070523529 34.45818181463383 26.863674485263154 19.875841059857162 14.258950626506666 10.401280113607072 11.711161760214125 15.193394998703996 17.83392396242664 29.05193076353995 38.48645457629103 37.87511410057465 34.36185993943511 31.934124757469373 20.639748493700036 17.119145308979164 12.649918306626674 12.263927411102248 13.99522485593664 17.04073839800988 19.807013345538014 28.207466238245793 37.129742501692974 38.59518374048094 34.22361924857943 28.825206120906483 21.61782527802353 15.931590891275755 12.086534230502894 11.473851769448405 11.287550722389435 16.28115377030832 20.680232674377198 30.14643017628799 40.0484377542718 35.96845130409246 38.04551923679769 28.34537750815328 22.217420513098997 15.116101233520702 12.910218909387055 9.341873144920589 12.6654766959993 14.623637167267116 20.252876160874184 31.737147231483057 39.34420597150975 40.0982991250033 36.42730633311573 32.73915935037701 22.815017283590223 16.54195255474854 12.808691103138274 10.223260493171818 11.689879006823801 15.850494609286837 20.496247024556517 29.74077528031126 39.95602977796159 40.51187092442337 34.3228006056153 26.204228425467395 19.36252052982141 13.558674595294589 12.262802789586507 11.411309042297507 13.263379767218476 17.319264484745943 22.44160665680693 27.410244592170802 34.03284941734627
6.021593710705541;25;12;15;9.049728067140062 10.996302101615454 12.330114695013942 19.35828902323592 29.520189478052433 35.30426576790894 42.85775850162287 41.56708587653557 31.867944899029872 21.962717872568305 11.160108018187898 8.722941136451496 8.154852011129208 9.484451661622693 12.154372669413087 19.02720881953408 30.166184632492456 40.85054806122133 40.18211515494355 37.74965737266322 28.160530166036775 18.671257334244032 14.589349711895549 11.52310290137425 9.735254410405597 11.279358401432033 12.196097072707174 19.391384352799086 28.747617699485723 36.67866126701261 41.77196545502085 39.26680014920064 32.81122693322245 19.16022400309483 12.663719559261322 9.67430883481907 9.124998053629364 10.511915599021744 12.976601280704541 19.698589638272395 30.195470019777805 36.52058916505883 40.630130344651235 45.056235604851544 30.57726484847039 20.724865668881336 12.02641760763025 10.256342996919376 7.373295411209249 10.428547797584766 12.873266384541212 20.87479877826891 31.293166773347753 38.14086635001038 40.53660449725455 35.11899078609842 26.08190035276009 17.75028141851853 14.300683130315871 11.741849211658053 11.387615035573313 11.55887342605559 13.740903108377289 19.649213623405128 26.110234942083302 36.58682572710417 44.823375497058066 36.35925525568365 30.14399867166632 18.090454450441875 12.812504420630724 9.648439839785322 10.170199418968156 11.367779574217652 15.08921832401118 22.477784907415945 31.838976781920035 38.01903190244316 34.896002506063766 35.69450403352762 33.538664666672744 25.470797998436076 16.915807528538277 11.710089792046661 9.259779824529062 10.515933454520958 12.579736118675271 16.153219634856207 27.658641825484715 36.904483377253186 37.42715696455866 33.701813091434666 29.914897877931168 17.103412083488543 16.69172770409129 11.32229923207988 11.300921972679829 13.443711409677388 14.941267140656146 19.772211169934902 26.28424497629519 34.78674140804769 39.7947998251971 34.872083035002085 30.311372190105928 18.881020173260442 14.795017740519109 12.251146823372643 10.690245739203242 10.895067263996825 14.31282310230812 21.416228095768922 31.47375493211878 39.689784747189435 36.21135335046226 37.61315019204309 30.29847617003587 19.93472572938873 15.487769068228207 13.532617263284315 10.1288003863647 12.528906736387 13.34391036323489 18.546121926765668 32.110047019531635 40.88528036988154 39.690966072311014 35.65094891381656 29.35748185632159 21.98310990681696 15.095278184363403 11.974631014472038 9.240954227391617 11.28761957676795 14.299611837191332 19.073989294348515 30.86465019857535 40.58087651255369 39.95426656583727 34.93442864961841 23.620473272044798 17.869606056484592 13.923379362214057 12.218939175257978 11.176346850830553 13.045388154926629 16.20135627091021 21.481494452367983 30.580748069971722 35.026076527593254
6.131322937211227;40;12;15;9.845324209847766 12.55031977306216 11.857592071855494 19.65585604580302 30.414248732122083 33.631848942348554 42.91019583616233 40.77927162868589 31.285937063603704 23.014570942145234 9.841730281306466 10.02456025763678 8.61595628318396 10.041798153810825 12.64202165447113 17.70751474894575 27.643026057463324 40.462652194558004 40.8753167362847 36.93035507245864 30.50098904802043 19.49909048943371 14.606296664568225 11.64839896906915 10.679237139156001 11.664031613163706 13.017517657615468 20.214796651862358 28.55935936546103 35.66854053248415 41.59149947901954 38.2178792973362 32.31782523234379 19.914153796200136 11.533841484250845 9.840612410219991 10.991809015895903 11.448275743044809 12.865529042516348 18.527396573502827 28.172184444643324 36.22136558714982 39.79130175275139 44.954665945941315 31.29397884998847 23.354271887016868 12.497133815917076 9.48387382487751 9.440904642426744 12.727815560186361 12.77662318890942 21.352707062656627 32.63780030485989 36.476107886452446 41.834645890928776 34.88497770498629 26.443201722004297 18.89983395714667 15.650838512967713 13.140534780390116 12.279937404192781 10.643656976579965 12.783470149314079 19.508873886569145 25.893925705525312 35.380194596294615 45.591571647374465 36.224736751525334 29.936929253927108 18.749797566191322 11.941011176554895 11.460246954305402 11.212735714832672 10.940841924850602 14.094647878340233 22.611550991852184 29.14722353579705 38.215181825801444 34.772754518608224 35.408781314150914 32.794235427716615 26.05823604792467 17.866978789414205 11.79294051060185 8.458588926045572 10.672685172510272 13.955577559727748 16.48221058070017 28.501203742290205 37.06435379356347 36.954316396181774 33.00935203218401 30.47215728958177 18.28122056893894 17.504110139255133 11.535491289163492 11.714017191793708 13.836752453527382 16.233230447819125 17.947820917741254 26.32009481852041 35.033457446952866 39.14475913849788 34.81323954308904 30.02622190713099 19.670125440707277 14.06680573283199 11.970421446781666 10.297494963811692 11.159516680584183 15.965918849222918 21.003666666849266 29.997938283548738 40.19286723867868 36.9019600667935 35.482479800707054 29.92314960266611 21.410751472505293 15.127656618338502 12.530247371639257 10.307627358140186 11.467982946244412 12.705563445153418 17.88095319055953 31.321174304373017 39.342213244790386 40.745669341884835 35.96977573831448 30.497075824174843 22.54167206693556 15.558039686802996 12.883996866902686 8.324147376780887 11.018192393639731 14.834312664320306 19.427699974643666 30.348012845119673 40.20669076772991 39.98097126401417 33.91380964749524 24.979688237054013 19.12397723562876 14.135388744090239 13.813358165862605 10.414871427891542 12.473145490476877 15.628663352828404 21.5501881706662 28.233817888972073 34.46767494331082
6.380184285351128;55;12;15;9.991148332941034 11.815917621737979 15.093512272067379 20.286537851452778 30.268191719219132 34.45375083286353 44.61802608869587 42.637547348188306 31.96531714102241 22.898899805258743 9.704846426733289 9.427757506387987 9.357318127081545 9.363347610502071 12.423599364792102 18.849766360801084 28.11637695829273 41.780755864011226 41.1680774532143 38.898469726722325 31.19620090719704 22.592580851148078 15.787840500053049 12.188506214997386 11.190904826585937 12.380813794017376 15.01326384399429 20.38121802225397 28.993766702332543 37.03124698827055 43.27431804103613 39.707992005006105 33.03090075248742 20.404288289313975 11.290697772513315 9.372714506151784 11.038569239422538 10.700769658429172 13.163666476356438 19.789886493925394 29.313967239186123 36.233502858970354 40.041691375263206 45.5152701952933 33.55974828239972 25.30253646102651 13.780678662742236 10.525771530133447 9.983932124055517 12.117525451263797 16.13431438265342 22.63432061166874 31.67420757909131 38.106806384105084 42.6393834649487 36.3938390549 27.743736386727974 20.43630962558089 15.918735373781296 12.232533864757082 12.02383894365058 11.796101061584263 13.739194574730027 19.223061048961732 25.272672899474514 35.26950105718825 46.195388094630786 37.58843552041385 30.096421646198483 18.132561603075352 12.038089099831426 11.374197882363909 10.977315844261474 11.211218218333642 13.76822547083204 23.013498467695573 29.45590514015087 38.48812058223392 37.77055535158537 36.867540978051245 34.428793820823635 26.99770088312797 19.160425840929886 13.620425497092567 10.61375932536018 10.245952736192914 13.086569823707716 18.18496113521093 29.947499751114975 37.30887459287129 38.30904654474729 34.180975436819296 30.407582683221758 19.82472883458264 17.463833027995708 14.219667178435222 11.763087412215219 14.07902063458909 15.724044893230353 19.99617353691266 27.043234891178408 33.78433101382703 41.04626325693488 36.51181225692698 30.999822144286632 20.175460212921173 13.94777338845315 11.580574706060414 11.102185284826755 11.249560656565384 14.114499540726133 21.860786896931604 30.147581799520793 39.02095896592836 37.8789604951705 35.71103313462872 30.244964167157228 21.814837737481298 14.83814690814348 11.735826478666791 11.076659211599727 12.281196359250918 13.796911419998553 17.6793452076181 30.5846356421861 39.342805932479955 42.09123240750692 36.520837580855826 29.777845262626336 21.447958826055935 14.946025518245856 12.44485511646536 10.629621484049784 11.084214292034405 14.714722734484084 19.07355996704719 30.259152894431754 40.18406872917318 41.07113588860895 34.368009580496576 24.61141232429202 18.560437562110398 13.56776269821561 11.565286333858433 11.998847504421432 13.192070932622553 17.1497747067314 21.176851798604833 27.62047489841389 35.89657138318062
6.325207286173471;70;12;15;10.542081917326323 11.481320444388475 13.742275470647098 21.576120282213584 29.270838746604678 34.138028530785114 44.225550730818384 41.99561932738114 32.46006015219625 22.834795028775655 11.370454094292901 8.953327886961851 10.435126765947558 9.905528588300868 13.00211317803011 17.735390646600326 30.509691701430356 40.04043174516214 40.60477573232757 38.02440254396731 30.853792808143673 22.580401726666086 16.755312697520882 12.260174847473195 10.985400158350618 11.406722800654082 14.173278903561151 20.4433759749367 28.147140689587363 36.360925311884095 42.118378583757824 38.8440423656352 33.13700940003621 21.072032145524414 12.181260979266025 10.148702001927168 11.039620956302205 10.409643895467834 13.840909367869479 19.984559423360245 29.746733884224497 36.10392701912072 39.853849880245704 45.51152775730814 31.80418236931058 23.01601190565246 15.118303898590248 10.390121654030123 10.615432081732331 10.762159412261411 14.920591250856848 23.6876341366174 33.009522818044445 37.79011809559868 42.642225395669755 36.08226894186319 28.361254180265806 20.094889451850626 15.823991073902071 11.563374612290259 11.877373529777026 11.134361880966795 13.965450737572423 20.095739330895235 24.770549812744722 35.604753026176574 45.28846657263741 37.40530717510998 30.152202468353476 20.79645903407083 12.04722243062853 11.472189813763078 11.544204743260241 11.806865296092068 15.31244624428478 23.94986029932595 30.182416714705845 38.93368671620384 35.398185840374765 36.783402277592074 35.00694041070957 27.298021743314195 18.642612562696044 12.615685529732163 9.012356340636792 10.873939770479623 12.334351264421379 16.708861643654636 28.986984546048838 36.50022582013456 38.06977892949438 34.18247605724517 31.083112990829974 19.86010445915191 17.22840708203817 12.212379108097132 10.720810332834525 13.760364595951605 14.26349704061742 20.866453560088633 27.243959580450362 33.91931327247593 39.26498698389975 34.96063381602961 31.215883808851288 21.107083411967444 15.29945301803329 12.291015533661463 11.056764346466524 10.460858052224276 13.139906990468363 21.877450500335833 30.50383097874148 40.85984475240668 36.101394258060054 36.910538512304925 30.406920466110748 20.92075890716678 14.744993009399362 13.165479641657326 10.006088382992882 13.33678663523032 13.642669511610391 19.1384997716305 31.262633906734024 39.06196242337682 40.61098612725243 37.35072995449314 31.551594807029705 23.525429928149084 15.067344908060067 12.098229349206502 8.709440277919192 11.458499943211322 14.16329366859066 19.486854323824417 30.32464015882855 40.188093335101655 40.21765211477228 34.84652320962873 25.310704480438552 20.59496884612009 12.599908426451313 12.932365717723446 10.415478966525496 13.20321791646975 18.216075888827405 21.643312367521546 28.801966755593366 35.09196746766016
6.214756999961174;85;12;15;9.784257126534447 11.321251565457773 12.757231230756545 21.92658029329562 29.447388123545764 34.28041871051069 44.07118731470344 41.776725857739336 32.03212478938366 23.103506244499833 9.444848243204031 8.800433364255216 9.37438456235223 9.336636161895909 12.338452150200567 17.28208042017627 29.169368994047588 39.94270308050435 40.66295093174327 38.38928889743404 30.637615711238567 21.62477636379962 17.55569624466414 11.19283274918435 10.479408231847662 11.154845383532006 13.083860201400283 20.932090852775865 29.0835102842114 37.06989454590512 42.82551710136187 39.48490381861831 33.29050471094754 20.533257265572587 11.813363259303667 9.24709981819552 11.213039484149649 10.222828465698784 12.66095390839098 18.715054794365756 29.684180356386772 36.613697835926864 39.50458807035841 43.678834814638584 32.296150279013105 23.39017976183868 13.862474964246054 10.782722569891964 10.065737876160307 11.101407635375294 14.026928246985122 23.66932266904894 31.15687425637829 37.60944555646183 41.51693423734562 36.45027804390844 27.57798162122639 20.142996048494393 15.693762467542395 12.00014223675468 12.033697270550869 11.128013777284906 13.780266211514075 20.149354615341647 25.81074117824291 34.73330365989098 45.81970780476748 37.27768760966167 29.634689584221977 19.730818887760712 11.602805219719707 11.354747195476419 11.585498469167145 10.85010400474084 15.377502831294393 21.596795834491417 30.341712669485574 38.23464061320406 35.86316890908584 37.30590575408004 34.778958163103816 26.649124916854117 18.475235669041805 11.530023441457908 9.247014762786767 11.116988976207425 12.820886428650505 18.083566312418693 29.2639202316498 37.951734172917185 37.65362711600879 34.381901288883384 30.837660632283423 19.755257466832962 16.820361859058302 11.822327829369117 11.300037666445963 13.66963545139989 15.705855186529778 20.9263597383289 28.050204187803956 34.83846319708494 40.87510747297745 35.483239899042424 31.555653840147443 20.940760429082385 15.572646265649094 12.177033185416633 10.934098246013717 10.921480343629424 14.19752847061395 20.691288864950764 30.18315723679634 39.248168964426064 37.53559451020427 36.59343844761329 30.034237366841616 20.540763405395083 15.768512670978202 10.834930389836384 11.225271261979916 13.121449291725924 11.490760244674263 18.973495316341847 31.063901269138505 38.549087759194094 41.34874324192189 36.58936928885166 31.179443641586744 22.54643095080747 15.89055030646633 11.292532539187855 9.326299904603577 11.607369859989479 13.656538268537702 20.313780558842186 30.115033929771116 40.76199322993625 40.3506058694267 34.64135876302842 25.610548085275664 19.214801223711667 13.06272663249674 12.35442636601599 10.978539022044501 13.134316959993063 16.319014227890456 22.23730263679696 28.830962549463194 35.09310288986273
6.405931456501599;100;12;15;11.908474107492042 13.035248335125942 16.389205866442833 21.614421542826804 30.536019050611273 34.64915348370205 42.959090545422924 41.55682387396517 32.69364120583535 22.36105167486479 9.285461157629209 7.461906946100173 8.954173040705975 9.269944620918032 11.290994791401026 18.225637196839983 28.956199213380554 41.44940429305289 41.26000479896076 37.7774218882349 29.7591796506625 21.394592801210173 15.698288630365349 12.58289936982939 12.247075639482226 13.138705414058988 16.095930766803153 21.434438053757294 29.253526595708706 36.23298982634613 41.488158507469876 39.37152225857817 33.14782156259181 19.541447745471498 10.670921960385954 8.081103571396497 10.791039098747863 9.941018295124737 12.47594691862233 18.635671096281662 30.101532396195886 37.60372929295925 39.34745157790092 44.40393892469157 34.42582903228994 22.572533763834922 14.66752575818393 11.783375152331713 10.176119545434572 12.711820418040213 15.99419234716127 23.145127935793617 32.613008003294084 37.91093862869012 42.37229058026072 35.62308044163418 26.675754010223233 19.497527427537133 15.623549227616369 12.662739396931876 13.1939819791478 11.878444147858637 14.586573935381308 19.094357364573277 25.468976901380803 34.89991775503814 44.604016247796906 38.84869611157128 29.601163577271635 20.64966048651299 11.246325850861044 10.829188474702594 12.277288535748744 11.078363019946504 15.646757203433399 23.854775187149155 30.452904390271776 39.58293220233551 35.40684394095153 35.68385320623149 33.3277394037367 25.755017565975947 18.00735734121847 12.58705358399978 10.24109917755055 11.683414795758534 14.964063340287941 18.598744898109956 28.316342224272244 37.179926542943406 37.37557558445014 33.49257408572931 29.6551454100272 18.714127285384585 17.151658751539582 13.459318402140731 12.726403370383883 15.136040651487063 17.454090133435873 21.098948975941003 27.01210258644584 34.23835476062452 38.51322137841718 36.474078707415046 31.067968402771363 20.071731766731627 13.669655702687688 11.590401980986078 11.762490674268092 11.15956933393246 15.52223270980362 21.707190329581287 30.19038559645454 39.64375762028111 36.87674316322686 35.92452761094346 29.889432558567535 20.27183642907549 15.074115588614017 12.509700415038944 9.681577697052862 12.800036377776141 13.170954914835102 18.12842257737081 30.68740620246278 38.50335630108762 41.59624503079364 35.79885081903795 29.99504167435063 21.316038899643623 15.567752204431134 12.71840883700398 10.11913782191313 11.69653222990852 15.228255565520259 19.73929540179022 29.340994607881942 39.24590082019264 40.51663267722772 34.18402865597638 24.9662817157707 19.20303387541491 13.230258110981175 13.274163577971153 11.823428149339499 14.187928685154555 16.188610785412788 21.776852396957732 29.54959434793579 34.66827609972721
5.889911646308308;10;48;15;10.48131725324413 10.014955746876899 14.49845585686974 22.538943290285086 33.1404534690478 37.40917382099363 41.49156612416343 38.31629920595084 30.10874320473799 21.624626335509177 13.54655284946136 8.289990204694158 8.930200916296014 9.079863333470017 14.229312866813626 20.88610574728972 28.007364951116568 38.04803174657055 42.727623726229986 36.27676771022298 31.092378630040695 22.711598007061067 13.914718561465584 11.637150053740035 10.555528772424498 12.11747077278674 15.133674626029276 20.53374329647975 31.614799751291613 41.73093904611288 44.50825735839898 38.75549833503693 31.22551937158579 21.219255632604558 15.470059317048456 8.077219374396753 7.92756910799543 10.332475688268891 13.57720384858725 18.63041386196918 29.46217763902498 36.47163235184899 40.82933686238123 38.24030962370177 28.887587850319385 20.5356340917172 12.242178203049633 8.565523826136538 9.329045979229047 10.664754768208399 13.454625503714903 24.26625629424513 33.56931296562692 38.45907888544508 43.34889003313931 41.825347849657575 30.328529756171704 21.562377252031357 16.747508526246282 11.723569049205313 10.658634829035705 9.858447044341165 14.131485645888551 19.65534908856513 30.807008958114608 39.27290793760066 43.55617411452919 35.72238060622513 25.32264109574916 19.15224837091687 12.81077631073859 9.130988384560148 9.144624251677774 9.383806811521925 16.42033884621833 21.823236115292048 28.33457918397768 38.879860143321395 40.09579741591727 36.33090480285166 30.802009590200093 23.142438754629804 16.381548854526237 9.241190492415932 10.876646692615349 12.678291035875237 13.82644589812382 22.435590843005667 30.201348968625695 41.035661032729465 40.270740190693004 33.8031545858357 30.49996973320124 22.62609977014769 16.80797279622613 11.069814276323848 13.24222324685543 13.569538061112608 14.688213798755905 19.795741816270855 29.249882713990836 35.636189775269045 38.12272119614296 34.31261150768097 29.14832993115377 22.59370581018528 13.25086649648781 11.599251793754004 12.695651789861927 11.39583840850534 15.938065227984922 21.14191022663738 24.68999052740393 37.23881728786131 40.24903351034477 36.15447828372322 29.218296780411585 21.73499450392491 15.60082930783528 12.729456589540963 10.93361896553582 13.17515368183865 15.58264297634934 22.03709342717984 28.88231171480496 38.0738197364531 41.79587547548156 36.90306443702144 31.174625860219493 22.114563041045518 15.811199010442714 12.828064160089205 11.437672168753537 14.127678403782442 16.930125864054713 21.950210339702515 31.291148394997172 38.67829772577751 43.106185099304085 34.60886692184165 29.276824352234975 21.134953571757144 13.410909723787302 12.369471047721461 11.287306356850001 12.160936786831494 15.711866443791287 20.91791917033524 26.377019838436016 35.395445166092706
5.555355035450216;25;48;15;8.927969224380625 9.874342955177099 13.507993047407247 19.435077518788642 30.302428546371203 37.696734007216584 42.99948511415158 38.29597366343046 29.357525059068898 20.321327538761743 9.488616676479907 7.562509943539489 6.994944651528254 10.821561839717695 11.153699160642613 16.37190316614783 29.770358361527247 39.55193153097363 40.43403577481293 35.266714479987186 28.712345694005688 18.505634202113143 11.423924244510092 8.014954764931622 8.946211584429474 10.991852218643206 12.172020991686516 19.39863195118069 30.61825075480276 38.62581313823318 46.411728551924135 40.009445924744654 30.646633609695222 20.18345710895132 11.841949977159967 7.972748380987932 8.284101130202368 10.255146820853414 13.999364219162644 18.18964694568603 25.754344041895916 37.74186467711837 40.97901683067133 39.51741523604995 28.56934527547445 21.454411055109254 11.008070799998062 7.016055944015218 7.979220692568319 10.71178905916324 12.057576239036955 19.375958946883 32.395586127232306 40.207618276711074 44.69624466268863 40.37623994952199 29.844366692786707 20.30979308027467 11.590997368847354 8.715276699062708 10.673443920759789 12.778352648887408 13.369478964166294 18.425021588381142 26.02993841720169 39.692912896111366 44.74272541844365 35.04596464229719 27.799063917557746 17.842439291424427 11.942598877518293 8.977881898374553 9.790278509439855 11.219595501052936 15.149616439784221 16.71519489639214 28.937626082297662 37.118146614299576 40.89953997666336 36.51290717655395 30.068501195710752 20.328944385624208 12.513078329843726 8.721453341841237 10.623766161704323 11.831508413171083 13.033089547846627 19.148234228153754 28.181836883450995 42.07128353893958 39.809109385155494 33.76122091923436 25.492688290460354 18.95803885845114 13.845953288617146 10.542374885956475 11.232041942533867 12.40351481259652 14.481760695208692 17.616111911553272 26.652377948717476 38.73040698945464 39.980751200020094 32.879512250550064 28.129665853346076 20.20292500943344 12.905588114910474 10.35539474571333 10.46439527715974 10.354545541711648 13.993188926469967 18.024032589113183 26.880022337338456 36.608412249811465 39.02048643587973 33.92509704027117 26.696791723031197 22.66988212618393 13.957148384617982 10.263317540437164 9.411102847302537 11.42773958713132 14.019797093508359 22.296351004238236 29.56426910611748 38.485086939321704 40.50589409435112 34.80235920119786 28.03724707634904 20.992667517402996 13.850355918584532 11.611042093510266 10.237694261028704 12.250132908896868 14.569857847389535 20.28309209483387 29.805730610881884 40.925469725560504 43.62790282582547 33.22378009286626 26.808618996732807 20.796363009214517 13.239840345324478 12.223422810376556 11.735051529387038 12.628648379051954 14.4980110035811 19.90418577482427 28.60632007673687 33.372527826874695
5.737724655094178;40;48;15;8.952421979354334 10.501353877391923 14.82854442251238 20.60001698588605 29.13781411244296 35.65602658671056 40.885154811897195 37.83560383807986 27.182650494247852 19.00189639739333 13.90204125530375 9.772176558319742 9.528374004685837 9.703593547061491 13.548460520771975 21.354150641955194 27.40922088957259 36.39746673558763 40.75232121488371 36.764626633631195 28.382274341957675 19.8216145240407 13.482736316307939 12.069016866557229 8.384841836398714 9.851044523607902 14.280630980180767 20.41559762098502 29.286760309071823 37.36494365835595 41.57996029523198 39.19997089946574 30.593965410474848 19.325706726296985 13.43142967867055 10.167397990822703 6.846298849001734 9.569224902432882 12.95200339150161 18.026754362193294 29.591752128788766 34.66353662333944 40.65307775389859 39.62746073394676 29.79402671662023 17.102290162144506 12.336974481234206 9.343657958418559 8.619640667477427 10.894817498113978 13.395514019759988 21.600167673909862 29.86030108106946 37.69453606744753 42.428321843341486 39.35822121275214 29.489240784995907 19.390998565766523 15.087166868557196 11.366733257681398 9.229924025970725 9.084097202705749 12.54450832850693 19.871831642394532 28.533319922088314 36.473816790759514 44.69018007703592 35.977155307588234 26.29001423066751 18.343717393170827 11.721078140806103 10.47161688638867 8.960311881080612 10.223218640510368 13.945690205981617 20.201594837346544 30.606367299122624 39.70885200969461 39.54168977969103 36.14344943238818 31.155377686209988 18.06314997662468 15.2123286027097 11.72723318221098 9.633240573249655 10.312514668928879 15.966583091462708 21.49628869314768 31.130255288653075 35.655302940693225 38.49367078517655 34.21145902529939 28.43582110954704 18.52300778191544 16.360673152020663 11.869549782257556 10.297600270508243 11.91771004481399 14.710027135886548 20.406753546081973 28.05592517660702 33.88648458486878 37.84348833946273 35.63452376932616 26.388792249554722 20.599195121122897 14.345069227869601 12.913099992597848 11.370321785879284 11.766144006586934 15.981307127778038 21.725907244807548 25.73548941791263 36.93535444037315 38.23464196328991 35.12845218775786 31.029447753206995 20.581096545217417 15.209822168323177 11.863798416522794 10.619503940665675 11.571994910463136 15.54263250704593 20.44446988199928 28.256639402713617 36.892489214533086 39.29885523761389 34.21093384190248 27.804689725308155 20.369135091389023 14.073022878186114 12.108700615084157 9.510782386018244 10.580490509764875 15.452543303188644 20.235139070455904 28.826400271843667 37.54657880870616 39.57100554390807 35.59667411243085 26.35196865790786 21.398649134156205 13.274296561427697 12.364498681524013 8.958431211487063 9.762044163991249 14.427103144483587 20.358714116209402 26.602738667108827 36.99161386796312
