rmse;hl;T;RS;preds
5.998307407559473;10;12;15;12.534387409908188 13.723189306939979 15.505816340871263 20.417669665248265 29.60177449112022 36.05432891513059 36.023073077542456 36.099625645592326 31.828930118043218 25.130629354291756 13.799774277050327 11.84992088403744 11.670827945348867 12.888277314100355 14.547189905913797 17.334668964331303 24.045446040213204 35.21666679740794 36.574053914932605 35.87062543325324 31.360224187591854 21.208433344405062 14.913660585129291 12.219082959401348 12.794497650563263 13.765179677147152 15.802213514046539 21.114570988109463 29.835628937144598 36.66624992776386 36.03721117659748 35.54738517810111 31.59602140715903 23.024702155148606 14.507794400716534 11.771197377935575 11.81510757022604 12.77013940159928 14.074493796723209 17.66765818942961 24.989486991416026 32.75262375659128 36.77895644487739 36.17123149907596 32.85991777951921 20.478422178557782 13.87352406686889 11.96031740425609 12.473890062824934 13.42514165380913 16.046136225321384 20.871492418014352 29.881670914997315 36.76826781517736 35.95005503425634 34.78393052930126 28.202248493944523 19.98288734203102 16.888160470435825 12.40810577954043 11.79447015787356 12.750633361191808 14.070937670585801 18.374499688145946 25.077327458524024 35.83071689543175 36.018242470359596 35.038428463064456 29.86270760910284 18.541220440075513 13.751163085818913 11.775868674987752 12.16685083791157 13.366930002075394 15.485176228347077 19.77252236472407 28.118238726684332 35.80439427155132 36.3509171254541 35.806310043377046 34.49726950025656 28.123234044341288 16.328157009288535 12.228695570676347 12.027894601553683 13.135702148078478 14.711491979037303 18.879560055410174 29.054835135731715 36.15759698204418 36.09060167174933 34.86361394644477 32.019286823005295 19.4136357927891 15.084706337089683 12.151042682656096 12.746385991097545 14.164699783006798 15.702748638981497 20.05463427948632 27.08877969991567 36.250284426126015 35.939448759793365 34.85746970572672 30.256133427421005 20.00335936886648 14.63445945546661 11.846283752748837 11.952384299782507 13.40718281178946 16.16695945858453 21.548140934230506 29.845659399991174 36.6251020111291 35.74790397928045 35.23887975995113 30.14300973377883 23.1890756140616 14.968557101050418 11.915117879975789 11.403998327402263 12.552448858452705 13.515463747476097 17.676328440779056 27.68966916104219 36.30695157964365 35.64758584995616 34.894020580031224 31.45860156850212 22.894988944063396 15.077236312063759 11.973140519690071 11.768481005198876 13.213303732836307 14.835507490300415 19.658080987289143 30.3179531835975 36.31797503063528 35.894012970488745 34.15855793626933 24.91449309748371 19.890215423936507 14.33007179916899 11.874341236950672 11.97048625090262 13.540452486533539 15.2218473830179 20.257004048370433 27.034095822516427 35.2311761700726
5.994737950361655;25;12;15;11.423851339874016 12.147410951710905 16.166091353380903 24.550905864129255 32.004115908272546 36.315206004550305 38.92855503987571 37.515135309184416 32.1060716917368 23.44566263692194 14.53347438373083 11.75070442476939 10.605942328269975 11.023947809632052 12.785618135906567 18.03726343047484 26.438632356434038 34.54567277826657 38.007427914534645 37.64428047164688 31.723149541356765 22.34383310179452 16.085874652325366 12.683665052614021 11.795100647967018 12.45269101475751 16.802882297516526 25.494610137672428 32.266417338267416 37.08131897239516 38.80923445216721 36.99342568317815 32.219877178734855 21.840916839625955 14.661748740817956 11.63639130549052 11.0465779487039 11.15565408495809 12.429152267906439 18.382953588237413 26.33206130448052 32.66284034717975 37.97324914107426 39.24777608944277 32.60511607643903 21.02900372805684 14.562769896660075 11.882351296317887 10.943408438057594 11.648371967352086 15.747868508196456 23.422655064473748 31.386188363678254 36.82242515909385 38.47037235360735 35.55648070649432 27.780685873880646 20.410990790532335 16.370432247610736 12.503911921943219 11.20892712264071 11.369251167797673 13.379904327124938 20.66373968807267 27.756090684849422 35.6786108228634 39.324095092640036 36.30448902304736 29.4239256565454 19.181276566847178 13.702308879133918 11.603990595098843 10.915530515274238 11.507302846633895 15.559621987422982 22.463558208976796 30.28611950926418 35.615806179056975 37.06801522639743 37.02650953701156 34.47053780036259 27.188592897130846 17.120010714011084 12.836816091632771 11.33194964575877 11.45485066115004 13.841963109877923 21.001229761884183 30.443854089754645 36.39371349691565 37.515062404548345 35.833573677097185 31.41458876968681 20.12625633400019 15.1911808579047 12.47781746257198 11.926788022091113 12.912713868043824 17.049572684790494 23.639975937237637 29.977317072226498 36.59054521362982 38.650522409519 36.01357522356498 29.71827204930962 20.55397669564065 14.685984131969295 11.813866841326922 10.938549479071817 11.556918501740112 15.929063530558508 22.840433831102406 30.535057789483773 37.50618018971994 37.654828692418164 36.609662429311555 29.711290755362565 21.694511842094332 14.604383592914196 11.752003207360199 10.48687150644432 10.947757064590848 11.970487600988474 18.43959103986628 28.317233955978303 36.1899099368554 37.8494935213379 36.5514629283505 31.43410156052355 23.15804794098266 15.38286604734635 11.993695576805505 10.768710028821285 11.458975173431659 14.31433654854959 21.613837630695283 30.77256354269821 37.884886021980336 38.24427617593856 35.265693815082145 25.70666137221006 19.69872363429333 13.996769354152734 11.613790868307442 10.939682201102677 11.78705953662518 15.41369255763316 22.320834051763278 28.935122348082846 35.07063071083571
6.211891331868979;40;12;15;11.784019143283704 13.000262885368256 17.281846180280738 26.36161367124334 33.72189764363024 37.485602181145005 40.411760708320486 38.523772299360175 31.40598669767295 22.21031332364613 14.791669527603098 12.425386203418853 11.273623236727511 11.109786268180441 13.774195550475024 18.899376278042425 27.533382210107852 35.378016907813354 38.74790545219837 38.85812646125609 32.33361313631147 23.41265942962317 17.155162224328716 13.494376081491565 12.028188920269688 13.176559121211861 17.54775233950373 27.1236939326446 33.94565884781587 38.08408038893766 40.12937810134467 37.520053671947736 31.414098013479162 21.050722052895562 14.857212145519874 12.412870907559407 11.424705944219111 11.29959753845781 13.223589361909143 18.78775084217587 27.11498047854785 33.60343638556732 38.6545119132153 40.720089265223685 31.816225135121396 20.131934120055952 14.668969675003959 12.230878659501021 11.367864629626405 12.548299369582802 17.254754007463962 25.32390460734705 32.99015381135108 37.75357532180929 40.00193269697142 36.29329546123823 28.422558203646364 20.796712850211236 16.861290386741906 13.473522655402569 11.660520039859453 11.384022457117867 13.758271287836171 20.965995052525844 29.035956210203068 36.60981768918468 40.654994875810175 36.54962276133255 28.01186343717953 18.39308024470103 14.100260860275037 12.013903661856657 11.277724797549624 11.936476238173894 16.31177439250251 23.6011413716173 31.64435785591931 36.75732806950863 38.01275940356905 38.041594537222345 35.369564020286276 27.909780070602146 18.124226848060434 13.81382394548197 11.857254550392186 11.495894621174097 14.485930435366393 21.804718337729142 31.559854632279766 37.27591764710808 38.70937130177546 36.92194673776473 32.27840947585873 21.536683093115602 16.44297168546188 13.28815856792574 12.018384596803529 13.02499578315651 16.93398913472373 24.9061509169966 31.756716050882705 37.661110641893245 39.90182653112609 36.3714154789637 29.18098580777171 20.218380117238294 15.17332732258158 12.523273503164395 11.394604430035487 11.639676064371429 15.800261964945694 23.23342160984647 31.439971733813394 38.0511450445481 38.81026321758737 36.97642270194257 28.950549104084786 20.954222135124944 14.944429041724412 12.580587347805732 11.253196437768134 10.983931264942303 12.78898592506745 18.788793108454566 28.620561119838207 36.647860408357005 38.85346056454733 37.66194364486469 31.676479773582297 23.18055115088921 16.153851475035516 12.973049204824692 11.423515168496563 11.410596196967001 14.429355087686774 21.852896657683864 31.384686393166536 38.33785332659767 39.42807330471243 35.596564755476734 25.02574877858721 19.108770206099436 14.582716740098629 12.291286225875035 11.302763489783635 11.894772086167606 15.452928077656816 22.931782665060755 30.223580157327913 36.03331752899677
6.39507006126311;55;12;15;11.212791068352654 12.246576107716532 15.383905613453338 24.572107781129116 35.45377697546738 41.123849990748326 44.53974676083972 40.37253666402658 32.98711881835301 23.84574015947824 14.80566519260061 10.84874581837249 10.015868404913682 11.280060446075712 13.541220685384026 19.529637869470363 29.199767527118922 39.24087175038935 43.543519759826864 41.47496951876966 31.622892165895877 22.909666908698988 16.750346406709774 12.732351848653215 11.479011797579451 12.282771909441639 15.327231709506433 24.84113533884478 35.33602923777789 41.43486251832775 43.61747746286682 39.181751490876394 32.93816605540073 22.35889094683706 15.086797620076338 10.760802575978914 10.07590267254928 11.197582351216015 12.884466021736685 18.82731308297601 28.13000810010987 36.49788612135091 42.904011092868686 45.157085668002 32.69059271197875 20.714717242283335 14.47548684624873 11.150446803822181 10.955852179366817 12.2041429093495 16.118554830488662 24.920559033222276 35.281684231927805 42.30847202197852 44.4033030342547 36.728630644612366 28.429178012106217 21.09808964629542 17.08740749074142 12.531055398022415 10.465174276697054 11.272570169761991 12.947644639324455 19.551372564100056 28.854443580144043 39.177568924903085 44.78352771309997 38.32350731432124 29.140909184261492 19.032684092711857 13.79527444090151 10.801434759817736 10.662211206460912 11.91358013218896 15.389570573693494 23.541046033691938 33.85925132808035 40.69258396613582 40.58509688093088 38.228500422743565 34.42475638907955 27.41001575261868 17.84780318251931 12.850712525320072 10.819693320896825 11.525546556768596 13.488756349127494 20.19944752579698 31.782965095084137 40.36054520147819 42.08396894561654 37.45981689143416 31.046158440855354 20.755807442747866 16.023021405428224 12.443278216188787 11.313435918453422 12.11995425571376 14.49805893162889 21.675938035968517 30.84620532564852 39.48531289463183 42.687836696135285 37.19204626364785 29.444318028315518 20.720991428764762 15.153896886981888 11.296630049752409 10.446459386599575 11.63896186895507 14.459844751553202 21.939479351058846 32.48654478637907 41.27210831863497 40.63012764447953 37.39062229128439 29.023366997143157 21.905067687788783 15.141731263358428 11.106925436257447 9.849289411998702 11.128765775105155 12.816329888895853 19.138998628353267 29.896465830819942 39.87236900789446 42.915968803270744 39.280949048942496 31.24441044788712 23.488761258853884 16.200707554657733 11.766742094619914 10.270248881207648 11.469256077204008 13.614392638457408 20.869705748148334 31.997053609174294 41.38217541790543 42.72828121804051 36.55214877196394 25.442157952188573 19.916168124293154 14.41626533029678 10.966952585252077 10.414195034879073 11.762618932424148 14.313461692916697 22.085801655831958 31.027504304621267 38.12591684935756
6.301343090832551;70;12;15;10.40705038054378 10.724598673738688 16.4719850304478 26.693587294258553 34.79027188255388 39.35313138908546 41.37938479044681 38.0591267521124 31.008638879951153 22.58351468712217 14.478435433752185 10.706124098923084 8.590125090554103 8.115135185498877 11.25326124188909 19.853765806070992 29.095299908924737 37.180224911916966 40.90130318878768 39.803387721309505 33.349170666570885 24.037385732338137 17.41188847479267 13.05713660202144 10.987708805159642 11.279893035429913 17.062441028100558 27.425576504641548 34.93240217075272 39.948921575944325 40.91806720482724 37.357210366588646 30.88251183441359 21.368393878946044 14.571543429577293 10.540657576751165 8.82603369220417 8.19771588688342 10.638279584626549 19.44883894389062 28.28629775121592 34.910428173405535 40.56302162714471 41.361239636579384 32.482341294075034 21.182292982114816 14.535963942044186 11.168618959406663 9.267513116296366 9.522163609760977 15.824221938582975 25.643605781195667 34.049166554968416 40.02908157339404 41.23604347523762 36.46550971250459 28.729693959698235 21.308522634177226 16.3378168735684 11.936681451223585 9.654671836083834 8.87829956584028 12.305751720749473 22.044490041287496 29.777400409337698 37.60865170598013 41.34594991429155 37.381437657224865 29.42768159538909 19.27644243103407 13.46092230413437 10.503046885051873 8.784309288910086 9.062467477251145 15.53153615141823 24.780179975135816 33.01483203066228 38.555265752058475 39.53991306670818 38.34339542902518 34.32463402220399 27.34984748896215 17.856175064895194 12.878301529730834 10.4207470015248 9.373311244098913 12.821554721147855 22.265945130075075 31.7097283378898 38.53137058254215 40.05021041699709 37.854214771566646 31.9543422931215 21.479188168209202 15.818945803068551 12.28856512783785 10.745905728674371 11.327638821629405 16.822829815998006 25.270214730657248 31.917348590657134 38.700281173725664 40.46425204629408 37.12335659560719 29.066030385148164 20.67371024085951 14.603786854967069 10.953505730153903 9.10374095187025 8.917250892791829 14.346685280635917 23.59722162938845 31.860065122947493 39.46460662790084 39.28484404662907 36.87798119195428 28.261419044155513 20.323483963390817 13.998551467478999 10.427798499936223 8.40431142448815 8.098944955946937 10.65642203832226 20.127683712268517 29.849155447308114 37.948483166182605 40.35194110433555 38.49623729838354 32.154439867514625 23.181490030124678 15.481748360365724 11.32774547841181 9.154342169649327 8.85008952193703 13.442030552790115 23.068450041805402 31.804285650878352 39.57793148433515 40.11111278983631 36.43626280266606 26.66384794060506 19.03035958239406 13.545917634067415 10.413398484225668 8.764930156572815 9.310802269094344 15.006630872197368 24.161629872202457 31.071017571670886 36.70696041658217
6.3261968745553165;85;12;15;10.998872665080004 13.045957216113766 12.595873694878934 18.25733181233042 27.22581273897563 34.41493113928267 47.199430742648 36.58290237761468 35.95004288348366 23.192439184204193 13.12848796432174 10.927341066318299 11.49607553267843 12.238627477255637 14.213262371147495 18.88442238961058 25.9963737640438 37.11092095481309 44.860701320642335 40.94539024232492 33.11489161854566 19.663908632874612 13.95821765261374 10.633180310358899 11.577130637048825 12.996272706629034 13.345791032828439 20.586065029918036 27.77178509537176 36.27228947544781 45.82332468476829 36.187632342021004 36.673613296007375 20.40143690799195 14.518707819711121 10.788793905973941 12.42108888014802 12.51099919762975 13.558734674115058 20.66846819501288 26.701028629960096 33.38970969448583 41.6390441024269 41.56556567986483 37.68684597842753 24.129048081545715 15.016523626286915 12.452093601767455 11.325725749975378 12.691238359207716 12.928891271780158 17.929032785486235 27.572511748392028 37.78595443082732 42.957591950125845 33.81886688499559 29.6271547550751 17.0134558630878 15.408336092010469 11.35330125352761 11.864252045369481 12.795046460462602 12.732214814939113 17.882304288977153 23.988830189957987 35.617242670404806 42.51303433028828 35.95057076705228 30.08045688098403 21.64448846106044 14.559936066454146 11.055611373147865 12.39791870673488 12.166473488915592 14.339408317887004 19.79706152519239 26.782588666439597 35.15989028693618 40.18690795972252 37.56131229562246 34.00731659368998 26.451269497541738 13.09207344868841 11.00602136967286 10.34281869599049 12.444013337935871 13.132106194408397 16.894607805427928 26.258284175423427 35.782645738541625 39.73627630363127 36.86691993855876 32.83736797055562 15.0043971551532 13.373327383890928 10.501868260102002 12.74397001246319 14.46202716533495 15.889919141329946 20.23685874231146 25.677615287642197 36.943622366138335 45.34300329067865 36.4391222845032 34.344439106627945 19.738446872831464 14.995998271060254 11.482292506202802 12.353589987829913 12.679676223960652 15.482575962993756 19.840381729964992 29.20689800555276 39.86111064196437 37.43059833339854 36.210076169245106 32.35427755038101 21.23282163277928 15.03379122434973 11.290045681046205 12.161556476238127 12.018480452899109 12.833453702815302 19.648163256611312 28.800430357892388 39.663653835500156 40.978806217278226 34.07350657777338 28.33072603895256 21.50272370860637 14.890075935359208 10.540598172973624 11.637784594091054 12.539988241070315 13.287028546066587 18.464287147815035 28.990094468811755 39.782946071405746 37.22429306425226 30.530150902450206 25.186473968003313 20.16674945899613 14.490121101854822 11.151464768555517 12.943029370835186 13.087345448030398 14.402915681380037 20.46191737900204 26.718080889329322 33.67701741465423
6.344653978597047;100;12;15;10.487249530483224 11.101700604005444 14.372987653228552 24.50838541646396 34.70133362688648 41.416228633381465 45.63807940484654 40.692752726867475 30.91154138042975 20.82577631713446 13.385526759660717 10.343484288316132 9.420292881705477 9.760210747402562 11.921389028764043 16.851993020513635 26.79986706518924 37.519519037949856 43.60943365135328 43.43266286033226 33.22316985406059 21.73825192356729 16.206321211635462 12.232917964182326 10.942744195817804 11.36229147522427 14.813843337656554 25.553397094740372 34.955878813654536 41.981317867937875 44.81919428117062 39.83968477947361 30.84947523358504 19.74514464874934 13.544691756112682 10.281237229967092 9.72882800174422 10.041567289129924 11.72505549372972 16.746728176623115 25.955742592769365 34.52441702659331 42.218174229856906 45.06688238189012 33.52924984297524 20.211783935280874 14.050158499218732 10.940081826515232 9.825563003214032 10.617191243599091 13.788055531844288 22.709768725110305 33.38257854100907 41.82133944475933 45.558154322335305 37.68176965561938 27.197106200999855 19.321038129416515 15.28110535128789 11.651074839230253 10.455838433021965 10.595537216599128 12.593244402679767 19.47722753664796 28.20302074305257 37.95666873671074 44.33325382975984 39.96529676725817 29.487823194850016 18.557566604543503 12.803298185197546 10.499914685872378 9.913141722427234 10.805394561625262 13.99194617244207 21.815175933987533 32.02358617140491 39.81385088667204 42.1438830556112 40.65293464479815 34.60346590338581 25.921959394463983 16.94567075256881 12.371891751656303 10.57658471139148 10.414479902994106 12.483353489613153 19.826953776068763 30.979009220773232 39.509995164200596 43.10650101939374 40.06346961016166 31.37501370307107 19.522266400711725 15.11189166583033 11.951945521880207 11.239271652277916 11.936007758382823 15.022430251894798 22.971463122753416 30.88866822590432 39.51028273248733 43.66643832633422 39.33207950037604 28.644887641784642 19.551668570423377 14.146534377851584 11.00073038321405 10.102990795108493 10.657669517650644 13.643135291229756 21.09194945583493 30.811929346006703 39.92635489090759 41.765417538632676 39.004095043535656 28.01893518687875 19.547753996491934 13.627076695048508 10.690641314358237 9.753170049677964 10.176401713377897 11.701770563019055 17.51360596810383 28.213708022666744 38.13228790449895 42.88648157815034 41.206591352349406 32.236907161687505 21.506794217453862 14.8494390262199 11.202041684789235 10.061926583796637 10.656804112618724 13.136170627869548 20.56252172652721 30.944592157159757 40.22552581546832 43.11612713152728 38.293720370141415 25.86311117725045 17.99640274460536 13.027576472264961 10.672461058258637 10.275203696289005 11.30694875592865 13.970911159805812 21.449253220867718 29.697170882466555 37.01838337026097
5.879854041738795;10;48;15;12.29966148346555 12.76448794221766 14.527604210440984 18.227661988098365 27.854743145752284 35.23506846758747 37.6486155973216 37.72749706346829 33.4966574203924 24.243707160324476 14.329788281139813 11.909428618190276 12.36815133879993 12.27203602673675 14.923866559136785 17.32164873636275 24.985513013707042 35.35268254677749 37.431238274092976 37.23705407573699 29.167706363319333 21.94542479163501 15.579071324224618 11.995538443995164 12.48346757186775 12.7321992889518 14.688011960920848 18.270918738835867 27.67794940327176 36.15817481878937 37.653172137076254 37.44399388523429 33.220844331178405 22.350199094113965 15.022036701868581 11.778261027119676 12.68192614203506 12.900584696738402 14.537660999961696 17.95339609727217 26.072660702702045 33.06118722843294 37.4705568243966 37.773660549047804 33.316172543189154 21.74132016242949 15.109184743694604 11.995789559963866 12.407488790305504 12.649258114644445 15.159946621690214 18.651615272686847 28.620679927393294 36.28737128451425 37.591853937794234 36.57419837411891 27.93141080862114 20.295404202772403 16.884293824552174 12.32573164129143 12.1008721422642 12.219635144515319 13.846953027191464 17.807852116993445 24.836328526925083 35.88072677560711 37.68017790439842 36.74765740454195 28.780995534513675 18.702657293497005 14.43578757173449 11.981791869837572 12.564121700739735 12.624847212332185 15.274043727232568 18.463080508583708 27.791185154039756 35.40530214290714 36.17045249953864 36.69278046486569 33.93665985056116 25.867060684653342 15.984321194445375 12.045764337907041 12.24371662587939 12.133295804115381 14.572076038446394 18.019797369791597 28.665011346469967 36.19491740528503 37.28223199864364 33.92368957576918 30.118737215266528 20.38238820916726 15.822413498582574 12.126685783777965 12.69306435032421 13.413628121652781 14.892783532537862 17.70551054649663 26.0463929260594 36.27601436231688 37.60642541440815 36.36793630771992 29.852743300463075 19.78506837503668 15.056693405721004 11.854235758424364 12.472083647953312 12.844178109790436 16.43998462051161 19.7159824567981 29.441665109613922 37.11912137628561 37.490505692963936 36.47075209587268 29.51241298353783 21.652976957101895 15.03467890579823 11.797407944690189 12.170579775038192 12.003420245206323 14.027269143663062 18.026877895048866 28.803899065970803 36.79328355595187 37.457942972269876 34.595607053634154 28.437033149121774 22.226786733705783 15.384349791699051 11.807906212284909 12.188406308644247 12.511319843019894 14.7686525889343 18.47374618682423 30.022465293244373 37.185255331806104 37.58341320103984 33.648493475790104 23.911938750358953 20.20622630686605 14.709547180365725 11.864678672499101 12.455786761618967 13.13138187334814 15.22477909444819 18.692176577018376 27.38742442851511 35.54888242331234
5.80728731267254;25;48;15;11.252461991063978 12.051332091965763 15.082625179746929 22.377823116376547 30.801628865989482 36.108000228139915 39.265880740734595 37.52637882417012 31.46115863110814 21.94863124553643 13.897195797176506 11.451109573250738 10.671254081505849 11.33956007971343 13.084292903916243 18.166901036752265 27.038825510781756 34.84124302385675 38.54398173449718 37.59224006234826 31.604194826914487 22.506344201653352 15.099646387141531 12.163780067638397 11.551307544934087 12.110548882617229 15.268557653367965 22.345327224932216 30.636347305579456 36.73667580621177 39.19427893750852 36.9553924146068 31.42184210593329 20.695166986564168 13.96941391459458 11.366656302787764 11.078070051316352 11.630378023100231 12.800071480008326 18.611867057560428 27.14013629072963 33.58699639013254 38.652183015118474 38.99577041416464 32.26340259655715 20.762018512715652 14.41800019061818 11.650310690637324 11.03302848708088 11.805871632904092 15.012283006621917 22.1543150532884 30.72715137989603 36.747419789431774 38.829110416098466 36.21503638466987 28.692953060809888 19.68607096719832 15.146816361724621 12.053814899849854 11.109267835212801 11.60165764674446 13.26372606423983 19.851990443173992 28.043633319956285 35.95839181440004 39.56638014977491 35.88786737968484 28.2787936365222 18.000706818305456 13.530966783328742 11.51745684233604 11.113955333295216 11.758794139201948 14.972043697766386 21.64696704992624 30.14245147327852 35.84112875753186 37.79892605570515 37.23245568332089 34.06614725978742 25.313710446590772 15.498899851045165 12.102569875224637 10.995627058688838 11.472179013076252 13.468490210384651 19.717290014946954 29.757091067847554 36.30968820366815 38.09178397881619 35.88549797901243 31.92973427827467 20.878317270763162 14.896343033889904 12.164699476104447 11.712958724484775 12.350815561401523 15.215608636290122 21.103331017099123 29.404987327239212 36.65140438372174 39.096122295635254 35.771269915142305 29.753939967466113 19.40610366381393 14.059783936309337 11.535704602728302 11.007152741617867 11.780637178221362 15.59352196815467 21.943177236210843 30.534400972716178 37.713588479008315 38.19192254672199 36.43020901770017 29.93721209691336 21.440949686588155 14.262772044514234 11.697382783996057 10.635472756137684 11.26536071130574 12.343924723206635 18.490229047484856 28.779484450922446 36.66553708243335 38.39241974652768 36.164420315946415 30.71494727882575 22.872387578696298 14.933331336010857 11.901500914060106 10.844582153601127 11.602159878681862 13.437770356880247 19.91466851643168 30.25504188300867 37.9678096451716 38.53521967730971 34.871387740787675 25.543799840691953 19.613241935931654 13.905843772109375 11.605131417644822 11.089705091199493 11.970487600988474 14.650124501621642 21.37388248422162 29.483820190295187 35.77011559173779
5.893143011202189;40;48;15;11.339537128253925 12.068790052133886 15.20716317423524 21.788494524791602 30.70471092788656 37.38556351959234 40.945904625035 38.98325241813349 31.126156428002666 21.860327698980775 14.553612264317614 12.423923385396877 11.363761718718438 11.146796171675046 13.961870984932583 18.526768783581073 27.194115423313487 36.34062407090907 40.035522832999796 38.83540451634623 31.918298376054878 22.741127717695665 15.5790632237095 12.527407466046988 11.455702565323428 11.956449408286584 15.065937443558074 21.415372310098707 30.175880949090356 37.9837757604719 40.82328037724364 37.9289204221693 31.065124446921534 20.845708984671553 14.63087767769799 12.393410770070943 11.524416534909443 11.342173845925284 13.517954655875307 18.510492148534528 26.925492216310865 34.39204380885578 40.093103994640074 41.03103023825288 32.06235726189505 20.57048757058273 14.582018070669582 12.230620118060127 11.25160198637547 12.051419847546224 15.826218040516977 22.630567879278956 31.40044527028837 38.37204965117414 40.39040640037994 37.03462220290363 28.374157625808056 19.746353313109445 15.392938362854377 12.73679228102449 11.507991390419042 11.242306645275978 13.549629020077946 18.993089449851244 27.102331524188934 37.09874048024524 41.23779183641756 36.609285755358506 27.923515844072913 18.303262070578782 14.111158078239388 12.112029926798222 11.255811554065842 11.792547635618561 15.288002264869117 21.449101504969963 30.150502035221333 37.23627372611382 39.04098208921762 38.281703255961816 34.28473628506932 25.057786147123636 15.973802675562858 12.781075772053374 11.478393458258672 11.149928370854541 13.972548813945782 19.438608668337768 29.365701854038985 37.61956850018935 39.352603505516846 36.68191227374719 31.78111817763692 20.99697395375334 15.203771083528999 12.428408370601309 11.517479793795545 12.083250821707837 14.743341854400862 20.071034784909898 28.428704131971735 37.85937884995525 40.61232811259054 36.4734131150894 29.416712822874516 19.562655231575505 14.589955225400724 12.21903840656819 11.304542902938193 11.59799216365294 15.306518017303246 21.30159449986064 29.933161164310743 38.975826945940724 39.07179509864589 36.74859166395238 29.181648699925645 20.91409555843816 14.766439798220855 12.52645565552046 11.36606091492649 11.010862777542544 13.124533562857629 18.469009748129633 28.482203984077692 38.0906404560985 39.71373527022574 37.10086551537823 30.674038327387017 22.794180860144937 15.517265743949583 12.680225708902917 11.405765589784142 11.26986189754041 13.752083844370818 19.202760483029632 29.454739341016605 39.216679561985316 39.6959141369631 35.06908486253376 25.06148251342905 19.3330839329205 14.479359567518722 12.219687797863594 11.307789859415212 11.74272136711924 14.510490522165435 20.38347199058594 28.63333090688099 36.75869975673552
