rmse;hl;T;RS;preds
6.159147959506534;10;12;15;12.326761756797445 13.38657712645453 15.15867889107403 19.781196666331077 29.59496803329116 38.14982551973242 42.47945094468918 39.756222472026906 33.510195406285675 24.839791159617157 15.750960204800354 12.577098725960985 11.447954422611739 12.011005027529771 15.006795582671463 19.68140574553248 28.994292560772376 38.473227785186936 41.304047299664845 39.088453807988905 31.941978206877614 22.53412154304064 16.21877845380322 13.141707329953645 12.734501185331558 13.473782546929314 15.246293387562343 19.89072373126025 28.531494268493283 38.50366142049045 42.90357501513809 39.05967132768389 33.17197797372073 23.089794941335157 15.783364290406663 12.24041161571068 11.896794514775745 12.217084832338566 14.564011975645048 20.073412961140363 28.515105913842383 35.09591376860916 41.77945843150627 40.68362479641378 34.23709445548052 23.83464920419395 16.442221037727485 13.032479984083894 12.025981529899656 13.29419547681846 16.33716410705836 22.707605550051966 32.39569953444398 40.508078533261646 40.70710683965902 37.213788046228274 28.16315507045692 20.29263517668743 15.940892307761587 12.696095293064714 12.102862168811862 12.449534514032658 14.23529509722929 19.175702737402116 25.873183661519207 36.98746775430785 42.34798903490257 37.11752557480709 29.57916460333617 20.602676992538377 14.732463537638457 12.360639461112555 11.845718066776334 12.947602786663005 16.37532023344236 22.203662041309823 31.148762265529157 38.50791149075642 38.734046820914955 39.48907558390479 34.99352460758601 25.535279786393676 16.390036844285497 13.070574006518642 12.40297005295474 12.713123925931509 14.35587261486715 17.832867520246488 26.96774112795893 37.6835963217788 39.76840834693816 34.945807173189436 29.536915691688105 18.907568261478364 14.849468053065744 13.068169503614039 13.354427532031554 14.089894901093935 15.666804628268016 19.50892789000327 24.679345353592304 34.85546482823467 41.8881497932923 37.320389475113494 30.752523543335787 21.362175889788258 15.175779753533973 12.334434294701353 11.864220993394856 12.666463608758011 16.00589894159463 21.355165906516824 30.31207625987839 40.25377231168961 39.003638714517265 36.53091462166434 29.773631644678403 21.16829512322779 14.316240169602645 12.10267315679241 11.413104656482302 11.88583046756166 13.722336052680738 19.59862860665629 30.70681031138833 39.94022297279197 39.96059576831722 35.57307191154467 29.228308342056213 21.931998187824632 14.938219996885405 12.264672658493232 11.720920180761274 12.567721029624447 14.738611153571142 20.036524227851086 30.136535397069665 40.05848104293398 40.12110477523607 34.03148785576329 25.16198914849059 19.48332891214017 13.93178094647871 12.079659593338244 11.905466116211045 13.081211332956245 16.008201513017315 22.076445814010167 28.586593297292396 34.836411066588035
6.5364869846522895;25;12;15;10.466007279668498 11.676827726880623 15.398504766827246 24.37456288156298 34.05550318292055 40.33033973068386 45.721659169762475 41.78814893414352 34.75568403307997 26.03684258749438 15.910829946067704 11.538033500825124 10.155910110297565 10.953125005943292 14.515391333812662 19.95717428191332 27.96502895893097 37.028545466478235 42.64132488840565 42.12607407312123 33.260357968887824 24.771787841472136 17.46379252542011 12.309514410022427 10.77351363428708 11.681409918266487 15.441986981902236 25.091162463305004 34.39144639586573 41.117437082945486 44.77770884307255 40.459818364352074 34.38206599935748 24.401163285607716 15.900836610582093 11.241974524156083 10.540047337945506 11.092722533081462 14.0340445495175 19.9480659277045 27.44131580551851 34.258986772633584 41.89392006022901 45.94317585621711 33.877252697804394 23.128846427780946 15.662892079465355 11.480029762312787 10.276358019693516 11.758264905547481 16.048228183350965 23.761524672886164 32.84708723861303 40.89383856410517 44.74888991044949 38.1704224295093 30.369637845273793 22.748821561641947 17.01671024503701 11.716236732936418 10.324145658554459 11.03727450708929 14.394665306730946 21.41987990924118 28.902072921438695 37.91652123369323 45.326054312877204 39.156788403450165 30.61533051910222 20.731917504814223 14.132310548344874 10.965462090470112 10.35500997124516 11.992842322546263 16.66398613997911 23.716307766250505 32.1147662446316 39.058234836336055 40.475583316860245 39.070914842669595 35.110201727193896 28.168576002679103 18.61092132242024 12.791406629002292 10.54099374812862 10.747729694662086 13.693542096645967 20.23695999875045 30.29563491435775 38.75817015494047 41.60357329680498 38.046425144405205 31.913956499950892 21.649099004249223 15.839149837862143 11.691954088780216 10.920218013356655 12.005836898883606 15.536826462834114 22.95343719834291 30.75772204891365 39.02537644684013 43.25380213641044 38.05347394264492 30.49138453726055 21.948440545909662 15.230709346558506 11.132606769357595 10.288055163525904 11.502358832239365 15.958843724309064 22.81351227538533 31.284627480326073 40.08579462983069 40.44879356327459 37.523785309246065 29.021787059173413 21.640630928256297 14.499904498990256 11.062835682548501 10.121555825676266 11.214932304515878 14.23320718945727 20.74501148122251 29.397148728775356 38.06865430797865 41.659169832241005 39.319568254774154 31.9260066912339 23.820921699999037 15.67240613447307 11.247547678558218 10.081020848018875 11.382205241559419 15.283174357857964 22.368539504147904 31.216924725044127 40.24174304673733 42.45199829894959 36.98751500731271 26.610521574531237 20.1442212514062 13.584641471552697 10.742398205627678 10.474171248822982 12.36561250235293 16.635875327386074 23.66738031740797 30.40926151498025 36.848387310051464
6.4293126097193545;40;12;15;11.996973585257148 13.34216335214081 17.36277842683849 24.629938455511144 32.34377860774337 37.74781990581697 41.57093767147484 38.48690685505186 32.48160077198454 24.979332658192416 16.5213212177824 12.353893082103962 10.28954970856543 10.916366218417387 14.818529485653116 20.356667386055904 27.62606459136773 35.409345650037565 40.23771304046544 39.958161563523845 32.52831644267802 24.457893977540824 18.709035436589126 14.321820749476974 12.495945065323307 13.504679261680492 17.444076546662462 24.982105059492024 32.391785635555465 37.88007431599942 40.713341536129235 37.638888228749074 32.427571011181186 23.7123024834258 16.67168027925667 12.177695402527643 10.674646847255017 11.071057705394674 14.398885000065217 20.486350557730876 27.567450276528266 33.74341058665854 39.46475378725884 42.056404242751135 32.212691346781035 22.334130962951377 16.19339481463371 12.533258063091962 11.127789663033269 12.955895689016472 17.69151825671375 24.556468808507123 32.097709935004815 38.81452678871187 41.794063660266524 36.07091336975167 29.095456518883708 22.562061316632146 18.153601341012095 13.463778410756877 11.265141997397517 11.659144302375012 15.235194331762937 21.841377725184103 28.45048709217068 35.50515719278377 40.963821614393225 37.27787527159526 29.792958123667397 20.919824647756343 15.168536542931392 11.953758687181097 10.881974131392196 12.703078612140548 17.6863352771232 24.276449526817387 31.685883796592975 37.43090480288723 38.141924817319314 37.24462805737362 33.89195513274608 27.847723711879873 19.606308232510926 14.45931281772703 11.760777415320343 11.751136452242424 15.077286940283255 21.153049278730187 29.232459181011972 36.254269879564745 39.546309773480786 37.513512505988835 31.50942757557576 22.339723018555457 17.521273105664324 13.638680007914097 12.363770985249124 13.579796013425453 17.3694593266832 23.564958669943987 29.639798984133527 35.883593007873515 39.654195134012426 36.472881181263226 29.46281690467648 22.108775560514182 16.495305063390653 12.491363548980368 10.908878642275372 12.051311840677965 16.8187944093827 23.37432937421011 30.892244603329527 37.68590631867368 38.65856082068913 36.67028803455087 28.93261760130364 22.566183044361694 16.195978203913867 12.208247845386246 10.215512350460129 10.975008547538303 14.23650747432549 20.651448843986326 28.523305997793443 35.741604478689275 39.81950774639708 38.773632688217525 32.085873732329546 24.316661496434392 17.455027093018014 12.929126861761546 10.773230116257901 11.755714593370728 15.84049452337196 22.446811237771133 30.018230748965717 37.094331099848596 40.036262680047365 36.629742256206654 26.881077429432757 20.78640781365426 15.31772913022847 11.947113564611495 10.893632122734841 12.799771085905983 17.393987686464687 24.155228186988268 30.188402995379068 34.91038092040068
6.278483582619189;55;12;15;12.057661294445708 13.852864378099833 17.63708549528321 24.42212066830741 32.36508768780783 38.1777776972377 41.91351925656035 38.04842462155384 31.01673264464127 23.225264665357443 15.166914414778736 11.786747666793083 10.420985966720822 11.196257916993995 14.944093545389883 19.971674879019943 27.554721667104012 36.537867563808476 41.232118775662286 39.5522096486594 30.47322385740582 21.81455843847041 16.844500719071135 13.521882055622354 12.67374934706497 14.186442240630148 17.99132844692599 24.828365383041266 32.2417438442567 38.310565391332176 41.17647093696384 37.25699484378921 31.016523381334018 22.024757017695947 15.442715353220056 11.718355017640137 11.051912137910014 11.651046487427335 14.624759763654076 20.108182734682995 27.203276768392044 34.072896338967716 40.19259857159389 42.72116761567984 32.29391723701186 21.327957795077403 15.131834459011323 12.152406944410785 11.179038922021896 13.121562023894668 17.58349721255386 24.298581062307562 32.51547645117087 39.85504335613996 41.91161158524973 34.496821271753284 26.472658907714468 20.334757517786755 17.028109694938763 13.417135644699474 11.839403715240774 12.281309091419663 15.371455796757774 21.148236728945616 27.536899183755516 35.818459465970264 42.34550892719018 38.176735430959006 29.576876882857874 19.985110258388364 14.446001646257105 12.072585143467316 11.38995473435696 13.040509619695982 17.44516606594602 23.524460228985003 31.31909787233075 37.783629582988056 38.19046040374295 36.46366414514323 31.933536795080293 25.448029475564272 17.69514593740138 13.399168027121757 11.66428812947582 12.132329817687395 15.59111679020714 21.290527002318054 29.560647500816188 37.244798168191124 39.9119818769141 36.18639026303603 28.907605573265233 19.948572209899464 16.087248364681027 13.398027879618704 13.098723971601423 14.708085712429604 18.05058101485257 23.157944490654156 29.02831944957427 36.19347011325037 40.36715522181561 36.3983942445688 28.440491394034826 20.869086565023895 15.60540407374895 12.360572631862821 11.342928543917239 12.671560857896884 17.319379917086394 23.12151233952437 30.558909756252795 38.34530175024994 38.92903027009605 36.352078199287874 28.151288828371413 21.574204679148583 15.531397092575347 12.130958130460513 10.501582041901118 11.1520426053007 14.018009579838683 19.863836096450235 28.193352778257587 37.06340063295109 40.83702560131538 38.241936477154916 30.424491833490542 22.509579766780984 16.339684042303418 12.651413526709126 11.128035378658558 12.339649001309455 15.981743205508632 21.8605096230495 29.85921966230102 38.397182849417874 40.906302556702194 36.244757174642885 25.71693113777412 19.649608523517198 14.976679217543452 12.309466481974637 11.582443224881285 13.369544443330176 17.106179759487663 22.888201387436283 29.072796002880164 34.9904882645021
6.186096987020926;70;12;15;10.301161796989065 12.227136221515867 16.429922430647483 23.741426577641867 32.1909974922484 38.58399017867181 42.737725068583856 38.13504883006881 30.39304765892588 22.431351742187253 14.431752165119185 10.461709956397664 8.662947371391498 9.548349874970233 13.877289456313552 19.25300359053614 27.2850727323744 37.23926956662214 42.402955080245135 40.15881672337436 30.73652975127549 21.42277297446392 16.02834479394751 12.10581210640117 11.0220873913263 12.777745785296382 16.99010815338496 24.340648218647637 32.0413553263622 38.6392788945333 41.79779799773655 37.419257612231405 30.3747715467307 21.280476794465876 14.62182940230964 10.36213977463607 9.309670897149337 10.140802649599918 13.750810713411221 19.76613510855244 27.23062309487069 34.4356637326878 40.97034387915018 43.47084463834747 32.60258736563593 21.698789082838097 14.832444145499435 10.914480148480425 9.274521411960484 11.217188297976627 16.059387317970838 23.291962112960924 32.306030207287044 40.78961193623579 42.96216064065317 34.58049284250724 26.084944965119856 19.62348368721426 15.689600152856885 11.85870994294197 10.375867447591716 11.20656177222585 14.875430879066291 21.07715555257669 27.570515308936564 36.35002741887682 43.40724614405934 38.792053259599 29.92190819872407 20.091595242368744 13.511729410006062 10.430837543191846 9.600838512772125 11.694820321046624 16.713786081804294 23.15050973662115 31.37892625187373 38.35007970408452 38.42158565121502 36.562320318782184 31.640984666415015 24.805257313577375 17.036453900554655 12.398783436723873 10.312536270302532 10.728894646923667 14.467087962155784 20.574800419840876 29.393782964743252 37.7323897746004 40.57200779858381 36.426112857221476 28.63837381506427 19.168343419416157 14.980994091930377 12.034954200480225 11.810987108201981 13.892344263662924 17.65514019339846 22.92047004255544 28.748112843472395 36.34370226665443 40.8792859886932 36.81595419759931 28.38526241947234 20.67612773834045 14.793864092157524 11.007259398400272 9.731398565208771 11.351308526808241 16.703453874769522 23.018493785352526 30.77602651291175 39.002697704677566 39.274378181094825 36.432529815281875 27.86304313605648 20.866950560443353 14.571319990368584 10.894760794508143 9.134081431249898 10.057222884683982 13.253381031389452 19.527307621287687 28.393170547357634 38.03759288275337 42.02582344808961 38.65896854661681 30.349261674533913 21.732651092405167 15.179352755744548 11.208520746798888 9.695663142759615 11.31401240511275 15.503579923655387 21.71146689528213 30.090034390026847 39.27980552622481 41.75722521767528 36.59236512935997 25.972238785527793 18.889425807782654 13.614740960607541 10.714105806487382 10.215843121494169 12.606216027557606 16.933897328885713 22.993836239230955 29.194219349305072 35.25252507766974
6.111916172064963;85;12;15;11.641520281646942 13.337650690176387 17.41101699437441 24.236837417221047 31.550617344871966 36.47427987020718 39.093955407840824 34.4898595540511 27.934142032302226 20.97597843112829 14.212067545167388 10.888000914641017 9.373277491952582 10.159478387207654 14.2546499280212 19.891790974127225 27.162282761544557 35.191484996073484 39.43853106973155 37.21855654946188 28.70905688486722 20.66861721073893 16.402074884795827 13.218513039100996 12.356813992847426 13.95407558921603 17.9244144793038 24.92659560459353 31.643380393761575 36.323502282118405 38.036441259520565 33.978365352653306 27.998378779677466 20.04991809207952 14.395941812905175 10.870800820870862 9.848918138389065 10.622401224906707 14.198233890472261 20.230053297046787 27.28787517308424 33.63245445585373 38.65030234552493 40.02992132679474 30.21455213322736 20.792077161673436 14.967921885656473 11.748632042984681 10.35907237957753 12.139406967730029 16.765161573820198 23.486365362746593 31.23840121575439 38.18434856508537 39.82578429552875 31.563958893273586 24.377954465987028 19.030368020430643 15.753598947600493 12.671678315366115 11.403115371254252 12.150283259363652 15.750727314990671 21.870451486511953 28.06486915786321 34.70391566608078 39.65689530571889 35.78268219085966 28.231847438669284 19.5711327581694 13.738341320470784 11.179777418983612 10.49329521493399 12.473828633918613 17.389820646478693 23.775125690912706 31.27609426269073 36.8356127977082 36.185277792292965 33.951333258657 29.367398911956496 23.662330574415062 17.181072396980987 13.256706967888885 11.47630352535787 11.892372983606416 15.313580316401493 21.147623621207515 28.639829545135512 35.25677784810741 38.011232456469045 34.59811078784897 27.150154940324988 19.043890142815133 15.569960269844094 13.125551527590964 12.872318624272244 14.792807649977371 18.58403942547511 24.08776735021515 29.27771675898396 34.55133031303453 37.55447276068999 33.97484905404857 26.420717392204597 20.00970139716203 14.999390361766494 11.879494514652452 10.707579491472867 12.10686719849547 16.964819020225175 23.37730483686008 30.643166589224123 37.015217418935144 37.11212658148003 34.45827564560063 26.45188378660496 20.213199500297986 14.746740695536369 11.56352987216338 9.966975045738943 10.775914086934122 13.961597592547303 20.103558353114217 27.73616341765574 35.07312161923492 39.089929451826485 36.69352571225667 29.126986423900053 21.08327177901329 15.51995511496922 12.120330254623884 10.750224653318854 12.12709958509198 16.300370217300273 22.45291877303005 29.542318735272733 36.30163899181119 38.71491205411712 34.69647129268607 25.171829080471127 18.448500256411748 14.048802337979161 11.576135623774993 11.085743939306115 13.225810253137707 17.738964998896755 24.02636139535267 29.83889952012405 34.17046839366653
6.124533409666215;100;12;15;10.337638416571645 11.415154086807506 15.43509209344979 23.178715371650284 31.937184727055723 38.32283362148048 42.70281319850517 38.01450506457728 30.761531991191468 22.813266095668034 14.651126940367666 10.285619608646677 8.252110845910073 8.674716069774107 12.413895622722007 17.996856710973507 25.942711732874717 35.164614237336636 40.98441177374084 41.17975569584475 32.99016798725253 22.70992533506928 17.220388247112908 12.685939272233787 10.929210935225022 12.031079454081455 15.903852027335283 24.10811702552016 32.25656508675346 38.235237351151184 41.28631797224022 37.467311218005435 30.758960077641063 21.613703634674348 14.673034783508037 10.200971925820838 8.601631872281185 9.068665721403326 12.304282152298232 18.107236355118992 25.559283300299725 32.82262098278079 39.20854124446205 42.4808185816585 32.700432812720024 22.214755949906916 15.296165558980674 11.222488735036409 9.126384591800631 10.336026414062887 14.674183706569135 21.844131225281764 30.83763700578099 39.34462989846767 43.47629223476525 35.72024072014776 27.217498572769973 20.571039080653776 15.752826698492445 11.664517644070868 9.974123750331799 10.558284297650943 14.073035028958794 20.3615408584646 27.205645156500076 34.61679732614353 40.315797955958715 37.7175955338207 30.48922439989538 21.01803934332129 13.659538834346506 10.196451838384222 8.995736783783526 10.652729553513675 15.333539985655651 22.016843573847606 30.64163019152315 37.64935544436917 38.775255491413105 37.73423804213347 32.42780862629135 25.776571180340575 17.918078188873125 12.873100323981264 10.427060002974507 10.491588706415508 13.653377042512362 19.839164627568305 28.074662680642543 35.43007891848563 39.91065879277792 38.715672152452484 30.71970835658717 20.375773463529356 15.529382089439402 12.075092252896766 11.20896897530216 12.955433284611741 16.803646446109454 22.935700234495183 29.00559514201416 35.143789163050556 39.40241627315764 37.18167355403748 28.240070811601306 21.25356317050319 15.00130343342052 11.079783310264101 9.378727788542072 10.363114536622101 14.849050876537095 21.435657687564955 29.32226689196886 36.50511043075154 38.113254394140114 36.815485717808244 27.905244119656757 20.713781295265584 14.281276996261537 10.59530770200408 8.913516555321793 9.711052771400588 12.54108181061143 18.67945606810924 26.858430751809205 34.56238211582908 39.77656826583508 39.42256765460296 32.493159532016975 22.662378517772407 15.584215151325427 11.176795079333825 9.394554844999492 10.600016801460146 14.788264611081251 21.18323821097281 28.807360686098484 35.831528297029536 39.54637187743003 37.252515258928184 27.721292897025336 19.145700792050164 13.499771024561074 10.32151704139822 9.596668097571497 11.51818858886849 15.884613978969677 22.33642568700004 28.835199456392097 33.99708091779371
5.798817520944138;10;48;15;11.293897475985471 12.028973320150415 13.167663405524927 17.488168325500187 27.474045936858374 36.71462485397096 42.148265434290785 38.26654719217345 33.005035132668304 23.873350512121558 15.459080418889986 12.01400491829565 10.889315898262064 11.533101637203274 13.767075872728014 17.630071799275676 27.811435091752358 38.420632490602635 41.95707707644312 36.852031191769335 29.615288850511057 22.21167252257887 15.683091388958461 12.285714421558755 11.586664943344337 12.065317631319378 13.298182955385975 16.919903013974054 26.15120549118909 37.016252934784575 42.31799147732964 37.57037002161178 33.47269947188391 23.226574079874343 15.758256068751212 11.928327119963795 11.513748156497217 12.347348540930428 14.126142681124392 18.20960492733287 27.758388193450156 36.68439508163127 42.83724664725473 39.67170439744297 31.794443525008305 22.23379401680551 15.727373529901492 12.12653119894777 10.942761746933895 11.620989526076867 13.394519681529085 17.785043429067507 28.04121632875754 38.812771677102674 41.7358979114518 35.931290190982295 28.87704502989151 21.242663083606402 16.247469128270218 12.58783123345124 12.001929750424356 12.536476667766063 14.113932504667776 18.07437357784405 26.31397926712674 37.98577523762054 42.51549688688458 35.82445384715861 29.132783692553822 20.212592299185495 14.641870076714993 12.018210435728463 11.638458286931815 12.440203395658056 14.46988263987197 18.678345960016422 28.38009732851934 37.77183793314594 39.4711720954051 35.33138224227107 31.508246250454185 23.65237765712468 15.73501029053029 12.173892210679092 11.303634295158968 11.628046424831702 13.540901390079737 17.39098374544125 27.97469152338254 38.51489953513274 39.64831416003575 33.053937942444016 28.759738770276023 19.609604804643055 14.698834924163268 12.30417279534412 12.49203724182113 13.551101288700893 15.04932936243456 17.820523685290404 25.61051433312933 37.07613599280461 42.17563032444991 35.30104176289142 30.444089679736035 21.52982347565607 15.440954166224515 12.216136397026672 11.777392921916048 12.693198683866607 15.59760260264606 19.067106556668747 27.09478994461279 38.574404569113874 39.85049086664286 36.26227993893197 30.50314716025682 22.73833409473405 15.393826719345801 12.011233192038967 11.276193800192061 11.981947129710694 13.461571695429772 18.11266268768459 29.88715226356143 41.3908105670227 39.54316947378617 34.18186446835365 28.57790043200491 21.644943102471515 14.88163182339018 11.932979515814027 11.444780370770795 12.435656306504375 14.229423573853591 18.35949955927363 29.693736939098862 41.90922733363293 39.43966784201997 33.57803114502416 25.29814378794229 20.046988743299472 14.227029871635812 12.109933243468156 12.222757218050914 13.720095585207302 15.771021805536432 20.31084277202556 28.168210129412877 37.47043666675567
6.144729861314943;25;48;15;9.238524072855801 11.635619056382472 15.558396784511174 21.64225795047017 28.88195664222556 35.91713049055361 43.303471794950795 42.11769949057365 33.69756167108284 23.177202959068293 13.268031488025782 9.720483121085403 8.954655021355578 10.639699874944148 14.808121673810563 19.5521218617486 26.518271220744392 35.04727287548897 40.410194608730734 40.03129841436504 32.202148526353156 22.804587701613286 14.41790230939382 10.077561928062899 9.557236140056196 11.583677203351138 15.666726323288529 21.61094456547254 28.689700366467992 36.88640032733502 43.203578942670276 40.66416735909702 33.247879125346415 21.804234163190028 13.440844502368053 9.456252418406269 9.392306952053863 10.690441501651959 14.213362952543562 19.65905844944688 26.19135468181392 32.71582649161856 40.26977757947965 44.42833092580189 34.21273958173118 22.020435224119026 13.670184261299228 9.826626870866377 9.357701551463862 11.879491814480746 16.34649995073345 22.291290798079963 29.45067963285594 37.2526651184579 41.78592939300081 38.55872737218616 29.5496605021426 20.036952880109485 14.279414552827006 9.777373038768825 9.08207882435517 10.697029920615723 14.669700746493483 20.691347931206842 26.927212900730808 36.18496322228916 44.20961161723514 38.71586926498706 29.383034256222757 18.59490559146483 12.295599750176107 9.572891735610256 9.533817550846061 11.936897464960103 16.57184345553906 22.252688805842936 29.147891828294398 36.26998892915391 38.933765021183326 39.08668114526361 34.89209670769037 25.32488341959064 14.90634311980478 10.051439116888744 8.969424960589919 10.465419992322342 14.642437112773349 20.21421847759571 28.07625713203521 36.00049019147547 38.835827093218285 36.36624465014582 31.657556295220495 20.485548606734056 13.804216734550382 9.946690005794157 9.813695748564136 11.73053009186457 15.497576766908999 20.7429790957312 27.525486232995235 36.87008859005629 42.52750725063491 38.265002693957356 30.96346365721621 20.09691559319486 13.132150747241555 9.456849156353396 9.24886303031984 11.448424252488664 16.40291936349702 21.562492515611076 28.44555556607029 37.81431703443198 39.3205511172753 37.68091235110258 29.772386190478798 20.60321179529699 12.938282468975228 9.4864403380845 8.877999846780861 10.798950601847793 14.781305593550774 20.879470244081823 28.819024415306004 37.81249711870183 39.9345728634962 36.837670328548526 29.867077837009745 21.436976721443564 13.317254268148709 9.522220313366812 8.990178480325776 11.228380509699907 15.415471970787719 21.335336351786772 29.412770572183085 39.121904885174395 40.77714794363876 35.387829331794634 25.08394169787973 18.404139472967767 11.90243787364225 9.350573098158806 9.56276339153932 12.260804662523727 16.53214823128238 22.379893894934305 28.714593249429853 36.14760904690199
6.061316768370802;40;48;15;10.484624963584544 12.664494508541075 16.504919024751505 22.31784588986825 29.077249261067045 35.29449924684667 40.3928554561177 39.14422315441415 31.70241964812334 22.41727540956001 14.055579768962378 10.576818276244088 9.563808357989721 11.053945367204978 15.069769662252469 19.83465399073266 26.53606636485436 34.17186978278218 38.81935469572302 38.6863172357457 32.422561517622775 23.837978769049116 16.298836519771 11.892768558761412 10.801070236637365 12.50770093789031 16.344812343416912 21.979961000325034 28.61242820265835 35.64975408783645 40.27962375560726 38.2531718916255 31.754317623364443 21.56928614762453 14.332838800125186 10.48231631677552 9.970136946807209 11.185538235319346 14.613234755767975 19.987685884674864 26.399759334461976 32.646720997135105 38.572467195914484 41.14399597185023 32.58719031152276 21.614976765633944 14.58375765629147 10.964485978398226 10.258531486087461 12.55602591092084 16.88304229496623 22.64452110095246 29.398762756412893 36.12765072773368 39.60342245532999 37.152648058278885 29.34732313531896 20.709632143917144 15.555772217612496 11.339219858078415 10.187722183257234 11.574581674957924 15.374054712025243 21.193138390534546 27.279312928603055 35.130621775724 40.960976983500466 36.90853768507044 28.759287841601047 19.151286434746442 13.544957047982841 10.698421859130404 10.363692373367284 12.564106174752423 17.025868552422402 22.58289094745798 29.140776200804947 35.465476819471476 37.91048770001514 37.6977614225509 33.87362636720262 25.259556477888918 16.18271293536295 11.515429013384487 9.982995164473376 11.19881767977172 15.135915768545638 20.557823090236504 27.92591359654825 35.03436065438868 37.89211033138097 36.268177113938876 32.11532585521776 22.03722868890626 15.69727741606128 11.657213679604892 10.945792689674398 12.637907267833409 16.249766299349492 21.297396745421484 27.66752640296336 35.49319273195244 39.87258232145927 36.827126158034794 30.453877802171956 20.687409393251507 14.470436850114723 10.783986250250587 10.118715245041068 12.077890980870512 16.831160520755365 22.02310999733537 28.60639736915197 36.35513209348788 38.13339092464104 36.71532959878634 29.869655150903565 21.610673535737504 14.522201841899282 10.741399142096288 9.51228503157289 10.983489786868297 14.65609593135048 20.503213130037725 28.047428073768252 36.00465385624683 38.638729409591036 36.742001894902764 30.87200344117497 23.099422150413446 15.456114280270441 11.172138633226034 9.833786376146058 11.49515207395482 15.307710143111647 20.946051753062658 28.50631482980907 36.782863593336636 39.013092015661584 35.30613023647225 26.334356112909546 20.064567198629998 13.896659138049847 10.743294662634224 10.325727959174445 12.630315735080694 16.686527848427573 22.346004883650174 28.522922910932586 35.128377933035935
