rmse;hl;T;RS;preds
6.155843538507463;10;12;15;11.540604064289676 14.623419803444746 16.36595671300728 21.91983425180849 29.360788216576154 35.22289879370645 42.57200878052909 44.64226823027648 32.312424213887944 20.11441506850297 12.758940439446734 12.131735104869048 10.37602405755069 11.161987337695594 14.6594265931504 16.919612745515607 24.20219387670569 34.869273506341514 38.47461162318649 35.57263718389993 28.747684191213995 16.35536663957454 13.581152174665021 12.116476434555837 12.508787081959234 14.464717211397511 17.75157851350202 22.989206204177666 29.651035073647037 37.71952885676253 44.199726288617796 42.098725383992345 33.30438359351874 18.318163643183812 14.214156127982335 11.547439548964581 12.611809433247538 11.252999325233562 13.31662580318403 17.762458855393206 24.318509510826367 30.96673289010981 40.29821713797796 47.3941860273199 33.98070640152281 21.449130194294344 12.46565048886267 10.860190496150324 10.366478950568352 12.76794011174437 15.590729315567263 20.591929634103735 28.380967796373213 37.181273928624925 36.57360568642933 36.64123958733276 24.922254066011007 16.08336349263836 17.42662466188068 12.131550143107155 11.86596530431723 12.298832530751667 15.869148070477996 21.70765172142163 26.834359396089035 37.884237980770784 48.42985308636318 38.637591287216765 31.159518399521843 16.77107832507198 13.70450411873127 11.97470661927982 11.01855961699181 12.279978581811305 15.916502331780052 20.44197289821373 28.614421266899182 35.455850707337945 34.34885591249679 36.61906712736516 35.37274887281405 24.238656657908273 13.481839859301394 12.287021979707609 11.86041105111704 12.969185259112745 17.26094077588639 20.44169950582845 28.998420110747166 36.393185613347036 35.64461566107906 29.78391997392295 27.294325545769514 15.049316536618955 14.832978779497315 12.549438167000002 13.975031621829872 15.237384171016876 17.84710383804734 22.088585532861316 27.41790970460252 37.745268243554364 43.729777604138526 37.304363956035644 31.55311297857166 17.371551959755706 14.786761290483678 11.823929031191048 11.605200272023337 12.686970062782729 18.20628742887002 21.935310623465533 29.713963925351962 39.88903176749503 36.72536748710511 38.02715266885034 30.501811925347972 20.671156722228858 14.24125775140008 12.892431528270745 10.851922570385142 11.892231224591827 14.31398957648531 20.310491412182255 28.805202573862097 38.95304694733916 37.32685908652218 32.92050828252633 26.405894799621983 18.692889759870344 13.650911110701436 12.344499184737186 11.213482312309509 13.916822670267843 16.71311643922109 22.553202728306175 31.063937721456544 41.93092591346605 40.13599487211135 33.599092484334555 22.393579040185575 19.862237594800014 13.447678636957106 12.491321021275992 11.725698134595858 13.752715684550129 16.58207035587728 22.451208129873642 28.402386908434714 35.04927640289517
6.010672696148845;25;12;15;8.756902546089508 11.601831807819527 15.907775376824771 22.813271875723093 30.994888255536 36.01478760066118 41.63597805745421 39.94877846684389 31.62386827796776 23.430308363654248 14.984010183726493 11.538673441519556 9.495666824805477 9.982555036485223 14.777509827174418 19.413699921867128 26.625983095243896 35.50430258843868 39.46303377788183 36.987263891344014 26.40934190632674 18.749517423376776 14.279739248474709 10.287389571200261 9.745562315895011 11.756004861829172 16.159549512379076 22.97547827808092 30.343457655450873 36.722907630680524 41.729613261805014 38.48166447168377 32.14300936563826 22.384029629804576 16.128255872387047 11.721118643381699 11.388518243009123 11.645257319288683 14.533547288366904 20.009983565105355 26.411571573113353 32.27300508218825 38.876310767613255 45.02455314013379 32.032402907069425 19.591682077419957 13.677690063600261 10.13756514372387 8.554794693860917 11.464416019420177 16.98936425607983 23.796559991440056 31.640660645810243 37.83090148905306 39.66487836336904 33.35080359541036 24.07245003554769 18.926997346992202 17.694939374265836 13.155202788142537 10.203119912413326 10.13587213606392 13.78054635432862 20.40632388125918 26.597409878246125 36.09754651337835 45.80719790925145 38.96560814611762 28.389780819301638 18.65192140465407 14.544264269869847 11.50452166977624 10.023677301488767 11.61937752356811 16.77469182985815 22.53429486031205 29.43312379146346 35.51622114635099 35.59188535790943 34.77101560802926 31.055787928203518 23.910079597758692 16.042482893002543 11.570222247737844 9.212591623786953 9.50379704181363 14.232330308695596 20.531326305281006 29.84989799452739 37.51195450691421 37.7463699136106 31.533658241426615 25.52787456548871 17.471637199270308 14.61902932425004 11.333657504363106 11.273038649553062 13.123789665552499 16.35095320892033 21.07858799366697 26.83227216335994 35.802583806422135 41.44091630329363 35.67702852224341 28.25791320871614 20.084454300769544 15.851771115461068 11.691952738694363 9.921107228961294 11.572930519959424 17.732020832310663 23.428548526744564 29.950762233579308 38.37477817468352 38.208886375467834 36.4540407331814 29.16085062735663 22.9728476357959 17.116388433666867 13.048560181638795 9.701702076781116 9.65382533225386 12.858589601230744 19.589497638509428 28.915515051236383 38.82817210643047 39.79798872798244 35.502957902928856 27.572683209295388 21.6773763836844 16.29565031715738 12.01682254747134 9.335638448450371 10.745809872578791 15.030067012523595 21.363672797478028 30.253005953541997 40.42283411248868 41.28023178521386 34.88530172559106 22.95162226105434 20.169868832360017 15.784998569331998 11.991852709615845 10.464029403893514 12.46192897720824 16.421531647069656 21.961566418096233 27.528352127740177 34.38211257731942
5.837340968464841;40;12;15;10.1041221670535 11.389915581867218 13.771030949235053 20.431662630074072 29.526551082592857 36.79641305495966 42.73016728797747 39.269627228977306 30.9821508705537 20.262370639637027 11.988709709749525 11.13721056211711 9.905439482634556 10.600991563446179 15.004831207755013 19.593862803594387 28.293253056010297 38.12920700858188 40.2269785078464 37.44455822112094 30.430780533394888 19.343195738439732 14.297876301827005 11.447354984492906 10.74120742990513 11.17976796838264 14.056852899921974 20.498727469790367 29.148322505681577 37.74892967638833 42.13889178821181 37.65948648861181 31.90648242466741 18.434083027106563 13.578497230834644 10.800692212598461 11.646475096728297 11.63521673079821 14.71728249726181 20.219077436581486 27.49345409604149 33.73624703112131 40.80836867899471 43.88597848709973 30.5616389548051 20.340083606477748 13.428054464037475 10.952055737947534 9.802575091391077 11.585781987196324 15.560897818554285 22.04099230636324 31.35540708126753 40.06026180617439 39.710594970531126 34.89425009462628 24.671461274111266 17.771512868646433 17.03917702372062 12.988012881378971 11.598996627527743 10.962714665758787 13.11716209409899 18.62326853259096 25.165465282041197 36.075402405213666 44.26605195632944 35.283415041991645 29.56125368936429 20.325356194947783 14.118368211738565 11.977593102834026 10.856823382032367 11.83256013005075 15.614503652399723 21.04430408227077 29.930477868677446 37.33811880253811 37.36460208663508 37.863701824857294 34.679797732398676 24.208330185669354 14.169015332436649 11.198526061227422 9.88902108857342 10.3407544147209 14.449579373768165 20.19461860622144 29.412457352265136 37.1174877724032 38.152913166078754 34.16107922160024 30.348486050211232 16.490194988436173 14.653334330737698 11.791189449250211 12.03738030475848 13.027342232369426 15.686043351676549 20.348044387711322 26.084511756321703 35.1442238906953 41.22037032856747 35.146446132009714 30.009259428471 20.176584834436913 15.166842185185587 11.892969721553545 10.8375914090531 11.672415646312267 16.688001467136374 21.678131587958553 29.926858288504935 39.37058664908188 37.61029611054936 37.45433014252663 30.096848273328103 21.40960727474468 15.134003371934538 12.401038755141695 10.481788433206907 10.953643438910932 13.23160347153392 19.718253638724697 29.737133423722174 39.155057593386324 38.968711993494196 35.41822921495182 30.642127023117137 22.529717141085573 15.145117278678331 11.879447261647588 10.064374289448544 11.285933319537266 14.654741120196764 20.811612060166023 30.331736885116054 40.0446791152564 39.30595533911603 34.028554119204216 25.800602539767343 20.519073938641476 14.998190810485898 12.673691293373281 11.409782095197503 12.598460459373724 15.182041451721256 20.565245524736103 27.189274352965267 35.05209673224256
6.114695585129671;55;12;15;8.207541811723232 10.385712273633473 14.74961232814619 21.445176974155352 29.95503120504722 35.64166842366146 41.276475846370175 40.719608634659934 33.039039070010695 25.161513074466594 15.307336169330302 10.449160908391889 8.576616131506679 9.205056794640074 14.168234307770556 19.126717572389357 26.176024288189755 35.54152175524053 39.75175638802442 36.86367433216759 26.96413538616642 19.269011220976427 13.924318346924979 10.21910357882972 8.99448930445514 10.51235707709575 14.611132672094495 21.200277813287162 29.04616623446812 36.27729964404915 41.43047068904719 38.81907927820896 33.07602939726043 24.236442517108976 16.018599874258896 11.019939404733812 10.118550534566975 10.789432496582519 13.973730139067358 19.867754045596314 26.429980668765076 32.27658956012858 39.227276385847325 45.56719179703683 32.98117439034124 20.864527325097534 12.94962994057163 9.59098558621525 7.6916429552292715 10.211173174527845 16.055628678955443 23.06331726853252 30.95169765900531 37.87424734545688 39.441335198048705 33.44706201657399 25.709793065107363 19.61564036344992 17.318442957504253 13.296776840969837 10.068255786276582 9.653910387662613 12.496279886614907 19.234523952898584 25.996084845671206 36.08606268311077 46.49013073759293 39.378660162484195 28.359494005834655 19.074893176827253 13.23417403499847 10.627499149088505 9.44994211712827 11.17612813692233 16.54049108681242 22.611127655556828 29.147991734647537 35.277192496294106 34.80606383677912 32.96924098148453 31.471906664585706 25.78918334485999 17.072413437255445 11.263149270678149 8.779322071768252 8.362519516901402 12.09050753316895 18.414532433865933 27.972326848010603 37.847859917455494 37.75745816872318 30.968188957702516 26.64476380202672 18.7975848675308 14.031448334421738 11.365348069595983 10.442961314153854 11.873269268783206 14.838202261663463 19.362266713681002 25.48296514090612 35.2392820855354 41.48218572765518 35.508778123042134 28.95342141173753 21.26682354499289 15.099539730359126 11.310199762663228 9.335496689435782 10.809597378886368 17.11184471972782 23.057208467568113 29.801197022586734 39.186866966174286 38.43929067709428 35.29197323621527 29.78641088232216 24.680029931500258 17.930806123254452 12.777831515748062 9.248885981779345 8.676303770737507 11.442055897518976 18.072704871729456 27.57636826863178 39.37494607630196 40.54682734733521 34.72001476483763 27.67560835440226 22.891033825366176 16.897482138209455 12.056891745509366 9.151203220040566 9.795983972255607 13.349423438816556 19.478662677909945 28.91378592877986 41.32594839237595 42.39757363803416 33.74998887997841 23.744708130068876 20.158506509819233 16.302036898286087 11.931933199277774 10.117155895880588 11.907901671090272 16.064695855545743 21.744876963609826 27.52930832604573 34.311822382499756
5.986794907270845;70;12;15;10.64316554532939 13.25838714973323 16.130073762988424 22.911969226980574 30.327005509243406 35.780341141990164 40.326325925442205 38.88381994512892 31.960154412719653 22.439361885934836 12.111250252217982 10.35627230151793 9.392707927552273 10.634614101535028 14.552680030035958 19.389076043511523 27.690091062871325 36.788255836234434 39.371137484109994 36.349587290888664 26.79418522887592 18.713770187676406 14.725421489828008 12.179398535831494 11.8202527474127 13.300421397730632 16.441849764117848 22.895913668492494 29.72589800925159 36.691757099788944 40.24110040587119 37.61187436091179 32.450294981219834 20.906127520493122 13.798225728576671 10.392813725221464 11.53059182760212 11.913948705626892 13.994645669105603 19.48410116124822 26.92888565710296 33.22124530667681 39.67365932175845 43.158376718218264 31.898925319103952 18.084198152598006 12.459263907733963 10.666031949425554 9.746165804271405 12.542606732582655 17.080177780997374 24.25240112255672 31.955786884984455 38.5118928939376 38.62229481449966 33.38218904124041 24.569820482552647 18.511367341688885 18.307333929512122 14.068803184851843 11.912645872778524 11.723527196543863 14.105137370376907 19.520938591275073 25.479269618404366 35.66395429084073 43.83361135702462 37.674419788234395 28.084405912723845 16.908749954740514 13.652731026431592 12.243839483692033 11.237843261445198 12.51655952621628 16.462569531707373 22.279653142405483 29.727684172835414 36.078834323452575 35.66537593124418 35.06202256343551 32.59591389126341 24.67736789971915 14.84737677007909 11.381535598976216 10.309761843874142 11.10294808333383 14.74990394669049 20.487995299821574 29.680829443299054 37.29508076570883 36.9753075310278 31.636974236387996 27.363743585127988 17.283637069165046 15.408063374668117 13.080337827409204 13.459080111987635 14.636026230099285 16.63919046319868 20.56713969518818 26.41555635150916 35.60083372694464 40.61777300883662 35.56569909270018 29.165159426357214 19.064496165671528 15.142142364500737 12.047248082259742 11.127700557366955 12.726890076333971 17.65093535100857 22.40208753437373 29.460446828961135 38.84991118883919 37.73318092491039 36.543676983234924 29.91175082780729 22.450611054405048 15.683670575789497 12.157446139857967 9.697038880244058 10.292586051649346 12.714224920944817 19.241802940776275 29.140151786097828 39.008688035608344 39.2930471682733 34.74775497886395 28.17239202034326 22.146094886810275 16.107071000221083 12.402805342480647 10.316685084129508 12.041296903818703 14.816325470497718 20.433536549238354 29.885571988070225 40.22415952858485 39.95838702786133 33.856293289975916 22.79838435244897 20.502175589059515 16.050148680477182 13.016491592367013 11.760731512401332 13.550372917383076 15.77600024712022 20.610117653196994 26.878814010499816 34.074485390016974
5.935415891371116;85;12;15;9.267033835818468 11.226440436328815 15.172458542335026 22.022627257262478 30.048198604649873 36.17142996169638 40.98222733483031 39.73137549198405 31.46635106129966 21.679967873479676 12.695645714475587 9.617732137053597 8.633587054341296 9.633109614921892 13.955668690522842 19.098246286873508 25.970740865273633 35.205185667312065 39.76642642090562 37.45568022837986 27.403825608981617 17.565245401904036 13.416880478473212 10.610412462530022 10.0445037258607 11.48054954536628 15.491834176732283 22.567682061560607 29.991803493431657 36.999463267113796 41.436420517402375 38.67407465722861 31.48328586319966 20.75621719380432 13.44460044121174 9.86004554599139 9.961185877600292 10.739939699288945 13.423034169792237 19.00089429616877 25.65796360672331 32.23205360304514 38.93901550506654 44.334298796210234 33.84849789425937 18.540446840881614 12.017116866187346 9.09921006374681 8.410671678942718 10.719080872856535 15.905187937287057 22.72327688254425 30.72589647509545 37.91512659500684 39.537026583153974 33.526756234404324 23.70842128192904 17.31953855217415 15.410464502358087 12.533507828974809 10.693507546624646 10.703179561677189 13.541547406160507 19.544805746509944 25.738658069410157 35.22925769807516 44.36988705930139 40.252196761498894 28.924962952037287 17.11550547751885 12.278286924237207 10.500870546656465 9.944903842210334 11.283639523672626 15.816871396155062 21.72733192290417 28.688766107057557 35.519188635056395 36.66730974515865 34.86370440219694 30.82232838229121 23.306878916221986 15.152259232841919 10.969477245797618 9.159974727829004 9.669921055796072 13.382850214456688 19.70529213949076 28.63014099153127 37.02703742058018 38.11009519324355 32.64004482259088 25.66038414189742 16.80531110196649 13.816378982959208 11.57136577045553 11.40690101198671 12.702245609169104 16.1663195178901 21.19925529201407 27.03317776413623 35.75603149611689 41.580802748804395 36.95861506953846 28.14031161782026 18.95507575752476 13.90254011202652 10.879843695915799 9.911845640008133 11.20354028008632 16.502620503586378 22.521688180516414 29.259555404086306 38.10527943700508 38.99878650596076 36.94476858902773 29.562256128110313 21.62642043084739 15.26491714686473 11.638732354360021 9.474906554640352 9.751660653694053 12.605288518576437 18.712800826033785 27.680685352253334 37.76098324288597 40.06884295185752 35.61889382540331 28.323035274889634 20.500676656240966 14.988838090737646 11.510561953883592 9.742025090959547 10.87917540341845 14.775244383112696 20.719862419469997 29.394915686774112 39.422737765420464 41.40459359349832 35.42034209931213 23.716254480049486 17.817876841975142 14.266982962290461 11.697471889662369 10.732271211642598 12.16893267029725 15.753753532430688 20.940990956241823 26.903036913357013 34.11314644851008
5.941071058881173;100;12;15;10.81605483952237 12.646892764229584 15.614484076154852 21.45117591188345 29.547604321388132 35.63583875294721 40.08456335153254 40.2065638596597 31.865353409234597 21.819170162984314 12.875685063347275 10.111254670616118 9.566954058027749 10.786273295685959 14.35067545937514 18.823228735748526 26.373677363384882 35.66419460612261 38.63621689981817 36.127020237640224 27.126961140409417 18.400449688330887 14.15469564683436 11.742082776510662 11.692024293244584 13.039276991311981 16.078157561588302 21.86653860018783 29.328453660391286 36.468108627772054 40.746699457390854 38.825849958762916 31.889385612465027 20.870464158876384 13.716687293470821 10.315842630557093 10.77534435070406 11.605797009970464 14.091519729418298 19.341996187159136 26.664650904166265 32.97621214978769 38.725279363384075 43.75321914480817 33.87166941775836 19.16844062559759 12.646568743624808 9.99468690796235 9.741061129660341 11.776476213621706 15.93576198151931 22.495214431400782 30.79552850306166 37.45165967270894 37.818669711222796 33.59449004166089 23.922814704471115 17.881714638980753 16.321128462336617 13.269062278574722 11.794838731311492 12.153428284358753 14.377901290691383 19.70613729323488 26.27150759131289 35.41896771191354 43.68924397656699 38.95633035613422 29.130501372418937 17.642480438352717 12.715483876002954 11.147610273444544 11.056837251102598 12.481261531583572 16.39422413555929 22.271716493956536 29.701151610604803 35.62540393938759 35.63442251288717 34.40252587542026 31.362896007495397 23.575943221586968 15.669940202662143 11.940522445476025 10.944076730554942 11.471667330537878 14.230195147918712 19.24593859126618 27.936526958961956 36.37760697268661 36.879131465101224 31.608511726430194 25.844600993920466 17.176310644176645 14.454089335560882 12.670391683547987 12.932075449265001 13.983801779532458 16.401704286229112 20.43958830907546 26.31350268682055 35.13318963901685 40.68493302960556 36.08691728745587 29.18277399648431 19.490329782332097 14.53307138310364 11.568928865490449 11.126818951304797 12.469843855522802 17.118385210643794 22.811561865419428 29.87322747807121 38.187923592424724 37.78829817986853 36.396278660036785 30.081561251211973 22.099583247841366 15.803973350956225 12.24522804699208 10.629071999107518 11.2289839980763 13.422361827037328 18.91579872236112 28.02867943152444 37.82822831906367 38.47906420633045 34.41073979775131 28.18109467375318 20.75380965320655 15.465242885767058 12.194767238141742 11.180044735982552 12.42615237714056 15.242866194623918 20.628354781663162 29.261889027483612 39.04605031151065 39.98231729960984 34.56538538180959 23.63132028369148 18.535955442769378 14.832608855973529 12.26247336863832 11.843691587910634 13.392136104955206 16.37606548083334 21.843566214352187 27.918468885632073 34.09615224283254
6.26667552237343;10;48;15;10.883152756342067 14.531044229195015 17.310560481250167 22.34509239437412 28.423481662369973 34.616338971996356 44.99220508309038 43.99643576118177 33.47185364309686 23.486860337972534 10.694224442212711 10.874050477519587 10.354378131065848 11.708101115584851 15.66607018156386 18.386927903467857 23.936684305202082 34.109076614705515 38.1875374678707 38.0978485644689 28.57009423560153 21.713799337354313 13.97086390680095 11.620153822933718 11.68072137448134 13.834943338484052 18.05200164269163 22.405478359374484 28.31913082660209 37.06459275875949 44.69185958383734 41.17992040631884 34.4752428495611 20.548711698334515 12.87807539035042 10.225620443243264 12.51643801848949 11.987760599394704 14.555885808894454 19.315428522696344 24.29801554509579 30.509820634629335 40.08427038290239 51.07940197367125 31.35178682605209 22.11636118664129 13.048970607738177 10.254285466079052 10.089801806408286 12.89935476852611 16.07499701060589 20.661848892835224 26.922447435190367 35.68827743757252 40.66944889495487 37.115626004011595 28.22565493238198 20.66504454604982 17.555277718049638 12.361712104322947 11.795967403084793 12.00260344326512 15.970634024065326 21.253067013952126 25.262675513731345 37.15938768685821 49.29545793099014 37.23278780444078 30.39824278928911 17.906046898792063 13.188907681468434 11.633973301727384 11.118339062060656 12.582932446932794 16.84239526018302 21.008574566447223 26.551067168769602 34.2660254452294 34.47286669845942 36.45179284023577 33.716844272281605 24.327558798779105 14.328365290650508 11.609608302334134 11.030673937352846 12.194433766935994 17.357270751600232 21.631627374461836 29.053989306944665 36.502557418403086 35.888299407157874 32.260139439049894 29.61647490093312 17.09595488427822 15.396241347894305 12.391082547017048 13.621247699377186 15.059147861802177 17.595838347338237 21.822618957296392 27.25778918488793 38.24679138588313 43.30233502266237 35.76256591164653 31.004651401383637 18.450863244176364 14.316782904115643 11.25260104990686 11.556043646107218 13.424858810822878 19.09621305757854 21.328679247205223 28.393048027066456 39.251980256789736 36.58280922169081 38.97151342163965 30.18945606234459 22.22620687183182 14.468733716810872 11.91294154158038 10.72095074176326 11.836025800435992 15.08727960072594 20.94811198407469 27.64943626509446 38.40142346908287 37.50665541994028 35.179762200609886 29.21802878836972 22.38127908301972 14.487419580062507 11.895247316387945 11.085135050586308 13.792096338803006 17.240848798218614 22.090018648994523 30.362644400554057 41.58945274886604 40.24631038717881 34.08170767428882 23.881656493431727 20.43071959510559 14.031341002596406 12.334628707064219 11.895603739053197 14.534843370786005 17.166722334447 21.758359933504572 27.07575980946858 34.96287360846013
5.978322437911074;25;48;15;8.421277953405696 11.689001451019202 16.024210156021994 22.2075597391681 29.775797182386988 36.20510920339107 42.85535399871826 41.48974755851913 32.64633487258108 23.484105403408652 14.78750113753125 11.481666066366902 9.219717376920302 10.178102821552967 15.055138106818085 19.166394232965555 26.158763271795472 35.462254164539814 39.695781828549485 37.60381569845386 27.83989152632382 19.864332590522764 14.427741735092164 10.229997421579437 9.284675407662629 11.79543141900106 16.30089877591181 22.212868614264465 29.394890710185827 37.26147847890778 42.877992238305225 39.72493153220658 33.05758924963408 22.521344330525668 15.893396962487866 11.615748492794626 11.050651157723097 11.54386587171108 14.53113873520474 19.531175954778657 25.822861911511747 31.67488397210378 38.68876494139761 44.80790756343761 32.47524254265875 20.363350648550856 14.116284354224103 10.131789476443751 8.128792653990155 11.081129345859773 16.36223317622407 22.50334228575869 30.096975181398307 37.63376735310777 40.86245446836098 36.28341958322184 26.118082484865933 19.271906817610144 17.2924241029408 12.769205142188845 10.038525545702596 10.365554141758889 14.091658113218253 20.254258986309356 26.363257400769648 36.394534349114416 45.839078836589636 38.61139422132068 28.16731434744926 18.87627192131463 14.686560618628624 11.371484209798917 9.512162173760245 11.163183513761558 15.879539006247384 21.08732709939493 28.11814422067461 35.34753871967668 36.46863246108311 35.46131990512938 31.97831374248853 23.917943004050098 15.764336180391233 11.301100184012455 8.965600167367716 10.008727800835947 15.226875777778258 21.05691574050799 29.92665577562695 37.60374549398949 38.16745359071805 32.68867964032472 27.618281008902393 18.445271188572285 14.808631331220157 11.112503991002994 10.853691182852874 13.21938586960511 16.752398537206684 21.001133905788606 27.00356970633196 36.52364305925884 41.86554935610922 36.42541486283535 29.264525745154973 20.20551379905701 15.750680061985808 11.546977819602777 9.688513088080906 11.53171644911786 17.497444090354808 22.382225408822467 28.88551209332004 38.184785992901816 38.36359946381877 36.816892507267305 29.871769385349722 23.035252822950504 16.84586160561119 12.805259184899363 9.352486169812833 9.582953925474381 13.04669233786085 19.422162935038106 28.56913702473159 38.83547337072474 39.922017065061155 35.4317192727973 28.116664526579466 22.185810193594023 16.199896828102865 11.814516232622326 8.987849582228954 10.688054549863448 15.064484751179998 21.008726788627172 30.178723554854333 40.65245131406269 41.256047697324945 34.93895278731259 23.805685390482772 20.45353672106811 15.667218429582032 11.846726580908696 9.989225810686033 12.127357451489948 15.904092342617158 21.183658425194626 27.106451986212992 34.70363889848087
5.729095081267454;40;48;15;10.716101233378456 12.378919623565295 14.66454611870585 20.20892242831495 28.21261175295392 36.50090626340459 43.51434170436684 39.90245837130541 31.474380021868825 22.35961324276854 12.849479896936073 11.424169960135378 10.259275383392591 10.982509624538851 14.810183929951373 18.503712017379605 26.71642028372985 37.06134310211076 40.59572475676751 36.43107577281795 27.656336553890323 21.050593625978774 15.16734239199421 12.06065443478232 11.392580651341493 12.156209461216408 14.874137496818896 19.99763871758488 27.718744272455897 37.61720720003205 43.09778756529699 38.191714633500595 32.031565853840426 21.105624475442298 14.32229395456853 11.04005028360353 11.901027033925622 11.711454728844275 14.381271104981046 19.18168125508168 26.209738463355894 33.623074059345484 41.80949379148309 43.94684710779262 30.050012444993687 19.871834005044775 14.566168062752658 11.486152401657186 10.252589758247394 11.80607144561037 15.026875409566559 20.287803219418716 28.48818013910702 38.23471486792599 41.21194849301502 35.68621315630294 27.182963714165805 20.39339478408572 17.181744739735898 12.314864800258778 11.576905172711335 11.750160340170538 14.560755568567057 19.805940027284695 26.08709008277991 37.29051882561077 45.241463333657194 35.581883921908705 27.767149575594694 19.230313710165284 14.799326539519694 12.3096075659463 11.283481563627799 11.997324607578989 15.363642174882203 19.848317197088818 27.549911648730415 36.29046568128986 38.036707226433656 36.15874455501943 31.527676011010946 23.28330013088733 14.563350433576964 11.830356789938278 10.725271016493597 11.039014767754104 14.726114083870716 19.475456899051448 28.445079323285565 37.86517746869488 38.64108800957663 33.95161880181496 29.383699173505473 19.13208450117741 15.679587916169329 12.363220825263932 12.494268258693594 13.063552209995992 15.25416371304375 18.987337746595017 26.0225522662594 37.25410160980573 42.26429316260326 35.30421176447481 29.61072556032714 20.59117189841861 15.637181719519361 12.06450352954988 11.47936687015885 12.307115307461236 16.67398015050765 20.071034784909898 27.47686390355553 39.04864112626299 38.60611403554869 37.396649074533215 30.118166128950612 22.655270568896245 15.107235219722538 11.973973522661515 10.41250877764839 11.075872111547294 13.764403377781544 19.504153311383323 28.555069467662392 39.66737332202581 39.113191431077645 34.675514585029305 28.485935958897485 22.27642972805053 14.861697805767232 11.848570798184209 10.695002091664172 11.960586071340883 14.895742920728143 20.087681343480227 29.27592587009965 41.327116216638984 40.00644063363536 33.79435675137312 24.701424235734205 21.378633436339136 14.483908681801182 12.18091873250223 11.626763843271133 13.134628829825159 15.782999092183363 20.587041310750653 27.299288123844526 36.26603992803321
