rmse;hl;T;RS
0.0133236643609213;10;13;15
0.0127365393086095;25;13;15
0.0148945226830704;40;13;15
0.0138613423121445;55;13;15
0.0122658800441881;70;13;15
0.0124462280199212;85;13;15
0.0134193107671947;100;13;15
0.0154826848027689;10;26;15
0.0151070624896055;25;26;15
0.0159244328673864;40;26;15
0.0152009254343207;55;26;15
0.0143657939040199;70;26;15
0.0165934342777506;85;26;15
0.0147558390979593;100;26;15
0.0203833506998875;10;39;15
0.0179488363660484;25;39;15
0.0176747631239676;40;39;15
0.0171304439841242;55;39;15
0.0157846014880479;70;39;15
0.0163129959409333;85;39;15
0.0143808859070251;100;39;15
0.0218044686444293;10;52;15
0.0246933195614601;25;52;15
0.0169122061539956;40;52;15
0.0182825715925915;55;52;15
0.0167339477357583;70;52;15
0.0248927292182867;85;52;15
0.020833268439311;100;52;15
0.021177278415021;10;65;15
0.0240764842774279;25;65;15
0.0166821869479749;40;65;15
0.0170508046585849;55;65;15
0.0156937088984351;70;65;15
0.0165415541869479;85;65;15
0.0174092326938175;100;65;15
0.0218449115711625;10;78;15
0.0265872513665178;25;78;15
0.016403252386891;40;78;15
0.0177068433238511;55;78;15
0.0199318303531273;70;78;15
0.0260241722168459;85;78;15
0.0193290786951275;100;78;15
0.0219598158578265;10;91;15
0.027696282100047;25;91;15
0.0178166811843145;40;91;15
0.018071416324456;55;91;15
0.0164294444078384;70;91;15
0.020032858987108;85;91;15
0.0210714828866344;100;91;15
0.0198859556811215;10;104;15
0.0259154183661196;25;104;15
0.0172212415525921;40;104;15
0.0233385038795401;55;104;15
0.0240267269528203;70;104;15
0.0245392633174508;85;104;15
0.0271461830766259;100;104;15
0.0553390407755824;10;117;15
0.0351669569933308;25;117;15
0.0178666181000895;40;117;15
0.0365299853616114;55;117;15
0.0177974473324455;70;117;15
0.0299736907871897;85;117;15
0.0291037829132936;100;117;15
0.0212902770302585;10;130;15
0.0356879741558021;25;130;15
0.0190004854455204;40;130;15
0.0187991883199808;55;130;15
0.0177721045490245;70;130;15
0.0305005916737477;85;130;15
0.0268922316650217;100;130;15
0.05021101167084852;10;143;15
0.1186639707772061;25;143;15
0.03851995253953772;40;143;15
0.03421028285660599;55;143;15
0.03785512145001459;70;143;15
0.03637026029227629;85;143;15
0.035516237679799376;100;143;15
