rmse;hl;T;RS
0.0110157404279966;10;12;15
0.01303975539148;25;12;15
0.0106952345967882;40;12;15
0.0115919047061552;55;12;15
0.010614204302008;70;12;15
0.0114961043934975;85;12;15
0.0120110245233761;100;12;15
0.0166722149528393;10;24;15
0.0173909667282984;25;24;15
0.0147786462485801;40;24;15
0.0159292364525594;55;24;15
0.0120919728664879;70;24;15
0.0175840086975733;85;24;15
0.0116575556562949;100;24;15
0.0147602496194426;10;36;15
0.021676736361248;25;36;15
0.0227974163235918;40;36;15
0.0151711588201285;55;36;15
0.015996281891459;70;36;15
0.0153305247885466;85;36;15
0.0225510826847272;100;36;15
0.0169595148946302;10;48;15
0.0156871816326495;25;48;15
0.0166209214666513;40;48;15
0.016865331042332;55;48;15
0.0256917851180755;70;48;15
0.0169871094506983;85;48;15
0.0155259799277355;100;48;15
0.0192125921717794;10;60;15
0.0300464877847677;25;60;15
0.0193377050340311;40;60;15
0.0175396963243342;55;60;15
0.0178688964495627;70;60;15
0.0174058005026047;85;60;15
0.0183594254766954;100;60;15
0.0207068315588338;10;72;15
0.0201455954592275;25;72;15
0.0198734011798855;40;72;15
0.0194744570183459;55;72;15
0.0189378116043645;70;72;15
0.019476593357665;85;72;15
0.0208280229789694;100;72;15
0.0246805260883695;10;84;15
0.0208664251664818;25;84;15
0.0342694894546914;40;84;15
0.0223292819776959;55;84;15
0.0180499008226164;70;84;15
0.0317160903565638;85;84;15
0.0196839263097953;100;84;15
0.0429963411271605;10;96;15
0.0248450410469251;25;96;15
0.0382874156795445;40;96;15
0.036866294589684;55;96;15
0.0219224881215281;70;96;15
0.0413840372631083;85;96;15
0.0372250722074468;100;96;15
0.0898055873998577;10;108;15
0.0259202284184;25;108;15
0.0379636174836938;40;108;15
0.043555400838751;55;108;15
0.040041297425481;70;108;15
0.0383776336657837;85;108;15
0.0380119346299387;100;108;15
0.0803055201405336;10;120;15
0.0447257738943485;25;120;15
0.0410155946915045;40;120;15
0.0485762336116976;55;120;15
0.0402545231155512;70;120;15
0.0473516563427158;85;120;15
0.0442312295218144;100;120;15
0.0468148211829263;10;132;15
0.0482909582703142;25;132;15
0.0439370524059365;40;132;15
0.0480584133186468;55;132;15
0.0539076595499747;70;132;15
0.0406885750146449;85;132;15
0.0478208229038207;100;132;15
0.053528375701223097;10;144;15
0.04689111148263913;25;144;15
0.0532138835393597;40;144;15
0.04847216073950955;55;144;15
0.04673499523836401;70;144;15
0.0485175082243821;85;144;15
0.04822173469300595;100;144;15
