rmse;hl;T;RS
0.0098799911439056;10;12;15
0.0096902907975766;25;12;15
0.0097351140431103;40;12;15
0.0100966234508266;55;12;15
0.010940259334316;70;12;15
0.0100845344481045;85;12;15
0.009903444103177;100;12;15
0.0113734289807013;10;24;15
0.0117470815528511;25;24;15
0.0117453014496944;40;24;15
0.0118080883584177;55;24;15
0.0124658564681649;70;24;15
0.0116936799767665;85;24;15
0.0126189030595395;100;24;15
0.0109049632647976;10;36;15
0.0114156365588747;25;36;15
0.0130329872650563;40;36;15
0.0116509755986039;55;36;15
0.0113631079153464;70;36;15
0.0117795308024165;85;36;15
0.0113004836301247;100;36;15
0.0099097632941602;10;48;15
0.012003995670403;25;48;15
0.0151746997355606;40;48;15
0.0146889687865237;55;48;15
0.0142181590859725;70;48;15
0.0115989584053535;85;48;15
0.0116203771185524;100;48;15
0.010169678355287;10;60;15
0.0115820442120188;25;60;15
0.0126908926318546;40;60;15
0.012539253696194;55;60;15
0.0141608860443743;70;60;15
0.0110694836399161;85;60;15
0.0110506087324535;100;60;15
0.0098986888784351;10;72;15
0.0113877008254952;25;72;15
0.0124531082124963;40;72;15
0.0150929183503989;55;72;15
0.0167761964898694;70;72;15
0.0115669872043182;85;72;15
0.0135455465372683;100;72;15
0.01010482673958;10;84;15
0.011110725554026;25;84;15
0.0130027645407479;40;84;15
0.0139412322036243;55;84;15
0.014434569530663;70;84;15
0.0115855596762894;85;84;15
0.0131414947495466;100;84;15
0.0124842419564245;10;96;15
0.011226197785461;25;96;15
0.0145087211143334;40;96;15
0.027234190547359;55;96;15
0.0294572882565889;70;96;15
0.0118955932919207;85;96;15
0.0147709802685599;100;96;15
0.0325720908745937;10;108;15
0.0116746968343543;25;108;15
0.024723436044614;40;108;15
0.028022558955309;55;108;15
0.0281219630691805;70;108;15
0.0117255843841842;85;108;15
0.0295962471269199;100;108;15
0.040445888140342;10;120;15
0.0108051590517954;25;120;15
0.0256996628766574;40;120;15
0.0270944619133426;55;120;15
0.0276779322505026;70;120;15
0.0246513567332859;85;120;15
0.0279457342339013;100;120;15
0.0238945359193213;10;132;15
0.0107116237201788;25;132;15
0.0255140472906627;40;132;15
0.0270426348175964;55;132;15
0.0290559704055783;70;132;15
0.025700781898767;85;132;15
0.0341197082952512;100;132;15
0.03489590426509464;10;144;15
0.039096191491572986;25;144;15
0.03860532941323749;40;144;15
0.03284835689545305;55;144;15
0.04123347286319616;70;144;15
0.044126882816251;85;144;15
0.034953919278346526;100;144;15
