rmse;hl;T;RS
0.013733616478806;10;12;15
0.0121194646673472;25;12;15
0.0146825317720546;40;12;15
0.0138535493794947;55;12;15
0.0114722636555354;70;12;15
0.0114842459955565;85;12;15
0.0117305536055347;100;12;15
0.0163390224493247;10;24;15
0.0160549162560308;25;24;15
0.0165872390758296;40;24;15
0.0158116126574575;55;24;15
0.0156903687594534;70;24;15
0.0166487810265128;85;24;15
0.0156206339751844;100;24;15
0.0203010620650045;10;36;15
0.019956188972708;25;36;15
0.0160382757005597;40;36;15
0.0174372216752112;55;36;15
0.0164563758321434;70;36;15
0.0170946481652639;85;36;15
0.016700043946362;100;36;15
0.0205061582470684;10;48;15
0.02027868249115;25;48;15
0.0176978257493777;40;48;15
0.0171197474169261;55;48;15
0.0156084305756394;70;48;15
0.0191509586427963;85;48;15
0.0185904874846732;100;48;15
0.0216272296805967;10;60;15
0.0246520693829002;25;60;15
0.0168887742589232;40;60;15
0.0178181504357914;55;60;15
0.0160984587063955;70;60;15
0.016839818965099;85;60;15
0.0165864292687348;100;60;15
0.0216711511703922;10;72;15
0.0270308995937393;25;72;15
0.016752807776907;40;72;15
0.0174760485183162;55;72;15
0.0186702139156241;70;72;15
0.0245313441583069;85;72;15
0.0236379229668935;100;72;15
0.0195440993922338;10;84;15
0.0256469767842581;25;84;15
0.017497841759824;40;84;15
0.0178196472308126;55;84;15
0.0173310040863035;70;84;15
0.0254429662317372;85;84;15
0.0202802927633482;100;84;15
0.0217994012677874;10;96;15
0.0279202395660719;25;96;15
0.0175059270706249;40;96;15
0.018534231262002;55;96;15
0.0222843370110546;70;96;15
0.0264902271936105;85;96;15
0.018464371202325;100;96;15
0.0206494947493522;10;108;15
0.0270138537536529;25;108;15
0.0183686327906776;40;108;15
0.0191843032973834;55;108;15
0.0243327869172178;70;108;15
0.0274208007574149;85;108;15
0.0183074673283079;100;108;15
0.0570888813107546;10;120;15
0.033994235343265;25;120;15
0.0202697641605949;40;120;15
0.0191215300331367;55;120;15
0.0310119275480711;70;120;15
0.0189775920425069;85;120;15
0.0241316377591847;100;120;15
0.0240847303013485;10;132;15
0.035385980996656;25;132;15
0.0196401075389578;40;132;15
0.0349275046887304;55;132;15
0.018403775995441;70;132;15
0.0253118801269341;85;132;15
0.0308602594955058;100;132;15
0.05094500301048993;10;144;15
0.1186640711138925;25;144;15
0.039559519498757814;40;144;15
0.040061778705285614;55;144;15
0.03791164369059558;70;144;15
0.036259846421352125;85;144;15
0.03864985168028303;100;144;15
