rmse;hl;T;RS
0.0083616507466074;10;12;15
0.0103535737487799;25;12;15
0.0105343262477872;40;12;15
0.010888150424626;55;12;15
0.0097481104592311;70;12;15
0.0103149631664783;85;12;15
0.0121372273012117;100;12;15
0.0110401225602916;10;36;15
0.0114672159714837;25;36;15
0.0204029712058568;40;36;15
0.0122102492320202;55;36;15
0.011870767650415;70;36;15
0.0110347135249813;85;36;15
0.0116509135649219;100;36;15
0.0163638563989533;10;60;15
0.0133916883468134;25;60;15
0.0153188589982174;40;60;15
0.0111747431908182;55;60;15
0.0114551691566847;70;60;15
0.0113907949302166;85;60;15
0.0127808170661159;100;60;15
0.0209149921159152;10;84;15
0.0306590389733812;25;84;15
0.0312250967825437;40;84;15
0.0367380376701024;55;84;15
0.0338082199322269;70;84;15
0.0307901011744102;85;84;15
0.0315022280720758;100;84;15
0.0178380990592027;10;108;15
0.0209042940474105;25;108;15
0.0355906652488105;40;108;15
0.01792488911062;55;108;15
0.0401739213437803;70;108;15
0.0349384585413008;85;108;15
0.0350622124393389;100;108;15
0.0288628009728559;10;132;15
0.0201863000941357;25;132;15
0.0409629453906864;40;132;15
0.0203658583515923;55;132;15
0.0189379196570808;70;132;15
0.0417369789614656;85;132;15
0.045411376191325;100;132;15
0.022422769670558642;10;156;15
0.02400675163970853;25;156;15
0.025793049278995346;40;156;15
0.02505283965552029;55;156;15
0.022907939020494553;70;156;15
0.01887773875952432;85;156;15
0.021276573957001943;100;156;15
