rmse;hl;T;RS
0.0092395124615712;10;12;15
0.0087453982027891;25;12;15
0.0098977088104429;40;12;15
0.0094162693798219;55;12;15
0.0108955615298296;70;12;15
0.0100039410809929;85;12;15
0.0093110660448223;100;12;15
0.0109671520208306;10;36;15
0.0127621192253724;25;36;15
0.0114594918196029;40;36;15
0.0093213604007929;55;36;15
0.0096163696102223;70;36;15
0.0104030078654941;85;36;15
0.009932093475293;100;36;15
0.0108873716391054;10;60;15
0.0136637897274442;25;60;15
0.0101907940526747;40;60;15
0.0123304296563738;55;60;15
0.0119066504846467;70;60;15
0.0120941546439531;85;60;15
0.0137468921558484;100;60;15
0.010939459352225;10;84;15
0.0115416550703326;25;84;15
0.0161630707946137;40;84;15
0.0125986521578324;55;84;15
0.0135897114110736;70;84;15
0.013347762875492;85;84;15
0.0138995619319086;100;84;15
0.0113554866021651;10;108;15
0.0140508333645144;25;108;15
0.0258220932941218;40;108;15
0.0115104937672877;55;108;15
0.0287379715695825;70;108;15
0.0127286879513954;85;108;15
0.0149555393190896;100;108;15
0.0226940428214592;10;132;15
0.0271439117198467;25;132;15
0.024358562016186;40;132;15
0.0269213296578432;55;132;15
0.0280742661786406;70;132;15
0.0200417788230097;85;132;15
0.0262536982661817;100;132;15
0.025410732279137586;10;156;15
0.020236481099233074;25;156;15
0.020014726110298316;40;156;15
0.020202264594820992;55;156;15
0.028747675742126298;70;156;15
0.03231509997945464;85;156;15
0.023056058669444993;100;156;15
