rmse;hl;T;RS
0.0109538113278452;10;12;15
0.0113371579808267;25;12;15
0.0138169676504301;40;12;15
0.0133679886199023;55;12;15
0.0114119419439279;70;12;15
0.0116097331773934;85;12;15
0.0114544047448404;100;12;15
0.0281694321005515;10;36;15
0.0163176248582544;25;36;15
0.0142406237937842;40;36;15
0.0141593836249301;55;36;15
0.0152997370022855;70;36;15
0.0146641762559256;85;36;15
0.0139987493117431;100;36;15
0.0307874091979211;10;60;15
0.0230055884312325;25;60;15
0.0167330017777218;40;60;15
0.0185296864646142;55;60;15
0.0170140639234486;70;60;15
0.012775444184939;85;60;15
0.0129786139242104;100;60;15
0.0293181757089545;10;84;15
0.0246399500056494;25;84;15
0.0224118722830003;40;84;15
0.0210281812728165;55;84;15
0.0211444155034569;70;84;15
0.0157442647828407;85;84;15
0.0157213563486361;100;84;15
0.0314497648129466;10;108;15
0.0249533981017638;25;108;15
0.0247051713183424;40;108;15
0.021073782392774;55;108;15
0.0196434234056059;70;108;15
0.019637578769519;85;108;15
0.0154416528646228;100;108;15
0.0314438153079232;10;132;15
0.0227709945144443;25;132;15
0.0222055593301259;40;132;15
0.0207225326458598;55;132;15
0.0198665616118145;70;132;15
0.0247997253810865;85;132;15
0.0267218408994482;100;132;15
0.031718334938049916;10;156;15
0.02452276972549413;25;156;15
0.024531453828743253;40;156;15
0.02253497285489963;55;156;15
0.024204135553487494;70;156;15
0.030872915014366748;85;156;15
0.08821572501237859;100;156;15
