rmse;hl;T;RS
0.0107811453753889;10;12;15
0.0087491133119306;25;12;15
0.009665676922739;40;12;15
0.0126253277344659;55;12;15
0.0105991560260091;70;12;15
0.0111932967140239;85;12;15
0.0159489631819708;100;12;15
0.0085932621085016;10;36;15
0.0106227268306036;25;36;15
0.0096733712596061;40;36;15
0.0113127576785494;55;36;15
0.0117050679464301;70;36;15
0.0123246315964083;85;36;15
0.0139464890950647;100;36;15
0.0100729166631852;10;60;15
0.012575247557953;25;60;15
0.0112718369309107;40;60;15
0.0170334816050347;55;60;15
0.012849552035457;70;60;15
0.012603969585139;85;60;15
0.0122992938975231;100;60;15
0.0091896901090668;10;84;15
0.0136248882742433;25;84;15
0.0128086542998178;40;84;15
0.0149957018748915;55;84;15
0.0113424741223373;70;84;15
0.0143220352651022;85;84;15
0.0137681188617078;100;84;15
0.0110068144828247;10;108;15
0.0112663958010853;25;108;15
0.0113909239283851;40;108;15
0.0140820631282294;55;108;15
0.0126584100857751;70;108;15
0.0107324665955779;85;108;15
0.0132398498404153;100;108;15
0.0162686213720812;10;132;15
0.009412452644162;25;132;15
0.0165171763122762;40;132;15
0.0182121697034135;55;132;15
0.0162639280853389;70;132;15
0.0186460797213367;85;132;15
0.0219942769756881;100;132;15
0.016640536189686056;10;156;15
0.018863080566204726;25;156;15
0.021273754351740656;40;156;15
0.023772991699217205;55;156;15
0.019323077699676262;70;156;15
0.02884804447709857;85;156;15
0.028604821437970163;100;156;15
