rmse;hl;T;RS
0.01234893096362;10;13;15
0.0113167249863735;25;13;15
0.0113813185870962;40;13;15
0.0102271058079326;55;13;15
0.0107344033000206;70;13;15
0.0111369323346268;85;13;15
0.0115410079630239;100;13;15
0.0185276885297305;10;26;15
0.0129493361911295;25;26;15
0.0128884126743344;40;26;15
0.0131320946329193;55;26;15
0.0115484279396853;70;26;15
0.0122717887429075;85;26;15
0.0141703654563302;100;26;15
0.0165926718427506;10;39;15
0.0158538446697355;25;39;15
0.0158427172750121;40;39;15
0.0149270467735274;55;39;15
0.0147467772128855;70;39;15
0.0221465619260764;85;39;15
0.0161655090993498;100;39;15
0.0201426396240245;10;52;15
0.0181299271011002;25;52;15
0.0283031556396231;40;52;15
0.0299651247049712;55;52;15
0.0252289599009779;70;52;15
0.0284906490864763;85;52;15
0.0162201371538141;100;52;15
0.0199307170147954;10;65;15
0.0188769640549182;25;65;15
0.0197184044200596;40;65;15
0.0188192469934159;55;65;15
0.0181044570090541;70;65;15
0.0191552509990839;85;65;15
0.0188576103819667;100;65;15
0.0220436715163589;10;78;15
0.0198195965644185;25;78;15
0.0205707897259174;40;78;15
0.0188668316893398;55;78;15
0.0339771262462291;70;78;15
0.0194753048488861;85;78;15
0.019293669507441;100;78;15
0.0236734218713539;10;91;15
0.0389070418337528;25;91;15
0.022553845378929;40;91;15
0.0349639866581564;55;91;15
0.0352841106715215;70;91;15
0.0333237021735777;85;91;15
0.0345999010144617;100;91;15
0.0739264901551731;10;104;15
0.0404398360070211;25;104;15
0.0377761180199928;40;104;15
0.040127625398708;55;104;15
0.0323476414148905;70;104;15
0.0382144919804493;85;104;15
0.0374548801142745;100;104;15
0.0270995178994453;10;117;15
0.0907060103621536;25;117;15
0.0380671507892087;40;117;15
0.0452412719375238;55;117;15
0.0407500081220947;70;117;15
0.0403126919312802;85;117;15
0.0397365814203784;100;117;15
0.0326092596268262;10;130;15
0.0977767774252264;25;130;15
0.0443678718826678;40;130;15
0.0435532344406213;55;130;15
0.0411667476677178;70;130;15
0.0466882178304272;85;130;15
0.0465765313525668;100;130;15
0.08266279412524889;10;143;15
0.08442170333453089;25;143;15
0.0470822324357354;40;143;15
0.0473713799802791;55;143;15
0.04631438344681283;70;143;15
0.0483998293631446;85;143;15
0.049386582401323355;100;143;15
