rmse;hl;T;RS;preds
1.8211770903166755;10;12;15;0.18867110294078407 -0.5951168462747256 -0.5789236060033487 0.6651653835632347 3.0142077114932664 3.947381957433864 3.913662186827494 2.5210037606683113 2.0433613753979882 2.5161423626941484 2.362559927693025 0.5834724810874306 -0.742733210736762 -1.2567003929955434 -1.0661862350882076 -0.09647489913301553 1.2841688649903922 2.1479661992871413 2.3797206924949807 1.3162305783887538 0.1538575177902273 0.3770838968624302 1.4399019369264807 0.43558646329660544 -1.687744346704653 -2.345120223182584 -1.1658569497057103 1.041637224579202 2.0391880015240504 2.184142129067149 2.378834678002832 0.6597044730785797 -0.6814940486623252 -1.2080940513098812 -0.723926669522666 -1.966530843474174 -3.846665277546426 -4.466096639873527 -3.2037431489763346 0.35053289107831115 2.331291823286194 2.759772385506525 1.6677199857611562 -0.15557390787871578 -0.6807785425372 -0.8862767690617568 -1.364136539395527 -3.531861452982561 -5.226219794982646 -5.412791443001786 -4.222738891291497 -2.1934499979576194 -0.8235120925152059 -0.43898389964390455 -0.38515806994845964 -0.7298948367829984 -1.7501138661792743 -1.978332089240289 -2.164962295688507 -3.699971769964143 -4.175789109155811 -3.7060498653240757 -2.283872000277049 -0.2711478787310126 1.0510886448920016 3.021490522974708 2.473068819078711 0.9912693375154714 0.6067682522545621 0.4374326263535218 0.40543523736766496 -0.3246706573235395 -1.6179440471349584 -2.3288829143235947 -1.5270610656730619 1.1508473469189255 2.6342051416651953 3.231634709365423 2.8308027116184804 1.427802956743464 0.7920996896568178 0.45209694498076025 0.5535922563795082 -0.10305545876292135 -0.6552526087935664 -0.3308103813115184 0.2156425013346837 1.4514021534280217 1.8034713042248847 2.02749458713629 1.7645254559133878 0.9230382840324461 -0.5188283176928417 -1.101165011919772 -1.082592330007483 -1.5226393800973015 -2.1688970926378346 -2.2838865275599667 -0.3332925997349249 2.3422885271571396 4.132379866392236 4.370044717260345 3.2726178218988093 2.252235847308575 1.4757624599248005 0.8449628247688394 -0.14852503058198288 -0.02105388896657648 -0.3822395837401259 -0.43382349424351196 0.038033363163567036 1.6933188554509826 3.0525160067802406 3.0469896486395562 2.2580078213666233 0.7336022152599538 0.04924138658292712 0.050376012308505 0.2414968714848897 0.6235003873275573 0.6835391016058788 0.2034955960946204 0.06914451300857029 0.9311010758173209 2.293796456779373 2.529198346360064 1.3316004437151998 0.1460544947911254 -0.6543574585874181 -1.0426756248762845 -1.9789359449590758 -2.94875818249159 -3.1179818584546855 -3.524587926980922 -3.3721311317571807 -2.165604341687128 -0.3849812714176987 0.6946678989153088 0.9701899504709411 -0.4817691440880459 -1.5354037697442493 -1.9082198275023818 -1.4187974632100084 -1.2653884570090728 -2.583617771916878 -3.4769797743740583 -3.1246362526256037 -1.352577165401694 1.0421697917756323 1.3053849882133084
1.7814330300867238;25;12;15;0.27294742808155487 -0.9122505774400711 -0.8732355373274632 0.7261876098716341 3.1067962259228086 3.710981429476965 3.5881417204447996 2.812262903300009 2.2900228078343643 2.1630089760992446 2.0436143298397123 0.8454320410304862 -0.9207517337311187 -1.5169957553326563 -1.3260373171699185 -0.08354614151697817 1.5698916151725868 2.194036706391826 2.0034073036988738 1.1828406173451926 0.4571712724857231 0.5888399002693939 1.2039610402198189 0.35820093764721544 -2.2047808293356614 -3.1907557580483172 -1.1976913186147071 0.9012436155114957 1.832860596629686 2.062926779937256 1.8321718237004447 0.5717762960323101 -0.542728805732129 -1.4452808497339509 -0.7950829486751722 -2.0146923807241226 -4.088033237666203 -4.91873023271891 -2.708293310165534 0.4289316572697282 2.1988606629151715 2.4566655697096977 1.3195056569746746 -0.20623290222255358 -1.0558490249319643 -1.5781851202775057 -1.9502944332100043 -4.759139792753785 -6.035040199620013 -5.569902360327964 -3.8414947629543126 -2.1339529865897275 -0.8352986612326002 -0.06569810144381386 -0.45936856056851344 -0.9841183939239158 -2.4130553394383467 -2.542459133862058 -2.662690521664463 -4.025461384591363 -4.6801604968674395 -3.860780404973071 -1.7225894575567982 -0.23503533732723925 1.9870208280998272 3.068114714254084 2.715608247311671 1.331842465253285 0.8869776739209569 0.3228649693748509 0.7625982226653667 0.02647020758320161 -1.975235980789276 -2.281479491569802 -1.0554737118289683 1.0889082543629038 2.5908428495810525 2.956365762017318 3.0091003980701334 1.6787518845958702 1.0091796801627964 0.4915691826493024 0.5735796635109418 -0.06146433450970713 -0.6140793311314771 0.011651854827299399 0.5355239856926345 1.4183720543457126 1.784874135603761 2.0449553328421968 2.0844150276247153 1.424857812222148 0.002943946844836679 -1.139721768674372 -1.3988796597356448 -1.3409081628398671 -1.733659546671346 -2.15281613927746 -0.60296760712362 1.9748577481530105 4.148775028407873 4.492398286495095 3.250586972706101 2.0442527814590545 1.4422150697579947 0.7170565386120304 -0.21308199193772354 0.1722326211665516 0.4042838004306699 0.03547540068515642 -0.03891926443146937 1.55266165856952 2.8786636689012646 3.2448668176159847 2.5088355886841835 1.11485742626658 0.33168995677402036 0.4086762442333418 0.33210417154441596 0.9206257067075605 1.134283848140413 0.3302336715444681 -0.14059743987601067 1.0555587048222186 2.230241091674455 2.782555957626471 1.550884837079518 -0.12477999944649044 -0.9591952675384461 -1.7920277731799874 -2.512033162567018 -2.825838498520478 -2.795975197348325 -3.3345824486243947 -2.88934459067612 -1.4987833350601347 0.06306211188179321 1.4929970592677684 1.2236131591591806 -0.6824647557162234 -1.9962563601073178 -2.0667261128176317 -1.3616893661700857 -1.2534286092572944 -2.643041847338577 -3.6550213613021185 -3.0957026975601547 -0.8895976011005768 1.092692087382535 2.020340424479858
1.831614378411058;40;12;15;0.3121145179259332 -0.6824920879753203 -0.8337980078838291 1.0627082247387492 3.449915072784615 4.009727963677372 3.8761278812118225 2.927824892888044 2.2002725051426033 2.4177785793588864 2.072081064896367 0.2999870822402951 -0.830547790421251 -1.3917861522295372 -1.198693701135997 -0.12171773806701698 1.2073858846090104 1.9091232906105058 1.9467759112107612 1.2450316159823154 0.21461971322269813 0.4882748217162103 1.3351244330661565 0.05061354087249213 -2.1175793908497624 -3.1488764469481594 -1.4148183355829125 1.1124059847157457 1.8804458350686493 2.056932703192958 1.9047811306762819 0.7923319015347888 -0.9232893655017355 -1.168337670471084 -0.6989658021547722 -1.8280855377412146 -3.950092043627053 -4.750597750398444 -2.5821752276997754 1.012330602897806 2.8709992541530895 2.698947700292639 1.7058927429961703 0.1095236949402682 -1.1287863190169642 -1.0067387962011984 -1.5209088362405099 -4.388961859620263 -5.686610657374232 -5.010325799872768 -3.5071587818595056 -1.8727928765045305 -0.785635572039061 -0.25075584184059263 -0.42189352476948605 -1.1576557743186136 -2.460268709387789 -2.6085819341324434 -2.907291625945246 -4.0265594674609435 -4.0424550107568695 -3.3434950115770268 -1.9478475595161697 -0.1495434380442228 1.8000930370005102 2.9524529806410706 2.8833405554057983 1.598313270722457 0.4236078573779674 0.4257401854434831 1.1135514684620607 0.14769053642605318 -1.3773822763341863 -2.0117295638380206 -1.060664070390015 1.577226844685173 2.787721979244486 2.9387877496874504 2.750797519979732 1.6539891573857033 0.8719116834093469 0.8207674104214616 0.7163442524516755 -0.22607114261392977 -0.41230873800887413 -0.05154276423908115 0.4316146741938698 1.2877087295164955 1.5267042495466638 1.6368394752531896 1.9884537873055197 1.1004021807007074 -0.47114812773460485 -1.4854979101836085 -1.7393555894671358 -1.7144037080474381 -2.0547840871964427 -2.3182965687536106 -0.1934467590926806 2.4011163849160186 4.154562578109461 4.492325200783099 3.248037958734436 2.055269254416032 1.4826585761021973 0.6965303115618801 -0.19393941370253917 0.17609931211684215 0.8644328284914241 0.07054592779194929 -0.00451472947118603 1.3627407978918409 2.8867471283669905 2.9356240968591627 2.184059608109547 0.8924691366294791 0.08240863369958128 -0.07242943779616233 0.02373263612512808 0.779752697303585 1.2823739218381942 0.06939772954045001 -0.2088390518481665 0.8546703446052316 2.3551286983005424 2.722776038656201 1.3182092841815645 -0.1125799647877169 -1.1276129039483394 -2.1464277291731504 -3.01772533489769 -3.121244656244738 -3.1623655533171338 -3.452151000444649 -3.3195148106889487 -2.182892107890257 -0.35873803435930063 1.2373201747719136 1.0048595358016534 -0.6623730741442626 -2.046842006649004 -2.1243311327928063 -1.3492514659742676 -1.147401759066087 -2.393890408657024 -3.5540459618894245 -3.170956718855947 -1.4084207897646035 1.0485414281099756 1.929493686342353
1.85456510905686;55;12;15;0.6166562398838953 -0.417892044596252 -0.7959090568460127 0.6691076688027261 2.9501343064748355 3.9436593786277707 3.6656643941285347 3.046832694077729 2.1298228210499275 2.202116271946667 2.2866358541934004 0.5706190931118891 -0.508162259274067 -0.9670725743759703 -1.297946494279473 -0.001129673643760279 1.3771612977913548 1.7934930078161793 1.9836540928423045 1.4814355885526898 0.20951801601718759 0.41459599969776706 1.3289374579672457 0.03490972588584075 -1.8108359618179195 -2.4965968012239195 -1.3482246716270445 0.9475984529936895 1.8658671824808817 2.0486731191425855 1.9534133818459098 0.863868436061799 -0.7734761613544245 -1.3779924222167108 -0.6819468655685138 -1.935950014338552 -3.8897268398976013 -4.587047203063237 -2.8447221691232585 0.5355176580874463 2.6292766486111674 3.047483276727136 1.7689925205275392 -0.007200449200058474 -0.9667077448792031 -1.0055984793750963 -1.8015951122245184 -4.247555084893431 -5.778986803894736 -5.705922658174366 -4.1755728473358875 -2.536951646212586 -1.1915474011842366 0.026945554882419714 -0.16999505364325632 -1.200501149732768 -2.080957608273418 -2.4213020436296375 -2.9008696683010036 -4.022226443240719 -4.578118764935459 -4.090315069444834 -2.422987807511251 -0.527465274126005 1.2663368498581777 2.8008582373809547 2.4640262594088402 1.4709182850180136 0.4552765104256454 0.26109780796098364 0.7141772910441536 -0.17607186663349886 -1.7115774775739192 -2.3897293155789545 -1.705731818740662 0.7724139482946218 2.472403110083173 2.867247920312768 2.696158162440921 1.3922813537579455 0.7720390844890356 0.664655730534705 0.500259043852471 -0.24479572449218595 -0.5525952270857912 -0.2971742923477257 0.1267475860283024 1.2536298205138825 1.6774638986877433 1.8420888658956123 1.788775834310566 1.0594365158834018 -0.42128974393360075 -1.4157864217352536 -1.5817940268389168 -1.6562644734519973 -2.207391546818274 -2.445483529757311 -0.8385142079117212 1.8672161230709396 3.988871577913912 4.163169618823421 2.9953764589216307 2.34104666911642 1.4043363027948008 0.5039124308574534 -0.29891468330608223 -0.01565590820038323 0.010353188745326713 -0.2760048960554298 0.059300509723585096 1.3312079075448275 3.014516229048004 3.0880766986404127 1.8209552636302981 0.7194807976695712 0.0571251988725308 -0.0656254369481395 -0.02311448857268822 0.6730622348380857 1.03559305117371 0.35779013004884425 -0.07366576386252364 0.8417349972938504 2.3907819454271357 2.5943973911558764 1.4128594746589291 0.2191296857394866 -0.7564434463142652 -1.6689571252791788 -2.3859096885323416 -2.888279755814866 -3.232444267515108 -3.533537631852765 -3.1463037699795775 -1.9353755127172059 -0.1100921020655996 1.5502556709399782 1.1014697862293217 -0.49024367950756226 -1.844216662645685 -1.9718258134488051 -1.1117553262835425 -1.1686666310579679 -2.646625443479235 -3.5989199899917805 -3.1590248773093803 -1.5405055418326614 1.0620211741162455 1.9520455707646396
1.838169983500881;70;12;15;0.6008385748056702 -0.645641837666087 -0.9504352410564453 0.7916804951734634 2.7473846568548024 3.8080027121517093 3.9363334345949874 2.9320548782356184 2.1598245058243024 2.302452321145199 2.379949834173985 0.9831476128870098 -0.4051917172716531 -1.2813531921061097 -1.2877561294933364 0.022611257652867613 1.305273562455675 2.048152083913007 2.1547997133587713 1.2892099819284797 0.3075614128578028 0.38082729311517827 1.3179253282185635 0.43010638278913177 -1.8146099102945346 -2.8089688784400804 -1.626596317121506 1.193361365493344 2.097427279676076 2.0627493074603804 2.121294107851078 0.7949116923790261 -0.48177333753053747 -1.2015253980613354 -0.8361334558200304 -1.9232888133300574 -3.791587405735639 -4.891765798434863 -3.0686019763951307 0.8879632826722806 2.9288468947295625 2.9935049854439617 1.725398091448327 -0.25922440534870356 -1.0495164774722747 -0.9044957041467206 -1.6824472800087757 -4.181437376660357 -5.951093471570791 -5.645664686760057 -3.8994274705070433 -1.8987264727646667 -0.7795493144428497 -0.1365205713415553 -0.4389967795029858 -1.3290230482239207 -2.179954002361695 -2.55304218458437 -2.7155003401505207 -3.9963352307029085 -4.260102763423046 -3.71188623867753 -1.6561129104590877 0.17193520500198164 1.7630348368734357 2.799269222208254 2.463118379109414 1.2024521497518679 0.4046440246289865 0.17984134175663533 0.7590587325537715 0.07639480658997672 -1.5567311689589958 -2.2079197708064093 -1.1112887309234531 1.253120317251156 2.6911727583816507 3.0675596821871634 2.7909119908541493 1.4198514409504193 0.9714930627251984 0.7881650424732932 0.579924454325049 -0.053850334675058106 -0.5970371434042608 -0.36489266004470494 0.4668449826920269 1.2889471429437398 1.5608826030426486 1.6660683684826882 1.8681463184750533 1.0568789652609503 -0.3668888884364984 -1.5370811467408798 -1.7672127777044793 -1.8981891130625317 -2.255728010526443 -2.2775893248298487 -0.5414761271121231 2.2012359485550426 4.189193823394536 4.17745937317668 2.9816893621607328 2.1255480557271755 1.5764245492770526 0.7125458921491272 -0.17975425204213955 -0.10084192019058225 0.21918624105094667 0.11336277282058074 0.30879256264358856 1.1114035273115541 2.7794710816107036 3.124453913660016 2.1850279937934944 0.7790821958023426 0.015420804870230481 0.004172793981397159 -0.15652808453207803 0.4314443155926495 1.0291792557657458 0.3928783482411484 0.014236316492526203 0.6187282497721437 2.106832721887271 2.60480102244587 1.5710506527240977 -0.021353813708351217 -0.8013803760539949 -1.8635725448261775 -2.7880292228900014 -3.355029075150107 -3.0870630079010817 -3.498650586575704 -3.2783172335252786 -2.155311986388964 -0.32616271785934803 1.1717423722596298 0.9137301895933766 -0.593128630353407 -1.6440558647009866 -2.001365021422681 -1.3744359336864442 -1.2016190765712813 -2.4654890959923916 -3.405831732340732 -2.9798441716816435 -1.1840334261854468 1.2510667285567099 1.8271050968099978
1.83180977703084;85;12;15;0.5081002196899561 -0.8101191357919314 -0.9781089661847823 0.6745259709163507 3.2459912592669404 4.256010039334064 3.9767390501909623 2.9054438912472893 2.020669609715447 2.201434388244376 2.4788273142144646 0.9257846144499203 -0.5510081963099838 -1.5318320051020493 -1.3686644089258062 -0.5021865662821202 1.1401763087871921 1.9284838155308996 2.159674740021032 1.379927921475172 0.3463154860582117 0.3597279123359114 1.436832337022647 0.41378430648549136 -1.7942965753337334 -2.775967384626196 -1.4333880970620378 1.1761071468301474 2.057419891350997 2.0725013077403442 1.9500809429573362 0.8320723323155377 -0.8845036168339347 -1.467879461086858 -0.6884794252584714 -1.8038657115679035 -3.758544277028445 -4.624924172836792 -2.5944698020218637 0.8977290614061451 2.732403883085253 2.3880237086283014 1.1781545202437578 0.05658427287220559 -1.225793973003611 -1.2026940955071574 -1.7458701023777992 -3.975003787811474 -5.533382268732041 -5.498343061398857 -3.5227002787964996 -1.8261808162552193 -0.7580228015926551 0.02114758709714157 -0.30384072394508177 -1.0102977558672188 -1.9917828555636257 -2.4145938835353453 -2.746917910829015 -3.681178557906538 -4.178212020321122 -3.6987080461161455 -1.9411584196788927 -0.005181989946841995 1.6476708376773244 3.004664934040472 2.758000656053834 1.5077283232090688 0.5560966401417987 0.6257803470336469 0.7291595624717354 -0.135527287092814 -1.476047538231432 -2.1439980785466917 -1.1613862907122803 1.7234295697301385 2.964160473014338 3.042393336137182 2.879646432102326 1.543000116834732 0.8925926934171774 0.6642038871062377 0.7305252019488582 0.06827581518742472 -0.577890783582544 -0.08108416019773859 0.5548831627207989 1.2950096626601328 1.4636733642847997 1.5897456184147571 1.7699872649928623 0.9629922059657573 -0.24410097965153915 -1.2402153714979445 -1.6741607381138148 -1.4741239462542246 -2.1133136114752062 -2.324665808835102 -0.2732258605306664 2.4372598155167164 4.5379717208987245 4.492714292339996 3.4189725592340947 2.5928482136868456 1.5869142959039269 0.782511383399829 -0.23413286731745617 -0.21819022267640176 0.05097020813298102 0.20732928240601517 0.2639537669464519 1.3239811084738093 2.891387472015526 2.9817492684820412 2.004326715965152 0.7766326263240491 0.21644009784072657 0.016492641282787174 -0.09872615996705342 0.5795554313857902 1.045910192712315 0.2877871224644232 -0.19619089918528196 0.7621334244949165 2.337179716075974 2.614525016520622 1.345796294909808 -0.06629388852994961 -0.8463036022227254 -1.7241932995440226 -2.8086660519858673 -3.0410911964607523 -3.1608145786584636 -3.430571844914605 -3.142789964703243 -2.079365597784652 -0.4061300749120449 0.9348556296224126 0.8842046851905007 -0.5965021799549783 -1.7702933105119516 -2.1136624160310236 -1.532085858138593 -1.224886691767398 -2.597206023247617 -3.3755679574106336 -2.982102639994964 -1.1792698252808198 1.3039608651900085 1.5126126353511322
1.826771190445653;100;12;15;0.6444852721502239 -0.4784608549352497 -0.7431384770004121 1.0825493481218385 3.135703122675275 3.9729682467962157 3.7755448682036974 2.592511540161093 1.6908322938192812 1.8054130178642875 2.1521422689455383 0.9619944661843687 -0.3021092253312944 -1.2536429241217746 -1.1574475998520675 -0.0374786671698097 1.3274681056713582 2.0438216057114387 2.2229563332375712 1.2743885589736104 0.11340682268746768 0.13054779968266622 1.2444566650635598 0.6009655387653928 -1.5000184536397072 -2.6532888235983494 -1.1066826836438666 0.9595053585340118 1.7756481128248836 2.099786540374997 1.9539134498630302 0.8612690258973332 -0.8280118060744703 -1.355279988853318 -0.7037413843236611 -1.7652241873686525 -4.080175025968597 -4.689151537100986 -2.888096442471663 0.558552013044969 2.6196086669468386 2.6552765911221523 1.4323091102322691 -0.006756271908646061 -1.3227322854233434 -1.2387198101864845 -1.9428687451522426 -4.424116686153572 -6.208909910332169 -5.748067953341132 -3.7580090140475564 -2.1502326791710424 -0.9966686184721867 -0.10455768465262687 -0.3941005111788441 -1.343245108434101 -2.3450490844260306 -2.560643997226778 -2.753044530309208 -3.9626538001421756 -4.662885011460179 -4.093331053191097 -2.1189651738274247 -0.33541496837452306 1.4898985545639036 2.869088242503357 2.578825341995015 1.2967354140112195 0.5730092804491859 0.3243222655235752 0.754131961806481 -0.04598424155205388 -1.6431355538398889 -2.4973041451127664 -1.1673463706192362 1.1326999250050234 2.5981885626998675 3.061706235532136 2.7110032483927076 1.3864746340335388 0.6507919101259478 0.7093903266742162 0.7115728637252783 -0.07046016724895753 -0.45306357001662545 -0.2478588095835774 0.5319726266411301 1.2902465110529153 1.6160972110318215 1.8015878494829538 1.9397830463244514 1.0928415536541989 -0.12509260747972967 -1.0113299417833597 -1.348858180974879 -1.5354230895328713 -2.3510263874003625 -2.415296884215897 -0.6004748302110828 2.0830452695880024 4.083094636320348 4.220689571822338 3.20323491962283 2.3472101309842173 1.6938410888069872 0.5961818692431273 -0.2716932883450732 -0.30758593610819446 -0.07046170234844105 -0.2855150807252876 0.08938397598690834 1.6015995817436233 2.9050410212364914 3.027472768220548 2.2753300337045044 1.1738477799220075 0.3869269547507823 0.15071779004901215 0.11578192112008492 0.5964893384372418 1.0054121716157218 0.07916377036447017 -0.1364630987145502 1.020699066687156 2.1162484979388925 2.5328412497588175 1.6537113418206364 0.3418144620481686 -0.5675562317693087 -1.6476968211442975 -2.4157734390019043 -2.857364799172147 -3.153833395504809 -3.419873774055381 -3.104327111107294 -2.0234551778734837 -0.11018256997113775 1.3849341429810977 1.2094044281054912 -0.31744924982143885 -1.555951937484579 -1.957674742229375 -1.480558184694335 -1.48115919486286 -2.7629105023654605 -3.839954571433478 -3.1084980887283793 -1.1443099938233692 1.0171210118812186 1.7978465499514515
1.9371564025572272;10;24;15;0.059020794004889174 -0.52015894941345 -0.31611824368632246 1.3979820392936368 2.8471137052526787 3.53728574662821 3.689117718920707 2.7100890779295437 1.835063501829993 1.9752959628933802 1.7968735215276026 0.9319772806493554 -0.8063341046458742 -1.7242415241326758 -1.5179231051865076 0.31093889381171 1.5952851559461292 1.9065643920958246 2.1366513928500495 1.2554430350940793 -0.07768108801219752 0.15451781649612187 0.7698620138897929 0.037110131869305577 -1.8126846708934914 -2.671484170569298 -1.9666871989727885 0.7845355431139325 2.1849769236545793 2.513367501891151 2.691922485992823 1.3918331047087567 -0.1749430068913469 -0.34981899403567723 0.27552208944703016 -1.7010989633822902 -3.838145100998363 -4.2730715833914585 -3.0466708712274007 0.02003061501562421 1.7624911870075635 3.018640479738469 2.623516655817381 0.5824583793920347 -0.5077601006508347 -0.7068669217550163 -0.43336682086788914 -2.867009417371166 -4.774535717329999 -4.977975487771504 -4.010294302162546 -1.2462323624101432 0.10654852237539658 0.6390552883039442 -0.12035685365414808 -1.3648853684118798 -2.187423122502405 -2.5024369187224558 -2.505558936657434 -3.404525475004606 -4.192774947499546 -4.112454948142323 -1.9802577779387418 0.3720002464362138 1.5349168071348092 2.123585075343708 1.6597702671577508 0.35416815642109784 -0.2989808049082262 -0.2547398368562948 0.7552186624750123 0.6085830768171441 -1.085330273539974 -2.1144500343904236 -1.291643151151421 0.8534564927697236 2.665049109317164 3.6875388878226283 3.057274964944966 1.2549161589981734 0.5208521413337817 0.4917912478941018 0.7751341445794253 -0.3013615569999169 -1.4722547192636046 -1.3998747037325745 0.3370795412948678 2.265755056604007 2.824814176208903 2.316711822806197 1.6966093599146406 0.48537176138561344 -0.486749381227104 -0.581155153913531 -1.2573643048014418 -2.3902043727069286 -3.143074519729457 -2.9739269247944233 -0.9738956797242728 1.8465966668082534 3.4349921086151283 3.9653517571050876 3.3977783018184557 2.353502690974434 1.3415965622544943 0.8516722578724596 0.6516852631424568 -0.320300715832809 -0.8438070062822048 -0.6074318636289601 0.887799963063814 2.2897493354775924 2.815768022159754 2.7095487229113435 1.8623316611630731 0.6678485876946304 -0.07656024074052054 -0.2711466057216848 -0.7262324638298198 -0.5106725962270375 -0.032842329756511676 0.38773437963766477 0.9755571075627488 1.656840698279975 2.2024009767386845 2.2217604532984554 1.6279041478984606 0.8194914057775963 -0.02199198451681255 -0.7783181646570638 -1.865996055054702 -3.0525704457498355 -3.760881522154286 -3.9269151865077183 -3.0123664149250624 -1.5324352617576233 -0.4224332432830224 0.47287129652547916 0.4696465766909079 -0.34528022904321 -1.0781546943736742 -1.2719568856089136 -0.6070775177384219 -1.0071785834825027 -1.974479813248563 -2.3199439925895873 -2.3490834756345333 -1.1179615462881736 0.231062837736832 1.1537080235271968
1.907261687534836;25;24;15;0.25247773762213915 -0.2102604416455567 0.0417063320473271 1.557593296705417 3.097870483579489 3.679930785016483 3.8586088766084434 2.5843822523595663 1.7858932918950172 1.9852207929103178 2.45759202096873 1.109309876264733 -0.9457445760980108 -1.8411277429532293 -1.295512650210523 0.7203890523835056 2.486016072771452 2.6972984792670234 1.932493645147666 0.45913938234795254 -0.30819641896377614 0.0693187655206756 1.1257128261021396 -0.19226080113803176 -2.355346831293112 -3.0189785751394584 -1.634117855293361 0.3892421468620913 2.374299170416586 2.7907134013990125 2.424537210528881 0.5262296697074658 -0.8894036543853415 -0.9414704098384719 -0.44079104870906893 -2.1677975121102224 -4.154753603491638 -4.5165380619466635 -3.257444673055065 -0.7507862677444241 1.79649012107123 3.1030571728783554 2.160405147843582 0.6237093106231197 -0.5291050973474654 -0.9367589274333828 -1.1123397124479044 -3.209945849484589 -5.033113265903599 -5.415058897263303 -4.046178787689389 -1.6356562496245564 0.08510280817606648 0.4225847697343753 -0.5287880431419415 -1.4493723017134998 -2.090037908925713 -2.15003978081643 -2.11586621982615 -3.106514590429864 -4.253416019838622 -3.9544178790887203 -1.953967888832625 0.1361648222965054 1.237579793791883 2.284315981900739 1.6377865941930727 0.411425869498488 -0.02605674074192843 0.3729426477532939 0.9703940063778973 -0.27031469412596754 -1.6567223075125956 -2.046375486171816 -0.9286551747013136 0.6508956978276144 2.2701879746150126 3.437275737583398 2.7063946550944653 1.4476669942944536 0.8865610254562583 0.8344854338207349 0.9106754913869683 -0.48042244998503686 -1.487199099942959 -1.4138683710927673 0.4667394726836228 1.7385349486480088 2.597158473504973 2.317379778288784 1.1310973560271267 -0.26209816774403555 -0.858464211033788 -1.1154979737072743 -1.4926796297478424 -2.564298881889793 -3.333210893398043 -3.2773644234848716 -1.3253879326469373 1.0618654176808442 2.935361407640226 4.198137837165855 3.9563418463803295 2.6796027510157856 1.1840653272014376 0.5993345517263254 0.3794344337033111 0.05673652853195554 -0.3035630207043673 0.02092314432021521 0.7712710105669625 2.0482976562737862 2.9951449209897745 2.8438446172988883 1.865550128275358 0.5852001045110583 -0.33089391318829253 -0.8387568285130195 -0.738747118999814 -0.2505016143895408 0.12721800041637527 0.10613344645163218 0.5569958340246353 1.4304208629846336 2.0033906796947107 1.9496256549153936 1.5732402287679135 0.2070995603845235 -0.7540144696339214 -1.3245305234232132 -1.8510365480292172 -2.618039345077374 -3.681671287399298 -4.106408603132683 -3.2152155090384675 -2.083324507028306 -0.7768524067404547 0.16379425418852508 0.3303789818150914 -0.38561051244014005 -1.2239856258120205 -1.1932384817518664 -0.7105395536657191 -1.0109517082472 -1.7765678986057758 -2.49773247531012 -2.1493703276758107 -1.1110500042330398 0.10176844723240962 1.3145180064283546
1.9264674274260456;40;24;15;0.02332624895804405 -0.6849737822184154 -0.2367630356337686 1.306255427061917 3.112887500673429 3.9966659893793253 3.6582081538469056 2.677202005189358 2.1603708514746334 1.89838208719994 1.806650832228319 0.8613428604383456 -0.9497609205272195 -2.3680315455327197 -1.950975118785869 0.40188627456901294 2.6644796997331293 3.1124576728180426 2.0643914894932425 0.6704122787150161 0.040976785378145295 0.2347957878248019 0.7752552302313696 -0.10235155948754965 -1.9698559438383874 -3.1293511796441678 -1.8372209522091132 0.7604544749573516 2.604703974205351 3.1844767527631905 2.4639621596450403 0.9538903390377913 -0.22305287493916703 -0.5252290085930196 -0.36545334577069916 -1.5888306233397815 -3.8666638047887525 -4.688715119550255 -3.342231587260636 -0.4490529915708427 2.121144641579414 2.8693491345326545 2.168633880138481 0.715443411145003 -0.2746459585980034 -0.5846060575524916 -0.8866655610870472 -2.8245861568735293 -4.844584178835714 -5.44201554372558 -3.919836356050331 -1.4768394997991268 0.3933441573307707 0.7745267693642615 -0.07619679657743367 -1.3768721740082468 -2.3379453928453002 -2.9334230628315026 -2.782343214403031 -3.3799794589117718 -3.918460307849881 -3.4662655288080813 -1.450418565615148 0.33463940706218026 1.771323175958036 2.214456225307146 1.7012288861165215 0.7666017621183957 0.30517246108838303 0.23741496707529938 0.12565339706960757 0.06908606690384395 -1.1148528575096863 -1.7687089380791523 -0.8100994415888013 1.1367217358860515 2.52808588597337 3.5092208332217303 3.3185473993826164 2.005537123187185 1.0900064869982868 0.4838851485808989 0.2596667208278317 -0.37285125227195415 -1.3339362651660152 -1.5118448600607715 0.24914335177812305 2.089567570320436 2.98612003368469 2.6533892424693364 1.1409013999237267 -0.16367256857347381 -1.0411035332393532 -1.0971092042014015 -1.354260982327865 -2.276452452617222 -3.1219659283532892 -3.0938063629591426 -1.1843188798064805 1.5309334860652217 3.4324430946434634 3.8688513598941183 3.665152494612956 2.316807972451897 0.8779728552335103 0.38578412934747536 0.22429488364558386 -0.18837905872451252 -0.8458262986077021 -0.526828582254851 0.606416340058327 2.3124998093550158 3.350710204698186 2.8917235464780653 1.7504203627955617 0.41876600384113133 -0.7083128357026921 -0.9338773584955553 -0.6742845475415846 -0.2615165522470343 0.29315761184535355 0.4087972175609336 0.7223876021452498 1.5459609867653912 1.878096608678547 1.8195890999728639 0.9525592205783224 0.04238581949676569 -1.0692897569464823 -1.6941382981436834 -2.0685814115885477 -2.469727468224949 -3.4342132506553256 -3.8584449570368697 -3.2827491031756617 -2.1627093687099075 -0.520165726316048 0.06966513638218963 0.0668374456920887 -0.6648494517013416 -1.6367588254682344 -1.1452247633497459 -0.7020330806886552 -0.9142405156681273 -1.6227751924168607 -2.4692926980980543 -2.8832326482446478 -1.8841021416069015 0.02146533396950551 1.1896790736883303
