rmse;hl;T;RS;preds
5.912727378041886;10;12;15;10.445518376759873 11.916407211965623 16.31234750394721 19.461018405894077 30.424445255528607 37.90956829154909 40.96781246817537 37.68373943087924 30.139282821780988 21.952344994197205 16.602891379905802 12.18139126255086 10.130319232949583 11.663461876933642 16.162708038232708 19.174663846338053 30.425725136917467 38.56232535098502 41.881217102435954 37.92399935923427 29.7911928864143 21.84834096173287 16.6181547755195 12.342798076562115 10.401890352412732 11.868228048207243 16.218358577102865 19.32404882086922 30.87556294252701 38.672547710128605 41.481086757770655 37.497723251935305 29.66171830300365 21.842786708532678 16.601722205556904 12.17211752282502 10.184954507258112 11.61350600019241 16.184035344456188 19.18928831382171 30.730964697388476 38.722719600606354 41.56933511956706 38.09886382903053 30.171312258563027 22.177871266875197 16.604336646811685 12.111234051187743 10.127118179391575 11.684718978692755 16.07674402169997 18.899202454488822 30.880636565163453 39.452550361231495 42.47345386332913 37.790847141959425 29.35120800736163 21.89157830498623 16.61323843788496 12.277462021780883 10.304119835093493 11.563699982980888 15.887399881127818 18.857762919309767 31.12970580371081 39.5208633553191 42.48907300656515 37.97380267627409 29.319026010878176 21.785195421248503 16.447914349770556 12.064103904137323 10.175568710406454 11.42266596449488 15.855576332438398 18.941603250795374 31.760492916057117 40.10992876454303 42.14293259517052 37.15213502565466 29.186628491595286 22.063134389399146 16.66574530184587 12.27712585040343 10.017699121330663 11.221330361374337 15.798275313612667 19.1727703509289 31.56200194382933 39.680213988575886 41.97164180262777 37.22092460004845 29.180230434736828 21.98699292249158 16.734896024205405 12.391848045695829 10.301421013472885 11.577125236705411 15.97128544048951 19.4028907970047 31.28662628243178 39.14457012647843 41.60439954934716 37.146798136276836 29.113268876588304 21.89751817645825 16.724124364225403 12.361631774214679 10.447154680813988 11.784657733892281 16.092796542494877 19.65061805021395 31.551129702453267 39.27913588364161 41.192801575444506 36.54641090708772 28.82323634564662 21.803459213910273 16.71605017578016 12.383018484215702 10.304080682603749 11.722680692713887 16.044175225619565 19.789802113559567 31.583129437346535 39.224485758388695 41.353581949619866 36.62144057829514 28.89087024655005 21.708957591963166 16.643084785842323 12.335252446728411 10.29942558658181 11.691985140754841 16.05662301718635 20.03535134076609 31.68931638987481 39.03758257303919 41.1882004828567 36.795704259886705 29.0874795366199 21.554298338285626 16.428471763398186 12.050199369934903 10.100312224775685 11.651686428121767 16.112749461319773 20.265025583467406 31.80639988532451 38.944449600625795
5.585540542224136;10;12;16;9.01854108393044 12.245107214308216 14.514018971542853 18.592905101751807 30.78322314555239 37.58384792868458 39.45795205473027 37.98737508935662 29.20322442194612 19.995142071320792 13.266469438693594 9.614784899635994 8.690397316959379 11.932644694522425 14.24818436687008 18.631317069404993 31.05219399966222 38.12125770307806 39.943715644894276 37.951713921629384 28.611890193445838 19.473895524762188 13.48765400402833 9.69416454746253 8.666461644867455 12.03812420206361 14.444802770019436 18.659513612449707 31.54372178137659 38.03869050255205 39.53066497861355 37.58558008883428 28.604292585306784 19.767913846664072 13.22724336927091 9.52452220974657 8.50677214006151 11.872951998607697 14.39916176766513 18.68381988310834 31.273751863735374 38.11907326416753 39.55978228021017 37.76815219876662 29.300592613681097 19.985026553065463 12.889350632353672 9.065277005911717 8.10363920445862 11.927271352826569 14.226584343304246 18.844430821509118 32.43929043143015 38.620222432714954 39.59418516792219 37.31137495187147 28.345151706294327 19.80896590720325 13.436477649675778 9.280518493320534 8.181267790933514 11.68596240776358 14.269747938117876 18.78471382404903 32.14978679662147 38.35918063282115 39.51019902716443 37.85907103038072 28.527825072665667 19.543984556789717 13.092192931286421 9.005897529914938 8.250394886790618 11.585394512556448 14.472723220507168 19.121626398636824 32.21005462910968 38.29793128791764 39.363116624055955 37.1818693164862 28.5558926825114 20.359606522958387 13.399267933474896 9.093146828179952 7.842671659286744 11.457184959590275 14.26528590437295 18.82948334598508 32.06395846371698 38.33436470475292 39.584031172220044 37.23892529472957 28.252329928670104 19.858730746796248 13.383156683945371 9.298112812159832 8.213729255188586 11.766873052947679 14.48120445983716 18.867015732704882 31.759249486986292 37.94087543239965 39.371349447588955 37.41881073381399 28.328070420079257 19.487174294171634 13.1243857284567 9.261285170255412 8.429756492563984 11.97828029653332 14.789859737516842 19.112338483009527 32.07746202242099 37.86900496208879 39.11906970488261 36.80119505905179 28.22503254280364 19.672880628412255 13.389076810411787 9.349201410931924 8.325435358684869 12.048640020774423 14.619408023331872 19.003052408405157 31.95350388980664 37.913973621688186 39.455227581478454 36.99983454072344 28.03426608678511 19.436869420237343 13.398881808920871 9.361475041423642 8.444569634545626 12.025179578902838 14.594514465327082 18.903094752003685 31.708726574186706 37.81208264234488 39.53991171662233 37.349240809797024 28.226865959392324 19.07194998966721 12.983975449634885 9.15304743731608 8.54435177978618 12.167371971050917 14.662778181281045 18.982012670468414 31.662853357065643 37.687163248603035
5.621528943194914;10;12;17;9.038866626450824 9.737939731167673 13.113098335680768 19.894991352642307 28.78193485674606 35.209662552001376 37.71116237473006 35.72150845076394 29.390463778673084 22.19214859353384 14.025973736286888 10.488021779591271 8.783646396756149 9.481470672058759 13.079437995188027 20.165268414815134 28.941392821828174 35.49697972277075 38.25448282498898 35.78926655956587 29.171321893234285 21.789195894392357 13.588954995853767 10.155784552313216 8.61446443831614 9.478913609452741 13.049955495368108 20.113893260320697 29.03757293801231 35.479401604961694 38.0208464178299 35.70597841319423 29.168727028224378 21.885702056310045 13.585847773262557 10.125880150664162 8.549438903281152 9.463933056825296 13.135453732281482 20.138882336899602 28.93116052114654 35.36579593066991 38.03597682998706 35.98833671862469 29.698349507416424 21.879876267092623 13.347565045639584 9.836265133772589 8.083632282199599 9.079798529349063 13.116395245334356 20.527234532581325 29.040613331353782 35.44844818660468 38.34415147710298 35.85730683631112 29.248428671526906 21.7345700706848 13.15101212165411 9.685097370872235 8.178853837427939 9.192187776287081 13.074085579822894 20.311524227859977 28.986103615029606 35.46025603747703 38.44714412650252 36.19034331441429 29.14952678226266 21.58435580591829 12.822758997728936 9.484053386295988 8.076548381727699 9.368113413563975 13.516270423773403 20.49749517892783 28.863336933180733 35.672515185236065 38.361500080317 35.82990819400566 29.44258654320875 21.755449992208668 12.730806675394193 9.465453253496033 8.034729472423887 9.094116189822572 13.105203033611076 20.388960764622247 29.073446069218495 35.70075088077052 38.35132853349876 35.759296003710006 29.219700869698944 21.502693331674674 12.809669915381868 9.56561747303305 8.184229879295502 9.204820529615757 13.057732664925641 20.127737378181184 28.737674992219606 35.39759990311446 38.149947027459206 35.79479516113484 29.053462098418976 21.273375680399347 12.643469621548718 9.44428390731738 8.129205780261243 9.343933375932618 13.341775202458006 20.323688163876117 28.688379982503534 35.38966679864088 37.9144610026812 35.38301087538446 29.024197637464354 21.322672040201276 12.754812551950483 9.588598634426738 8.26951615272992 9.368425283396071 13.224335284343052 20.31420111058547 28.898546497190054 35.584035958758754 38.108218573907564 35.46698891562709 28.88951914813243 21.19777256022576 12.784945118108732 9.649698119800533 8.388863742155488 9.379036958202462 13.130628525442036 20.20181287621184 29.041935065404097 35.77232703236538 38.157261792612005 35.63068412515957 28.837332254518735 21.0052209531878 12.828207944232574 9.694306306477118 8.495528625075808 9.564234985119342 13.415583721011185 20.44147809174852 29.099679587432615 35.74066616902128
5.701469237546772;10;12;18;11.993023234050597 12.493131486405174 12.720901770531968 17.569014841606258 27.560577664492396 34.16243673292566 38.29108365247006 32.58754268393046 25.618639318554806 18.710575209504736 14.009983319441227 11.776986546074227 12.220096873877123 12.786973622103211 12.674473668125229 17.151355657265533 26.85683933810971 34.578519016989816 39.39667975836726 32.864106420878855 24.90118952024671 18.628995596780364 14.189922086916848 12.447051706148567 12.429196820739595 12.572551636807306 12.423568312817478 17.255691642089033 27.672695544173916 34.73055826030843 38.95866600466031 32.478618432334756 24.871496407033685 18.649728190185495 14.126274989538008 12.10897535755529 12.180654115674997 12.60931042433321 12.460887385972471 17.12431343762533 27.37347061617905 34.724952703845815 39.03623518735766 33.52138086757969 26.05282085356736 18.60681503629764 13.898594486120453 12.788141446366255 13.140662363503246 12.977301975262368 12.50064876443596 16.464918006049068 26.924421260707792 35.38528306987544 40.74194175484407 33.73779490455203 25.329394900229943 18.786065259988113 14.407863746032126 13.235789412721859 12.872212642532766 12.599554703957766 11.95824907272894 16.567877578345197 27.66595524055166 35.783910768986104 41.59577385083087 34.30249936464027 24.787485627209108 18.374669798963453 14.305464459365087 13.54579882651233 12.532518891087317 12.256356129637332 11.506646704909224 16.410448792300485 28.913452120052646 37.095718988105716 41.26436692635255 33.22483653504641 24.355402800655398 18.643083067615898 14.727781439899456 13.025300227516414 12.091158274550207 11.829858608258435 11.891583183382277 16.835753512828056 28.645075978761167 36.15238835082242 40.130738987884726 32.51137556539168 23.901171478157977 18.5584745372798 14.569675585799349 12.954189855540916 12.095033020948978 11.988183176266764 12.138480133791786 17.101855434499768 28.399407606478096 35.59108610708432 39.81225238502182 32.44347839774687 23.46906131236574 18.310519794604282 14.407706461030225 13.188090879527229 12.296735847421601 12.030000735484723 12.214824788620259 17.20410283650832 28.81172855135515 35.943895942593905 39.42895626086044 31.9570586658582 23.3747743540693 18.388585808895627 14.499305735914348 12.816181379451997 12.052745631854096 11.757492656439434 12.35489484580706 17.361816490668062 29.07988057839499 35.9112333155467 39.20008430667741 31.600629250176105 22.942294939796202 18.24627663432124 14.457769669596788 12.55272697613847 11.654491906524779 11.45698649696985 12.283438851853134 17.638138562248727 29.62428649767991 35.850191883864596 38.79572954337735 31.450563157331988 22.702973996152092 17.95578136145336 14.051334423996895 12.231433544786698 11.343052751815737 11.263756809312103 12.325359017595938 17.75127035640602 29.995284014761285 35.93798796690017
6.298165836221058;10;12;19;12.721883282947267 13.544559447699065 14.044095263651874 15.200638209306577 25.584929193646225 34.25895234544433 36.51989387084441 31.971977114536394 23.983589325436476 17.028404688697695 13.186184558302468 9.950382490602742 12.425188415841355 13.478491646385383 13.977105353700434 14.356056901586117 24.941747618124335 35.08138414465669 37.59838835332387 31.381178195076917 22.452456621766416 16.279807734712648 13.294118521924826 10.281877170661522 12.81714804092291 13.541024922935309 13.902122935497871 14.233425903365491 25.486130585949752 35.00821759192672 36.812298165108764 30.85593134413519 22.63295803752137 16.52829913651482 13.109132458486902 9.972337586747974 12.6374961666911 13.476619077306951 13.843346947877485 13.852060401974235 25.191666060673374 34.886003770234744 36.95849761206923 32.41920385410579 23.015890313545302 15.023191025273093 12.576661298144538 9.521620875247978 12.591463639439358 13.718573363407785 14.00444054197079 12.246728667417946 24.823076421711235 36.118414790411734 38.06978838009536 31.244612960765103 21.283913100483808 14.958149289207865 12.947527181855223 9.739477478954502 12.688073082924818 13.550325664378212 13.643516690483294 12.522718617878718 25.22411672424162 36.194203209868675 38.773416674481005 31.259926984598295 20.23596127274052 14.490317539346467 12.683929669441254 9.75864329772696 12.952677759385297 13.511719959405088 13.29931905263147 11.971258500010668 26.27675976280342 37.27312836973531 37.42415977396449 29.48172755722268 20.67167346758918 15.336100423476303 13.039762347176218 9.603483330958603 12.699394902890008 13.204761739642919 13.50413517708164 12.816716013449877 25.942639165760106 36.36734091985865 36.9983143440527 29.34643950412802 20.57086795727188 15.5688241725986 13.202405839829032 10.095643627895214 12.957953894899722 13.403819747929061 13.720474284289134 13.262369903000259 25.680699558773902 35.74785807636144 36.88768695915315 29.38792629231194 20.055628955238685 15.195295919585345 13.044601054874196 10.327609978853848 13.215152000369379 13.578415550640525 13.778650833790685 13.232924530541304 26.16137535040001 36.27252169021457 36.147673851022944 28.76620871920617 20.41295989074927 15.805171552150966 13.18393261509928 10.269594089568832 13.025841611943559 13.356260273577314 13.798372887934674 13.664592880738073 26.32435838964491 36.05884090205209 36.112309702183424 28.485712182167312 20.2673538065213 16.225057703106593 13.33944495427533 10.483627250139007 12.971989387429906 13.22703410596366 13.74649718911015 14.594338954166162 26.673927344063813 35.573444535240164 35.8588027314365 28.773171786994205 20.47458320943412 16.405896302803395 13.11664973651769 10.560173067759612 12.834994825816763 13.178287906146924 13.697235256497478 15.185286383069494 27.033755600881413 35.42034614956969
5.548500388779813;10;12;20;9.91727703539568 10.663604495061445 13.176536844795283 18.909644018477707 29.33192675624872 37.63920954918215 39.733150854881046 37.05476413374797 30.03780226853707 19.955759054417673 13.77775437678414 10.727221890551515 9.688463134904337 10.756607859232927 13.271888008265535 18.7488788327682 29.207397537318457 38.04018909784914 40.342273139540566 37.149077081197085 29.53573031630897 19.41736641752304 13.663931338669991 10.878158788770968 9.923194461690388 10.604747502289866 12.959740058483545 18.69907011538497 29.55563733221485 38.02275003888296 40.076750404699894 36.89714836081259 29.526589560039675 19.561546473568537 13.624738346350712 10.671240580647316 9.726212885446513 10.735873240699016 13.017153809478021 18.583668826908394 29.30940057378757 37.962854830090244 40.042248960720585 37.587755077143825 30.214304392473295 19.43042512293841 13.149663385886733 10.336277530031587 10.057815572373551 10.78553344863839 12.978379343773245 18.289765937346964 29.12580037347799 38.28520672875095 40.66279567187014 37.32171525942137 29.43272484109383 19.092384551620242 13.322791645275734 10.710999258939099 10.054167640398123 10.572344091726483 12.658410346643493 18.097407055064547 29.342687615541895 38.38572332069566 40.965453868189776 37.651284717053436 29.19450084220547 18.781739922435825 13.129209585210292 10.926529664720507 10.058055887655426 10.603173302184999 12.395035598395307 17.79288911548209 29.74414644468678 38.842987948583826 40.70928047788272 36.98493229307548 29.232037954225763 19.40505667223475 13.527594268867372 10.688886202749037 9.688374029238025 10.32023851009521 12.533376195604118 18.164643355684202 29.804972537675297 38.606502860274425 40.468957095492584 36.79213328280491 29.03107396223632 19.245833959612558 13.52671941323448 10.836249423714989 9.811919035581285 10.373134873824778 12.582833890665508 18.266469530906544 29.588997953648175 38.24439093323609 40.303730888602544 36.759493607217216 28.80543141341422 18.964145634286766 13.387658545222967 10.929256838144031 9.984253444488587 10.505826711823675 12.605613889267065 18.435753420828473 29.824751970468046 38.323504614149535 39.99890985474604 36.30116646176256 28.570198192212228 19.19993576590321 13.566915519342707 10.864139497271022 9.84252143161646 10.361756350253751 12.708279817890118 18.600151350047557 29.981123639289677 38.43618412954599 40.12450699158621 36.24168977958435 28.49565893969099 19.170798888061718 13.674456607981774 10.9866044349317 9.695588888037689 10.140204561566936 12.647921529649746 18.93761374709908 30.279119989158104 38.46043167147002 40.12322441002564 36.372321386571215 28.541684716513466 19.099594010076494 13.483420809835527 11.011468966090645 9.65963475168031 10.16101478490863 12.731706507615371 19.204768060693386 30.435669869312363 38.40833725873726
5.62148731006812;10;12;21;10.509574550152243 11.470562960309936 13.957965186559187 19.1160788958659 28.59971950700043 36.260704388741246 39.6446351760857 37.26079533546605 29.316894225315927 20.544149083193524 14.609247952243386 11.185258767547728 10.355543255157185 11.409502627425884 14.132778353093018 19.120560168334237 28.495353145245232 36.684490937726856 40.47307350725909 37.50032351728863 29.123228459927585 20.21840711895536 14.458994197465667 11.262826600159228 10.409573691003466 11.489029434610421 13.961073084193323 19.02438579001498 28.786140711700334 36.71804732160889 40.10980320655868 37.12947788486574 29.07569868746461 20.233312741817947 14.42202479654666 11.16682874556528 10.321151168131994 11.467847937659089 14.075288997290762 18.876436631788724 28.560113388410063 36.654897055824044 40.07291346070501 37.80451946139509 29.874628192143938 20.34228795915461 14.046633425055946 10.812198994325543 10.425882728110489 11.589120749511363 14.105736133452814 18.917815750625845 28.38771687555351 36.973533518216655 40.92695617008491 37.69258519338961 29.49962834555066 20.070693888231958 14.11390145269315 11.015444968928408 10.40920781773724 11.495697508639525 13.892699336242323 18.703161550563184 28.577651003643524 37.12245203808553 41.17555017841193 38.11284801829829 29.37478320653074 19.71383750789878 13.870575479365437 11.122217858716986 10.477921787323256 11.393279995813467 13.964845224067249 18.39118539920602 28.77109873016657 37.785217283951454 41.00364914706351 37.18290618242148 29.224673910939316 19.789218876470972 14.204750079842878 11.019298113953527 10.254109954918132 11.40435610015337 13.821799577659927 18.592718114861135 28.982973778500355 37.4526047328062 40.679276169880524 36.97807655711278 28.92678455537476 19.781412342546133 14.246625692752525 11.166024094396754 10.391126117904927 11.449301808293264 13.813256234380686 18.630725731801277 28.730973503565636 36.968669158887465 40.37075050044275 36.947638871551696 28.710799170660813 19.566619421162052 14.085437592649495 11.257048232707401 10.522189752364827 11.515819188196073 13.959712872696194 18.65508263067941 28.866889346582045 37.11558145117844 40.08332262263342 36.337984653066 28.504848299051 19.566796282408824 14.265971072943463 11.219390288003245 10.405990563148993 11.532641257927322 13.883671312141772 18.74612060737005 29.058581286452963 37.21210853942685 40.23536929142422 36.31475372578947 28.326963012158146 19.55267910968452 14.338571939700929 11.309484217161016 10.377918228002773 11.375858487963383 13.767910900828237 18.86189080680602 29.33002246015274 37.251177323847635 40.15682804691255 36.45172938620067 28.21254256105394 19.464321390934003 14.277996287638187 11.315839071272173 10.417702557925766 11.315114075168987 13.806139931848309 19.099354369837545 29.5082756454406 37.23640198426988
6.003773213532295;25;12;15;11.423697430086749 12.665796666346516 14.383342811722828 20.575803533629827 31.365168201986386 38.60175865858617 41.623908289926334 39.250669323426244 30.801578237769988 20.8405627949205 14.504712154713609 11.878163330001167 11.115815751600968 12.459449544538781 14.177023366675085 20.2265687254596 31.171958090573508 38.93562543948908 42.192744012725456 39.49566805312611 30.482999829069062 20.238105209075453 14.434355130644214 12.256100963411072 11.526530769355603 12.55656797039091 14.18921801714439 20.55460718573411 31.7493682086265 39.17653745931122 42.14193623181084 39.28252054887566 30.522948194423222 20.34817163330299 14.419845757979546 11.979678985477266 11.199984153948911 12.387290155855323 14.115244788117115 20.367332051732035 31.47162719681409 39.013596947770694 42.2727757520191 40.05876186079145 30.862280122860007 20.263312662041116 13.944904456015037 11.66009206264398 11.317494276528231 12.46266679912703 13.955882004087652 20.073314404873077 31.391096600797674 39.507523157003334 42.90114756077398 39.97348638804386 30.44708619528728 19.80393244962094 13.96885362896549 12.032511895171732 11.514281440409242 12.29974923904601 13.732201130010292 20.125209679942472 31.64866192961941 39.641334216174556 43.21011470828576 39.95669267011553 30.262825127952542 19.400520383767894 13.760448976317432 11.922618956976336 11.47881873530244 12.075491878309322 13.54642526634823 20.243580819774692 32.09180465948278 40.098609644749544 43.01245943920112 39.64439891106139 30.142298238534178 19.830286125476 14.279512434051364 12.147321846044592 11.04683311493016 11.891548081150093 13.642061972976439 20.39957243942864 32.15644474500668 39.81800645092828 42.76915641733291 39.47872312558222 30.06632350722949 19.880116781754342 14.499752614331767 12.407195821675352 11.369318672090335 12.23990533351572 13.951999832216687 20.69526318018121 32.12945315358597 39.63783614372883 42.59780217075506 39.32590150751166 29.959902314805678 19.68298028315881 14.478488762143389 12.471451807774 11.635866122093612 12.391956052564087 14.117346871790595 21.005804527797856 32.43481557186962 39.83230251002814 42.31671564619834 39.02642951380565 29.710241738654602 19.791662869386784 14.611915046846443 12.484122363506568 11.3559514720575 12.258355606785967 14.165435579796808 21.046291577407455 32.53629207485598 39.8327655894758 42.345957155693455 38.959081831103106 29.576195764544916 19.79685664966416 14.740265683784276 12.542535178032434 11.248256473631164 12.190967421507825 14.200919886277264 21.24725253170373 32.7240147623184 39.828885442733615 42.235756397923524 38.875506116444726 29.49719751597192 19.73053165699544 14.668838041633268 12.292473626382952 11.064116914023217 12.1014783308123 14.225407743483157 21.38135284676901 32.78655613938344 39.763384677478285
5.864166965281711;25;12;16;9.881312098351474 11.0199974584255 15.892470128549625 22.190160845256056 29.88842066922054 36.02006643634731 37.03305475322803 34.52854558913249 30.798992148318124 22.9270387165136 15.706257512114043 10.85237754931768 9.504117012160846 10.885863728735353 15.883992264434266 21.97483641194763 29.75716262239777 36.39593708831592 37.522347467812374 34.74223447781009 30.783758454593197 22.357086810235316 15.452512926256947 11.07372682512651 9.923500931179072 10.930127643519365 15.791762499456683 22.19407778183774 30.17370258556617 36.408233670267144 37.27674794990782 34.572477382796606 30.622538627472615 22.51841093148806 15.539817578041944 10.94331528213372 9.664029281132574 10.845110037169741 15.782853957954142 22.131918141547697 29.83478310835755 36.450800527133644 37.35980253142685 34.747329701820185 30.98626525719142 22.580319455809406 15.402785214024913 10.507890993093264 9.428797072494975 11.14358431743021 15.82569285712007 21.59540220836942 29.960341092707978 36.86774889127264 37.63877347145155 34.71301186951692 30.676517085013547 22.049987506501484 15.27008055021041 10.87777941464621 9.886160256650426 10.805703731285652 15.451833833072772 21.825215172392152 30.074080425499226 36.79604178135001 37.639202798752876 34.954295162948696 30.725153252833245 21.945258393553598 14.996725967335143 10.662838996382664 10.053708611208025 10.83108804549809 15.123978984474302 21.851080792211267 30.294468440180555 36.942191275133915 37.539440904800124 34.68520550128379 30.607304258704765 22.07956484985259 15.640690592651907 11.210165151368122 9.733632957295868 10.347580448794833 15.439406967836714 22.118737590884074 30.2665068120743 36.802408786233855 37.55917375963094 34.70251090175049 30.5588388767455 22.009974843308562 15.611861534384953 11.345011726388774 9.948998652603182 10.650106336700848 15.582900842747307 22.263067843980743 30.213264826366306 36.522078309754946 37.35717661444232 34.65893958100919 30.508970755584727 21.951383058026778 15.470064042348943 11.244608541655735 10.170331727381773 10.946654044448758 15.655098708877581 22.402523274582858 30.41884914966697 36.51675222106395 37.10576767711131 34.392334077314224 30.24567431231603 21.888481883081845 15.63837654549947 11.384594893519637 9.989426973478166 10.738793476399552 15.821242974147822 22.45324431248141 30.50341987759917 36.52979675057786 37.28503477687495 34.52004679868641 30.28150829103247 21.84407890945495 15.645006817124685 11.46934383278447 10.000038648284557 10.650071234468664 15.764072238606929 22.68892137440765 30.736579704452062 36.4778008941124 37.271212597909575 34.65385785785763 30.297085581607043 21.90757682234701 15.55021121398304 11.200696999279417 9.853698792395354 10.733255424229602 15.782488084687916 22.755689870279156 30.812664467753788 36.40816346580277
6.070361358136706;25;12;17;11.96151763057961 11.929525996201464 14.706196942320934 22.000135755131684 32.635963513056566 40.296366170273174 41.43573062353137 35.99799928307626 27.304767109758398 19.99092102790067 15.910414794667837 13.372387724137079 11.869039449805035 11.758178500052875 14.48012371611165 21.49285880003755 32.45446944667802 40.761106223530675 42.28529104787855 36.19351871634109 27.008311882891434 19.55201081718717 16.08698442289672 13.73418373108576 11.960332255200475 11.686194622530335 14.40917535443854 21.858649373504477 33.12916472618602 41.18267188128772 41.99553022171483 35.72185677291407 26.823394673832023 19.698980150605443 16.00092725044011 13.496779234310315 11.734596550454498 11.585865692519224 14.449143296037573 21.689921043911156 32.93346910671734 41.3282070860084 42.33618118403022 36.07821058378838 27.10100945261716 19.447677870056843 15.905124483251953 13.635026675595254 12.038731740697564 11.556616082508988 14.033099489420238 21.037567322623882 33.087826447445956 42.07214219354224 43.08949263781474 35.68165526646243 26.27046498751273 19.082277133880034 16.19521608044972 13.957656016898797 11.908876433076305 11.183217437737643 13.825838359489866 21.251557280446754 33.40065484049797 42.172766792355205 42.872010007889564 35.479621668955765 26.235118389789307 19.00741014801792 16.198169393253657 13.939391380433369 11.705232183146737 10.86299327438163 13.779573617471367 21.66725749021444 33.947193895431 42.801134550852524 42.691229461884454 34.93612840770763 26.229272180523356 19.576908087928057 16.55591041734216 13.7448777611292 11.334043628917131 10.8187010077947 13.888547147200713 21.898824215760516 33.85549066393617 42.34187584615914 42.60949256415818 35.30640430390045 26.408184207707595 19.534714529799974 16.44327275460715 13.795186010278124 11.570840587058623 11.171498692531603 14.250171018203108 22.27128834798033 33.90201192226679 41.976761328183215 42.230811033443146 35.22485641819363 26.38105288240108 19.461043044960896 16.400643793791403 13.862707179012808 11.678720547246852 11.293046921897936 14.419643920144487 22.63702728066337 34.252074333065046 42.14757689050563 41.87228628451684 34.62696819791884 26.142980430649747 19.57537877817781 16.465819863399027 13.71404720058483 11.504807887977124 11.31445118301505 14.514183682016947 22.803207154447993 34.256452661487074 41.920073923377785 41.85981824166225 34.84002119615957 26.297603738291443 19.681833722747953 16.414258734578304 13.617775278562677 11.395556240562014 11.334860430858335 14.629354780855547 23.178805764117175 34.34877895760316 41.59642189204042 41.48831781760055 34.91922668291104 26.51089401412088 19.726711926595186 16.16247244825132 13.340319134865297 11.261387408639683 11.35262081025758 14.758077366445946 23.435557328690876 34.40085784434859 41.49013368307315
