rmse;hl;T;RS;preds
5.857623961943347;10;12;15;12.632220706219602 13.62022163412873 15.330170171365989 20.415593908248923 29.660225783092905 37.86058177645048 38.59430483459049 37.16291141093514 30.72841978555514 21.327095596499383 13.425069424215982 11.61223961966208 12.594982638215802 13.612307430857093 15.334112422057421 20.206974591950203 29.095939174576237 37.8280744092764 38.58952013032664 37.25199547587469 30.53620941271658 20.882870772824646 13.34246847154364 11.762361066026182 12.678941777256494 13.707169863248474 15.448070468756892 20.524502633857313 29.640692065925442 38.06457434853018 38.6048841073364 37.06053440068467 30.532801796023026 20.899975010499222 13.193340688367515 11.677170648687344 12.653900384850777 13.686182778660008 15.397926930082063 20.291406936082453 29.141113722268255 37.80034229576519 38.591753172327884 37.490779760392144 30.995954148317125 20.640900285693572 12.4200358131825 11.65597160061992 12.70435849352941 13.796410538147004 15.537430626253434 20.401611069067016 28.980752212228865 37.93520642190194 38.602035426186085 37.32925818908336 30.71717897074114 20.43265224300449 12.540898198935391 11.680262345291242 12.713865798107857 13.77476866191972 15.491477079024104 20.309672922633734 28.90080519082251 37.98625856835599 38.61542017733501 37.11723800652035 30.349705852779625 19.866612548007407 12.178302941161597 11.702255243840364 12.758201267442091 13.805925943240572 15.483506172146631 20.139718715085678 28.81543386197934 38.06555181068792 38.60892356420926 36.979010816523214 30.311626681289262 20.204610591621197 12.48191024783605 11.701204877046552 12.725471136102227 13.776269957388513 15.485073621822231 20.257731744645326 29.05657168366043 38.069442758116935 38.60497861334613 37.05267690101888 30.249390423627048 20.34458276758364 12.948514769656862 11.845485852009578 12.763709617723272 13.807664853819533 15.534661600168459 20.51408537141379 29.359597440853605 38.141596746456976 38.61465872891379 36.95187139070158 30.047031455429753 20.045556977252122 12.850686198645933 11.961293516327975 12.835817703144308 13.889968787604165 15.640486729688071 20.796488229677404 29.780013500506627 38.301698027448154 38.62286725090143 36.7030451676078 29.899639882660885 20.160518137740546 12.973616915925975 11.909485321796112 12.788179923813072 13.836797006360538 15.578941040939782 20.683353735348405 29.777907366575587 38.29466137998112 38.619672947772685 36.64810477389644 29.740692925074217 20.235231888858316 13.300935780440712 11.932120861211372 12.765144758985254 13.782159031880303 15.52878400140642 20.69862050617673 30.055756385256256 38.32927488108624 38.623993222503024 36.491690577370434 29.529267455329556 20.062630837995002 13.287591531867383 11.901101288647551 12.74905173561475 13.745205831991534 15.47636691815475 20.635084115837856 30.059774915798396 38.301822235346656
5.878186997870766;10;12;16;13.742484058911423 13.806958083875367 15.347235256550821 18.872559860261173 27.656809421460416 36.85302080469975 37.51841466772191 36.79587842096178 30.261687680621193 21.929630812280994 14.353311502003573 11.938113892313861 13.601662678947298 13.796609000767429 15.255166151789773 18.396772054466688 26.974834479031806 36.850952473172605 37.52370025383731 36.76287287210785 30.15153957619954 21.497934954084965 14.146830046653442 12.092552238193667 13.76830917615494 13.83076347268245 15.422445164219653 18.705114449749882 27.357654360408453 36.91557838279503 37.529774290091 36.7273683143396 30.045786001230148 21.505098678382936 14.14947283971114 11.997095092983939 13.75938848387972 13.83111044474673 15.320801925630423 18.29854858334369 26.851122399564208 36.68822932545445 37.54090709803673 36.90063023222807 29.97830803524277 21.28834695118655 13.950967016538968 12.044454754629408 13.764886033474074 13.90252998638262 15.523039386100924 18.232327547285664 26.45715249664719 36.80864348270407 37.554029932530135 36.8045837745434 29.725160862375727 20.997510444119268 13.881577328983411 12.032617201868284 13.77354413405084 13.875038188153288 15.430682038010211 18.069127819261322 26.376998574583826 36.87091079234091 37.56434323836296 36.395166189293725 29.17175324566439 20.344613144515336 13.61366629226837 12.024042806614418 13.79544387667609 13.883115751813166 15.356384788378163 17.561909339760703 26.27591899683832 37.02017763435991 37.54637764591402 36.45166188190801 29.39756658034693 20.6797869772849 13.745982131357142 12.012556276175133 13.767022544336811 13.853847240600984 15.345644180372789 17.826219022462254 26.57290143223097 36.97807385694107 37.54062493009341 36.65607433068806 29.787811596394885 20.91917069992118 13.865153534578862 12.188298976818915 13.786588663564753 13.874004022389714 15.493947736135516 18.270244033430714 26.879904879869226 37.001185976662526 37.54579440882543 36.583866338913886 29.701354798525713 20.63813750375567 13.737353732669147 12.344009778615389 13.816457287938695 13.921683654382399 15.688607839754761 18.597635127538602 27.289064261199474 37.153888787178 37.53247176162575 36.496099957767086 29.634275107865037 20.707433697865888 13.776416441703589 12.241998641631154 13.785164322989594 13.878026603189415 15.532460285184765 18.45976503524964 27.36988985097482 37.185048768670555 37.52315076889505 36.431981680425466 29.653887130011988 20.757916783132806 13.85035996884209 12.24134114982063 13.773029076297833 13.826173855824395 15.432460776121843 18.59202788346867 27.790557026596538 37.23898874876467 37.513320793797675 36.25023312286359 29.389290554066626 20.54496689769912 13.799585265030876 12.177044661146386 13.774730184472903 13.803289900612139 15.338007419743992 18.560493590673307 27.838726402232485 37.213199408796264
5.719218492585653;10;12;17;12.892212814362521 12.906795766706189 14.10575503465476 18.361099411009707 28.249873784981613 35.99813564174744 40.85407853572754 36.67615685775486 29.990367002083822 21.22503180616687 13.506028672490796 11.429250333201086 12.677042206461 12.834204350549697 14.096093820289042 17.955509994196863 27.449434546796912 35.91563864568579 40.875293784825196 36.76140667887124 29.842068846664507 20.579364047546257 13.411686698195835 11.647394505194347 12.79729637853701 12.885419857391993 14.11574634501159 18.12579699790774 27.94414380582442 36.137395647422295 40.95420360277481 36.551973260803024 29.84306926028175 20.69978968052563 13.320898824909504 11.512005195660695 12.750835874069793 12.891406813108143 14.046719830550554 17.76126639206334 27.34453625121554 35.569459081801426 40.87284202891573 37.39053723587564 29.98203022194012 20.23053021487444 12.6557803794014 11.440454695697044 12.66089382957051 12.983902544998811 14.183447750207682 17.508512769222516 26.750474174248808 35.70142862386884 40.97301299888201 37.24207909528272 29.80856309100196 20.049555931549392 12.77859363921221 11.494759198971531 12.730991637156086 12.914005900205366 14.045299540232955 17.4014320598594 26.762939516931684 35.86541410185977 41.11689974877589 37.11200507375323 29.48567250808582 19.45779305079071 12.532730854566275 11.555067534035333 12.823593350786233 12.908338914836431 13.896717191741537 16.882893785522374 26.859991451055542 36.35484722537285 41.11871696433434 36.727959651943316 29.54283244293989 19.87716043125723 12.763428124822873 11.531067057822456 12.740910042876843 12.856270828777822 13.956383560982127 17.224118534325385 27.211829899793724 36.255898083103745 41.05050522668573 36.58527042820124 29.58401141154927 19.93520737251687 13.105120678374028 11.757839628503714 12.88741460924014 12.930492473602088 14.034162682029658 17.5462982970398 27.45744798137876 36.323590037698864 41.09365127038327 36.471508143950494 29.277246929107037 19.515739748175747 13.017456228709145 11.936759756203072 13.023577517967691 13.022717513279185 14.153691182959557 17.718861545499227 27.92626461887009 36.83717214686868 41.12610328403737 36.15527618446248 29.176584527890178 19.729697641459605 13.120675692532023 11.8509496494576 12.923208760423911 12.944966068991645 14.068068738147685 17.728432979155702 28.137068374079337 36.92424593397278 41.12262141262188 35.954777634570945 28.922002213761154 19.85126578459227 13.393841263387836 11.901074286930486 12.916839730411297 12.835170336977683 13.995141150613739 17.977506943003547 28.756136403698143 37.12183099859304 41.15048178428915 35.73059992889959 28.61831930227892 19.720771886362435 13.413831309573693 11.877651647462791 12.923502404096988 12.790601302790842 13.944654690132188 18.0373981015387 28.858791869155834 37.11706519553114
5.7002636529965045;10;12;18;12.287017254407122 12.703282475104386 13.66788236491947 18.32617404007249 27.971944098671216 36.41975125268105 41.03243297745439 37.52981074240903 29.85498174280773 20.58266196976424 13.459627571801121 11.360775328811092 12.080495296481393 12.685430289867119 13.743143575850725 18.0252264025289 27.16598233430387 36.3255692635597 41.104784078329004 37.38709316686405 29.40831258869572 19.880852916065816 13.378995044302789 11.526023137074787 12.236371483794889 12.720689132010085 13.718683395404824 18.13852898254663 27.623430573868074 36.511686698942626 41.13114045435577 37.34746544690003 29.547415309368677 19.942362152496067 13.223616363626208 11.409651136869739 12.175698625550716 12.760291200342891 13.689429735137027 17.756269049277606 26.91429021646515 36.07467740911048 41.20167974001535 38.09791606876156 29.96936506655097 19.410147845987282 12.468540347631508 11.301050230835886 12.122659152720706 12.892239141036658 13.966790022738827 17.65016175181467 26.374768570275755 36.134522664726624 41.3402444514758 37.82210972997683 29.527078291118542 19.15790455559898 12.511092353553625 11.363335091588818 12.200775120188617 12.857470380058416 13.766352901753608 17.442264731447427 26.249048913144403 36.20811719467207 41.47372203944128 37.533283163223544 28.850754133028627 18.482893356001327 12.115185077437221 11.424005249661285 12.350781809255194 12.947513005953764 13.592710934697454 16.748986195212645 26.02862309605918 36.438204226123005 41.27670671105108 37.316732092537094 28.94380340011912 18.95471730973073 12.429968394804716 11.386175844053769 12.226287692557111 12.816846296734713 13.603157899029751 17.119172985739155 26.4972365456296 36.44921552634195 41.21021768295118 37.21978782776003 28.895135842803334 19.187234495717483 12.952587978676057 11.576529848844137 12.360730591907648 12.8135385863943 13.627490496362523 17.423485037228993 26.82371261905046 36.550933694696035 41.26189356906943 37.133466038476186 28.55359044861018 18.845474437873666 12.88267378276652 11.713906484753743 12.531262636200887 12.91278069729356 13.75107600528138 17.58543526079617 27.30604395345409 36.91445241119344 41.14182233362653 37.03123483749787 28.527390345020926 19.07448747602836 13.017339446282842 11.659843646846985 12.422143297199392 12.809651689222848 13.609254886742939 17.537538940024042 27.478216689580467 37.00367418489002 41.077590649073244 36.691663943865066 28.317550551110884 19.285843416351575 13.337010074439029 11.726818705854038 12.414036031650744 12.67016756929635 13.424827758848254 17.689269688725197 28.093181808291305 37.19263220090815 41.02815860564306 36.46201704040228 28.05692424013841 19.183494757904036 13.3207820424832 11.747580326105016 12.45072056445472 12.667389092610401 13.348599211403158 17.680334820548516 28.163227300050067 37.14610284206242
5.720281658700117;10;12;19;12.683621174823791 13.454233978817465 14.506933045942173 19.2236334853635 28.789770079995282 36.54482320612432 39.26936936257934 36.29060744030444 30.22474798159096 21.712801455148046 14.8036866417827 12.379756001751371 12.606849892865696 13.430363110846498 14.491733779406506 19.047332186697943 28.28031720840757 36.51153278915536 39.303378025222216 36.31989080246101 30.04929352427684 21.1909293125572 14.621001124638683 12.404257359815796 12.781636057682464 13.470044834244646 14.618219947781029 19.32144585534419 28.774350749465537 36.585533694942626 39.309550617743184 36.11254731729359 30.048731888561896 21.353700725844604 14.663458624551073 12.378038692546061 12.72868704060462 13.4856876039831 14.553934259793609 19.087895853679715 28.32672505952651 36.52382397076317 39.315218278155044 36.323193112458014 30.42084255142926 21.535870678953422 14.53060815146442 12.354431091316474 12.832144119537666 13.589114305984449 14.926138078584845 19.315420422181223 28.328024517160244 36.562182610025154 39.367866226087614 36.17932796393778 30.172860131993755 21.26547497798624 14.505901580350304 12.371424621951085 12.871961526564064 13.57076393906734 14.814356370280782 19.189010533657406 28.21744438526556 36.56357859879739 39.42401899689518 36.01659671570451 29.939995298899795 20.806846088343388 14.343731967831976 12.366880232969113 12.988226194943781 13.629934151756869 14.821277585407367 19.019618974388685 28.16677566319382 36.595119304500564 39.388808757842924 36.01163650027974 29.927013548378056 21.00025466237669 14.448723419337217 12.376693331993318 12.910419397136259 13.54781517973413 14.703698608449532 19.03792040069361 28.281277119449218 36.5912472582735 39.35915007181916 36.04597728404251 29.80927728641832 20.78704336656967 14.442096522926636 12.425554964150505 12.985368063192492 13.562134190293492 14.834262711143737 19.30934334823437 28.596936642535457 36.624834694130165 39.36348654757974 35.952192220162004 29.642640914854578 20.390588293118316 14.299444426545532 12.451916740520682 13.147015867528548 13.653170479376818 15.21026027118255 19.793297485833584 29.110803619820306 36.69788783964846 39.32051331487141 35.719764139841566 29.536138042236644 20.4434228904201 14.357851840727985 12.426347464546351 13.036302077134389 13.56252571519093 14.893174382392372 19.478489191877802 28.992180351454998 36.6854508487685 39.316797878603325 35.671690282779736 29.40764429619837 20.334356542288344 14.401487290547319 12.444106493859746 12.99274763246625 13.462474902865583 14.637892048748448 19.377567574177124 29.163093119958845 36.69292492405199 39.306510224401705 35.58859789885682 29.29515919316477 20.169734498817622 14.384945363630614 12.429414859604892 12.96125282968209 13.440062127616105 14.502151716892957 19.26971157801279 29.145947704665748 36.68082815480704
5.949653093898645;10;12;20;12.573042393014955 13.60707719826168 15.134109353674017 20.87556208305818 28.706003328188675 36.700293692638915 40.37535834345984 37.27572188465936 30.847501408067618 22.751557763764612 14.636050531644642 12.219602067411914 12.559382899394896 13.619142915531999 15.180349794147158 20.81084639272651 28.483215535903227 36.630798023343885 40.3948643838673 37.311554513289956 30.734071919979687 22.395258125085164 14.455704713284272 12.271012661660002 12.634502351311562 13.706072243449798 15.383597793878803 21.13393037544113 28.80803269133193 36.81382916246633 40.41998813151007 37.21744407871882 30.738496151320724 22.424783658891656 14.464577477511702 12.23812254514653 12.613071088477383 13.686192904303907 15.327891901488663 20.92338988697326 28.561993045439223 36.54676732975297 40.41354012147504 37.433140545060176 31.05979768318761 22.301983562417913 14.114076288811145 12.231266809183825 12.683668427828653 13.798642230062393 15.684658838634062 21.373674064718028 28.70176878391002 36.67315021655972 40.46516740450257 37.34786642239844 30.87125414352643 22.121008266528474 14.15025656454894 12.243467535039468 12.682283914786167 13.783018361525885 15.595955497905118 21.168998517957323 28.596959593994963 36.701171248443515 40.51212609064963 37.14021376757063 30.449350964306074 21.518499968083564 13.935860905927171 12.255300362500106 12.71961311358506 13.818532369895111 15.63903471235292 21.005125772135145 28.59681040950818 36.88201119822617 40.48951890303729 37.14168941140821 30.543231884282157 21.865819004428058 14.099562865888918 12.250279393211942 12.691440872085701 13.788037305685268 15.549348509122826 20.989255850451883 28.635219676989657 36.841767839113075 40.46163557991052 37.21700800098823 30.56613204052465 21.974477626632137 14.197415738445205 12.304309829058223 12.714675849619796 13.802414369936319 15.593632000151707 21.16704291859892 28.789550016001208 36.91589565297055 40.47650677558386 37.154157454262794 30.369739101712785 21.63507684381684 14.034029698573114 12.348902489747497 12.777447416322817 13.87213010322543 15.806259046305744 21.555937848793643 29.13431198973968 37.2099308509456 40.46852641810541 37.00228899680461 30.268022958487478 21.704577238412362 14.130940886246773 12.321137974175814 12.735152601755741 13.824901399907725 15.634251358174925 21.289006974408046 29.02766263280667 37.21282408492907 40.45671046671794 36.867036045942136 30.1389230239011 21.7267061581112 14.262988058250752 12.3298041752677 12.709392288633179 13.782031448767173 15.467410448604419 21.1120653975266 29.056472789871684 37.281627160181394 40.45210532387257 36.65464458976949 29.886814742098124 21.48905054536705 14.269535974638918 12.319459817460247 12.690466110099669 13.751463479921258 15.367901020706219 21.00388673084334 29.012250052706193 37.237041924964316
6.005044527386959;10;12;21;12.160549987234543 12.818895052016991 13.714080277688234 17.340565464295288 25.014946235393317 35.420775476871015 40.65630850934537 37.908314061791444 29.014050729712938 18.340764755409815 11.771803566483674 11.468779496897819 12.188911240753354 12.847963750522894 13.752036591365954 17.137483525123592 24.343366278991653 35.173146779929056 40.69289313579621 37.96887351282395 28.53645448391805 17.684349300833098 11.526221599695212 11.506399639198083 12.218721136392682 12.873780092208365 13.76056913395837 17.162418260746904 24.462025324632073 35.31497194872505 40.70752806644523 37.83805964424689 28.634930421095603 17.808744186220967 11.48304450402305 11.503798023758907 12.215395874936176 12.87445918539254 13.747428748348879 16.986425119177348 24.12418422849872 34.85982560554061 40.707648224086164 38.94068016092358 29.306278500251977 17.69654597643118 10.913374428166629 11.58243647445202 12.27649941056753 12.947321968805532 13.89457460549246 16.95644376263466 23.747591280598634 34.70395009327004 40.75783631559415 38.72998441258258 28.76742109630237 17.446148253404246 10.914982380417827 11.567027944609102 12.261647116096142 12.920713126724214 13.771778896797741 16.811286581952885 23.659946407178623 34.72023617891756 40.80867109822584 38.65636288092008 28.18158711756815 16.9482271401319 10.817456228638022 11.58540396315742 12.271710656046121 12.924868690980457 13.734743341671926 16.460014494230137 23.487815186192233 34.79680224782596 40.791831477378494 38.408118544829044 28.304249167763395 17.252077462259933 10.856179391080376 11.567623332470376 12.262039991079433 12.914354222355499 13.746255523742422 16.660274078925653 23.796886965357633 34.91664531875966 40.76321910789098 38.080460808765146 28.057736316779128 17.14903890994139 11.080373297781964 11.55838064471916 12.257582007592065 12.909249547744436 13.751507357711487 16.789270731944256 23.91331263147535 35.013366819370944 40.77108740824361 37.92577337204542 27.651757400197628 16.770115713858626 10.921735509855685 11.589136950541603 12.28218327200963 12.934375995558906 13.78878322811918 16.89073643424379 24.107170446576312 35.35445385941692 40.75715992258168 37.64610848789215 27.54455923336528 16.943323628312967 11.092845390894107 11.565908723436772 12.265511061808088 12.916534611008467 13.764349374347415 16.86937132561642 24.22068634015885 35.473030549820294 40.75122224499918 37.376382935790375 27.28641134249788 16.940576203601644 11.325851307959729 11.53655245664413 12.24228688496082 12.882762213389908 13.72830073198031 16.92211107938701 24.54695011257929 35.76170860712973 40.74662385258307 37.154785244184545 27.01491717792836 16.83851443839791 11.375349505596715 11.519507622747097 12.225216399432574 12.863167067316121 13.70836131401395 16.939531237151243 24.624586124526378 35.77996716820881
5.797469871758773;25;12;15;10.818760411572242 11.2239063251823 14.668853567620582 21.975903992336075 30.191144344704053 35.60258883855384 37.51561458966231 36.700677117021236 31.229672910713255 21.620000435093814 14.926347341892097 11.835765233866319 10.753740276880666 11.19018793099787 14.553033752529505 21.659519135625185 29.817522935766924 35.53136910962424 37.544731891258934 36.714253580361316 31.091509849794143 21.29374915096752 14.875837929951041 11.864459958590878 10.815350094706982 11.295344768020135 14.787794781204326 22.04380326949003 30.2316300442278 35.65632360559827 37.564507948837054 36.642129293910045 30.97261588921526 21.315065656504174 14.862751547775678 11.82224142387451 10.793392298390044 11.268592816838375 14.66969737127885 21.764156189593955 29.9094887589602 35.527857536319985 37.55590385169442 36.80694777487241 31.271103670334263 21.302835903802688 14.78022349973941 11.76004026844448 10.80729953276417 11.376629386985577 14.882616035977184 21.82467176283623 29.83658412288576 35.54724476917237 37.61201476984053 36.73193160452352 30.91086701254606 21.066717363802443 14.781992787250068 11.80181732508684 10.83860667361473 11.349570966315133 14.713769573871703 21.69628399853743 29.796618206415506 35.56235493004173 37.674924720343505 36.68756778338637 30.652637441484536 20.749174470950944 14.665595810456736 11.770919260249809 10.867268996278812 11.388416986570132 14.700223487463317 21.484268541274908 29.75231311401297 35.61633271253973 37.6496403124842 36.64408151805382 30.72969764181522 21.050468067994423 14.788781018920112 11.808471898257412 10.83697711998988 11.329357480920567 14.668336484738795 21.673819244982603 29.931329772850834 35.637151036396546 37.6169344826897 36.63665334568934 30.77552360593142 21.06807352504201 14.844992518462286 11.876005892807704 10.878821680924904 11.382098584777014 14.889242257344838 22.042458583980213 30.196969290117817 35.70013119136389 37.62692241783189 36.60047104482277 30.63757318353419 20.881190253458836 14.769655027680322 11.875973490747226 10.927206057732976 11.491768758806625 15.226722543033915 22.40715710675261 30.532832172954723 35.83102741517799 37.60889337134786 36.517286855061826 30.45010701238388 20.879676807217365 14.78460115311851 11.855557492474677 10.874652615810128 11.423465215319993 15.070788302028731 22.28803177521063 30.510104152658513 35.836873286922476 37.606012288137066 36.49615261111536 30.418372569360777 20.88124661954321 14.817242853834989 11.885699509233898 10.857692837321848 11.357142247780049 14.968212154114918 22.33222211031564 30.68064092225224 35.89017602649387 37.609036480448296 36.45727688897159 30.283665053183007 20.73718570857426 14.754815559024541 11.856999384165926 10.840773561409165 11.328482625287675 14.927104065012832 22.277538401677127 30.638457489768058 35.86839374133785
5.874557715357526;25;12;16;11.731595309602767 12.488500691928593 14.564406200714192 21.040117972322097 29.21826572843696 36.59056681500347 39.59345072121803 37.95767860092896 31.533462478977896 21.596951094364538 15.227434038278568 12.37426587762921 11.676945184349854 12.452203633764494 14.511405880373925 20.733313662347193 28.806625901872863 36.44432551538155 39.664061561427836 38.013512751475155 31.37802844478133 21.18311906589626 15.216049439321203 12.37684859186644 11.763461385996564 12.588022270599472 14.722535006273802 21.116475790487637 29.195006449357507 36.6865997718296 39.693099207959115 37.89430287080662 31.369225885018267 21.234116871394722 15.1952668927395 12.34946210033366 11.72718727929197 12.546960759459322 14.6335562480308 20.812142137624146 28.848189644950416 36.38478807933994 39.69971192846823 38.30296170780678 31.66698259464775 20.94735492343249 15.085443483965546 12.260476591661392 11.759863407197706 12.656865848427397 14.860435475494462 20.910614362065605 28.726312332157356 36.41503810296742 39.80966562052703 38.21119907253441 31.39552285726749 20.796955359382622 15.089474840323293 12.286610203522372 11.776842086887932 12.658125478528461 14.786770741084652 20.807149857660363 28.692574361728056 36.472210188594175 39.918874065194835 38.10239430353673 31.009621067409377 20.327116706900398 14.887296108587407 12.235112528736751 11.800530693268712 12.712375978368819 14.809226719081433 20.5772396874562 28.64268632680095 36.639377818941156 39.88028591133781 38.010585765345354 31.15925783295217 20.736666938085154 15.062814694979552 12.290756317177642 11.789869065285751 12.668849210460671 14.771171849136428 20.720967464740866 28.811944565091665 36.65231974193023 39.81535083205498 37.964576189553114 31.177396236390322 20.835971152933663 15.124714781264313 12.361020185323166 11.841192578996305 12.719083204887667 14.884309043637135 21.04878788615008 29.062123236688915 36.769662453863745 39.82687651498401 37.879256163972364 30.974621441750234 20.559038842547338 14.992338863355071 12.348418483969114 11.895892657425788 12.827578804224968 15.147446176775153 21.407850644288896 29.40265167871312 37.067438739738094 39.78285831582528 37.697823526500144 30.837772689409242 20.62713548537696 15.036452918609376 12.344104959668043 11.859314781404217 12.758936389189175 14.982268572975826 21.260839458209176 29.385683124666798 37.09604840905391 39.77334021056001 37.61506596386883 30.74927658685877 20.688714251228653 15.096219869246031 12.384364519811372 11.853940089622506 12.715751193001894 14.88052880324809 21.299196072342376 29.58846061947859 37.22925597984873 39.76517759149138 37.491957035256156 30.538126534628166 20.510824239035312 15.037769252316275 12.362541732079757 11.830410793372407 12.682522879982187 14.821490898972177 21.256640016162702 29.58137266874913 37.19479503844503
5.717629931579144;25;12;17;10.994430882622876 11.886177439625943 15.07086998222285 21.073865055830908 28.683261469512473 36.588155561669595 39.2266620967841 36.71045038851277 30.285563948935575 21.81995844436187 14.944868494669638 11.267167126177362 10.849210247906 11.80650212299755 14.88424626464496 20.684992739574223 28.14714845258102 36.466290062127754 39.26525565098455 36.743678701532474 30.135059753232085 21.350650713141427 14.759537484296214 11.307031111165697 10.979751399140701 11.907936773322456 15.129064757883421 21.009090130482424 28.557334911724112 36.6927453626335 39.2753920955706 36.59743470173885 30.07676777139008 21.417511858654613 14.769308055616042 11.229484879927849 10.928962519428028 11.893944483539576 14.979913348204866 20.703926006058467 28.149895877292344 36.349342925349234 39.301008624549794 37.054611574046554 30.436272007602906 21.458072150421753 14.570997994892588 11.055013285114883 10.910685057146994 11.97681410329671 15.138564636989678 20.61083488630652 27.85511408184046 36.386472986484776 39.35669426565214 36.912304424600954 30.1677608577261 21.222930735057783 14.557803605848967 11.113497654190972 10.956255855036934 11.948652662484179 15.001001689232325 20.529242785288005 27.84571410908734 36.49877312775648 39.40200854722996 36.76209117239883 29.817768651392214 20.783881634262134 14.329070035465893 11.090962021128849 11.030965555897144 11.99528192768305 14.919474729856226 20.239404666709188 27.824642981654513 36.7331156298168 39.37418057762318 36.63060901132443 29.848236038842064 20.99587717775832 14.47705024566677 11.116330134311049 10.975578283768368 11.931320260300406 14.951323930176859 20.465823514896897 28.061332607970673 36.71761799430757 39.341948627963156 36.601989891407655 29.8540400579251 20.927013179881868 14.53347235860205 11.262242012984778 11.085252508055538 12.005869300944083 15.207910446755003 20.84268934890007 28.339098258849905 36.80489159411794 39.34725716553805 36.522067509068115 29.69258059056557 20.60236714783506 14.379029287421758 11.297387447916071 11.212506200237623 12.130474799725057 15.51558758723402 21.132708716504688 28.685779379628748 37.09612131368998 39.31277057250314 36.33521832715274 29.555965403077188 20.661024665421827 14.441769127107229 11.285104366823381 11.135117929044604 12.047273733890954 15.350506514573198 21.052716467222247 28.747404723442376 37.15890165595104 39.29622662045765 36.23028155412455 29.440623518378153 20.60471629721968 14.513373630505008 11.365335918823305 11.126350471513724 11.960603622456974 15.257122426191104 21.171581063433823 29.081341371288186 37.31123724311445 39.27158215329278 36.07437363979351 29.23490688666388 20.429716143795176 14.471268503000312 11.370895572366907 11.1226620369627 11.934357953470176 15.185995178142441 21.146539839788836 29.096299647499052 37.27533441001949
