rmse;hl;T;RS;preds
6.13350050595821;10;12;15;12.670587445996704 13.529449961872638 15.394259421861761 21.96450893021335 30.03138261030496 37.10044158842032 40.720471339520145 38.63988778325311 31.293070242209247 22.116560155543908 14.862452503759188 11.933092923025699 12.52248302789733 13.423595130464255 15.342287191898732 21.832897498418497 29.810152817094142 36.98343099760669 40.70852442980491 38.77622350296987 31.245717330993045 22.014452149899704 14.978752274371088 12.192493018521974 12.741730895075607 13.572298311639537 15.59686275559849 22.28982899262238 30.189091539164217 37.21782210275772 40.76300039398276 38.64681372368018 31.220279688389404 21.963098259257453 14.856956304250687 12.030741932618147 12.631922337246039 13.509712381741336 15.482731897909805 22.06905552842995 29.954340636133296 36.96919569237023 40.7321752337818 38.92025471205005 31.561614469189454 22.05407851977787 14.810686161888775 12.113356386149022 12.734075233244864 13.63105067275749 15.77092797456963 22.387338099568286 30.064382083772543 37.06083141957239 40.76706145222927 38.816262999119125 31.32003685704167 21.955297800718952 14.909939073474861 12.193250416685638 12.7689452506621 13.609268387601471 15.698828664706642 22.31049728818875 30.018406260126635 37.07420401994864 40.77085249330514 38.81091530905448 31.199522118395986 21.755962012268505 14.74245079773773 12.19644066955682 12.810503593396238 13.636523920806487 15.714021180813043 22.29943772240055 30.025735201180897 37.195409327508244 40.78625157254709 38.78352611734999 31.3775457890888 22.04432414948828 14.924260109163002 12.155020710622638 12.717211985895089 13.558770451390169 15.678183151839043 22.333257541784704 30.096549229311613 37.1933639474406 40.77826176446767 38.807916768374454 31.345704689283288 22.059312802630842 15.080724933908506 12.335720251476555 12.86321162014928 13.668955683172788 15.79378762823653 22.543133281730587 30.271218611702075 37.27484567894062 40.79697395439345 38.74200287684804 31.233677265353936 21.974909822865904 15.080589925323183 12.488389309845703 13.028954234878181 13.81054728711618 16.03765836120602 22.904501353653977 30.58013850620899 37.54561889766451 40.82976078933915 38.48069105978359 31.007162561070647 21.894842981340073 15.001679432330647 12.360419397118479 12.903492106623334 13.700788007420254 15.887860935446696 22.74767875615737 30.501531107490504 37.52892373600346 40.814789687312675 38.52191998156954 30.966611382383018 21.853243123465948 15.017974968579137 12.34352104753652 12.864175581448485 13.628852732988433 15.787532680478513 22.693341808632223 30.54849249380927 37.59999225531751 40.81006168665466 38.473049573854304 30.809327730567528 21.62350610177246 14.81782474083773 12.224525830518646 12.799006937313054 13.576616561241094 15.696511917382498 22.601017706405646 30.500140519061674 37.568710766098164
5.9922628177002695;10;12;16;11.034278666580972 12.209271210462996 14.664526542460978 18.808131400694776 26.314678611598712 36.36786070291214 41.201844450489446 38.42307209573942 31.613072991485332 22.32425668816195 15.007916153929644 11.762533877015395 10.943760810465285 12.22024943357854 14.71649674729523 18.637054596759757 25.84381186873925 36.18351052991109 41.275023153992095 38.528679861436665 31.555753071457655 21.89636807207203 14.850730383338515 11.76786401596395 11.045751696161723 12.308574750268578 14.717682122674365 18.717449846669385 26.09761585837389 36.40350971986669 41.32708516466437 38.46469254242281 31.56479999676015 22.035327346123083 14.868655473211854 11.722358022194966 11.031637898652052 12.34025451481463 14.694335763057378 18.515670740346057 25.670034893097775 35.944665491530245 41.34062787585812 38.74546854723329 31.97010184528626 21.92686296752114 14.578397140411218 11.558917978888745 11.059131046967236 12.557234912802407 14.940591422686603 18.546655210677695 25.460776311147548 35.97694334410928 41.457009326664135 38.71765812874259 31.778446357733376 21.78127882218828 14.624114422616232 11.632185788057706 11.11773422359841 12.496135427428612 14.77393547487799 18.39403273027048 25.322547771064553 35.98879574781479 41.54390895269317 38.63538254676088 31.49000659057704 21.34020104863742 14.444617133214617 11.652435725770308 11.264263091507065 12.603238413208306 14.679226952273877 18.047661116673495 25.11054446457471 36.11167111157485 41.52233188058684 38.655822846578786 31.604296083353482 21.701295854746085 14.605192969383209 11.652890704702848 11.140005239833297 12.462737003591398 14.656606938845929 18.201267809667712 25.36331833870333 36.160217498685306 41.46711471927557 38.65706627564961 31.56411617827549 21.63083504282672 14.674311289682265 11.733627188811878 11.178655497639577 12.455455315542 14.668505920513374 18.35165421038051 25.54419845354012 36.2693368376868 41.48182390464652 38.59222705246236 31.358245636773944 21.254038231962795 14.519351135620186 11.740783993919854 11.30414462761149 12.598129013296756 14.823233859808697 18.529422039804135 25.900996780181604 36.68199867924179 41.445728009274546 38.40869503148837 31.15042489625741 21.33313520556381 14.589675082586178 11.734114569804895 11.20709235596617 12.485346216332522 14.68883686337717 18.440431130788454 25.91378141816877 36.72828637271979 41.42558742851605 38.364683582758914 31.042719772187176 21.352076741323902 14.70738029257129 11.811988871905077 11.165555614605683 12.31891910807603 14.52532729064951 18.450446742690644 26.174748963340647 36.921988590426174 41.399379561933145 38.225072554762214 30.813664206328106 21.1936691430356 14.703747211540248 11.850051842365202 11.193085215238904 12.301488149624971 14.491498864468044 18.466610645568444 26.22391706498652 36.8996622206713
5.897444354419871;10;12;17;11.946069948246949 12.601041148482173 13.857520149164698 18.157996545507284 27.333004492900173 35.8292750037405 40.890891326687566 38.38537229837382 30.90745129533739 22.35992933161893 14.349934937284642 11.00055487205313 11.768834727692422 12.54651455608483 13.895026209210366 17.98853849451029 26.796318364524026 35.69034981935724 40.97920584269078 38.47298881999091 30.79485616030675 22.222969703477236 14.375881562254952 11.193418686444652 11.910469534383116 12.594348097864783 13.874373270870572 18.067826336498808 27.044244755396623 35.811800842542134 41.04755258892472 38.42729246411662 30.873364327715027 22.187267020610022 14.215284124712708 11.054277488324873 11.869031349289916 12.616880355712272 13.863789947867101 17.851233413150908 26.570780447355546 35.413116439825636 40.930262530339476 39.139892078996986 31.35659920707593 22.091435057815293 13.765929649838622 10.856407555589573 11.814620189233024 12.692507439909754 14.013320731670413 17.802586444644383 26.148689099919398 35.336098092156405 41.116244957137084 39.0996946228029 31.27557920493772 22.09679945519237 13.881818319308213 10.975262363678711 11.896798565033306 12.666589841785289 13.896273013495824 17.665375869294724 26.06168011693626 35.422448233243166 41.374714843480476 38.97317537732498 30.812497057107986 21.572035259943174 13.495382570495147 11.074126450539067 12.043143821265922 12.742064366281355 13.816083989200278 17.29126302910702 25.83047251422714 35.629649959396 41.29461019955076 38.885342841971365 30.947015561266305 21.86366916146752 13.736065750765164 11.036627815965593 11.938716030604404 12.650743884125925 13.8242540337411 17.519701605731164 26.202269282133628 35.660221303456545 41.17694616718417 38.69741629154511 30.824129396819423 21.999138632348707 14.117612838703682 11.2516559898096 12.035939763153085 12.670549643592814 13.820965899645559 17.662305774064478 26.382697286970313 35.7116892763534 41.234408521269366 38.59442229205972 30.57552323771972 21.746386528354467 14.023789972419289 11.401322457241161 12.180171459982468 12.764066040388524 13.922582136517724 17.829362022328574 26.688570037706487 36.01438122481936 41.233976493796334 38.40481623483204 30.469777763265448 21.759777354889735 14.029933538094413 11.346712834563844 12.092444906368335 12.691623808718814 13.835565728062392 17.786523123162645 26.81470518375917 36.138774085078445 41.243964428938526 38.180793789033814 30.23096850215972 21.750648074350188 14.205890902388859 11.44960152735268 12.08561954733733 12.590223585583164 13.718621291455575 17.83940463594783 27.21829512342338 36.38022343907017 41.306426150938236 37.93091989931793 29.862971550887146 21.44211548572242 14.033876463828772 11.476267073039834 12.119487801051468 12.590813573101027 13.699741690884 17.87688166914765 27.296807341089213 36.37947279133577
6.030733991051693;10;12;18;12.790763988136156 13.57104340683896 15.042475651600636 19.085409670580994 28.941287515131624 36.383976677742154 41.086803634935684 38.01600636004607 31.291032287613795 23.296499751513633 15.713038993354818 12.507854172634651 12.727229622926059 13.598280713884956 15.125775273702025 19.078333195581287 28.536375166374174 36.09353810848011 41.07323527211072 38.129405471202304 31.223957322253604 23.149274745586904 15.892049576806343 12.793805731563484 12.90881009479921 13.693373335914313 15.160401600622752 19.243200954677295 29.02407747982342 36.383323236189185 41.20949403693385 38.00523807528071 31.238569976486044 23.12576519434241 15.71874040591301 12.628356760507657 12.858062392705058 13.690648862662494 15.143814445829964 19.16114678677551 28.74832649455867 36.090603021835186 41.12997128000687 38.517857573237166 31.486920294316555 22.935619609055635 15.398246900429278 12.682220460751065 13.023872511726623 13.921817312881869 15.377992912459115 19.307875129868982 28.58767437853937 35.98658160701549 41.22122898317013 38.413355527853724 31.328055016924008 22.888051696667304 15.54866739080987 12.759003893481836 13.03732881742577 13.850991133978477 15.264906346177904 19.248375158709802 28.707805692802737 36.080912105580694 41.419861714412505 38.22520486317583 30.961508057857806 22.462298410115 15.295790235113476 12.810835714516132 13.111757025385582 13.87720372586187 15.23453751499534 19.308771249354063 28.906640936923097 36.222722423432316 41.393559341819866 38.22181884785593 31.188834838781816 22.887603468164034 15.545646573713267 12.771188418307242 13.018006388694337 13.795620737922864 15.19581570263884 19.29753786001226 29.001175973495073 36.247842120817516 41.312583892514816 38.18685702460067 31.223582673429334 23.055726453012912 15.917793013855741 12.981809236883377 13.092788319147695 13.80924310418196 15.181991498544686 19.299694622162797 29.164170488469722 36.43778029916509 41.40026926851043 38.06137194488632 31.041630927946546 22.848433933586453 15.906646030008545 13.150081237458307 13.236881632177123 13.908838937574766 15.285969710617078 19.531728814935555 29.552848729885003 36.75026307023868 41.421921945424536 37.87002157673627 30.931659684771663 22.884866169096608 15.861237917463919 13.010749677233223 13.10072884909347 13.807399561949373 15.191272663742717 19.466977684850235 29.5407479103825 36.7460913049522 41.396143406142954 37.776136606502625 30.84983233129322 22.958885976085817 16.02892600590733 13.026208835295638 13.016396411314359 13.673696509646406 15.074574617804116 19.441960593989876 29.717075873243658 36.899712173847874 41.417175043564576 37.59150426555825 30.607687683087082 22.741102952058295 15.891374533879729 12.95032185957141 12.95583223498137 13.609302139747802 15.035414702588241 19.53926229399658 29.784513336655444 36.90280387045177
6.207053434692194;10;12;19;12.371229534545295 13.690411922595253 16.98999609625914 22.21736279692877 29.789217710811023 36.64465125428388 38.20122058799319 36.206029961942974 30.68279700935985 23.299672622029455 16.571630141974254 13.062929820417652 12.298881133842384 13.58153559904734 16.800537198389467 21.82105555787835 29.224054221532686 36.52349589990084 38.224209849901996 36.266552960657435 30.64616445486122 23.12262742605877 16.555638375042736 13.184502351329343 12.529749865002342 13.966601685762301 17.25733334648656 22.312161100242125 29.77294647610789 36.7085211158285 38.2249631978081 36.13024424265774 30.55380913189929 23.16225717115157 16.55615815809623 13.12604093371276 12.449396805275628 13.820797813956831 17.030520273229705 21.987485028785084 29.344384673459405 36.529966861395366 38.232286063476025 36.31337393804747 30.770804380831454 23.222908090500628 16.548297958258722 13.202855418418157 12.640713421279349 14.164032840595302 17.37969162736483 22.11551704546156 29.285884103353077 36.57461555064755 38.25866269079059 36.188038717862824 30.523345794706998 23.08701182372909 16.582722447344395 13.261970277587704 12.685104244133564 14.163419901617935 17.33213485318479 22.051520613368194 29.21507277539407 36.5946130223056 38.28267261760443 36.13942347637385 30.41311668513415 22.900851185598857 16.441599323192072 13.246374085811185 12.727109465285121 14.201179102761085 17.29916440656305 21.896268840761817 29.160391598166534 36.67699391098387 38.27193673489955 36.137460451543255 30.547860653629957 23.21278312164433 16.669288602167672 13.296150401133938 12.69242035937222 14.14623195862046 17.274802107341507 21.97474426858815 29.30587482458186 36.687863452188225 38.257049338195976 36.17225351406685 30.58218388627663 23.178806523540466 16.687995391750032 13.355621682968737 12.790504096609409 14.326483270971105 17.55002790920935 22.39272274823316 29.738067008089683 36.79206982876981 38.25494725452249 36.11390415357609 30.49864597402215 23.03506119513971 16.600281663951506 13.399607480066983 12.951073857391659 14.598381111210735 17.887533509008176 22.777745969722286 30.209653346708915 36.973185196066524 38.22928347253844 35.951718340027526 30.31979740087301 22.993658449800158 16.570508220630217 13.31316958339976 12.794951279409949 14.38017348518237 17.652157853748673 22.591313289292625 30.110048062715137 36.96600543949904 38.23147736204994 35.979671867618656 30.33402123037972 22.988291183490638 16.57903536287922 13.294632904634907 12.72318881596734 14.262494601871396 17.561916765232898 22.63030005599782 30.301564491425136 37.01515261481419 38.22694242366894 35.943048088678076 30.25680712026177 22.85410513797368 16.447019917892792 13.193352164097268 12.604159846803135 14.077923014790414 17.37825648610285 22.519150862915996 30.24144651846664 36.98879758887328
6.48657463766793;10;12;20;13.186384371008746 14.610581837066377 17.527157454855626 24.031238411736734 32.63395121009233 38.65403938316667 39.218257812347744 34.93524950181718 29.131249319981627 22.59468647879692 16.16752649464289 12.979400008678287 13.07148396438372 14.534033319274068 17.376730889088698 23.59736857779554 32.223863982259445 38.53548834439451 39.304873920347596 35.01077195436103 29.071640329389798 22.428430156400864 16.253944140022313 13.2727925657872 13.432322760462462 14.983780669131445 18.005828031468223 24.40860040229097 32.81060859390167 38.78015630306033 39.10152803939159 34.68302376254497 28.919601423592646 22.410738968901597 16.17329001115033 13.139447286235338 13.314179447617976 14.82123708283177 17.688338804529394 23.92913158741765 32.43687107758116 38.60596687619069 39.200959162310305 34.84969996164138 29.050872971273947 22.314241920063417 16.044310909247816 13.246201274821972 13.607558503868356 15.306991222394803 18.271067923322647 24.275763092541386 32.525911939773415 38.68036065696125 39.16254111927078 34.610999382446835 28.771453802745967 22.175730199472707 16.099475417210808 13.34293897646349 13.682592225333341 15.317412535095889 18.25134316900695 24.220651237926667 32.45711291477865 38.68978155604509 39.12830294203285 34.548451254952525 28.632211010665735 21.939285276217444 15.953902410086242 13.393668452398623 13.774994801300137 15.337538264909993 18.161272191308687 24.042797340529894 32.40439071212415 38.74658371814805 39.0481213432095 34.41593087785699 28.686159091274966 22.223314312891276 16.19444990672801 13.437851362031441 13.721314037689842 15.292124076979029 18.158424185201298 24.137775880304655 32.54174709674595 38.78788419448422 39.04389962474645 34.52840788037546 28.795803276151904 22.340953706191044 16.39421400991539 13.608055335462344 13.85325387786849 15.45999915231311 18.47723818388361 24.723446498650635 32.97261889628932 38.918603557051554 38.952913288839696 34.44691129793107 28.733451248627777 22.247801157532777 16.40775942128085 13.775077156537185 14.093215437249954 15.75345786362883 18.891169106140637 25.241785297802846 33.36681426354382 39.09686349276868 38.791985755306335 34.19054484534699 28.56854028678446 22.21523506162408 16.341748323573004 13.616230105303654 13.865771873899643 15.471356074510485 18.547559430677893 24.973278198183607 33.27010221353352 39.088938488810214 38.834308246633405 34.28262745096657 28.614287270878247 22.271946767974878 16.413076059370873 13.60390382146366 13.759433711755802 15.29239544423553 18.40690343623079 25.023182096619486 33.40831320250042 39.138498790396454 38.80790191743007 34.281887603919 28.566606963842638 22.154787330195933 16.278799220580282 13.471773619179707 13.596672761633759 15.027739464512626 18.06346454662848 24.743996155422657 33.2814010820392 39.09112562789245
6.085777715598611;10;12;21;12.512583523378517 13.63923759337148 15.8108587888077 20.874231910971286 30.016651823560363 37.838209503776596 40.49703888123978 37.06273099036788 31.28949453982697 23.678331580996634 15.736558839003944 11.955099322433353 12.50246192973685 13.661420178982983 15.861966288781737 20.78739472641297 29.690047154461986 37.58247354128599 40.49996046702617 37.15909741839977 31.305680719121348 23.54551486005631 15.715097199238068 12.055224389480626 12.615656502886319 13.80873209668651 16.102407128641097 21.280023503140654 30.295992687108853 37.962997939190686 40.509118099368635 37.00343656977986 31.24130862563932 23.50356735507498 15.6274280242727 11.987170611876842 12.59006697562419 13.783341707087734 16.014496288308003 21.037190986192293 29.95394708610708 37.74698015241626 40.561486579529586 37.26106400255084 31.430266641657447 23.47391238178731 15.426266582227221 11.9999626753362 12.720489319303807 14.04343574671257 16.47553508119887 21.620931319289618 30.31539612099148 37.88131774507025 40.562194024516685 37.17113478386717 31.318412703760238 23.366920440569046 15.428933001787353 12.02281962883139 12.72532667691593 14.003996363725078 16.376427303842007 21.493627673930963 30.21436514633669 37.846256015461854 40.50718882668437 36.93187526912938 30.964665233625585 22.876524705842606 15.115144697693689 12.05067460015524 12.80156062470444 14.073874782359503 16.41003769115818 21.52364058873047 30.283809512369302 37.884552550774586 40.509824194269875 36.914766981197246 31.086039301916852 23.146898974196866 15.291245846131503 12.02042862678532 12.730002699268594 13.980820114925598 16.28986857449092 21.35773528865625 30.20180462260116 37.89632259924305 40.524970807457265 37.01677406792392 31.227656557491457 23.341060221093343 15.553276583912798 12.119873925605491 12.755763687434083 14.001935457670122 16.345956541177525 21.56792036702326 30.531496938045876 38.13802306920348 40.50891423640479 36.92559466974015 31.108347445512706 23.133343099666043 15.464856761213033 12.199237372401788 12.860715986449582 14.144836644891146 16.60364742798361 22.04992953719016 31.08118169301693 38.46250540334058 40.465747941419465 36.77183879225915 30.976248295203376 23.087594765486404 15.427711174090177 12.12807299699216 12.772228659457156 14.014982012312814 16.371489364833817 21.710222791168377 30.811948247208647 38.33936947301085 40.44654297015725 36.73458452322512 30.9237751833888 23.10785921662193 15.530745676151163 12.140338526968758 12.716636849321613 13.892458345917522 16.175675612852984 21.524947978118593 30.771140552208905 38.33447676187874 40.386088825821304 36.56924220895169 30.68302247369734 22.848439882402246 15.401067229776677 12.115145249904552 12.6897060117643 13.822700084924033 16.046195629098925 21.398716638448867 30.690896849436307 38.28613558781797
6.1069995145378;25;12;15;12.94412969080557 14.494230763192055 15.87631905148743 21.29561868235278 30.83042552219596 37.7587421003696 41.5025274712058 37.80070546885971 30.79666527535008 22.351861556081488 14.59261826974622 11.663696791872104 12.645060022683824 14.18843834256415 15.609440155407183 20.97267223963446 30.350188508472154 37.58112750569032 41.70660914895181 38.023059208543344 30.705505453411185 22.171508143488193 14.730939965753088 11.925602646711976 12.897754241747105 14.465369977907548 15.89519122658681 21.39206780314317 30.88145269206173 37.87687731269897 41.736888874468065 37.83304542538799 30.7053663945683 22.076494585861614 14.450178811887 11.695075487272884 12.74509463397893 14.295289537332215 15.69473452935672 21.15957002464056 30.555855862052788 37.59863811920672 41.73339485227991 38.49753608097434 31.11649588867988 21.899407452849115 14.056962931919012 11.547845924806403 12.70881580197385 14.301026727165517 15.736451507178614 21.053496985606145 30.356991591086583 37.60098456841963 42.0103973671306 38.44941902116521 30.919340151360934 21.765546440501318 14.043380393192589 11.543876672397905 12.693128479402239 14.245615153491382 15.673314067209366 21.040276269888388 30.417688075833187 37.694877639168396 42.297628132405364 38.48256092869031 30.617392100200103 21.17315205708479 13.558019128612846 11.432734904788273 12.64429924930553 14.128916432509854 15.532897037958286 21.032229926963865 30.469424040771905 37.892735421131015 42.208406358708785 38.26885043863906 30.70820224990301 21.53403354962864 13.817299066468184 11.479612585784139 12.665497622330026 14.201189228404983 15.632946500197779 21.232962041708014 30.68191540329769 37.91239537132576 42.03625691156338 38.09771625605528 30.641951511956215 21.82517534485948 14.432689799744253 11.898814243212179 12.980924930649511 14.559553317114755 15.975725197817859 21.580434819079045 31.0218643209694 38.08035955232615 42.031458706441 37.96308839494285 30.449074196706164 21.64160788413184 14.486073544466837 12.108485276390565 13.199542982777256 14.778739080343783 16.205184439347043 21.922040292092667 31.386222790867514 38.37623896757671 41.8987263658665 37.642262093296296 30.288995867174485 21.65481425518741 14.437026275504829 12.011276394786272 13.093617946904505 14.664090464730384 16.081509824761874 21.915091906488286 31.38945219622844 38.40420194576882 41.9115575818156 37.55707167595746 30.16434514051743 21.69288380731607 14.59645926399866 12.090570987204051 13.110001238733457 14.664530592718538 16.101581551141848 22.078060769831726 31.605692747168646 38.53445282854508 41.90915172882515 37.434351572070526 29.93482244495314 21.40575277963371 14.363828670800237 11.979776191658699 13.018242653718652 14.520924660682127 15.955821557126608 22.102202836298463 31.56671036824247 38.48400552055327
5.899121849185428;25;12;16;9.632238809546557 11.076590357221212 14.722111079315887 21.263028284898724 30.664224553319883 39.17733671013633 41.32813958171574 38.2088728746093 30.873381203788192 22.002417990886205 14.449099418247343 10.373784265120182 9.552847010947344 11.063102999547441 14.718297086780511 21.082499529905242 30.310408228806722 39.123811206399154 41.45027374834237 38.28922863450772 30.744938085969412 21.68402555651156 14.334662091069974 10.43055132499096 9.668961144754425 11.186592652370718 14.857013007856523 21.40477649880109 30.779855356391508 39.337853817570306 41.42456541352516 38.13096347027693 30.69591376846691 21.773746186930914 14.349911310782211 10.371567424149177 9.644084462822802 11.180035285381578 14.782081892916382 21.161804247966923 30.400192313261176 39.08344093921586 41.4550706033789 38.56958206244613 31.14248166613993 21.850654840124573 14.199842517766387 10.295978817398513 9.698241806739286 11.361304562465559 14.995529116226255 21.260261621463993 30.34944933646751 39.15950747635857 41.57245921823143 38.435611693144224 30.83026216180772 21.68480084331278 14.248672422906022 10.370237589583745 9.739195311011176 11.302616330425634 14.85626371020798 21.155464244800154 30.30808540609624 39.226678297814345 41.73766652391953 38.475929306979246 30.701941901801582 21.44375820268434 14.058358920691253 10.375253158528496 9.839873913258273 11.37589089002386 14.811897188899122 20.960177701345007 30.271377921832755 39.42240564430057 41.710577051274456 38.38692354701918 30.785157143537145 21.744843211463493 14.274247099223766 10.390260712873005 9.751012612484502 11.283501814915597 14.823040797531686 21.14170146961232 30.485527864829237 39.412057236235555 41.60630452048606 38.26956868431298 30.645559616398977 21.602646769057856 14.292015579138132 10.467211556249579 9.800790277893107 11.321485130310382 14.918493217440929 21.37677335555485 30.70274790305596 39.46425965583656 41.594203700983556 38.195577229126684 30.481235941901815 21.358164109675386 14.133064571293904 10.48349899198295 9.915860795335641 11.470928833576162 15.131115538294479 21.653628711047542 31.06232706903364 39.696702587101385 41.497513252346906 37.96781099525745 30.277242019736264 21.36666391268586 14.163349697153569 10.445541328219377 9.823791690574593 11.380211164754197 15.02908279993659 21.58403414796376 31.07501112562474 39.741942613957285 41.51256535952457 37.91732993511931 30.187434308779377 21.32781687986647 14.220011450327794 10.488276945817532 9.77962768214372 11.260418046997064 14.937633384582176 21.639384967774497 31.30335249606745 39.85710358715198 41.51128412804985 37.84072336363531 30.051027709555317 21.182622571823735 14.135446122739003 10.471244262693178 9.77618766338969 11.231469506132097 14.894230824572524 21.597761820919406 31.267752082203618 39.81953204794243
6.0526705958852265;25;12;17;9.997597693061916 10.895210373097267 15.10698140358213 22.27138707300835 31.393389721619386 38.89884370050367 41.50644812052359 38.82595121520191 30.96350618492059 22.213874765746585 15.400211950388655 11.401766635486874 9.942446685957455 10.885033425935617 15.09712172659599 22.147162635959447 31.185496751509703 38.84577587587074 41.55388878732025 38.90551312461863 30.90083924987119 21.992865458431673 15.33299995131436 11.443497789210225 10.010161592012079 10.975786196989764 15.25104636480864 22.51282900152788 31.686566264991782 39.111921000289755 41.58066639013322 38.71329195109324 30.734187352320138 22.06752242156324 15.371555028067986 11.414429090704322 9.993239615927688 10.96180470789371 15.189199606915082 22.330582937329087 31.413622108215897 38.941571217586706 41.595679344821136 38.96948424260224 31.05928195039168 22.175580593084096 15.32812951659883 11.389760321994096 10.022932054097785 11.077056136840577 15.346814029764612 22.502290231357563 31.583709299220494 39.09151715278989 41.65106661694992 38.783037386271126 30.627130269459453 21.98215067081824 15.36863479236745 11.45616699485694 10.058995547409275 11.026465719748327 15.223494487758842 22.42364131749909 31.553164956877012 39.09885216923049 41.67840990573539 38.76470052021255 30.611488849806854 21.903899863525737 15.25420961596276 11.441139189224632 10.10665492811416 11.086722751549706 15.269225945865315 22.41269515892256 31.608238334044913 39.191314148974826 41.68787265748068 38.73188263329223 30.713510787477915 22.20081859174219 15.494566075456294 11.499080823787722 10.067073111069153 11.007741379049875 15.244268258782498 22.50927692564803 31.700694913445837 39.194500351588445 41.66702328164925 38.761893691723685 30.7357082240338 22.093041744361003 15.458485706071638 11.528902870199728 10.096594088335888 11.045771947449522 15.342753646561022 22.70575791537164 31.894928389935462 39.27592942974019 41.658003358063816 38.68917671758284 30.652747473481575 21.96373043695823 15.330759483840923 11.509946314734519 10.151191560240525 11.165986291992864 15.567314101571762 23.01764327345517 32.2615651297109 39.48170411514615 41.627419863230585 38.44686330864505 30.36031482741431 21.903247772058627 15.326417607736934 11.4732226294408 10.090669911611913 11.113465252130494 15.507541075548765 22.940270528249464 32.18279234547539 39.44796276950222 41.63073297391442 38.497214760541276 30.423839066980506 21.896477935308337 15.348876285905423 11.494327171498497 10.066286011016718 11.04316358158108 15.463692987207548 22.954059630111434 32.24383850245799 39.47552612228177 41.620196903915804 38.46929498509647 30.407087201713622 21.818181731379017 15.256610068609804 11.451217580118996 10.052158712648517 11.0408306332267 15.474002917825743 22.917946183623375 32.16148191532508 39.42157129124327
