rmse;hl;T;RS;preds
6.6353360944029935;10;12;15;10.559547978009565 12.047150876078309 13.788754201273335 16.714134403954425 25.53398066628141 37.10435548730883 44.085600831272515 38.91581968002219 30.291947154849648 20.753820116371912 14.543323935073072 10.869238771538674 10.523817955903823 12.065790161368009 13.87381163515563 16.446122110800395 24.697173827946774 36.90387853879094 44.99967645820216 39.684812380991985 30.183643267703506 20.103783479930243 14.370282756221604 10.837203934413223 10.594675861824767 12.053096654175937 13.727769473197064 16.307080819033754 24.915747327241363 37.264896896288164 45.1738861363596 39.38598977858138 30.226472041225534 20.247506869435885 14.36380976959829 10.795073155277315 10.683545263113658 12.184397228703078 13.760458426918404 16.00379078253481 24.285213693514 36.62098154910504 45.21118630831265 41.40492166436066 32.08671348573026 20.348289428293683 14.22501419345694 10.67168880915059 10.748230576513633 12.343854518742269 13.818306905557622 15.595248052918025 23.40983996517452 36.539563271640134 46.49885499237651 42.13903894756981 32.64271664249442 20.234272652859595 14.330613183596135 10.779706478095846 10.776533776340756 12.139389416613938 13.619333277637304 15.377939584067914 23.355931712097956 36.89022107029966 47.81809138386059 42.75991102940999 31.848751403497424 19.640867392660457 14.126341818787743 10.902676347865631 10.964530531231382 12.191508130892043 13.322931379161542 14.69417780301255 22.92689670435791 37.855421748319436 48.4269369009202 41.6819889833323 30.814240017944506 19.749190181008544 14.121432231582471 10.821472734051383 10.777351928367812 12.13333968190561 13.531435263119812 15.123598260263691 23.5508365187781 37.64811876572762 47.24879528178552 40.54564872238534 29.9179828241058 19.387645290028562 14.078531903510221 10.840760060550632 10.762565788103235 12.15797604855536 13.547435130566447 15.414736849040635 23.82554152502806 37.63673754198488 47.163251141953126 40.32646228411339 29.29121896760212 18.915882765205485 13.899220925956353 10.913178665717911 10.947638257035763 12.241638168708342 13.595450933936585 15.46639315891401 24.133188626096842 38.257660927087485 46.9906750676781 39.48723271671513 28.976646263627728 19.04589603287157 13.938758190168205 10.865619191366164 10.758375121614806 12.187521327367454 13.52743090847913 15.499040935016826 24.404732068799998 38.55090497475254 47.007356728480616 38.95056008919751 28.05859058360276 18.99666987753401 13.991720033061654 10.952412160612786 10.636909247485521 11.970044772828615 13.345730954007971 15.664214488558594 25.091731018209945 39.023869751027924 46.90795530745068 38.68111535495321 27.227890858625216 18.970164992063392 13.992928359900295 11.066614572851693 10.744625847285509 11.955512448704443 13.281491843982488 15.712854031592926 25.258243856918117 39.00982885815433
6.633350648927255;10;12;16;12.17039886353386 13.905361116416843 15.984369122493165 18.700834002552217 26.45221151994583 37.48638253076817 41.77341274705551 37.76180139491302 28.191919999645847 19.080330647601137 13.123506822566247 10.9054426737789 11.919789177027965 14.196310693174334 16.26916095767407 18.73263021200311 25.76490002566086 37.11921723238119 43.01811629892616 38.77892502476219 27.712550416082742 17.612174386162327 12.590513178998682 11.852644007203406 12.605050903466267 14.134060934653588 16.11213517225655 18.64027117630508 25.88141986026684 37.40607672404632 43.16130235426222 38.585039195379764 27.606762076402628 18.15397666487929 12.694375283687698 11.396567454866084 12.388511983552497 14.23833414048491 16.12289670659265 18.49277530940405 25.27240895769021 36.81695056095899 43.35547305175967 40.375670213291926 29.26106007476973 17.34106972136147 10.809089746605553 11.47976784565726 12.985628629762166 14.68548865046116 16.646228460751573 18.626064897914464 24.907030835451444 36.35156516666365 45.40298085470842 42.00361993614739 28.66786137770614 16.25056892538924 10.965857665625109 12.131862012939251 13.337327344614538 14.377046011303362 16.292765183689028 18.401124731257504 24.567871296102044 36.57608984439928 46.412719514940406 42.906010570017315 28.005536934871294 15.21943005429769 10.78303443972406 12.672809012268194 13.916720063742998 14.225853946857649 15.91058558052827 17.89945577965659 23.878618040838667 37.286202601137994 47.213036907876855 41.279632347095024 26.745024215180777 16.002428545908902 11.75915461212476 12.285994564373299 13.193604630151823 14.159938030202454 16.02190758459931 18.118997290507945 24.45197013833831 37.26449322061805 45.8257318878446 40.23224924301741 26.374348356053936 16.168402700361632 12.251641629837852 12.593229551735382 13.18111431088066 14.12252917633822 15.968390181377256 18.21365585993549 24.69770668995697 37.3196415275508 45.612527679988304 40.25153116917325 26.061744752296484 15.584796363285243 11.97924965817594 13.088355312248613 13.674045506839466 14.167351351622543 15.990270347757635 18.22985756521718 24.90137937606982 37.91735828692223 45.69031557659388 38.950774752848176 25.518766548801352 16.21042614767221 12.702541953013888 12.702042421248192 13.104428084331321 14.091232836174486 15.878070112839069 18.197727547039076 25.13644856184064 38.262879008910225 45.27873380372147 38.02290124849852 24.916980630668288 16.503469032545134 13.489907972360298 12.826550038804807 12.816360940870478 13.829436338288726 15.614724391436727 18.185360760623485 25.785795641932772 38.80508698842608 44.68673195776677 37.2190034278793 24.671898111265154 16.77491526906686 13.787023391209493 12.817650272860313 12.773217597344646 13.629180803850767 15.39738487061199 18.089333204140768 25.920027252847277 38.87791601969275
5.847361831362303;10;12;17;9.24483842439136 10.90251703773495 13.558472082416605 18.224319513047227 26.43967968553468 34.21384800221668 40.09256531038463 38.87750559359336 29.53574651733921 19.85859641325385 12.799428839142188 9.08299418256366 8.971312380612734 11.17380868942648 13.884902590439918 17.8633453708617 25.73658973788301 33.95041790044851 40.14142356732719 38.81181851649029 28.81428291378946 19.178726254670423 13.025847012286972 9.560182027387945 9.375710346660103 11.152562388354193 13.532011074736216 17.854548886484977 26.07815926486079 33.99219900734843 40.225473162120046 38.67079934894867 29.1579330918278 19.318554646489495 12.723810530502753 9.159949076197792 9.416065762899013 11.401076741615872 13.476512420524546 17.443057231843273 25.49477771707896 33.49752080029555 39.96709643170052 40.615454911426625 29.350541739993062 17.757938430435125 11.190270286234918 8.449512298854303 9.633063712002881 12.194330485368221 13.95193975339622 17.122372014168384 24.750881340133034 33.36061129409116 40.23238965194615 40.12167991180955 28.78988011199232 17.89542104808421 11.850536523186513 8.945721503264751 9.868707696825716 11.838323646558191 13.441154347071368 17.05080396308864 24.763982066970588 33.43451094343943 40.67722943972703 39.854030791750034 27.877213299650524 17.398483472355945 11.849626565321435 9.507808146883578 10.513244083501322 11.897681521181319 12.729719856282342 16.3679507898125 24.826000707669333 33.65261123764246 40.503170971185156 39.26972713533045 28.308430721172314 18.25115921980945 12.103096408707398 9.220870350238961 9.942111864665852 11.58828369628236 12.99215089451912 16.875917891918732 25.231841577972343 33.71956672040464 40.32993605501375 38.703036698952104 28.15651399814488 18.53829952933205 12.805925452267934 9.729551647761552 10.00253495702718 11.399806310827984 12.931472635931534 17.114023758294934 25.359676482114242 33.76887253080754 40.427822679716364 38.453385573402 27.5957119612154 18.135822060410902 12.861185816326506 10.142497007345721 10.491764217576426 11.588201341045313 12.970243051378752 17.065792616231203 25.66402717981163 34.13431444460288 40.45401704544074 38.17847569162382 27.652469232963746 18.636934101597358 13.052426827522446 9.992094743124149 10.045747154931524 11.30046294348973 12.79389213705809 17.240986506975645 26.010200668309658 34.31164687133884 40.50743454230965 37.64461799311019 27.445727886086868 19.101187448904767 13.723659136816904 10.342783593758305 9.74997979680678 10.627809668834749 12.496944803897623 17.669175010885713 26.76118508036541 34.653828831011786 40.69314830202247 37.343862067757755 27.153917967119405 19.13943335599801 13.981156286303053 10.620705517075049 9.84954727839667 10.462272942198462 12.324884462418527 17.698285562053066 26.902734494125887 34.660303167720954
6.5771924766011525;10;12;18;11.530990102928822 11.723754010967205 12.86059245359401 16.5925456720125 23.94712536290877 35.272352438510275 43.12280195598564 39.44603754707551 30.35510957140718 19.651820639187715 14.66567276535037 11.463526312842898 11.459571911378786 11.727364140538743 12.970907968661468 16.556705617909717 23.472518207192937 34.959537546316795 43.40054296779806 40.366481528974845 30.244495012323235 18.908160949167932 14.656679168439076 11.463331900480034 11.502765208081186 11.73281308704238 12.828807382351409 16.325387308160632 23.363358365615845 35.129946732797386 43.69611861373164 39.9580414058829 30.348134352846465 19.043580635633283 14.617147304570636 11.427122597896394 11.517400138730205 11.78339945387707 12.827481598043535 16.157842328817665 22.83082375123838 34.53989913611523 43.455459059964056 41.338253074842285 31.796821026195843 18.96706789511608 14.28699595993582 11.281199918535838 11.494193512999027 11.942717685073378 13.017815351546105 16.125853394611227 22.32057230386848 34.24444432286551 43.84334952628397 41.86325150998702 31.774018751177707 18.579742439725738 14.26105001000844 11.337530900676025 11.544381604507015 11.874858319832459 12.808341430902288 15.837325196831504 22.016657177619493 34.32634188080832 44.8041205726193 42.38655963764351 31.606762690207333 17.922308682894222 14.275553307286767 11.405974853091394 11.67833577277868 12.024484284688423 12.675889908185267 15.167399095600045 21.255743390395423 34.481582852727875 45.26896863274506 41.93907773184785 31.368769555999876 18.147704166005184 14.30300055268294 11.368395213366725 11.578446970755724 11.898064945563636 12.720421139968218 15.494115146781315 21.873604780782905 34.73474420149637 44.799886703383564 41.13461152508442 30.572267505684657 18.03857875161735 14.512660785174504 11.429270584488883 11.594067464077598 11.85332715064514 12.697560136215468 15.59390471749406 22.07128030115534 34.83706180796929 44.89424285357999 40.928430463836634 30.199803120323747 17.565628826286357 14.58747106743078 11.477270186828784 11.679481995668073 11.990540426166506 12.788804338520192 15.664802450947676 22.255818136089992 35.21043075085186 45.05131049165896 40.27901216671575 29.88151025478078 17.754451158676233 14.64137797042149 11.469778560429209 11.613817870024507 11.888260622097476 12.70839727535935 15.636359517234744 22.422362026772788 35.49702697577561 45.18815114348483 39.93521550436233 29.31368912150036 17.710927765982717 14.704265644507888 11.533779380301596 11.578738589300022 11.706525565394132 12.573670857979634 15.656003941442172 22.89161339190886 36.00202928934815 45.38445632671624 39.74120546708142 28.785800827586783 17.60550293691859 14.705489497333842 11.601388979659667 11.623851708085715 11.708009309746833 12.546659690314053 15.664579686781892 22.97907060339527 36.03084687188536
5.836325474192408;10;12;19;10.998856464049766 11.149291130331816 12.82826869809597 17.33670759396968 26.460844643934312 36.692172926231734 42.14993819066294 37.43917407873826 30.079553673548222 21.36884160116712 13.637302245300875 10.307439696206586 10.946304372212772 11.344001862170558 13.040232177053142 17.335291353909643 26.057561511280248 36.68809026661157 42.44110715637157 37.563012053711674 29.773236744566333 20.852162732571458 13.72524548769445 10.619401334140829 11.005957915637758 11.172046827388014 12.807824348020501 17.205820820756554 26.175370340354597 36.795076469964954 42.49770950576826 37.35429958148908 29.801241575419894 20.901627515583577 13.54458644941613 10.384883320919588 11.09968492582657 11.379475367964186 12.884993905305297 17.065397041076206 25.781789937206238 36.3956346690848 42.509757671922486 38.51955193098297 30.362583646690663 20.344107874884763 12.850523513300619 10.132653531389819 11.176998942297663 11.731720867587118 13.117729805200273 16.96774938156961 25.166279383810693 36.34601091346346 42.850862263084565 38.36111260567712 29.99668540387694 20.282959111377327 13.14458841316444 10.381508106286512 11.277271168702939 11.506240329067403 12.884123099929964 16.795078801284856 25.15068454212003 36.521292559788364 43.43122501889857 38.31313460471087 29.488599494215624 19.715940604136648 12.911400234508632 10.634516895353597 11.483477881581937 11.475664934749293 12.658966582015024 16.361554083039895 24.883369905830655 36.86912867901464 43.33244598744697 37.99094471635256 29.603441172106034 20.292845790080534 13.135006853864063 10.485011088138569 11.240403024222923 11.333024314097942 12.711497072478366 16.6445577295082 25.37647053756404 36.860508380841765 43.04352221451225 37.63379570491069 29.422123966974265 20.38200444726348 13.54026077434238 10.745394046135996 11.212731664575113 11.180688726934543 12.588057372831656 16.59094987053398 25.43570960463208 36.87401733988919 43.09481602633403 37.4733339509967 29.078743131063643 19.984345097231046 13.470886612774136 10.935012254136353 11.333028364355501 11.194991536463665 12.608623230633915 16.613373446470284 25.582167930554906 37.15438561877199 42.935295282259744 37.134142431488655 28.930556020205756 20.199695266551046 13.522277630777351 10.818135321822197 11.133665236666527 11.087162879537859 12.51472475954174 16.668312490095786 25.884537208501946 37.36016975477892 42.94540877538629 36.81178783265624 28.732945303954278 20.33419891976498 13.827191820557731 10.944750423395703 10.952090840179718 10.713078391153074 12.298335699157679 16.752588899311988 26.42184842662814 37.64893691775467 42.92708271001454 36.56765585807415 28.49538790995595 20.165114167506403 13.818734882773095 11.007344453809026 10.976272227896928 10.649637856909777 12.266689686757958 16.84712191075518 26.519732688680516 37.60151785233166
5.836155947981317;10;12;20;10.738991939019979 11.332383023317657 12.747144064304134 17.25892307257874 27.30156639372185 37.53847829358677 42.059286676047776 37.44178514477841 28.816612149407746 21.126822342184603 13.720339275703811 10.18729420604176 10.687145942084223 11.495964825638465 12.966749029190591 17.149123290307216 26.838869695403215 37.74269497991811 42.836293486642354 37.32963891329398 28.18298951924819 20.395356796351926 13.53472069704365 10.37761985902921 10.779718628868526 11.369796602482378 12.673660241398657 17.108217714083114 27.259374185679622 37.96108756770836 42.92662908116785 37.21315890622067 28.37310422132107 20.612242182047783 13.513089621503191 10.19074637556847 10.865308671619921 11.57014529284421 12.666149713797136 16.82617397865646 26.776042775180212 37.497713801334335 42.95635392139843 39.63965875963069 28.294875521684418 19.68102637140772 12.615913019198432 9.93340111074081 10.95636251181934 11.914614297952534 12.955643222961918 16.678121538862435 26.372717452343235 37.841068985613745 44.30346958575173 39.025817924914136 27.527840782723267 19.43126251368888 12.780669396211552 10.179839031960222 11.060500034022413 11.720970133937843 12.615012511934328 16.544113367156637 26.450256933151817 38.084211347265416 45.727734556102014 38.92925168417598 26.702580553648385 18.794317659765987 12.488101741558964 10.621615474940127 11.517481143881398 11.752320477535708 12.232071460352351 16.01022866692594 26.56505810846663 38.78509761728316 44.639397947752514 37.84026163427351 27.598628821701304 19.62054961313373 12.852203695144965 10.368967158795856 11.142029018527289 11.554442444285288 12.32014161081613 16.317454878729976 26.831461774326538 38.516573641590746 43.87226566508846 37.41080202453263 27.448101337016844 19.66107041488966 13.125983555063998 10.581670484800599 11.111241660730224 11.422949482524059 12.243390580145835 16.4162217594089 26.763862300612367 38.40199455539879 44.090334232273946 37.14151795050485 27.075372334828703 19.217721459412203 12.930794892833212 10.8864051131625 11.428490234865716 11.526263452356662 12.30087993594809 16.484440922529707 27.065192687495347 38.843614388419724 43.46656621627858 37.04487610495891 27.19043711440636 19.604293566896445 13.1311145563492 10.758445326079174 11.181891653429771 11.364820186027371 12.152281386426434 16.507653623647222 27.29298659812457 38.98896598146436 43.31276578596443 36.605999646391744 27.0294397139301 19.77631003058531 13.451071402706273 10.87571108311906 10.981503810578195 10.969099221758714 11.934062284668318 16.696700070288735 27.79471022820254 39.17198226964242 43.2579198982628 36.24959993259842 26.935594571229124 19.810833750981192 13.579835165915195 11.043888577684266 11.088499464532557 10.91503368368025 11.865592680621738 16.78224826037868 27.91403351608275 39.08410248128395
5.773896074326681;10;12;21;11.16339817741222 12.122268302866196 13.967592648778572 18.708947343487203 28.061426776458937 37.61855728588528 41.9125971479226 36.131526824218305 28.821847107303647 20.888658928398907 14.041353239283962 11.089957557254046 11.07418180405905 12.087043212869562 13.973042945368064 18.466783119036194 27.480851382123046 37.38417158107766 42.41287146083712 36.55269015639109 28.744736278753464 20.862420178602108 13.791287637376922 11.165694673448565 11.08821999676094 12.04242422550615 13.861232210218155 18.4999074754452 27.77900974229386 37.77979533916488 42.34010453351971 36.283940716361194 28.789058922272094 20.915548250816233 13.879328760994856 11.043655012831657 11.093359773604186 12.10030780637755 13.859272560602191 18.276875992663246 27.318849180250517 37.30195000253007 42.46491457030744 37.259974483267285 29.579170003679586 21.646003088627033 13.660992201767508 10.860545568729723 11.061578752619143 12.153204170107117 13.883892726221701 17.98289817333696 26.645617393807424 37.13466761488556 43.082157621374144 37.52131600222051 29.468156494226008 22.129696490895842 13.763099194847323 10.940976933435925 11.05413437922443 12.011131935599975 13.69515679932643 17.895964120118673 26.713909461564306 37.38138905413415 43.61315178779307 37.933032783678236 29.784659820970518 21.81091438799181 13.595616994496533 10.996300751529601 11.150830228204498 12.007978135046828 13.525477334249507 17.449730031172866 26.42892388906346 37.942193116192406 43.81707685558011 37.682367743652364 30.067655366923702 22.02497066878222 13.745322614417839 10.970608617742625 11.033761583699185 11.943107859884961 13.615640117785793 17.82678909621378 26.978206318450248 37.94403058303865 43.27576263289909 36.994742016885056 29.136054275533276 21.169932439846296 13.621075563430898 11.052869348779954 11.092148746593839 12.011115734569737 13.67915423170809 18.055351205693494 27.252975791299697 38.0378547994089 43.188971013738325 36.85071485806243 29.044690253109078 20.632925328558542 13.3922171101064 11.16621445650206 11.191705427496903 12.107121689678804 13.73840409946296 18.106120509161297 27.452876928201185 38.52029852845981 43.07853129077237 36.562379722559726 29.069338095488575 20.723605194976614 13.520838439257806 11.123505840620968 11.120431695133163 12.065007111573134 13.717047766393634 18.19562512584413 27.712704325870007 38.708892021297565 43.02869962192963 36.38322873017946 28.636793539573063 20.190598725593446 13.59783923581095 11.214471925239927 11.083103171377196 11.948671563686124 13.662623105478211 18.417289646699693 28.25595524670749 39.11491954096978 42.87067477298072 36.12063433155444 28.38725447114878 19.44182119762553 13.615708972164308 11.298244752432874 11.142339538273532 11.981353091935272 13.670598062613243 18.465831983552594 28.33143314641819 39.09325066302544
5.806343103601327;25;12;15;8.61758988706637 10.368394722394086 13.824216906380137 19.366879619520027 27.61869616030226 36.586875680280734 41.64523154589226 37.56481036806818 29.752548703994357 21.278707338194486 14.020526139869103 9.544094404360852 8.450028031650238 10.425997485408015 14.0468123114315 19.408156469353766 27.27941350999912 36.456298076728 41.83458378697952 37.70618595827505 29.509064770621816 20.812033793234427 13.677262761427714 9.414928990610592 8.492350522977304 10.470399108949056 14.040677521314421 19.439080185822007 27.488688292979585 36.65057813117956 41.94721874954283 37.55059666420537 29.607228162924343 20.945579560535492 13.726322856205327 9.373502956290071 8.520264898078695 10.604549039669442 14.092860364670555 19.266530438221118 27.071545178956256 36.18350782973938 41.77954348691503 38.30822164229097 30.332195239263225 20.960446030908336 13.245461427774401 8.941885909355724 8.380965739914089 10.890065195910607 14.57714223561064 19.52777711364315 26.837141247989617 36.033534892819134 41.99935366485118 38.17935594760012 30.154585369884426 20.805637255222553 13.262938964187397 9.02929046749386 8.477764195419002 10.798834494464415 14.335244653115643 19.295815487985 26.7249258246052 36.20069982299442 42.64984122996782 38.3896912230183 30.006611910112817 20.450978645897703 12.952881622349135 9.040112755693356 8.716005745423452 11.021547356985009 14.268987839782508 18.869596759334797 26.44172540312379 36.424425249904935 42.6884050822795 38.33537456897113 30.058356650609575 20.662322435448242 13.158110873070395 9.02505659825813 8.533700952490044 10.77940675903643 14.18173921656042 19.038288974131547 26.7997506202844 36.56102693653479 42.44919147046072 37.99543645198625 29.549696954460636 20.440522568485896 13.22450337003178 9.17836154706415 8.58054083108202 10.687009583413047 14.045363669310984 19.030648500766652 26.901293277477563 36.60425398538352 42.49034748761059 37.89812766402882 29.220114671012958 20.063241414322125 13.003447737896026 9.221539992822164 8.72262116610428 10.865436929775978 14.209966811579761 19.160613502863484 27.078117396889784 36.81787266959675 42.33986151806612 37.567062311271364 29.028548964169318 20.16315958071239 13.150231096988016 9.263924588098478 8.637252537432817 10.710696839707975 14.029590616287692 19.072032344904258 27.226333534593515 37.06594824495613 42.491959490119356 37.44116950562934 28.69046451506092 20.062072239973226 13.300046073863435 9.441436576252919 8.6124622609958 10.416384874133014 13.7023743582978 19.000523697602056 27.60101611101128 37.45523199987659 42.716605675581775 37.299834417998056 28.37562584417344 19.89383837932365 13.347742581929284 9.591379811284392 8.736902374259753 10.432323987716252 13.655575657324349 18.984262588542823 27.63065387070432 37.434135558334006
5.703254842847223;25;12;16;11.028284285392628 13.30180388564434 13.760415899214028 19.10315688664317 28.358902668230943 36.413274890843105 41.2547354138756 36.12687577845393 28.322074351283597 19.136437853011152 11.776569369545578 9.704854527248408 10.897699931410624 13.386997003154885 13.689889439370052 18.822719753381858 27.70592756992972 36.66790783319163 41.694782396877514 36.11372459215761 27.580428314313906 18.351183367939193 11.703358263982453 9.979129868675576 10.976584097729024 13.198187496580614 13.628599591890952 18.829933262095665 28.18542811182059 36.74155366639949 41.69246834972508 36.06177193843945 27.758192431001437 18.514582908669816 11.506564349672177 9.709037093221715 10.994042057897145 13.427422623858163 13.367361354505501 18.58327460183925 27.883601568386545 36.38963353746719 41.69058497995982 37.231196053219826 28.432548838960273 17.9194205117327 10.53980702266363 9.461625760102125 11.11043295930414 13.664700212563405 13.68882084641722 18.02312600646274 26.985582850030834 36.730141390682135 42.368149866948855 37.176140902210946 27.746973555082555 17.73397778175492 10.865102108484376 9.597132527105007 11.001359523221655 13.270240228481667 13.215472645759522 17.93458670116496 27.26523220819679 36.92419868096791 43.029990304005324 37.42405041701038 27.294893931913723 17.09150027600549 10.596382370343251 9.852846888221965 11.143181991845948 13.192797953854518 12.385408811218847 17.48368401533868 27.495499138587668 37.41808978796836 42.74970708053128 36.957287935144734 27.445118322324134 17.780303615158278 10.728000890088829 9.553436998465205 10.736228313278415 13.366540502306737 12.688651594712928 17.96399764643466 28.33033721422683 37.19862118175308 42.29399910163188 36.335828565958394 27.006687392088534 17.63676957519355 11.162466618173491 9.943622610735618 10.998814611388315 13.404469814267392 13.063112757050764 18.286406248701198 28.372318808875956 37.20275379454982 42.326800787521975 36.30746461226788 26.70957096067495 17.18655037033047 11.019789545204103 10.29946743924326 11.356386199702241 13.49291731372715 13.106775883630089 18.361304286537937 28.666082639594507 37.56960992327641 42.070319577640376 36.0425885685509 26.80974193064123 17.59639660783855 11.200525538376057 10.15682681859191 11.125973797560674 13.423565428575483 12.974263607049672 18.403910970937105 29.21950375716437 37.654623479368475 42.022334826244865 35.65067754656006 26.44271400348982 17.59924393890301 11.54094428592469 10.314591100971148 10.972987469016017 13.218457685581015 12.847138173023644 18.640370407615293 29.766574070880644 37.702835045187335 41.96490757439186 35.50376255409738 26.297859242039166 17.411127026371446 11.530436567728998 10.469314990008911 11.074657034279387 13.093621997162066 12.509007820996237 18.69416997878067 29.869871839683007 37.577198755857424
6.12794653460907;25;12;17;6.375457757773486 8.582462003251168 14.385722338039148 21.764290523136353 29.75760410047178 37.10867981229673 41.16113396167114 37.24798167063304 28.29909015219674 20.59426190741519 11.56249705648566 6.191495059412311 6.102113975585045 8.667674021963657 14.726132985072661 21.82461370914454 29.433231798331718 37.06981354075393 41.43867246060556 37.34119834836933 28.07972077729167 19.954952040598904 11.031884964363194 6.093365419256113 6.218895051803621 8.810799323436319 14.73755471139099 21.911424229507254 29.6398084347345 37.2031412691897 41.512874529184955 37.23434175325785 28.128482503095718 20.132954784960994 11.079737407345092 5.955254336642348 6.218010745569757 8.946445149282082 14.769023862543937 21.676219022586718 29.220265205585594 36.77522750775076 41.41343260557942 38.12621251815942 28.628573204334206 20.009155962477326 10.207369982679296 5.200218823223246 6.055862734425077 9.42250972267648 15.500508478339288 21.930190422867156 28.83520181904234 36.56424959146645 41.72397530328192 38.028532456592345 28.407622878895005 19.75579412595962 10.294265558450764 5.461018957749321 6.232105641877482 9.318094082787642 15.160796500734822 21.67512207783097 28.760045239764708 36.80502120235985 42.54023180980161 38.13097832122132 28.019325361690335 19.185864158576454 9.805905753190997 5.618735987123699 6.664114213709265 9.69257279624157 15.099003071232467 21.14296481244948 28.490005117659123 37.22506801353201 42.545052966383494 38.02053319791195 28.101787255519795 19.486778719016637 10.137636698274092 5.53493345804198 6.2931079210698435 9.271810439567197 14.96439073610735 21.427913257589363 28.942491791712705 37.29673327079319 42.17457995765609 37.6497645203827 27.921504891194527 19.282552582084328 10.275688377110313 5.793457347819512 6.362224216240119 9.14695044960289 14.801855925365722 21.489186904038228 29.047485268346726 37.300035580790194 42.25041428003205 37.55650328981325 27.675092621606325 18.795987715966433 9.872589193653754 5.841628411062771 6.63525477851061 9.469800529943436 15.064822272643305 21.60679018254142 29.129756125027953 37.51627073138698 42.058129652471564 37.266888272921676 27.574722513976692 19.011115796163576 10.177375125278076 5.945015285531447 6.478184440259934 9.212255452409497 14.817236103405723 21.571513114239437 29.415598327002677 37.85746442821537 42.18865865293358 37.03221634991317 27.35179026250495 18.962053676257185 10.45826858755778 6.251430770780619 6.443510185291416 8.811135494813772 14.388789733097687 21.59898601126682 29.92873828305556 38.32439837098437 42.4087037458082 36.80673581139345 27.06670343356511 18.80875007753702 10.51768586595845 6.514765016453211 6.656831850616939 8.881622127125079 14.294671873054362 21.55101071047228 29.94706367338438 38.291479227625054
