rmse;hl;T;RS;preds
1.3677202557998345;10;12;15;0.09693640335568776 -2.4612652510427515 -2.569346888054831 0.6881337666844168 2.9009700871719906 4.034773898021523 3.622186482844267 1.6285917227012758 0.5507017763763861 -0.6070742977736516 0.22959895189276375 0.1915717670185286 1.2485795678617955 -0.9503540679910726 -0.3968885513725291 -0.042424720264271285 2.372974641652461 4.230187120002545 3.8516840053968187 1.7055983034269404 -0.2755942756643127 0.6681485685985814 1.6030993364975747 -0.7647702752103059 -1.2253776240705188 -1.0187403537291877 1.2889730524277057 1.4307147034906504 2.5596388449380214 3.6339676599927433 3.016900800167678 0.14325027989068714 -0.2605798794719293 -0.4478793892949637 -1.0112808934827886 -2.621748744492779 -2.4643421894709454 -1.7944839323536248 -1.2788047771976574 1.00690031951992 3.0199961597896743 2.390705864399074 1.2830857587011393 1.0619891242343455 0.8282019346616162 -0.49088808431758474 -3.128342357193337 -4.0142753767450845 -4.126547011635265 -4.370636515932075 -3.701039600141462 -3.5537850698601274 -2.2925025542221227 -1.0488909805949151 -1.0548583241433296 -0.12910819371955928 -1.2989512730536152 -1.6054291673162593 -1.1956123446166065 -0.6439094217367546 -0.9718265902691882 -1.7644039200641395 -1.5439594407876875 -1.216956742250024 1.986813851759707 3.4060846127994484 3.160039167111924 1.751111831509262 1.1163747036195142 0.22427822219997 0.0010340209971778438 -0.3371587290634532 -1.0798624738283686 -0.4858914478230685 0.2504042675173088 2.5248512441543323 1.3230862577992677 2.6688348892922376 3.0348103939859867 2.2345822032480562 1.7801858668981787 0.8788149134623991 -0.05479028357710965 -1.1411813113101452 0.40447044606299587 -1.7788747412735524 -2.8558764266192442 -2.5776469088720866 -0.36934714433138166 1.264127354962527 2.9562174938720798 2.203594610190751 -0.288920137307722 -1.6959982396545008 -1.2551065104342363 0.2916580068572053 -0.42458047304596347 -0.063631108709975 2.1570475483000595 1.0696911301991414 2.689445060075121 2.733088612337806 3.619571571919163 2.519949708944893 0.6964126705234109 0.2621637286243112 1.177584137182002 2.885947978040739 2.291812658949251 0.7493077057515293 -0.14214508224555797 0.5161861502914361 0.18629087502940483 0.3633789030880415 2.729246220889096 2.6625794712212323 2.493509305206489 1.716769035161286 2.192384490050145 2.810189845051138 1.628817120235198 -2.2106330778642627 -0.30654135707183305 -0.6984530789272754 0.6247671064916198 0.8490205794426524 1.5227853277724828 1.604893980118166 0.18948107384632218 -1.98678487117688 -1.098948777562974 -0.23012717498100513 1.4901089755174988 0.10757359441588203 -2.2303142513694585 -1.5830613450661923 0.5546948322231862 2.4812761348637418 3.281403982513481 1.2253335189413497 -0.5760533069422172 0.012659142178646474 -1.4156917697475866 -0.3459303623952075 -0.3672107351477269 -2.3880660165678314 -1.300966970999834 1.5719222896991325 3.5231068189693717 0.9081746271210547
1.4529318140886427;25;12;15;0.24572079131743144 -1.8912828128105124 -2.5087878873759477 0.3373056502163555 3.212934651637452 4.130548829681451 3.6812427334531335 1.9287671724306876 0.9911202456583156 -0.6417181233862012 -0.2469983114401609 -0.07787529681758863 0.6470697057343625 -0.7751187178017945 -0.3186404121377514 0.4680113587678982 2.627718784725547 4.26045029586943 3.83542153588288 1.7823615147222904 0.04282819023817616 0.38000769975678006 1.0162531939341675 -0.7613914089227185 -1.3365140341719084 -1.3243635345525666 1.2026331417251204 2.2881979115215123 2.790630131612394 3.440769174710488 2.883624511368799 0.44883032816272406 -0.1341107459633047 -0.6944420511840829 -1.1909171118011723 -2.3470180554416284 -2.1579375306861004 -1.1221470511921763 -0.38251567699845523 1.3362963504767487 2.7241197374431443 2.133853168581742 1.089007174675964 1.0187210348404598 0.8963866356285293 0.024259626885477097 -1.923222766610815 -2.998614918868758 -3.7118248346981892 -3.9899971419084976 -2.8153692698086514 -2.5270994526102344 -1.787667641349371 -0.9878448666408942 -0.6942258642470618 0.03216168252199167 -0.9866185093608131 -1.6294220982976153 -1.5492791221198583 -1.0708639453046593 -1.0183517114697005 -1.4256306777500318 -1.4877406530875854 -1.5175416516855775 0.8249874363431182 2.358505467866884 2.56918042426439 1.8108727302225165 1.4777522483870533 0.6454679604683837 0.2137842072477024 -0.25740836393896993 -1.0876452035611273 -0.8644770833863966 0.39660392236330727 2.837610166440341 2.0216045976252652 2.543709754102163 2.7457620941421688 2.120007020537771 1.504578898132092 0.5898855276663783 -0.2417582867946046 -1.2334901381020793 -0.11531858226632263 -1.1189491019949398 -1.9617512176285967 -1.8432418370321968 0.14819652019240281 1.7729502316447674 2.9153251394154753 2.185823100443058 -0.3384069895922626 -1.6632311293227349 -1.3763834881921748 -0.23406931045469323 -0.28518119658762126 -0.3763869607970167 1.005259784910894 0.9205336756214507 2.425129384515013 2.5637310457465867 3.083603493628327 2.076167574604408 0.9187095281376151 0.3045788268856693 0.6432566683830937 2.0602534603488762 1.695391913699854 0.8481246055245862 0.12907367360179933 0.8046161420164513 0.9043221264806239 1.0871121879671815 2.87472123389597 2.667350710181826 2.5334331242133428 1.9994347657671216 2.358789423829885 2.696168346515544 1.3599689324049091 -1.892448290291564 -0.8644149305780394 -0.5434963929153415 0.9096482477423354 1.6590500434098225 1.962170038597337 1.9479982996970555 0.874057452955706 -0.86009403738788 -0.5059615256779075 -0.36896868614651696 0.7067648572599813 0.4105585757317481 -1.7466737456781491 -1.7917676299797065 -0.035051150706047765 2.061087356341487 2.7207838539410956 1.036785336733547 -0.205700316305398 -0.2731129558357258 -1.367391848895416 -0.870709737055305 -0.6737236746083363 -2.103914309661945 -1.524906834358818 1.4348799900112117 3.3655103609089907 1.4340125464786686
1.4042262628280155;40;12;15;-0.11727411180107737 -2.5472001201303915 -2.4555807402138132 0.6551065131523698 2.8118591346943917 3.840094828008135 3.9379170581987704 2.2340891742236892 1.2618868585455991 -0.33512378621151423 0.09318330976717794 0.11619841981898041 0.9359719090370898 -0.7126719191726855 -0.5390848539727526 0.19323281954260255 2.2954688915044956 3.948574692291111 3.612744647542877 1.823157569767392 0.23522187153510668 0.8572076768442417 1.5428692215226736 -0.6541925664380173 -1.4010325431576593 -0.9431906947377393 1.1397040223265784 1.6867991007372047 2.550517807987237 3.5028848411485654 2.9146371153152506 0.37508216457736654 0.0007997872808626627 -0.27523652260175013 -0.9714107655164074 -2.324944223463382 -2.1543337161620006 -1.4706715449572312 -0.8510594153055825 1.388636203872143 3.1513132123501673 2.5078171812219434 1.4921207795528324 1.3330010535073862 0.8210387860569879 -0.6404205150252141 -3.199979833871752 -3.612180553744964 -3.6981500187331595 -4.462937779550944 -3.4039018501997873 -2.6970932243337473 -1.5728330895318283 -0.6806575317681575 -0.8667435641701919 -0.20437516975733452 -1.2521538027398553 -1.7870555485114044 -1.4588265675765615 -1.0711547904946108 -1.417869514292944 -2.0929429162117525 -1.9128779932815065 -1.5565255405111051 1.1000894697034784 2.431386450009854 2.578324525148878 1.5944046827887015 1.2016543473178456 0.20743320115275954 -0.19452915399436788 -0.5012319964935243 -1.1342445337171603 -0.5938609102484985 0.2664726405502089 2.4703644979690544 1.67724853546264 2.584644941578503 2.8087215411158732 2.030834813846634 1.6486317350711084 0.8407428737300844 -0.10723744417054727 -1.151805472745455 0.19092444177534235 -1.2462104966028658 -2.5699240854606358 -2.2795753691470195 -0.1706363040110474 1.6226004915072396 3.0369373679240352 2.5778021420270703 0.04931570786280014 -1.5338433598399732 -1.1969397938138953 0.22430776350466514 -0.33634201869676794 -0.4355798727013676 1.3628937087769801 0.9094340077607569 2.4361864440046763 2.5912508116291617 3.2133743640358547 2.130941871131965 0.604064193235061 0.29649615369041044 1.013414308250272 2.3926234657441507 1.8438850071742363 0.843897091312766 0.21492399989349312 0.7176996329712743 0.40685580345313715 0.3021916723058888 2.537980014000637 2.457697306328429 2.369616143514118 1.9645691369999285 2.2817799975539583 2.5112902501997882 1.3501146420813117 -2.2159057327342064 -0.5698676048526343 -0.18368977909975834 0.4528005072830746 0.9481135724740387 1.575737423771647 1.8034004649999376 0.740234444091988 -1.1184026065788053 -0.7144629684139983 -0.2295087919793009 0.8196883478088971 0.11252724812485959 -1.9409053154713654 -1.5858155381883383 0.13416357675030233 1.889733561358474 2.5926052935539405 1.0143190434678295 -0.3861592169018726 0.1377715098339921 -1.035490161166969 -0.46985216679745373 -0.3009341628388335 -2.119430795709793 -1.5879140566237655 1.229940464815756 3.2540166096009973 1.2229717122237727
1.433507070883298;55;12;15;-0.023819113276169517 -2.1336491117748917 -2.5067957026608423 0.3953324106935401 2.919289739759654 3.762266033022515 3.6465971106509447 2.0197268339838588 1.0893053583902756 -0.1620650760447945 0.018398481332125533 0.15997715443984253 0.7726521508047237 -0.4488062524099544 -0.6124429899649427 0.09353917203647424 2.0968807842599415 3.947792914798039 3.6196206951026353 1.7022639175829244 0.11042200894901052 0.7026024911725839 1.6674324354188768 -0.11031043252568 -1.3682335327097968 -1.0917832327054933 0.8907024243311978 1.791180923345288 2.3294011797857066 3.2564880448865683 2.882621979081706 0.561561182447183 -0.04309093939957639 -0.09762912545809645 -0.7471536981860963 -2.036365888710227 -2.2474774124242667 -1.6102338040509827 -1.0726411412091696 0.9480678939040411 3.030125719659683 2.682704400801519 1.385117007026891 1.076552201178573 0.6401611589952941 -0.6649556356558605 -2.9233818647854237 -3.6759322618179695 -3.6778654388065863 -4.182552233299903 -3.4878192241515693 -2.687616343834392 -1.6190960456937158 -0.6106696879713175 -0.805114112412432 -0.5537934283948575 -1.4857692858191347 -2.14284083818482 -1.875942002049901 -1.3747824917552125 -1.4640141554702477 -1.9742443814058217 -1.894790627454716 -1.4112184149696978 0.9924928492452904 2.525237340395164 2.523425473707196 1.3697961151181144 0.9132942962229577 0.19843412972801341 -0.21803199510524637 -0.46800031264001307 -0.9892060880268204 -0.6662524577463803 0.21823620167789975 2.299247332955209 1.7703381662699254 2.2302652039687816 2.7226181854995537 2.1598764745580374 1.6698866476370717 0.9953172825291702 0.09599001452409558 -0.8928234067372218 0.1255269760109218 -0.6928514634704477 -2.1852971969249793 -2.3796899147225146 -0.4944526602012277 1.4301157900433714 2.9076280757221875 2.5623843516435776 0.10777100446531807 -1.586075531622816 -1.4058079755607449 -0.04996590115726135 -0.3231930117462958 -0.6341413590743903 0.7407080035619296 0.8441287041275239 2.1237746788506486 2.640578874720785 3.1875217910752878 2.176555892068281 0.6270385295469231 0.2829631846618033 1.1335791251531233 2.596369207721737 2.3137301354288833 1.1800281653255744 0.4387667775705069 0.9480236381091747 0.8850782691209779 0.7222301234031108 2.529163600693705 2.680948546523975 2.2746204433286086 1.8650666842624004 2.235877527680543 2.6855778075030683 1.7322115369023185 -1.5680546618126774 -0.8647189551586787 0.09507850240394004 0.7125577236475855 1.0236736401888147 1.3587487904056637 1.5790873852592033 0.679840635094112 -0.9375180154072598 -0.7812660798457403 -0.1707960854024117 0.6922136866971138 0.24473639941325934 -1.779881317237334 -1.722483123836476 0.06560425534723337 2.0147688370665864 2.649724173731699 0.9953941123862481 -0.5681481436652848 -0.13604147053689272 -0.7658349603057565 -0.5884018343949335 -0.40162590582013313 -1.891559879546563 -1.957672495742326 0.6892865889550921 3.151648388217887 1.4809981226413365
1.3421962037087245;70;12;15;-0.07098026644226542 -2.8826248986149756 -2.7398519602307094 1.0329418220413125 3.316148750277435 4.085218914473939 3.8858054478875603 1.6234457697008988 0.9316984916065673 -0.5341601799467078 0.22267104792362263 -0.036640540293256744 0.76804715188576 -1.4657415542451704 -0.5074178483489106 0.3405320174747627 2.884610269885926 4.560214638468864 3.6086422626596892 1.4427388007720319 -0.005249421999764572 0.9732595503747749 1.7421883356529912 -0.9585460327812682 -1.5990731066254562 -1.310875326778412 1.1145610397419077 1.8162190698676695 2.8551908745546672 3.7843729632432845 2.84482738049995 0.08798930066467651 0.14039121326480103 -0.15845603843830558 -1.0447696503376138 -2.795028677471655 -2.5938162240563907 -1.7861572532233874 -1.2353090437828005 1.4340047586568985 3.2577799247055803 2.2096024653889503 1.313129976963643 1.3488554112074127 0.7925698793961857 -0.7637938770558834 -3.525010865609358 -3.937982280306201 -4.516773493789405 -5.653841300555417 -3.87646178317032 -3.303825345138323 -1.9351219592122688 -1.0628606105436829 -1.3823642357799821 -0.1545252102827644 -1.662855366922329 -1.6953515509159784 -1.0380836555822055 -0.6498914423338896 -1.1237826435296943 -1.8315225131604709 -1.5136035598885778 -1.2346330009468371 2.0248615545489903 2.8476870087475983 2.6887495476847327 1.4625618024929254 1.2415777170272895 0.17836309711617854 -0.10036843560354232 -0.5251467497255732 -1.4216518496545425 -0.8965172305090873 0.030390720619042518 3.028901234452143 1.605498884197576 2.789250788564272 2.8709908672681066 2.0569950057671185 1.8728907493568618 1.0160856808832093 0.07988021252586579 -1.0778686416894274 0.5097213596274585 -1.467298369770168 -2.5655356478932014 -2.389886869203995 0.043352595198328084 1.6766846672133264 3.0593030934528564 2.2118980756214817 -0.486014742520611 -1.6845106034804345 -1.1097212820264233 0.3723134067308526 -0.7151761531691728 -0.6898622878029703 1.3984362789749565 0.4460329276063346 2.6455043724587473 2.645843142705745 3.7368438869805476 2.2291400134888097 0.6216334817068879 0.5443047172969375 1.423941694803542 2.9979272700829354 2.034714347214555 1.177894751457985 0.49654331683187714 1.37674300190282 1.1130753629734635 1.2546304058455333 3.631956604786426 2.65549674685296 2.4677858303683413 1.9399525812137537 2.4995983334700607 2.9107384119245108 1.5487719411269767 -2.3235154577001804 -0.14619351399811736 -0.2618611259189091 0.6968123954523401 1.402486096061196 1.7955775980319024 1.7661200124208096 0.4193031388945613 -1.42079084605154 -0.5340733906637126 -0.10387834696899154 0.919486887539491 -0.2184422223611299 -2.2538719629265103 -1.5117845044420535 0.4021476533371709 2.2555742768292797 2.7728059043019497 0.6606272550754314 -0.5505137819519368 0.2596224650329652 -1.258481407928037 -0.3898369408498865 -0.5408516411539356 -2.864734474819486 -1.9565971772748432 1.2956810627561948 3.4914289553247926 0.6734002562560674
1.3540796357779057;85;12;15;0.015465734611211653 -2.75190301535668 -2.770416464893775 0.8860187234826155 3.2862761636254794 4.011998113723347 3.908607590967112 1.8335748297454835 1.1020446622651758 -0.2486153515387987 0.2648384148256458 0.11860811415215314 0.6799483167066634 -1.1697513098881551 -0.5031911952904592 0.560168697449824 2.871916120400712 4.498034273203773 3.5478193746354427 1.4459370495008752 0.057374549574613604 1.0380699529111004 1.891072467639713 -0.7408509541212575 -1.7179353354543616 -1.1084301510364276 1.2296148739594457 2.0160388510783207 2.8350503693308404 3.751496673640934 2.9323412304514718 0.2242020288475561 0.131221296499974 0.08727497394525209 -0.8843683783135815 -2.584342039341494 -2.4944374778723644 -1.622091811056537 -1.110463970644842 1.2876023957961733 3.270383615645619 2.367833031860379 1.3032345010441462 1.4682937890815002 1.056268220315213 -0.5777577915492397 -3.3342889076499844 -3.793289344324006 -4.024528343636987 -5.102131039151205 -3.947638580237874 -3.1904801889702994 -1.9100057847063834 -0.7766908094387258 -0.8350841966023167 0.1184350972079248 -0.9916868087921943 -1.421480517575601 -0.9032663515505741 -0.686963420914865 -1.4296770502227962 -2.205883105647733 -1.8029774505887057 -1.2493271229689265 1.6931184688062066 2.8670942605986127 2.6445818151106004 1.5145971820102706 1.3342924840289885 0.3889346776679768 -0.039351076683749264 -0.43712436998904625 -1.3031424690581423 -0.8512897551110127 0.20824663539249827 2.94965415730955 1.8755546336996356 2.7070545232236753 3.004679311557586 2.1613781762674313 1.8564642862883418 1.1119543659359832 0.13430117408205716 -0.9928935467520469 0.43189735714754296 -1.146627320097375 -2.5213321212920876 -2.3310636541850176 -0.024724386714582568 1.6290775629670855 2.94088866437573 2.2961140825849853 -0.2990792384824258 -1.5200316579307542 -0.8636618332362933 0.5167566831189954 -0.6076371925452441 -0.8997741874328125 1.2512829903766325 0.76754618527382 2.536219067685782 2.8521506287482747 3.6730553365199374 2.3092810427111243 0.6095489539238869 0.44710352845101436 1.3517048553804387 2.8410410014616634 2.0132439216576854 1.0525640627029218 0.46792408274604225 1.2623783899119332 1.1093738262627295 1.1298529519677514 3.3108054059483476 2.7540965610941766 2.411382680964413 2.01600859838606 2.521727129498108 2.922836493512708 1.5795032848948858 -2.252877517992794 -0.4873976425065607 0.08218701775219164 0.6725263727939835 1.3240321786127245 1.7577347748614933 1.9049524627552235 0.7011779188518742 -1.078773376906985 -0.4024778860334886 0.15402038810128404 0.866589755590127 -0.10232711022016573 -2.160474563393504 -1.4678264439925002 0.5648249162735063 2.3083550407495026 2.721629731197968 0.7321549534200485 -0.5253238103464898 0.40673696428824196 -0.8206158465286578 -0.3683337165821005 -0.3332789710468273 -2.541346074412151 -2.0033272529771318 1.2614010182797895 3.540234635294608 0.9124034143422026
1.3620164597096578;100;12;15;0.0563519393095194 -2.5032582343875913 -2.891648587793634 1.0557859744286817 3.3070768365101233 3.8572903384764494 3.8898176737571792 1.9358585832155493 1.1314469094119601 -0.36498989549247834 0.10609554634304201 0.125042942295114 0.8222160201535962 -1.2280477236941283 -0.4503118854716844 0.7193302081543826 2.8460434788225073 4.457437556442825 3.5884544314420284 1.4317819346047567 0.04761065227365276 0.9735197684579575 1.6661917755045832 -0.8330404175679849 -1.6315496712988773 -1.280017281140936 1.2250072541389248 1.9095650997301539 2.710746250274295 3.8017475936123106 2.937329030763595 0.11569836116222265 0.026093584029426933 -0.17758508158901934 -1.123270818897017 -2.7443131839785333 -2.513396780205796 -1.392456354199173 -0.9290331087058669 1.378304460167719 3.2722901343212536 2.3321958096747357 1.263395149950337 1.311670958508181 0.9007377066280476 -0.426292745474756 -2.8490641792916787 -3.6731409267766124 -4.32841663739528 -5.197326976215687 -3.737957469710872 -3.2127614465860757 -2.2835046247616266 -1.1593203463390642 -0.9788691774021837 0.009065851042317042 -0.9740531584664118 -1.3800713213319096 -0.9896000469723237 -0.6164619552957087 -0.9899519966100095 -1.7401375167260114 -1.6860449541349416 -1.406835368971181 1.5694977311099851 2.8165806514083 2.52905576931535 1.4673568542162394 1.2588204037236341 0.35628168887830297 -0.025661047789234184 -0.3621553904583286 -1.2002457990381916 -0.952419937481387 0.22616207007713435 2.870638618098814 1.7615963363330218 2.7252339950194777 3.063557640392167 2.05575090123935 1.6620615341819873 0.8860676220173833 -0.09062470052384677 -1.2062557509576366 0.23921593830107887 -1.2335664437788456 -2.4709765150242253 -2.060146751314152 0.20788057032785417 1.7344589225461968 2.988812523295888 2.3321005586238552 -0.3543734844374879 -1.6438454437473915 -1.117670925746927 0.24530425517708512 -0.3792380898353295 -0.5692627382146752 1.281715102069607 0.6810124776218026 2.438668961959689 2.7517015063682733 3.3891020693033846 2.06873245130104 0.5859346308931989 0.4112109555707947 1.2118530241060637 2.6644847917704406 1.8575357108449395 0.8858456690969363 0.4610772020764705 1.4550672221656593 1.1533178087267755 1.0648580379617967 3.3294737133260246 2.7127558078225795 2.3794421281008975 2.1861702575750392 2.742717954424891 2.9625235327845907 1.4356491871768093 -2.3477851558859806 -0.576548582453633 -0.016051006770045742 0.6372825104906304 1.2956842078380635 1.7785505740922674 1.8619509564911594 0.6457824686552519 -1.1384593178357025 -0.47571104246284945 -0.056315826130311844 0.7663270916351975 -0.09692328858764493 -2.254992360900778 -1.5526233925068904 0.48554908409668585 2.219906352653966 2.6892296968500182 0.7539616780881624 -0.4974582352241632 0.20488224022565182 -1.1091649769501746 -0.6501170645165167 -0.45550688677263246 -2.552687838693832 -2.0788565438193354 1.489002655528739 3.5067628768584536 0.8240506512436607
1.346384217388851;10;24;15;0.2079097559387665 -2.6022654116137036 -2.741635071884449 0.838869003999563 3.321977036277513 4.213866840888543 3.801360598776659 1.6722207476810436 0.8862918963077809 -0.3706795358001784 0.3588435078261478 0.30351837267416115 1.0424628834526328 -1.2664095602557714 -1.5043636088899963 -0.587189929514868 2.466587104878964 4.571816396185023 4.073713605935087 1.6928002164742566 0.14261583450658216 0.6945169349856121 1.335445231416762 -0.5721948156696558 -1.5674087219031714 -1.5407006866743231 1.0259991286990984 1.4147272039915166 2.756734236421378 3.9093138864953363 3.0391356303844406 0.1007839991660613 -0.0670631044162727 -0.30675271406169863 -1.02019068576806 -2.816111808661267 -2.6859701181248417 -2.2157580636521814 -1.4886873227300585 1.1841995922440698 3.104683629501874 1.9935401335161953 1.149048210324236 1.1148945681857911 0.9580542776661232 -0.36740367094379023 -3.3556509027652863 -3.8426018317720887 -3.7982918216848494 -4.446334742600368 -3.4893474344081423 -3.3184376950318266 -1.9976936625213055 -0.917265335596783 -1.2648016745918587 -0.5740798803939717 -1.4912598499328373 -1.6943066349065596 -1.2715686926468364 -0.7965931870353526 -1.305044644525482 -2.057524202333081 -1.2185271864631193 -0.43690998024166444 2.997222172681137 4.084208594365076 3.577243862004013 2.047903322913775 1.4668764055193473 0.5131313397606754 0.2312033555017506 -0.2792365425584023 -1.3207374049237794 -0.8013638269327336 0.49868208482693344 2.8890391442202437 1.4626664887894114 2.8395253715325652 2.902130472615731 1.8462002367269963 1.5338789301181441 0.9478682560882815 0.13432420057431002 -1.3308530365740838 -0.2053766911252557 -2.044988804599334 -2.8893691522678564 -2.4701796111850225 -0.47209899081956974 1.321668424939705 2.661602998183908 1.6774833682421684 -0.2370749978019812 -1.5159888798372683 -1.3563870576710941 0.1900165240344653 -0.43520534586883874 -0.5032985399299534 1.6785113607158175 0.6735534666728131 2.8235905895961824 3.1464649937666924 4.286244460166722 3.012696874069873 1.1319600819368667 0.6570880644954428 1.097021217691874 2.2870577444612135 1.803421731744002 0.6060641657719362 -0.5168430596461377 0.1318254330296421 0.49519501274648303 1.0275957819277661 3.7517252162567254 3.1135764233684737 2.3799347078278545 1.3572376534506636 1.6865548327120703 2.0860918055581323 1.4016626836748145 -2.1358298516363146 -0.6116836024594593 -0.7922043001705084 0.19560290082081022 0.4434304472429018 1.3899610321678746 1.4840982747690374 -0.3288001498171191 -2.4905985310371297 -1.3556930429387384 -0.546407128743356 1.0214107537842978 -0.6909521335533703 -2.932499007825323 -2.0634552276742024 0.48111740165355704 2.984436965587535 3.472021403942172 0.949393471028789 -0.7085160678977303 -0.4588078374010684 -1.7580372260013042 -0.2733134548048543 0.4631453554952847 -1.3797607070559263 -0.6297034239089749 1.6557571426933124 3.6843979993964378 0.6521958147658062
1.5418298780517146;25;24;15;-0.5484611292937611 -2.5620496990562756 -3.0688077546088244 -0.1616175571038966 3.034946980398569 4.53810201714757 4.302744757776254 2.3757396179124424 1.057591251421305 -0.18033236676348938 -0.3384953139747414 -0.6345182821597715 -0.3341035815596351 -0.931905092632285 0.1238490935547053 0.6506458135848574 1.7820509004463072 2.730361377060249 2.26577946842994 1.0804841525776387 0.29930317669966 0.5739631762916669 0.7548392308124263 -1.083717445604553 -1.9862618889918593 -1.71882179924392 1.127696773698065 2.4342099846989145 3.0149556419147996 2.980528677185386 1.9629883589464074 0.30734844588555205 -0.04377706802635377 -0.16820043810375312 -0.40336187868729323 -2.8757075156935143 -3.142312810854023 -1.8659675995520806 -0.5322408937363446 1.2031141894852255 2.2789040448337534 1.6652554397025356 0.8871493804144067 0.6818756528289526 0.5906899946786461 0.26838380196574474 -1.8936074776088783 -4.057095217089781 -4.5492070756772875 -4.4900759421667855 -3.103857745079844 -2.2390168426659054 -1.2507553645518161 -0.4769807569429774 -0.4643828694278156 -0.24285592036677464 -1.3367216095752414 -2.0935355394952944 -2.1524168636459406 -0.9410782480826079 0.6925787408425859 0.9644887407549385 0.7870950406918266 0.2652831256577324 1.3555706102944587 1.8984306113201996 1.97975883406504 1.466398502841111 1.1880248355083052 0.6411457942688965 0.3662141943926584 0.09615380215069737 -0.39074111444568177 -0.924558106504142 -1.7386591784819276 -0.13632458406725034 1.6573304324566698 3.6558110023997568 3.8547769687659628 2.3166594047750526 1.1487596865042353 0.41760865115490714 -0.2873739177133057 -1.5230710051423273 -1.0368010612429963 -1.3329358296001679 -1.4993856931208889 -1.186316156558897 -0.006931647664275904 1.1550444586726818 2.1831548728919894 1.7208185527159192 0.14397200129664806 -1.0480049661027664 -1.2567034631945104 -0.5233753572459396 -1.2672033190131056 -0.7571683128020948 1.9443218487583696 2.471315960117232 3.3692802657089174 2.6118019746855565 2.6764477846040875 1.9063714937412122 1.122469947163922 0.7845186195781628 0.8463910663517293 1.322498127489824 0.6995007665039487 0.08655239138592238 1.2223333354873318 1.821926045567098 1.29540609274139 1.176581080714597 3.3436628250594858 2.6362554355119694 1.922328441016479 1.9133197284181473 1.8298768125311264 1.9275861193060957 1.2516936482092005 -1.6805629266720254 -1.331635263364566 -0.9326134099988533 0.6860317287526126 1.690661111506143 2.2328822116151317 2.0189956773322915 0.6606488213511024 -1.2004334555896896 -1.5587607951249185 -1.3696852126408985 -0.6127045933818056 -0.450192260036322 -1.1962135045509348 -1.2236224437390892 -0.3474034213947261 0.9580080749158142 1.651162178083168 0.7028776858360936 -0.16340654706541444 -0.06248472636884038 -0.5215679835320703 -0.850250979499528 -0.5741881236282855 -1.5936972631170587 -1.299471409688374 1.460222460645839 3.6698392656605052 2.73727187075476
1.3301521821097138;40;24;15;-0.11981084497687437 -2.5254960599204197 -2.438536343440999 0.7733654853257015 3.1639489531721057 4.204597535792521 4.002897145390201 2.266175149682181 1.325330947658687 -0.013176507246150737 0.23215283325303523 0.13123168650257588 0.7818254560208497 -1.0891304310321617 -1.061195664108724 0.07414350831448802 2.693246116162128 4.343864756253829 3.816483949590922 2.0419994051830455 0.5338775727758303 0.7167318463505398 1.2359077334812687 -0.80593827362783 -1.5016065702175883 -1.0623789637203649 1.2353164580899565 1.9053611736323488 2.899229808537987 3.7621378334949154 3.0787432937805903 0.7531466525867639 0.17319640155204857 -0.2732665781084306 -1.0611240760547607 -2.656778366814554 -2.716794316690778 -2.0361181760716174 -0.9426981150107824 1.3900140492622324 2.8687422834978022 2.3113873489683217 1.5297605202940066 1.2878304891145544 0.8256914105013916 -0.5248347126744589 -3.1421873071108823 -3.7999623094545294 -3.848913561785124 -4.2059809965003385 -2.9604021741642708 -2.3027998517917943 -1.2407161883440814 -0.6087262894666277 -1.0196591669322528 -0.6662617432261831 -1.6665150440910488 -2.1553357991516844 -1.8160428695002275 -1.2884435545303485 -1.2723602049171212 -1.1686905187035894 -0.0844287488371025 0.47985712241903516 2.496522742934096 3.1423194763321627 2.8814034845062966 1.9035588919557906 1.414834735838265 0.43289685667711997 -0.04714163167972889 -0.4919553528731417 -1.2437637726748343 -0.8102689764781036 0.11422098703549735 2.622414679036916 2.020675750113381 2.579259363292893 2.5670151102807037 1.8791159147356067 1.59405018713236 0.8769899422666455 -0.06425132634276927 -1.2806385096929023 -0.21441251133397934 -1.4835816567307614 -2.2955842851560213 -1.5113048045741777 0.20157597291119977 1.3652378431297711 2.3165012520867987 1.944563420999045 -0.0011279606973853707 -1.435498147464317 -1.4109100471807636 -0.22780801407590945 -0.6533546267687184 -0.6197477421365635 1.4542397661025892 1.2258352343823062 3.117151033560936 3.467195949760794 3.9910506703514983 2.8355841346536965 1.2339251337775727 0.6628251431213288 1.022123189710456 2.2106935092657762 1.684831627379639 0.9228317569897361 0.7628096919795847 1.3825247107380807 0.9758212944397181 0.7084444058607592 2.8885880496207927 2.6529537235134257 2.1973961031249885 1.5640947799911957 1.8013766797003423 2.2491226655559897 1.4291259878495561 -1.952095366994333 -0.6099705063187488 -0.46808560426497564 0.17439186963520512 0.9645638483052787 2.0075191238276675 2.1243115892553734 0.7466827605176058 -1.2949269161539316 -1.2490735694639894 -0.8089250530424551 0.2770574884621601 -0.6568041825154496 -2.551894678999711 -1.9140109715832485 0.45824494352936984 2.602317306364431 3.2115951462930004 1.4850272720467248 -0.08980990903151591 0.03010097995189018 -1.3064789516234043 -0.7128983650672306 -0.21362279625333358 -1.696702438461479 -1.0541646089425802 1.5377650531814089 3.303705907810109 1.3050851570751607
