rmse;hl;T;RS;preds
1.3773792865569334;10;12;15;0.2886023351730757 -2.592062766031699 -2.1795740465187974 1.3386523163279982 3.2212921825231637 4.037810549448638 4.072160834086777 1.5646573003482802 0.7439167358970016 -0.3159902313659769 0.7868252375972347 0.8586828700064569 1.905337360869629 -0.6398617762546623 -0.9359571562055738 -0.24348321443377344 2.303419658468524 4.586327204863909 3.674019828293 1.299062624828241 -0.5509524085482654 1.0856152038805904 2.254367164454919 -0.45696777730063526 -1.1868831698900795 -0.6774350209791844 1.376165654731212 1.3317343343433237 2.396346344081851 3.662499842705427 2.712948706177192 -0.27267556480727406 -0.30907704188700713 0.0426892824556427 -0.7599475916962886 -2.3481731990822547 -2.2374699116839234 -1.9964404222795373 -1.777171305027153 0.7838095533825783 2.961313125562558 2.0789758331815342 1.0381789824158814 1.1414952213336944 0.6718266669611035 -0.8150973510926454 -3.637985201648484 -3.574920619080884 -3.525715963011156 -4.785991603153772 -3.8108233255077115 -3.4402631900442437 -1.9271252141466364 -0.7800162093345456 -1.216913010635469 -0.22898049310826396 -1.916797064821491 -2.122483322312054 -1.262578401242307 -0.6793214710371807 -1.0026556562237312 -1.7571613955837777 -1.4579592738098215 -1.2678729219195284 1.9028877913913353 2.9888233064337237 2.682786472461711 1.3898165081677185 1.1901337626670598 0.17816383371492703 0.06525239931317456 -0.03511824578591298 -0.7080711136962134 -0.04531310354614761 0.40367518964762916 2.484660242954444 0.9887418898194772 2.4078387727616217 2.6851761356186965 1.878342374361714 1.8453291988151745 0.9458920963141262 0.045174196663508095 -0.9930083422402538 0.7702455641119689 -1.406378733037009 -2.917720717421796 -2.8196372956702564 -0.7459438900272766 1.1546752110847183 2.8623706471634587 2.0727587551561664 -0.891295795543862 -2.186659766203135 -1.2283407404882272 0.6978260104088754 -0.058730921392765034 -0.036693782036319435 2.040898177231597 0.45049437600286346 2.438586291236284 2.6459219195182655 3.990676255843322 2.368775058762951 0.6658576011059514 0.4364523342882143 1.8815245981496074 3.821714070972737 2.6251116616222125 1.2127531914666214 0.23613158646562302 1.2031993313443847 0.9000397979848067 0.8992729970720614 3.59255561819879 2.562926503851417 2.328654597256403 1.599819914703359 2.5419976314391737 3.2087597801054817 1.7826444223246685 -2.590368615265102 -0.32288425082212807 0.18367521527528421 0.7551455767630163 0.9780905458908739 1.2207159396949114 1.2725373038793828 -0.12162896438712835 -1.959185879184375 -0.8197029490748221 -0.07289037949717835 1.1998110298111913 -0.3772815868228535 -2.834417383263423 -2.059429522882289 0.005314926717863981 2.180898052002505 2.987165099459912 0.5261410832348312 -0.7810801456009798 0.19202376021279918 -1.3038466678651206 -0.09660369772382822 0.04086573403502017 -2.3217221619718185 -1.6300940974568905 0.8680989455896845 3.0460470226737715 0.29455223100540917
1.4343207856930669;25;12;15;0.15883234463964224 -2.1811420944790405 -2.2113858007915006 0.516927790549232 2.7043662270549684 4.092816833205461 4.326807928919344 2.4491061407896155 1.4515952015484375 -0.07824752100089225 0.35955747885178946 0.430987979190084 1.3535644973596495 -0.28164505748587426 -0.1925297617999803 -0.03379059066064473 1.7804302846891162 3.9269811592439527 3.8671838674405037 1.9606803181522048 0.3454537336261928 0.9514469099574319 1.7351905284951734 -0.19367921434008195 -0.9190524909272109 -0.7194829683738247 1.0190215399247222 1.4823654844251968 2.450589121773601 3.461898433767507 2.975295860019112 0.5484433080630657 0.26572379281313063 -0.11160395976852795 -0.7080851916817208 -1.977990772974635 -1.9613739575701583 -1.6299032958235238 -1.2154327254359427 0.8963351910751058 2.8368310847317275 2.50702162527497 1.668091854250677 1.4400476590530629 0.8643742700623454 -0.5377337792199979 -3.13461964107162 -3.649815202448827 -3.7362109009131306 -4.372970166678638 -3.2591600905657265 -2.600807890816274 -1.2498168571456212 -0.20420834937321652 -0.3427021605057103 0.16382553652068324 -1.2539899314879526 -1.9838681821581856 -1.72378608632493 -1.2795747231922714 -1.5131159224331288 -1.9481700052906112 -1.738736307870612 -1.3491511228860764 1.308360984490098 2.670086631875973 2.943375076241628 1.7566645484313217 1.2743156230274177 0.2623330950270848 0.004653242678289166 -0.23406386272359925 -0.7591193868042022 -0.2398981393558078 0.3881873088682058 2.357129868963844 1.4667513510736165 2.501903229182395 2.6971256495300495 2.1436620798669486 1.9018439237425393 1.1397456572198876 0.2302963925178694 -0.7959216371734874 0.4556867564022543 -0.9272054417256544 -2.167513406381418 -2.3412917599535783 -0.6701402282334812 1.1032998494623865 2.8982012170011244 2.6186178163924003 0.20251243975832528 -1.3944456933640161 -1.2630291963101514 0.23601684713959234 -0.1681135926585816 -0.20752356519441398 1.3504553592837523 0.7572042574947736 2.44553183012876 2.6577375428014944 3.659604869728207 2.454719363096197 0.8813115842858212 0.5745732472912897 1.344342817789067 2.9128878507330502 2.5797038681970004 2.2931502173382605 1.7933275166035652 1.7367218838336151 1.3008993526395514 1.0387468943418834 2.8150395612926458 2.6440711137214477 2.739852335545112 2.484305897063906 2.5345327047409554 2.795901288824305 1.8578493204369881 -1.6483011261604943 -0.29300629132198014 -0.17401466483904882 0.6322992780355069 1.0572655856820932 1.579217831273852 1.6093859058556605 0.6404279667738207 -1.0782496458929478 -0.8038358612815176 -0.32927056420519196 0.7879128368605856 0.1354898465418903 -1.7874269677035153 -1.6503888614580862 -0.15462089191032888 1.8557585898233309 2.8988736654578093 1.2440575391978437 -0.28417609956114703 0.05519081439712534 -0.9811322135725037 -0.22833562028010626 -0.12768641078693546 -1.846250781785706 -1.5555649426489278 0.6731269336650986 2.9224279324013858 1.054645133422268
1.3709267923867148;40;12;15;0.18129502480535578 -2.681840475865459 -2.1085258982762527 1.5416093915855613 3.279339910212806 4.205214570901996 4.109919788407355 1.5789457068093093 1.061932587643611 -0.35421536919068497 0.7286913945707116 0.6833704653113961 1.817144323000275 -0.7317174866088013 -0.5561465486958448 -0.28192146899653553 2.3859913866779197 4.44580434790798 3.8112927673179575 1.5250324138847544 -0.05150932668341032 1.2399028860493146 2.2483200706162627 -0.6141348193615888 -0.9649070357435794 -0.6198471866299351 1.5502592653192568 1.2901021368185626 2.4266054762720475 3.7699978423821614 2.853111825673665 -0.10094072817929 0.17236838386721637 0.02105520031724904 -0.7694219261769885 -2.33052434752744 -2.0474064739615305 -1.7038389287531253 -1.462687529984877 1.1566109340919903 3.2300331138652476 2.3584746161114105 1.4870341338105506 1.4864865900337934 0.8595711309856546 -0.7841391121327813 -3.709098797547058 -3.702749326551599 -3.7701014045352292 -4.8471547590830495 -3.3916989325493008 -2.8461853810212117 -1.2096417311208794 -0.12875373550466865 -0.5937340211716775 0.17442436881451484 -1.7530501745181972 -2.162143253973545 -1.584159877233182 -1.0920773727431168 -1.4723591060284842 -2.0694717692889912 -1.6591679830800041 -1.3051557707515087 1.986461752356218 3.0667344726111425 3.0152389988145876 1.6379830869269638 1.3760025597714503 0.2187065224623456 0.09226404726670315 -0.10136396633933266 -0.7563335930975662 -0.05093991709937559 0.4724559210701082 2.7138401122382585 0.9652806274397318 2.6058814329506643 2.8100835113308156 1.9806840871976457 1.9874310366349852 1.0775804183009272 0.1793444749835598 -0.9558444074560702 0.8374174738342646 -1.3642012382225397 -2.831201012872384 -2.4976962319857288 -0.3881537978698301 1.3694212513125281 3.2048221376058916 2.473829329827719 -0.5061779372636335 -1.7660516434317224 -1.1092896569813975 0.6264295069079232 -0.20581962348842842 -0.11291390508755945 1.9181068425538879 0.49855171369518647 2.7180359509826872 2.7518189227580376 4.121384660179324 2.4430599455457793 0.6970878147645547 0.6557075233208947 1.9021906315771109 3.7535280969964964 2.7096239053445856 1.1827172103232977 0.43953140687910486 1.12577145941412 0.6063651201536084 0.5578534304556134 3.576764611433547 2.78689287575758 2.411803223339997 1.7255688244640555 2.5195046049775724 3.0661057557690126 1.7516202864113655 -2.552505124413842 0.26417332361404655 0.16755101703921504 0.8486037812121504 0.9372408746882014 1.565796868345366 1.5229926036442092 0.09455336733549717 -1.7831815564782043 -0.6789858458720512 -0.09856514300781213 1.1739589061480342 -0.1630800576142846 -2.457638372584948 -1.6528652390151652 0.24828766486113665 2.329299638571089 3.15495012511679 0.8557407208012064 -0.5352103377592412 0.29032033614384334 -1.255094454287073 -0.0665266433089575 -0.0002966107234304051 -2.2856982444821305 -1.56616311971737 1.155395734364253 3.274268241050851 0.3351739960969546
1.392706581093473;55;12;15;0.2494446805743035 -2.4373513964055222 -2.704467093423577 0.825652321626738 3.3995730952048504 4.512800282811432 4.346216378896784 1.3364452176851997 0.3259967595284927 -0.09994305392044037 0.47059257238726654 -0.3178720012426209 0.39102110251479 -1.2818935471243098 -0.2737102967420705 0.5048821269921796 2.6760613888316493 4.746321113903045 3.9345170749329217 1.3616304342263927 -0.5206125525901057 0.9380377785274041 1.914137749235611 -0.9446980875476577 -1.6435610384869808 -1.2233815454445285 1.3726853969948103 2.2102708701689466 2.8345534463955886 3.949860281946386 2.876517225408791 -0.31870308912642015 -0.19715080438061933 -0.054936670289443934 -0.9496852887965679 -2.981908843045532 -2.836944830959417 -1.4144160646353279 -0.9420362999261297 1.358072597803897 3.383751236684134 2.4783807125891117 1.1565527500774198 0.9623468651194644 1.2357870971267342 -0.12262471041126088 -2.8788936333922925 -3.615967232314857 -4.315084485588134 -5.634151290867828 -3.4593730070099626 -2.3593335969761746 -1.3611689300037204 -0.5493310439620582 -1.139361581917506 -0.3154509247083996 -1.4637824677725881 -1.7211439180236305 -1.2430787438906747 -1.0308567067453838 -1.4592366263459162 -1.828379677778838 -1.4695503981539477 -1.2068105583758524 1.6795919209864147 3.067364687111305 2.7442260960638256 1.4200361021858519 1.4271095410743213 0.8259472104933777 0.43769265722945033 -0.40943173692804635 -1.4213497720293458 -1.0520863837734962 0.3670745240495462 3.3010289938424506 2.2174448019114106 2.7932764933561853 2.913173004822477 1.7338731884896055 1.5111561629143258 0.9674818852162026 0.2399570169371125 -0.8619279196489282 0.30124459080745647 -1.1785806030541686 -2.6189277558223747 -1.9487260857181548 0.307212533419084 1.8334623556272271 3.276340400704903 2.6189961248114617 -0.5851366777934793 -1.7952742464974838 -0.7558945546452785 0.31806710954272555 -1.053207455693878 -0.7760343859229909 1.4941059252751838 0.9218999890446882 2.332854180145913 2.531679666188651 3.4446939373509964 2.287092340361769 0.9397309558162796 0.85364819299791 1.5470243239686123 2.6744849539864233 1.7022702077466618 0.9146058702450997 0.32776541878221654 0.9544009655440424 0.9434699339778312 0.6540782960300157 3.1399906180913053 3.2447464059101554 2.833958576624998 1.8689177621277 1.7754733361324668 2.5860985684650473 1.508383249066771 -2.231985338202352 -0.32025324007317224 0.3461684160394 0.5341743711564617 1.2627725735061412 1.957481769891755 2.0944288185287956 0.6388272698684648 -1.5072176958029238 -0.7609838212891177 0.08004417799935895 0.6730622348380857 0.030254985999465852 -2.165375799071337 -1.6482269920878754 0.4085380852798247 2.2101407236859045 2.6128458423343526 0.7992906198179528 -0.6125599944987479 0.38317509673014943 -0.8408444889277096 -0.44632459560831017 -0.8604799838629082 -2.711213144266097 -1.806702126116045 1.631578052818491 3.817304666192845 1.0297068058077665
1.3533881114700548;70;12;15;-0.04469645221154372 -3.356177778861192 -2.73298639627718 0.9223241257995505 3.2246050020915087 4.145709621946531 4.061735336989506 1.9223260447636266 1.3939636730260838 -0.271819803007386 0.11577116606333757 -0.08618592292578804 1.0027065774967372 -0.8749088706474053 -0.6014946230070031 0.2554658274875429 2.413369024813191 4.541475641632043 3.591270328075122 1.5669368856398616 0.1535355961960972 1.244242050667473 1.8927242346839843 -1.1303585604196988 -1.8970426558384956 -0.9641469742919812 1.596201572896342 1.6876463258863064 2.3227385484956087 3.7485552732647003 2.9588177277484635 0.19943200055447985 0.08639153355284708 -0.2056237672592013 -1.2071572662104237 -2.9256550101474645 -2.485858892661026 -1.647800009782751 -1.3425546880810237 1.046147122213089 3.1253387300257383 2.3644459284536117 1.540326198183139 1.5783560788418332 1.046746035660368 -0.7256785550064235 -3.922438686647961 -4.2402327352399265 -3.966734618749692 -4.7558745987108795 -3.6212329979578506 -3.259924794757226 -1.7000929864817216 -0.5185646924376347 -0.8473422280684069 0.22417937676981142 -1.197563193970009 -1.4979205342674928 -0.8012131625346434 -0.4575883319064869 -0.8161959581425366 -1.6611661584272401 -1.2184031803780113 -0.9206359647651906 2.180772847790971 3.2311590531742356 3.039702643715623 1.862462706240935 1.5009906592515323 0.3936939353643092 -0.22846380108698047 -0.6689468194301197 -1.5560429950929673 -0.5662929946601721 0.40198560673803213 2.7665456937252397 1.2768429209576087 2.5468108048246836 2.949314188936126 1.9994666658832183 2.0805488234132854 0.9285773722664085 0.038443487455460806 -1.2579862821824246 0.3546888921190696 -1.5587362335331822 -3.0381716618917958 -2.5253620195264923 -0.5301335765599752 1.4016188022944562 3.029521264877683 2.399031045871279 -0.41290675286133355 -1.5999230275590166 -1.0736555049947212 0.3598860275827143 -0.5251882348530792 -0.40495265360818244 2.1528049826250104 1.042002503373379 2.858868224088173 2.732982278617484 3.8786912727006015 2.548353392598371 0.5571569820289544 0.6729674330846154 1.3476280804496104 3.1571981098238813 1.9738618055612611 0.9166783294307579 0.5756105252447417 1.2753079712398885 0.6871683763165347 0.2855435184070775 3.138966519528541 2.6301270188421375 2.51791918418415 2.0418830371539043 2.4999907198746296 3.118891611726547 1.454155597721151 -2.773906307641586 -0.4106303875345224 -0.0403179740700268 0.4319895754409068 0.814795573898949 1.2427455907611935 1.8484107799832699 0.35089824475538967 -1.6234590230745942 -0.8764262228832412 -0.0844718533073563 1.2035175836763348 -0.07994645491283095 -2.3894808541113286 -1.4769784824645618 0.5062712048175142 2.453625174137502 3.00238759523594 0.8929328864393065 -0.3451601917518886 0.46834009470607707 -1.1539558101488139 -0.546164845115115 -0.4989578402123115 -2.539374557377897 -1.4232721658801268 1.3175482179259284 3.4377082612232437 0.49217131606135167
1.3941557229480153;85;12;15;0.10512428702774422 -3.7365197179994745 -2.67039806896398 0.411588477719389 3.702713159010003 4.742694085679438 4.007191829564788 1.5475883419837293 1.4678251718830664 0.4156851715020523 0.6467350540469544 -0.26755158993852707 0.3545861902194768 -1.1240507992004503 -0.37406435527844584 0.7510395975005502 2.774204117841284 5.145748008883703 3.3945487520367292 1.4007130187162757 -0.25635906727980545 1.8301448933189808 2.516096833889954 -1.1276737837473687 -2.428404387318138 -1.6866853527097265 1.8512930228672122 2.6531502162473166 2.829870569258924 3.628968477479572 2.5435560943880073 0.3918247083736891 0.24453820309335614 0.11424187936505359 -1.0653229101152546 -2.971153262117852 -3.0067367183801212 -1.5298955332657609 -0.8029686423976794 1.626382826868838 2.7957242656448393 2.071536366669872 1.2053864362524467 1.0020605627043295 0.9116578801735217 -0.19205734429428867 -3.669781380277647 -4.403726671101496 -4.4106329713535155 -4.536813056861828 -3.2595851259154083 -3.4961899344279685 -2.0294184028623086 -1.181264256482974 -1.350135084213564 -0.060417176693420616 -1.531253310038212 -1.7769719667429997 -1.1723487730971782 -0.7995270991214232 -0.7671150086263101 -1.8785536181273332 -1.4385243152852023 -1.2989485772691565 1.9948505842948125 2.999071181288316 2.675047773875114 1.4979298955300915 1.0119556642093182 0.83752395732039 0.26161449998226716 -0.6326203375763744 -2.0541309585283796 -0.9087751870922758 0.29758356574650724 3.297518782945395 1.7673591746770703 2.8782572045111885 2.861794048820867 1.8454883998640512 2.2918490520394457 0.7986988951292308 0.22916287131509067 -1.2893677593023312 0.47288612334000296 -1.6617408098143893 -2.798170164961059 -2.1764057509506083 -0.2451598051599367 2.085885578047029 2.971678117275308 2.1277328392652866 -0.7873031393755772 -2.0326188980782005 -0.9712667656965627 1.1167312211142 -0.24976626429548227 -0.6414586915734857 1.5235928649837176 0.8231259222913666 3.280594648112607 2.6344914938810486 3.770227583124379 2.3895352948807114 0.3555205790660819 0.8815872282467407 1.422312242863958 3.536675600745686 1.5691309546577754 0.5776130063588217 0.3420647955883354 1.7499670217090617 1.4195832103967616 0.4941414852033762 2.8595814088433475 2.4103837430565984 3.0121658045314756 2.1977502992497233 2.4725419429828053 3.5404547910254154 1.6131629994141443 -2.8524926180601486 -0.6765852498114272 0.048895909636051366 1.0171206374667106 1.2300417064987668 1.0278475382430639 2.1751722058118643 0.6329387780154723 -1.0841994668423796 -0.9425866143702475 -0.10319651942887684 1.3439062504725332 -0.06274457471769618 -2.6153857945750256 -1.6073848091753666 0.3386537670944956 2.704906881604775 2.9600026747839405 0.6247786384584717 -0.7300656446816285 0.27427547634205673 -0.5858627798491859 -0.12039695344797377 -0.8844021505022189 -3.022605004299852 -1.189377669109354 1.4003227290329525 3.800196019890427 0.7101736018253213
1.3985687964311326;100;12;15;-0.27548253165434744 -3.0467598321145437 -2.7663056931256045 0.7567899304000256 3.1181463770894724 4.098921586878377 3.9810735720692194 1.8329025310546019 1.420594129568838 0.5239840812532268 0.2895169736543745 -0.4528289244443513 0.16529911970051325 -1.068612665749896 -0.8249232607965229 0.5315722652075371 2.7188575661794294 4.302949337863521 3.6807392208225376 1.169856895679355 -0.3913803148940406 1.5390338690667174 2.5851873933179492 -1.0821199686639675 -2.6162496437282905 -1.4726279356453549 1.5389663246894423 1.9079766836206662 2.3105175091829264 3.402873334445721 2.9846355550426718 0.397921112603072 -0.05356967355972904 0.09980840600283136 -0.8447705245775461 -2.786663059232567 -2.764470462972327 -1.5651333300540815 -0.959194668475233 0.8134076942000406 2.8296968409271304 2.4723322708582263 1.3766950768457735 0.786933368507196 0.45529938715209495 -0.3154267562518968 -3.3177191187077346 -4.233116463331721 -3.791092579521633 -4.422378204709207 -3.8957528167579962 -3.37209309124315 -2.200453945513371 -1.2509308900732494 -1.2457602257153326 -0.2974817802625656 -1.093895829126428 -1.7463176025979716 -1.2626595743076796 -0.540893650461753 -0.813841265300615 -1.663902080121387 -1.574820481741229 -0.978405502475258 1.7044344733697248 3.1360811315627304 2.8754586807112745 1.2695325525683654 0.634194564275896 0.4915590360161308 0.20656674981866305 -0.8046469928720311 -1.8839451870450739 -1.064479354228333 0.2607714495549317 2.5605497205535133 1.6824557426765547 2.428837286272386 2.8805195667353938 2.1984771126929954 1.856494239448996 0.7856646275047893 -0.15331729291721097 -1.0170311514993622 0.34914508626230434 -1.02755219917912 -2.7031548454553205 -2.425478113288034 -0.1039998631976202 1.4944515847491324 2.6944834812287497 2.2467589118829703 -0.4143042924545529 -2.10787187101337 -0.9403706046621544 0.9894118671404081 -0.4518336557987167 -1.07557550259265 0.9934619837582542 1.0544834612376375 2.7105892957124675 2.8756989050597204 3.4286582132632093 2.193190379837544 0.1651039748588517 0.18990564117786884 1.6576176832673428 3.0907859620215774 1.9119195679233707 0.45765385534531167 0.17839194575403353 1.7287323275265398 1.386799176529226 0.4684403629113667 2.5585404625368353 2.4942397130290397 2.378296419705878 1.9453794948610663 2.4948369790524825 3.2622690048928127 1.6794141489779326 -2.607021374462364 -0.9230136466579143 0.575767929103979 0.8670430217937254 0.7117543798788422 0.987414141090582 1.7505527557656528 0.8565868975896852 -1.2010728058038518 -0.7596717979695657 0.007670686641133909 0.8797732648375275 -0.06808250407695927 -2.327141138031558 -1.6262260960558212 0.8945214523145975 2.4997154503282184 2.8034491857775357 0.573666490235388 -1.090839857910692 0.2767631424965572 -0.14836199178439743 -0.4236908641745363 -1.0668548645169091 -2.7733309074254207 -1.7026638662606643 1.29317098789338 3.4054822547386943 1.116363695832974
1.4079782269117862;10;24;15;0.6320739553844863 -2.5878708211981554 -2.127219665840486 1.1599235290116308 2.9095774274175574 3.797565533321783 3.537193191361789 1.257393435150072 0.8020803074354739 -0.3649439548323251 0.7850034114833497 1.0127546647697667 1.993871565238833 -0.768834170282053 -1.08211367850023 -0.6610153722547132 1.7655344281300216 4.3279024174096445 3.643550874212421 1.381198235018513 -0.16848117410198382 1.2101663616296303 2.3083845446127467 -0.5431880251264074 -0.9488119295147955 -0.6146637547372896 1.2305980115750155 1.0590835178850933 1.9344834336099188 3.4080213841673435 2.6043792819438605 -0.21912418094632247 -0.0330874963764656 0.020762295847502606 -0.5926652549580879 -2.2026471159364656 -2.257034567394175 -2.1473167389813645 -1.9858772904090605 0.5801723167294618 2.7723008940133216 2.0983287200459615 1.4406804195718812 1.5968052788493257 1.1455759650583095 -0.38476785514803813 -3.367397933310617 -3.425783832184045 -3.5375956860581845 -4.945449650148807 -3.7823977760469565 -3.7483697874174555 -2.0880487195266735 -0.7253029423718209 -1.0901240522539601 0.12417648160065478 -1.4557467835981053 -1.6823181818863566 -0.8309192844962636 -0.39230347130540044 -0.7156436471240819 -1.5393143046334474 -1.2491414882557725 -1.03557125934944 2.2308537835756352 3.347536367795276 3.092244980477039 1.8237933256022756 1.5046190353673685 0.4738883186540388 0.32000814923601384 0.2007637180771618 -0.6453714355082819 -0.06128330509500382 0.18747799366902904 2.098827140639246 0.4413376199079988 2.0075445840142234 2.5447527231561393 1.719178916701713 2.047585669645038 1.0966786284168928 0.23412015684479753 -0.8475441872541172 0.8512118777932058 -1.4681452953876633 -3.226586627417589 -2.9511595273812303 -1.115295789872859 0.9194931028203267 2.7578290244432857 2.113373893110917 -0.7565243198480314 -1.805236368199436 -0.860124215197239 1.028770619771522 0.2765820569196777 0.20072807381598343 2.228414997235177 0.49338872483468743 2.556314044105415 2.620267037418016 4.048505025928583 2.7555468931330487 0.7786814973956921 0.8118186790273397 1.8311980464475794 3.813339167253847 2.460892859272813 1.009452029276044 0.24451600031302126 0.7086584960765345 0.3120298253641837 0.2334315336813594 3.271127352624661 2.3379207572705565 2.0909931910017687 1.5472888103771882 2.1108413533776114 3.0807166080044834 1.7041181679932174 -2.5557071172877666 -0.00894135497836376 0.12541115088281743 0.5180452680903354 0.7102972334959211 0.9007544055151123 1.0558854189220532 -0.32882613418398654 -2.158287683134147 -0.9349475100428252 -0.027824726049537576 1.4249229603465707 -0.08839331173983035 -2.64189673800677 -1.8780282396894599 0.15240164441663404 2.389719956116144 3.325562729139417 0.9444638547312364 -0.43995176114754064 0.49582331773265387 -1.112020711286938 0.07531868313130141 0.2991987899347804 -2.281863041791978 -1.6113037309495477 0.8112004457914388 2.8384578408868526 0.026018476479086738
1.3417148181425549;25;24;15;0.2529245826169223 -2.2021843396043597 -2.4639879933462105 2.105851007046833 4.0239275590170624 4.6499330410445285 4.2086639768829235 1.756190240132364 0.9855689515113867 -0.6509529823474715 0.194762059439073 0.06714227526392055 1.1469706591012667 -1.2175813405325642 -1.355270553607712 0.3864998226798546 2.860833750490296 4.978098671044588 4.127127879203144 1.7507856415897385 0.2106348383329017 0.8212476344696487 1.3311059170328003 -0.9798773259068996 -1.210745205559377 -1.440458690400245 2.314101255089388 2.2333652063306793 3.0087107074500232 3.9287034659815645 2.853523981164266 -0.1355578018752304 0.021040766637958837 -0.5784130169385484 -1.2208845002065982 -2.7636940770481724 -2.869228647044029 -2.6713371005504865 -0.6379155696411613 1.7190513162373264 3.343049683860896 2.157501638215576 1.4204127631810775 1.4361920882136652 0.867503626521684 -0.21653347591917183 -2.573164418380198 -3.581086177669927 -3.918474086303782 -3.774355651942933 -2.2967055817251083 -2.1227406199620726 -1.0424451353050512 -0.7322001817927424 -1.438821450638891 -0.559264710161389 -1.5631687022467782 -1.3209321004680312 -0.8359408569970245 -0.5699910867574308 -1.3268718122257421 -1.8788980794748555 -1.0540964655020921 -0.29266654759726085 3.0502227928005614 4.016086420621027 3.5986412018488867 1.9731761777138885 1.7004406686939084 0.4203815650024619 0.17811319415269616 -0.3878206063990039 -1.2097130196432362 -0.759909101884848 -0.067475016537443 2.9477727992888654 1.490949910502863 2.773215064476485 2.7552719231182436 1.6316751010590105 1.728257569930172 0.8605331516229632 0.019748287755733767 -1.180096981812283 0.06083608658560642 -2.207809393409399 -2.132477044598496 -1.5488482459038488 0.1971939565525806 1.689275628060087 3.0966100545791635 2.0972739194935266 -0.5424972303588218 -1.5304030895730447 -1.2964726490094873 -0.12408214696542579 -0.6556048579628587 -0.4214876594426228 1.7214902523435878 1.2319266588987303 3.447356174269934 3.1677236504777375 4.357590492591971 2.750624690242758 1.148759761387137 0.8053457261270839 1.367273010630415 3.2142361164678737 2.293578847067221 1.171745816873105 0.39877455303300935 1.2399428735187878 1.1182326981748891 1.106347134261533 3.710638765319082 2.4909728715622985 1.971091437732362 1.289317963072638 1.835140481452874 2.5044905831996975 1.4142301312904615 -2.5296167162316063 0.013539521732447143 0.3821796034358099 1.3592865994052084 1.3007570751264443 1.6601981480576948 1.6264819718306032 0.38890992886898634 -1.632556996091675 -1.0863112395513963 -0.6259666547930216 0.6852872429445546 -0.7664953526152781 -2.6536913940775406 -2.176750212298131 0.2597538283631589 2.1792997513500016 3.015179991088099 0.9154037475620237 -0.274465883940296 0.258885111821288 -1.6084192415785563 -0.5595522605036685 -0.4962848950384399 -2.5350085846809534 -1.604411658448839 1.9003645371378326 3.7000416366112625 0.6377750902175874
1.3229659844357011;40;24;15;0.03372797073404617 -2.88656823221509 -2.114216249971518 1.243564510173477 2.9702268866416164 3.9522589310515674 4.008980632319052 1.9396919887160629 1.0955126267555297 -0.2544481866751508 0.27548895376305654 0.10989369135724816 1.0229173977651997 -1.3704915517257072 -0.7901117723672119 -0.14950874854004023 2.5564659066299313 4.443281093654477 3.8332400471924406 1.55501627652854 0.06769491107798897 1.0054293198001962 1.830786639785995 -1.275627345915469 -1.3413173230144022 -0.5830442248730845 1.5664344213698889 1.3182086851183514 2.5595319121544864 3.826898064487145 3.066996562766866 -0.035763343262775575 0.13656344270263543 -0.07956611529506262 -1.1961223720596446 -3.038866874750578 -2.5176770868632694 -2.1258502073353798 -1.7034362085081307 1.0369774113762416 3.318326345056989 2.492514261209559 1.8204805060339304 1.7747285507928023 1.0723565870828495 -1.0127660460709211 -4.001825045987595 -3.7246352024467413 -3.9048576790020277 -4.955347971618566 -3.800781827930026 -3.3583664563101885 -1.6259451354088856 -0.5749207779378851 -0.9527117561490597 0.07968972914483102 -1.7949908895976958 -2.1123560089290945 -1.5570572091127157 -1.0964715014110753 -1.3584843779800952 -1.7044110341216188 -0.9638568779310461 -0.5375958449151857 2.8470295368712404 3.619035410343454 3.1995276169286706 1.8424918856722134 1.5087888148620279 0.20938584769580132 -0.37863389714348517 -0.6749202284935666 -1.3006070837745747 -0.43849693613457025 0.21366065046000418 2.4546570605220364 0.8912704111401014 2.535388167009237 2.839431917671324 1.8759989888379394 1.660335034001884 0.8288767793711534 -0.28319240032381504 -1.4141635594910136 0.6109929209161201 -1.6355876568866585 -2.797063994738102 -2.405253888980179 -0.5137351571381176 1.1968443190142044 2.9737838244692925 2.268767296205188 -0.36730583643280373 -1.4949148843616558 -0.9442007901978977 0.5106214521051146 -0.507169124791129 -0.12295074120461823 2.3153104641849946 1.0024853734053065 3.268382145450711 3.2048994167603793 4.289551289102936 2.7871184230573056 0.7732168427659554 0.6284165247028156 1.457726164236925 2.9725782097529643 1.8942642764390156 0.918907892944047 0.5771736309334766 1.1724290484676254 0.5378481263106889 0.3311870432066378 3.003041472733019 2.352582829410746 2.068323890189718 1.6683326776623362 2.311580546854541 2.886585081767852 1.5416692979068696 -2.8584895403547095 0.05701709604365755 0.06407497800931211 0.3578955277328959 0.5111655512683966 1.3465792705293065 1.5425741828902304 0.2299171106210867 -1.679116937841448 -0.6432443866873316 -0.2195662708768518 0.9572908464839514 -0.5902183063813515 -2.5564059245258273 -1.4336734009172682 0.6185331798133837 2.626685999746193 3.3431596119604965 1.295707721069177 0.04842214891831166 0.707319290263689 -1.2299604576505985 -0.07577271598474762 0.20329223285450435 -2.135241571561068 -1.2359404564093892 1.2910043260174644 3.2216734862582905 0.1373342872920691
