rmse;hl;T;RS;preds
1.437382983106151;10;12;15;0.12164008539791513 -1.9835798829868898 -2.3884852110511856 1.5481547562516986 3.513989675929472 4.562914017307013 3.7747019862628903 1.3818091297300539 0.7592648851819734 -0.48123197159316516 0.2224682650259943 0.21849827311289785 1.222599843734252 -0.7322394204331993 -1.302641951743612 -0.07580901547131533 2.600533296115872 4.256001053385868 4.079506547205592 1.464376514731155 0.0728487829452139 0.702967320669351 1.5350929317194555 -0.45908804921898766 -1.0726151568423021 -1.3717769916151785 0.8529270706551622 1.7842773188777277 2.9580455352668005 4.257398967393596 2.801593287943407 0.07038453641819983 -0.09935882688224455 -0.4758386054857852 -0.9686466878512456 -2.4659599596778743 -2.1259384193935063 -1.4255882940277063 -1.4180655577294252 0.9954418127945898 2.995136833636398 2.6137707959353516 1.0964480639627576 0.8572860043593522 0.5032446251406699 -0.5218249442090318 -2.407340725682951 -2.776565249712852 -2.7654337566189633 -2.7796713924726837 -2.7626520065890157 -2.7615769876531395 -1.9896241312752836 -0.737028781055989 -0.9985435365633311 0.25492914173152276 -1.5901633892230862 -1.5856629268348055 -0.8574599564399571 -0.3282348962341251 -0.8094824813622282 -1.573888489147476 -1.0812707216765218 -0.8205027733471886 2.425196779126485 3.9532893197780687 2.9941462826135665 1.3363382849016645 1.0776425711092845 0.2121740376552896 0.00723908031683352 -0.24917779701298134 -0.8752648639617795 -0.6335286671732103 -0.20591547360252158 3.0414531064242496 1.3136883038782357 2.832285992134072 2.977224843565237 1.710565735589819 1.5321025579255518 0.8083684493344939 0.05482027507910853 -0.9921284681460392 0.4073193286142596 -1.8979264238435951 -2.3925191529622785 -2.1525273908087543 -0.4507912109250518 1.149235267812521 3.0466910156278346 2.547762416738665 -0.38423862024073074 -1.5482544244938812 -1.5334987487266476 0.16759205286931117 -0.27770653511219007 -0.24956778716469794 1.3292925526868002 0.4366877286895048 2.777833542317743 2.1570625248803865 3.3757462544993215 2.186166363664154 0.8018717585544196 0.597072002294866 1.4064679194727507 3.100288003175882 2.4230263731054875 1.4388365030020138 0.44372544843389405 0.7494029568024093 0.22747141633295276 0.19751597175033775 3.493901289205183 2.496673706863793 2.2864971710595716 1.540950571816974 2.065617771890422 2.6209463751016515 1.5561869958127061 -1.7931586547604836 -0.37223496599149575 -0.5497900387076318 1.115705400244698 1.5106860480578594 1.9136459183376706 1.6943727574085978 0.1479360774605153 -1.7517606909520376 -0.26071620379435634 0.2973170200581364 1.6075270127054662 0.00933834758127718 -2.2636617041888982 -1.34446495090174 0.4998493594976243 2.50847734888276 3.958328040463304 0.8639633126981708 -0.32476347468011646 -0.07891834075446656 -1.2846537308785866 -0.5436405799424402 -0.380316328735976 -2.1334442321560174 -2.018769754718164 1.372208093379787 3.4260600761080715 0.24147391987553854
1.3383763311151402;10;12;16;0.4232116145039643 -2.4303059637222644 -1.891455193250077 2.485255562022444 3.495930316307893 3.5158282009304216 3.4450189291440934 1.7033507680172588 1.1217671711320747 0.19124482826998893 0.5228808314634341 0.28486987182396645 1.221216157477835 -0.772249055245327 -0.5630750517281989 -0.350586730984693 2.528676861833076 3.5264849364279427 3.4425226327351797 1.9603619160544514 0.6201723665301803 1.2331527915301066 1.857515043164088 -0.1086098231088172 -0.7349036043075796 -0.6532668640080018 1.3959655925184018 1.054900783648451 1.9425062379253204 3.5286086155183196 3.019143692837458 0.6650882541745504 0.4369869982058902 -0.17190519477925736 -0.7063691751078466 -2.1652198928701325 -1.9764439917584566 -1.916124017301593 -1.6521797609335958 1.6422964918269596 3.4412058917928245 2.7107869865727845 1.2930480301688947 1.0485489912830408 0.7038853850433996 -0.6150225187190244 -3.458834149649795 -3.5247880140940913 -4.357463714939609 -4.684444996967405 -4.0411020264901225 -4.1370330141170575 -1.5187408264723652 -0.6340448724556332 -1.0882554992094549 -0.15413353526576104 -1.9796331047733002 -1.9464908311043416 -1.277874581793544 -0.9015853052917636 -1.3085283468753588 -1.89930681525234 -1.5464534907095524 -1.2914999750434943 2.4664767274819535 3.009561077680994 3.0454299875642965 1.6860631515799331 1.0060986231750124 0.49669615283411483 0.24869955826158155 -0.30309344874893784 -0.7405628047157649 -0.32516293751888986 0.09107921255557881 2.5219344053698345 0.5530363257177678 2.1746060910755016 2.8009510921789826 1.828326736467276 1.5402009939716048 0.9423112708408284 0.18055259827709272 -0.8228132852771454 0.39677997206505183 -1.5214938214680849 -2.564825757985699 -2.7704224555259063 -0.40112018414393924 1.8428033985430163 3.4191118414311363 2.580051923923801 -0.026875061090998853 -1.4729661068291398 -0.9272959002708299 0.8630299722121886 -0.4338285113979215 -0.6399070055272501 1.571278296745069 0.12316788379852911 2.6954791242888927 2.698767681797108 3.322325990599133 2.4413851145678045 0.8364695311824635 0.8013980493186748 1.4366196695820028 2.7891303768584423 2.0406046362571866 1.2140613208752882 0.8840181518825271 0.8558743118977238 0.2606579832382288 0.14048335667526327 3.4778667632438225 3.0873434452676 2.124448924496973 1.3893357599392198 1.8744111717916647 2.291813108246661 1.3786454769017662 -2.211999541053303 0.5340535101532223 0.5900710126137289 0.44897500192868345 0.4035047561635072 0.6364003150264651 0.5850623948549509 -0.31847709252928486 -1.672671916263502 -0.6354465306084426 0.1828796593283109 0.9846808402979923 -0.4437716128428583 -2.285083156328098 -1.6034802649182993 0.8217817742070131 2.9807365521203257 3.1874307334668996 1.2511023728178883 -0.16378084924923844 -0.03212966918164864 -1.1148536063387027 -0.16830093095774767 -0.13033769608150905 -2.3060776261621743 -1.4683387928054887 1.7894256681309568 3.4778230316292675 0.6982606307699666
1.382596904534123;10;12;17;0.42054323718709247 -3.0822959623829793 -2.692875819313648 1.3987846342333639 3.407450476925276 4.249281361324724 4.069818796455232 1.8587627420711355 1.3976524047606382 0.04630922488468227 0.2871363151663109 0.19228914521619464 1.22097780520193 -0.7101943434891803 -0.7617800511822056 -0.5288088980300469 3.1215589406827955 4.262894174247199 3.857697102398132 1.7226795425873593 0.6137857536155098 1.0461469724472858 1.770402715331135 -0.13756049827765265 -1.1095311543391713 -1.0756501608455804 1.6956860537374774 1.7444797524430309 2.859938150986738 3.9551113705406586 2.4784105159839624 0.6505482411640265 0.0743531336372533 -0.6602142749730189 -1.1683387937146086 -2.5494516992167613 -2.220457564793009 -2.09954324492769 -1.5807893978305776 1.4630220328063759 3.4532988813437107 2.867573211637472 1.4175059587053989 1.2920687115813085 0.955771771941378 -0.2657192053355116 -3.7267277302500377 -3.8607124112983864 -4.422225144058264 -4.618842782629187 -3.874294372465388 -3.7117703199457988 -1.2757742661684774 -0.5426681505818044 -0.823897664575726 0.3060506503173109 -1.8317465628021636 -2.003174192326189 -1.5559341153539896 -1.0228549445253419 -1.3655151336146325 -1.9346147024365914 -1.6487252629153566 -1.4228940072268685 2.441176790335455 3.34225263025589 3.01443865036191 1.5974269566987016 1.3364739727194277 0.6480526187012273 0.29708233704441145 -0.3729432833580639 -1.1284375893440488 -0.5934538842366599 0.0330243616299183 3.1019974300544124 1.1987353369292004 2.647415084576873 2.3612843723465695 1.7354361444125372 1.658779566369116 1.1002730825782883 0.31020713809693 -1.2014270019285866 0.2350531977991732 -1.7130755849040347 -2.626498716709309 -2.706295733881511 -0.4496240485787134 1.6754377171352957 3.4320369297849935 2.840909507086392 0.10013730106717625 -1.5864172971858794 -1.3095410632370745 0.8288038434249607 -0.1708624971757995 -0.25465158735671767 1.1804421928887159 0.3539111957441363 2.379159370264323 2.2878408698465154 2.883746121201055 1.9516055588346306 1.0027804120377497 0.6361515540272327 1.234425875740808 2.389420574275406 1.854051109900243 1.4109772180434246 0.7640753627830243 0.5830378981677902 -0.09744984643121886 0.031611957780724315 3.4454008319424334 2.989481676904901 2.6031158576274698 1.7959223589110311 2.130615531446639 2.4933075706694834 1.6400971810059313 -2.263884555704165 -0.165899183572511 -0.8323475260791535 0.43550731206957694 0.7012495069058374 1.2864626780332842 1.1589341761152252 -0.13931552884327889 -1.5398450746402383 -0.5416615746180229 -0.05210780019364225 1.3956808877263844 -0.12162384426872903 -2.0614588495166055 -1.562402051099836 0.3430279394691685 2.9401152737676406 3.5849340364703504 1.1548946928694113 -0.04663101453384057 -0.124581494234618 -1.4035023310193944 -0.22618054653321892 -0.24608472131948497 -2.2182482196631614 -1.4984424680918909 1.3396642838606974 3.539048490132705 0.7491750881327331
1.4138313492435377;10;12;18;0.05451216938033013 -2.355345782932489 -2.114111713440835 1.4439989302407505 3.4642506554736747 3.7631796044224655 3.4204231908045735 1.4483437859594332 0.6869729319432666 -0.3755984438427971 0.09575924414198103 0.1998751575663575 1.5927562105921023 -0.8851910418709468 -1.0835122664540724 -1.0116718571122263 1.8485675847792942 4.090629353882892 3.481983525644124 1.7221316992789957 0.16470007520815635 0.6940562553747517 1.1611051063165339 -0.7026724309028173 -1.065479864677082 -0.9741468369763575 1.2066738979802623 0.9366282576699231 2.102050849554645 3.229024291414417 2.551599416618457 0.025080118838694942 0.08907302473786781 -0.4591051599620113 -0.9616114392426104 -2.38526899042595 -2.3016334757159234 -2.3326224166654574 -2.078840968175795 1.1963813929162952 3.434091417074259 2.435283955274168 1.4607509841655808 1.197470864252187 0.8369227973860619 -0.5460493007978917 -3.1482809781143555 -3.499643533851388 -3.76003594442902 -4.077067385550732 -3.450810296973771 -3.556855867890387 -1.8119192178729755 -0.6701310925194818 -1.2919317498543235 0.40797586445434697 -1.4738940557462044 -1.5979982374553832 -0.7070643879666286 -0.33008753666203294 -0.8501996098290061 -1.571854220241652 -1.116376574792161 -1.0206244075343316 2.7865058809219287 3.764405886819645 3.378371349499048 1.8703826214494896 1.185281799938503 0.4838727554606783 0.03942611025108175 -0.35488418582664055 -0.8858735246364507 -0.27432867974377473 0.03493156361203015 2.3113346314055705 0.52064737403926 2.10771918567683 2.1390271277873305 1.5141588175040976 1.434121276451843 0.8277397573927232 -0.06702352880275844 -1.0399546797624648 0.5515434601907667 -1.6591076274612861 -3.376158633738733 -3.1995218500453504 -0.614886456486753 1.2774947017334422 3.389944651712585 2.4612710179260713 -0.31680915077826044 -1.4690703987544655 -1.0399043584525658 0.5787511141393257 -0.0068575884745586055 0.0897344654080123 2.322115972051413 0.577474772522403 2.3215032801502327 2.185029491451527 3.4147392790388484 2.423342229184585 0.868723618755126 0.6944706573524014 0.9529855289373321 2.6230502851059962 2.1636409877890466 1.0095112616512374 0.025392904718825538 0.06285427438830447 -0.21081547371247747 -0.17831082795094316 3.226442928029245 2.6217982429906543 2.023046992076564 1.1988402478743914 1.346633785281697 1.937046825098698 1.3489349368489494 -2.469285209807891 0.36922890512959344 -0.3721601954142129 0.15702798496256376 0.33703989079845187 0.8003564281569279 0.7848663757733572 -0.4841813469984234 -2.23822533039562 -0.8268007249063228 -0.12314219806337424 1.5769774846227276 -0.18569349578171537 -2.695241819473716 -1.699887807331241 0.35472955353465757 2.7381297292758937 3.673116440967672 1.2247695009262327 0.039670003861707895 0.23094137767037956 -1.2356557516173718 -0.20341831604023883 -0.01193644639507037 -2.380029883095939 -1.4107936791516225 1.2694738443734832 3.4614272705504177 0.15614964596783265
1.3460780764506153;10;12;19;0.0325927459452552 -2.1982886315296852 -1.7971088775875483 2.2350828703283896 3.7473664323183384 3.782573676882792 3.596497753672478 1.768499791034779 0.9640437865534216 -0.3103120107007763 0.4631743726196684 0.47226500711238906 1.6275857458007073 -0.7360567261098614 -0.6263356777322804 -0.4083133607921233 2.350012548695016 4.301062887805525 3.63901926053706 1.8103584344540853 0.2638514394613673 0.6270819616298715 1.708501213991734 -0.4290375782341974 -0.803051687535593 -0.6718919639514355 1.4216032515512753 1.3224927359209062 2.1006270260629516 3.3697250701446313 2.868466115356571 0.25760141295927963 0.014421810800239514 -0.28422775004254996 -0.764248116737203 -2.2226950658938716 -2.1450843299178133 -2.1853854089831057 -2.1682516020257387 2.2036868659255657 3.35874184519598 2.564332205680915 1.5860739599817757 0.9865980672285605 0.47240458884103725 -0.6200463377068341 -3.1646962087476305 -3.471083794230902 -4.328768886564573 -5.554787396398685 -3.6455037445042735 -3.9201295974931347 -1.8951264023856484 -0.6433605300677679 -1.3167772975536989 0.3705707318439962 -1.9643966807775683 -1.5905177351136246 -1.1186337700961535 -0.9761167065867754 -1.2648284077877423 -1.716522894163717 -1.3484671424625396 -1.2242860560133813 2.013813181475917 3.5025200116517983 3.209166843558771 1.8511040184234846 1.19085316270307 0.13206689294596508 -0.053664868448432906 -0.2475560205708151 -0.7392021823930517 -0.19086591988782042 0.2176291447150679 2.524182689608532 0.7684176724830515 1.9257484928999657 2.3920988361352937 1.9169764102708016 1.6385518974477855 0.7806280035407999 -0.04205562244211095 -0.8900160467549149 0.5091458845283913 -1.6345060482554383 -3.1935162413342004 -3.1367268459236373 -0.3332224344560926 1.9918326535931072 3.2889192305215986 2.5751911250128514 -0.27590968244600056 -1.2531102820424427 -0.8484650222955263 0.6154014271011927 -0.2589927363717694 -0.12801819820335603 1.604557456358217 0.42350335828873537 2.1926940559655055 2.6631276140612026 4.04544321384652 2.8395649097046287 1.240941736543701 0.49969521304460807 1.1402125521115836 3.663876190437484 3.052996755008739 1.6271346512012563 0.36386287128131034 0.517831402523265 0.25263869841920417 0.24849482840851064 3.3125349014445162 2.910077046137268 2.367246998272181 1.500269836440391 1.7561539968079725 2.7568507542163223 1.9189727884283985 -2.243520000838645 0.2970650765355845 -0.05421301128840321 0.4657976704297558 0.5382846936272226 0.9422983909817472 0.897252731268843 -0.2478321138291444 -1.7890730436472622 -0.5273332930118728 -0.05414973523652139 0.996724182485094 -0.4463340308539162 -2.3225025915726616 -1.450548113034977 0.6717558277361565 2.8274458609039734 3.4450818307814672 1.222375419678051 -0.3666653629751171 -0.07330994839504086 -1.1179907506198112 -0.06246443310249722 -0.16163320763033837 -2.2767140934755354 -1.2194514661180038 1.6483432861340093 3.751079126581416 0.32960963488369044
1.418755158878905;10;12;20;0.20418279648292742 -2.471835421905982 -2.137783396774176 1.6474798862781543 2.9967510094640484 3.833073208087597 3.273066520245408 1.7483323279663632 0.8472675707153703 -0.7633534158284647 0.4382662228145258 0.7224389718157717 1.9030386055552289 -1.0163044129389918 -1.2452769314681786 -0.8843253955280428 2.072043922977156 3.870882483718074 3.480174055209009 1.8594330938065744 -0.05991062662512736 0.6685017163626934 1.9756669327880814 -0.6699532456280979 -1.255985560816533 -0.8574794259943823 1.4426672127180686 0.8752652392761816 1.8508820655030376 3.192176811772544 2.6930229651152553 -0.0187315455381613 -0.34017448816101115 -0.4056103126917944 -0.7133556749475173 -2.3972975806814296 -2.1534053179475263 -2.1268557349385384 -1.9347515883807807 0.8141372783106732 2.8080332174840414 2.273367502618447 1.5650245260978997 1.4807894988773806 1.0127927801666992 -0.5653081347378649 -3.135247159787324 -3.154549575576049 -3.3717402430106445 -3.5140593910110005 -3.4640528888305617 -3.428444870976556 -2.070598607192799 -0.6282647736027578 -0.8538651278640534 0.5583639446375119 -1.444928301033052 -1.373198119322413 -0.6606420061071597 -0.13699179072082074 -0.6342496771916057 -1.4107283812613964 -0.9920153949645699 -0.8223275947771389 2.635024061077479 3.571831325873814 3.331619857286892 2.2049233323973674 1.6971750253535935 0.37578752406932014 0.05829517868804324 -0.12511652320643943 -0.8033922549722302 -0.1730944475815782 0.14273605900515762 2.188631808317594 0.35952565361859445 1.9610024643950397 2.321622943027046 1.860244824460301 1.8646778922371101 1.0169105909276235 0.00900208591148392 -1.2255903663940646 0.6883949582453207 -1.7171830618245336 -3.0800404893857243 -3.019998180728124 -0.6456705927003149 1.05155381747696 2.836825992694416 2.267933400212577 -0.5121234524462213 -1.850915836791781 -0.9361764882244635 1.2779679616717772 0.20619991720427716 0.15132729942687256 2.172730573921144 0.5017851199463473 2.4605151499169646 2.457254448848158 3.3456553093061974 2.5422902738187645 1.2736666878018463 0.610720272271266 1.4607354085220408 3.072076618813804 2.4536031585644213 1.2255590662410751 -0.016913912866767956 0.2692314764122562 -0.049916904338685106 -0.02854337725653143 3.2019181786804753 2.3943447241211393 2.1629676407375418 1.3500089074242025 1.9116708069241382 2.5319363647754565 1.7638988357925036 -2.4063678470249057 -0.3832941970853065 -0.17438984689696702 0.5544853098644106 0.3666428990045204 0.8508742307897323 0.8184056037038846 -0.4824981291354654 -2.266586181029363 -0.8283562674219926 0.11043838958374325 1.5286225997207568 -0.2421865795505076 -2.5201083849135637 -1.7920348121727412 0.48860220976215984 2.5824955027699636 3.4659310277863704 1.2928322176463818 -0.3665193038754775 0.08766253040266553 -1.300752805901157 0.060256586530576334 0.209457772722822 -2.2595742958860376 -1.4623778143037134 1.1535545135788445 3.017244961983594 0.11278065186399341
1.3963961555286026;10;12;21;0.5187312703522162 -2.4992773095708563 -1.707581576176857 1.2914760882977667 3.2857675589575726 3.659418860600545 3.2990038606506262 1.500802852934231 0.9353511297825333 -0.45457392070115843 0.5276529690188477 0.6797709939955912 1.861942419840373 -1.1935429556299153 -1.0505524075334973 -0.6792019579261707 1.902983341973822 4.085742795253779 3.4833416019481813 1.6336571016994932 0.2047529548959785 0.9642464945681484 2.182372047038294 -0.6719902852012827 -1.1096216877672482 -0.750415896912936 1.2122281125603547 0.792312357097462 1.7759717567257514 3.2950087080825803 2.8534961247248574 0.12202307399832882 -0.18190767836519092 -0.40336367587693245 -0.8425919563202707 -2.3013763278317074 -1.9008646791379606 -1.930777103493586 -1.6643605132451982 1.1683805792736153 3.707619486725147 2.365289109926025 1.5748347852753353 1.551619288578757 1.194512615223085 -0.5510967078997167 -2.9645800410123067 -3.2260262037817506 -3.478893781339856 -4.286043997739149 -3.590030191441246 -3.672172541092665 -1.7973989739484835 -0.8407886262830897 -1.2864732356225208 0.2608249721088755 -2.131708446496112 -2.227507640216168 -1.4142680960216965 -0.6413673718749415 -1.1392390734904307 -2.033280713162853 -1.5532190111064974 -1.2826503137282361 2.8374316456028423 3.3279452035378454 2.9527561066268904 1.855737622610873 1.471353504442318 0.5996718991981924 0.3377072472178256 -0.05164834679029623 -0.9062257987061023 -0.2893982646346633 0.02591783385928891 2.040802327117504 0.20518487947261085 1.843265426046106 2.457138380350623 2.0719212647842773 2.115568111894634 1.2335478737191343 0.16008328223218513 -1.2031307377065927 0.5443307391052558 -1.978317711723175 -2.8984530472994297 -2.7478452606828667 -0.5479777601637053 1.5990198657822876 3.6431003786761833 2.33263926621822 -0.5387243676842803 -1.8767179386766457 -1.0096811700551538 0.9177594887645683 0.005222071919836223 -0.07597076253884755 1.946831773855381 0.3460767593677984 2.3562908809339222 2.6454187064192767 3.7408273578159386 2.6457386061750623 1.1315482259778726 0.888177148239351 1.8497814366148022 3.4909712710299976 2.5719178436165695 1.3338656514896672 0.35141980416527946 0.5241944273239203 0.002153819908231939 -0.04853179530713719 2.9449928464485566 2.43236621789485 2.4292855353215748 1.6350622044657779 2.2136371561290593 2.9198705315447375 1.9454892731948636 -2.328100987064719 -0.2606841164710056 -0.4171766507954793 0.4555386380228197 0.2459989064141049 0.7252855704385355 0.7328472458456669 -0.6220516269297255 -2.213878652586939 -0.47049672137327947 0.30772473246626936 1.8568926164856956 -0.3778969745084923 -2.6430448426546422 -1.5459144835835816 0.723553379157908 3.101060195657545 3.3753724390543582 1.3040251147196116 -0.34417473276636823 0.07073180587453348 -1.4804579913719471 -0.10360554855833418 0.011211655690036359 -2.399804061164966 -1.1235641352227226 1.3180637118207856 3.4785461009274576 0.032544446473700445
1.3679536542013069;25;12;15;0.06677943016404676 -2.826946465933074 -2.3599151375902743 1.2939466249885183 3.152138122394582 3.7096976370113297 3.6335210583673905 1.902004173152039 1.1523374417785661 -0.42036778564866706 0.5473226854400937 0.54005672261152 1.5350132563121155 -0.7806727077331822 -0.5443800111546379 -0.05153652789742934 2.342297962402746 3.7845721517616346 3.547867599224096 1.7288462993028286 -1.4171139187509063e-05 1.0244292835492164 2.0560862268728726 -0.5258989859139505 -1.17460776559081 -0.8027999312202951 1.4303041954238858 1.5322512753681994 2.528074803303928 3.5050351785519243 2.8449343132834852 0.07102753717381664 0.09526204039584812 -0.11611711480863594 -0.8492694144248926 -2.4327171931549207 -2.156055124304793 -1.698666317439766 -1.3245194407537713 1.1749192793615069 3.130448140170117 2.550786787369911 1.6070751692769987 1.4720397313529037 0.8756619688890454 -0.8205420868705471 -3.7098506218794767 -3.929327314535194 -3.9810417459361305 -4.40432992775707 -3.5225241542118533 -3.0077066017221017 -1.4093598213511098 -0.27231026729237173 -0.6124541849587373 0.25706418430222266 -1.6155444994349573 -2.1255932092169676 -1.543163136011698 -1.0288800976738188 -1.4393775310664347 -2.156201445494588 -1.8378132759610482 -1.4266234752599125 1.8615224765280023 2.9105616882766516 2.8712984862280244 1.6857687120107032 1.286248363168804 0.17727289567199578 -0.03341969564884515 -0.2909867743477781 -0.9828317559080182 -0.248794639926039 0.45622157008573355 2.6134215420821247 1.1975585521300018 2.5789352700946155 2.7759440969436815 2.1039425414157558 1.924781604874051 1.0668598076883113 0.0925194541234557 -1.078233770717801 0.7056911862163345 -1.2963156944476597 -2.6285645861996234 -2.457293761471622 -0.3938814038086592 1.399688620621905 3.086393031480045 2.550405483634784 -0.3408640848021705 -1.8417399855569994 -1.2385541692080673 0.5750623824047714 -0.29618128890986556 -0.3127792338231304 1.6139333947061683 0.5826490687010489 2.6219965329141846 2.717491402521995 3.5559073270752672 2.3439151335464614 0.8054768460878472 0.597190055189294 1.6129699512937286 3.1984025762145016 2.531053046067767 1.4118346272671487 0.5407867560195625 1.0973923373523786 0.7522736677194998 0.7759137504683503 3.2941757106847893 2.6683649242015743 2.500047331348266 1.8730965275705556 2.431999591208444 2.914756328894654 1.78072397542933 -2.424097572113486 -0.09967874535875591 0.06024290168030248 0.8736804175459724 1.076200101775084 1.5160350834874714 1.5096525142494892 0.22890944885523143 -1.6093997582925688 -0.6033541152204105 -0.035385708789828815 1.1369940101163973 -0.07417400347628504 -2.408904130903293 -1.7379247269826887 0.32229177820428356 2.401157121214508 3.0315844385835384 1.035627721957167 -0.5796968842870854 0.12617988003027988 -1.273422793291326 -0.15452002464182615 -0.1235866468053051 -2.482605979413989 -1.75690918997107 1.1611059300284519 3.206126298220772 0.67995273479786
1.365700870802526;25;12;16;0.20646614464031604 -2.886863869910746 -2.0884300232618003 1.412998906621774 3.17369181773807 3.9140776371657666 3.7275640982782963 1.8109043308070065 1.185397793553136 -0.30441728484622266 0.8232109143847227 0.8329798382004557 1.7843836525980497 -0.9154855187907155 -0.6226807930692652 -0.08735743784078401 2.278663520953701 4.145245048424785 3.566127345490451 1.539641468930586 -0.16261333120911725 1.231532100890014 2.3652107824109145 -0.5991096774728207 -1.147098108899956 -0.6085680618954723 1.5148899741556645 1.4799794156474901 2.4453368350529017 3.595525174546039 2.90968975177001 -0.1915457630310418 0.1311434557237241 0.10360437005252737 -0.7198316231638386 -2.499217253483745 -2.095484292127451 -1.8549208739028429 -1.565845915746043 0.9898544999719744 3.0171137671399286 2.392688314336967 1.472922750528987 1.5073570537827612 0.9728539096966166 -0.8321467650198693 -3.6360011042867555 -3.691763405818489 -3.917500608582523 -4.2757910308472455 -3.483976533171253 -3.2952227973984614 -1.5272018455281362 -0.42841163205942806 -0.8172470145498896 0.1761248659070252 -1.7694417421545552 -2.070849015615867 -1.3337981810953998 -0.8199945430937899 -1.2932496889231044 -2.0543085807710586 -1.6372299886853237 -1.3288882590009772 1.9146342228734532 3.1237530097007093 3.026615508762627 1.6509460660290485 1.3323567610217162 0.21400820072721896 0.10727483035908264 -0.058705592251286895 -0.8328024397065878 -0.07700030883270571 0.5197569414559148 2.5768352540011557 1.0391492401723696 2.485451755224729 2.831330186777599 2.1036129068827574 2.008758136318125 1.1373661781375248 0.12701463717625924 -1.0297569015690664 0.915033676262142 -1.4054015111706686 -2.909033701768889 -2.588845197514234 -0.5211245269885861 1.2491193238167826 2.961452108227993 2.4229074590576904 -0.6846418263154662 -1.9518942315205405 -0.9592050023156588 0.8404537508468706 -0.16465770930666224 -0.22418864262899485 1.8507857660915348 0.5500836180233868 2.6268088077048746 2.826856682233907 3.8385756036997583 2.425212055238418 0.6924840888549189 0.6749790873541458 1.912874025387614 3.6853031839114054 2.7311952730528595 1.4168077505305514 0.6109457446880898 1.264906736202747 0.8482270453340233 0.7920991654765064 3.369835597307445 2.712625511573734 2.5005319734876497 1.8904567804224677 2.539845496846176 3.180808988241094 1.8844797769797423 -2.614135549649323 0.18755529154424205 0.3073360902067822 0.9005599346195655 1.038055425628183 1.478647548359005 1.463985176687209 0.06958319576707521 -1.91516087342076 -0.6008203773606788 -0.0038018231868020037 1.203924272715116 -0.20474716929193323 -2.7534387139034164 -1.712368241015188 0.31906088053032744 2.3321486334467054 3.1420049681452946 0.8391406042837942 -0.8146872923232905 0.29199896742907616 -1.1919364927411336 0.029456818511298024 0.0845629960589031 -2.583048961396056 -1.6444355210122776 1.1199667615280575 3.1274791828860815 0.37135056238162606
1.3438588726450056;25;12;17;-0.008567548893763108 -2.3880162943211456 -1.9942282315994277 1.7095853686416098 3.505670784621005 4.1764742137227655 3.883330418222711 1.7391895749741044 0.9882718498459125 -0.3426457736807789 0.48403015931991566 0.4699927229037171 1.5970222894982646 -0.7535871877971905 -0.5629990081415883 -0.28805059705393304 2.4205862388728 4.507553986722864 3.7793414313166065 1.5994504424666904 0.1421876540750316 0.7366644766394272 1.8066947136086773 -0.5698148498484322 -0.9644017259233444 -0.6930967798562049 1.4986393361401842 1.323313901820239 2.4683543413575566 3.75118785655459 2.7771215556889945 0.1776056940075884 0.05408135868685961 -0.2746301957472092 -0.8953459121617081 -2.4123059113587804 -2.1057198861861752 -1.9865654642750887 -1.7168920668687788 1.4672075377103786 3.5801894558227385 2.4940857537832777 1.4327426822327374 1.1990067874476282 0.6155657950702822 -0.7181825519040264 -3.2413816915910827 -3.550598353098136 -4.06260989349781 -4.997497160696216 -3.906726456695238 -3.7608425830454357 -1.8429858872744074 -0.4661211262234755 -0.8123509457922695 0.5274894622031271 -1.6260821711188782 -1.867993182041315 -1.0977181519574997 -0.7902178065559274 -1.2682672552795398 -1.8874759158571777 -1.5211841057869213 -1.3591797406046806 2.2698814040157176 3.235915016022896 2.889040042815063 1.4188580443773255 1.004003624235962 0.08629096581595089 -0.08768204585901028 -0.28728050129351573 -0.8995684841020204 -0.16409431843584646 0.3567893575099394 2.7041613474360946 0.9557345551392652 2.5598236559392573 2.7635926116163505 1.8670061514147545 1.7177720167457893 0.847996331114085 -0.029788165090777526 -1.0190498447616463 0.7072234401495958 -1.5211963865827896 -2.9362713088781023 -2.6939124982038867 -0.4694798864519739 1.5163644184888634 3.503757975781633 2.5773528446172587 -0.18226999928475326 -1.4965494283385508 -1.0770978719828954 0.676443796910132 -0.34742240421029064 -0.2407299947893488 1.8095432591868836 0.38498831131034633 2.6639881683667954 2.6896712064380597 3.6774180143692092 2.1979219308602715 0.6443797621418197 0.4550725668430417 1.337504810743339 3.4358793212337035 2.6014121218494637 1.3313449432548203 0.4798648727993544 0.7961954848446615 0.4430450623896358 0.47876465576707794 3.590009000479977 2.8409775007610767 2.447729044228543 1.6490781869306579 2.142239903799091 2.805145732796985 1.5966215162087125 -1.862239479411266 0.23669137359679757 -0.11444452095734745 0.6769670786267594 0.9016455869274739 1.3260296051309441 1.3034672371024287 -0.049073020839068934 -1.8089638892770372 -0.5994572464607609 -0.17440010585449106 1.0869267030198309 -0.3562448830322554 -2.4994264763109135 -1.6249334674077929 0.4143957628187943 2.5361202222556236 3.2753243894955153 0.8977211238185717 -0.43085401277916463 -0.02471645848737193 -1.265070953506139 -0.05063051031018129 -0.1265978661269514 -2.501656189590006 -1.5048093119205297 1.3930655275038704 3.468818212941821 0.4676812749374898
