rmse;hl;T;RS;preds
1.3773792865569334;10;12;15;0.2886023351730757 -2.592062766031699 -2.1795740465187974 1.3386523163279982 3.2212921825231637 4.037810549448638 4.072160834086777 1.5646573003482802 0.7439167358970016 -0.3159902313659769 0.7868252375972347 0.8586828700064569 1.905337360869629 -0.6398617762546623 -0.9359571562055738 -0.24348321443377344 2.303419658468524 4.586327204863909 3.674019828293 1.299062624828241 -0.5509524085482654 1.0856152038805904 2.254367164454919 -0.45696777730063526 -1.1868831698900795 -0.6774350209791844 1.376165654731212 1.3317343343433237 2.396346344081851 3.662499842705427 2.712948706177192 -0.27267556480727406 -0.30907704188700713 0.0426892824556427 -0.7599475916962886 -2.3481731990822547 -2.2374699116839234 -1.9964404222795373 -1.777171305027153 0.7838095533825783 2.961313125562558 2.0789758331815342 1.0381789824158814 1.1414952213336944 0.6718266669611035 -0.8150973510926454 -3.637985201648484 -3.574920619080884 -3.525715963011156 -4.785991603153772 -3.8108233255077115 -3.4402631900442437 -1.9271252141466364 -0.7800162093345456 -1.216913010635469 -0.22898049310826396 -1.916797064821491 -2.122483322312054 -1.262578401242307 -0.6793214710371807 -1.0026556562237312 -1.7571613955837777 -1.4579592738098215 -1.2678729219195284 1.9028877913913353 2.9888233064337237 2.682786472461711 1.3898165081677185 1.1901337626670598 0.17816383371492703 0.06525239931317456 -0.03511824578591298 -0.7080711136962134 -0.04531310354614761 0.40367518964762916 2.484660242954444 0.9887418898194772 2.4078387727616217 2.6851761356186965 1.878342374361714 1.8453291988151745 0.9458920963141262 0.045174196663508095 -0.9930083422402538 0.7702455641119689 -1.406378733037009 -2.917720717421796 -2.8196372956702564 -0.7459438900272766 1.1546752110847183 2.8623706471634587 2.0727587551561664 -0.891295795543862 -2.186659766203135 -1.2283407404882272 0.6978260104088754 -0.058730921392765034 -0.036693782036319435 2.040898177231597 0.45049437600286346 2.438586291236284 2.6459219195182655 3.990676255843322 2.368775058762951 0.6658576011059514 0.4364523342882143 1.8815245981496074 3.821714070972737 2.6251116616222125 1.2127531914666214 0.23613158646562302 1.2031993313443847 0.9000397979848067 0.8992729970720614 3.59255561819879 2.562926503851417 2.328654597256403 1.599819914703359 2.5419976314391737 3.2087597801054817 1.7826444223246685 -2.590368615265102 -0.32288425082212807 0.18367521527528421 0.7551455767630163 0.9780905458908739 1.2207159396949114 1.2725373038793828 -0.12162896438712835 -1.959185879184375 -0.8197029490748221 -0.07289037949717835 1.1998110298111913 -0.3772815868228535 -2.834417383263423 -2.059429522882289 0.005314926717863981 2.180898052002505 2.987165099459912 0.5261410832348312 -0.7810801456009798 0.19202376021279918 -1.3038466678651206 -0.09660369772382822 0.04086573403502017 -2.3217221619718185 -1.6300940974568905 0.8680989455896845 3.0460470226737715 0.29455223100540917
1.4165079800196854;10;12;16;-0.13056264431802148 -3.138226900209195 -2.1932672836776295 0.916109968207346 3.577029696905336 4.54556334946651 3.8047132560486747 0.8223991088480945 1.7131252331677131 0.3650260273924113 0.9672810492740168 0.4724994654774091 1.0008073224625615 -1.512639517412925 -0.5188372287581363 -0.17950985297192737 2.7176459608309704 4.80369489547797 4.338457012629336 1.4251651316504592 -0.6162932815597751 2.079274615959059 3.2019094922638858 -0.49305834057277864 -1.563437082566239 -1.7713394246477967 2.034367789145787 1.7961847485983613 2.229055395809962 3.018406246022154 2.7347027881654564 0.16886757077431586 0.19670349226759487 -0.062220314843166175 -0.6047632616633833 -2.8108795905582062 -2.7912351096748114 -2.4288265771175577 -1.2861755012056189 0.757749105487072 2.6700210344541406 2.3598454225087457 1.3675872192856766 1.1280368169543908 1.1951193164921339 -0.2561167087686629 -3.708783690296977 -4.153047171929174 -3.172042820461265 -4.300812104068054 -3.856734931095126 -4.0152955813969635 -1.952191666405836 -0.926405991867796 -1.3509730238828628 -0.3006738324312984 -1.8497272953770258 -1.4864938527753577 -0.7890511309484497 -0.292045524973274 -1.0477598743657142 -2.0794750765868426 -1.5931302497858764 -0.8644561161739388 2.5398161427487347 3.599382542575076 3.5068212855217293 1.1750842463938094 1.1255111664480357 0.9465324948889112 0.7883949329813136 -0.24752090048994815 -1.5283196974837479 -0.8026676880160072 0.6453673927314876 2.7281843813439077 0.638304886746657 2.3329982548486594 2.2993318008682535 2.2137533743923976 2.1321928648866844 0.9667871216548304 -0.08475901987476493 -1.036638715112251 0.9717395772373818 -1.63953772994792 -3.1850257184151847 -2.925079609931299 -0.7710853749539147 1.0462258990256093 3.002519688674424 2.1473481158170435 -1.2274623640520452 -1.7073480912895582 -0.1614208397213007 1.6359897040854325 0.1828446141303456 -0.6980766425807549 1.1982441799773744 0.8558934819205424 3.5379551997688297 2.6688576536943347 4.496627073716243 2.4868363400759654 0.5782047684889946 0.7132388585208601 2.066231512152225 4.552002679943932 2.8175265722217566 1.0432838995861622 -0.10052621387728787 1.5237111799683014 1.0639211779794377 0.4627149660181359 3.0181702151161995 2.025676580050389 2.535714955991973 1.6001423604778005 2.5170670167635407 3.6626538019511896 2.0764729470772765 -2.4836956753985855 -0.5705819128513333 0.3089653923805628 1.2493033859890021 0.1611699080178148 0.43156098315339725 0.8287843738705355 0.3454416025961279 -1.98248958793908 -1.2272420585554342 -0.0015247277516999436 1.617224348467236 -0.38408185288615726 -3.035657693118096 -1.9449063089057388 0.953131325946816 2.9003961846138577 3.381510440735599 0.9204593169001268 -1.0421746582643445 0.936577561945516 -0.354964984477505 0.03744388496189405 -0.4819322390478076 -3.084063198861572 -1.661502083123976 1.3639008838039748 3.67487888494056 0.40694248041178
1.4164339639909158;10;12;17;0.32180522655090826 -2.805120196827633 -2.2875406633939654 1.188346008273419 3.045480009342589 3.790755382715463 3.4566946711670674 1.1262397770809471 0.822897529441379 -0.56328940403413 0.8267661299056612 0.8509867049079886 2.0742808250148053 -1.1170765801566478 -1.1355575305144334 -0.9064657235229419 1.9649675140366283 4.317090524539935 3.5390982123793906 1.1573004558502482 -0.19681517921548997 1.1982149756457368 2.2937530246964246 -0.77336376211907 -1.1095544429215798 -0.8135724356837444 1.3690450396147125 0.8758752353929027 1.9635279651355915 3.347574707840913 2.6430554020436667 -0.5148829996958341 -0.038899046048027845 -0.11541798931824349 -0.6306993665007243 -2.5220521952742128 -2.359740660429464 -2.296614224585113 -2.0208320298291995 0.5896880240133152 2.878721478501327 2.128095572040808 1.3918441873781988 1.589906616653273 1.1845051144827417 -0.49863303562646843 -3.6264712066930422 -3.5166158932728293 -3.6800307527902723 -5.042596137035085 -3.6260830137309648 -3.727148572157228 -1.9182250817556759 -0.7121412989316979 -0.9047252951231345 0.2573745552087755 -1.4239005831906502 -1.5433636724222772 -0.8364657861374878 -0.18510588965258326 -0.6936985388537461 -1.531509709093411 -1.1893679343321415 -0.9623493353553244 2.5298330538343246 3.503557589136857 3.3257274715230145 1.763715222917694 1.6325873245667315 0.4247992443429848 0.3568056445410451 0.09147568007828684 -0.6911956527494882 -0.12035007675155009 0.14624510921723802 2.232562910922559 0.2961025317179645 2.165507668761011 2.4381167754430306 1.8566567353455445 1.9051155577149852 1.0373127370097643 0.14809344387830184 -1.0536455206684445 0.8645225382075832 -1.7440315773768498 -3.3808531926080523 -3.272727973747221 -1.0245940999158214 0.9302223998495325 2.8676609743981887 2.072712177991349 -0.8896735323628351 -1.9208396931491736 -0.8639666815288506 1.1626653664550068 0.20661454383063177 0.18778654866521724 2.2655599117623453 0.4900349068776969 2.6988215974862855 2.499630982415174 4.3045865776248755 2.5790739532284443 0.7541948634438547 0.7344030130100415 1.8985411384830133 3.8972673243434643 2.334038528118177 0.8354278351378149 0.06797345675134683 0.6818412066942003 0.14382392035866426 0.11474958543814084 3.286700899443555 2.2556442174594067 2.0768260948413886 1.2660433088837675 2.1772771641768323 2.971467247024303 1.5624948319148562 -3.0646757160965894 0.10193450006678587 -0.1361693892536112 0.5992517686785676 0.32520790560121576 0.9438087042248292 0.9172583723868248 -0.4535040312440442 -2.412236869323473 -1.0195251265383256 -0.08343969547230361 1.524243447633125 -0.29779956457638035 -2.7884213097629638 -2.008680931146645 0.24203059936629526 2.5436037199134476 3.3596470297109478 0.842401530001306 -0.5268101236195979 0.4740750391692664 -1.1777305323548048 0.10835144055661859 0.1738390091724318 -2.310792253649132 -1.7166708627773481 0.9019202574106722 3.0901135135648925 -0.13457434600732876
1.4045358467832127;10;12;18;-0.16041963660571149 -2.626176420700671 -2.577138603735786 0.7145257960683642 3.4356822294365994 4.295118683073716 3.4593581062124317 1.798102949006651 1.484598492551961 0.2999989137387535 0.8183844867256235 -0.04543244817062885 0.936657237352856 -1.0482100703703454 -0.6661947979121212 0.09945683077965368 2.5493163867134006 4.616535566446797 3.763705881455158 1.0449151487153852 -0.19252777740308696 1.5382185440337124 2.7239370231631543 -0.18033968656712424 -2.043537573965642 -1.577793482701953 1.4874021083891864 2.1255967296132385 2.426809906593512 2.8958528892058415 3.000648215196755 0.6908364403702376 0.27723542895717096 -0.0022560154483447573 -0.5435306144013888 -2.3737801561254575 -2.830176315246407 -2.2226513342793166 -1.1633741322190907 0.9827647366109485 2.8623547719883122 2.3682155337219317 1.491941210354711 1.4694275162122583 1.189647323338037 -0.3385536477551153 -3.506713078828972 -3.927045183224957 -3.6922848903454772 -4.258348406803535 -3.8176292826715397 -3.5600225160347403 -1.866739941799547 -0.5843292154651459 -0.8838151434363 -0.29522338683214694 -1.442173958145103 -1.3964768171879718 -0.8929267451414785 -0.4706136884656338 -1.1343983431971192 -2.259562763919186 -1.9315609777079044 -1.2130514491639406 2.0421085844536297 3.049033652322593 2.645392347637901 1.217088611939698 1.3113901476270486 0.7665029166882371 0.4360216078380081 -0.45977393915651604 -1.46823260885097 -0.7098519788629039 0.2682363013702486 2.74803434090939 1.4473457466464381 2.477966909674675 2.8339364112861136 2.5580126878461096 2.1799871763870136 1.0171785219496745 0.04749588486653397 -0.9940267497024937 0.611712171186327 -1.2167556067762317 -2.598363413375292 -2.8413889814056685 -0.6400191801138998 1.2573276879624362 3.14468817227669 2.154027371111305 -0.59405605509016 -1.3970833686912176 -0.5049254832923324 0.9257806456561337 -0.2076638583106277 -1.4408955572483853 0.7321053060562643 0.8864263859991179 3.3610084008626773 3.005697719019826 3.904773286871779 2.29552130953564 0.7923611807493283 0.4741253230377145 1.7434647895942663 3.755006285474777 2.523274210245893 0.9579137973426554 0.2806989129236063 1.3871554693752068 1.2937504317862338 0.6337834571459183 2.6504451463086434 2.375234757389617 2.7068382614037527 2.090137578967684 2.524389066885439 3.3802778681746823 2.24268573133142 -2.4622438208013215 -0.7525648864240655 0.09332901317303481 1.4760414736162935 0.8760682835133184 0.8255990050007737 1.319028203593848 0.9175123751891717 -1.0282197802471988 -0.9639717483021546 -0.18051596091757371 1.2236501513125884 -0.3436771358850017 -2.8187578708734518 -1.9058521799184773 0.6594299523611848 2.854131730793938 2.8834564741375295 -0.2386855979710784 -1.0868902341468403 0.5076887381454701 -0.12437115752428718 0.0821684655133115 -0.9165427155960025 -2.7014798647115423 -1.7370653708035222 0.9698971583255472 3.580945174066042 0.9675137853322993
1.412900925742938;10;12;19;0.36047434509941195 -2.632850284426014 -2.299761852472451 1.006680837735227 2.8536755441571757 3.654116252569947 3.4480636679245844 1.247529260283459 0.751691752690892 -0.485778823939009 0.6428431650002636 0.8324724316589751 1.9103348959589648 -0.8776906955602547 -1.1591807646104162 -0.8313585475972562 1.7105551022177867 4.105100923921321 3.5278064698760025 1.2199489141334612 -0.18808184848792206 1.0846437479976758 2.1390497424236243 -0.6529296663019382 -1.1022189887602887 -0.7372114204530775 1.1628371478313582 0.8850743003271913 1.8446029844351155 3.2631193751237833 2.6145118371299345 -0.36176262963925154 -0.08069025741441156 -0.0811461445195672 -0.6772418230929654 -2.3650573464455693 -2.3009168463472736 -2.204209472796184 -1.9984528253780842 0.4688957258362109 2.7635533729758937 2.146756990191535 1.421898589715325 1.6003205817836925 1.166839863572469 -0.4478508589094406 -3.39150243981541 -3.480423489254462 -3.559722385364986 -4.884038482049314 -3.9635032717783263 -3.5400946782515574 -1.878352033356131 -0.6443371528708953 -0.8594307995280963 0.24641158608501693 -1.2243702243948194 -1.5104433516737654 -0.7850738753938946 -0.21422204667366998 -0.6508005207597419 -1.4234443965538879 -1.142241203899891 -0.9215922943019749 2.27569845758055 3.435751720769317 3.234884327764788 1.8532894010248089 1.5832017514066525 0.4598840179218138 0.27561666655179556 0.09198963887366064 -0.662299089837447 -0.16589913677069745 0.15003489542754914 2.049464331881264 0.43632922679792585 1.9681585740069143 2.456890817477817 1.783596184004453 1.8471966286161554 1.0751106304391922 0.14550620218535182 -0.9833001484577469 0.7118061988467739 -1.53589515134478 -3.2893489825941895 -3.1288922972229467 -1.1043500063750256 0.8120890063022431 2.7278785595736292 2.1499865399732614 -0.6795605721421021 -1.8048538663378828 -0.8851220747185407 0.9830386582651304 0.24081970540540185 0.18342780216828122 2.1691604567027802 0.5971371878607395 2.441460746298456 2.547187316054106 3.9472393803891506 2.607385081615501 0.7557778879844247 0.7120992905237743 1.7584337318653571 3.623487348611475 2.3472008455044144 0.825361775968393 0.11158312450104188 0.5983305217811995 0.12331150920386558 0.06938151739224598 3.0527655166084893 2.2952381024016555 1.930433466757876 1.3257390594725993 2.0494319824677576 2.8320598457711332 1.5616369733937223 -2.482727139948835 0.09667461273157078 -0.08144784773025578 0.3734792586264124 0.41690565047435507 0.9200184063752983 0.9134439122604249 -0.3738368984647286 -2.2468612759096116 -1.0699414628394142 -0.1010546625141281 1.363471055948588 -0.1378110096647108 -2.5777571365032936 -1.9635918393507923 0.14623324027732884 2.332930560705581 3.262364855006906 1.0117796145075737 -0.433141610541221 0.4326992032582536 -1.086185660925354 -0.04983438338108302 0.23612499677027907 -2.1446377282924605 -1.718540539065378 0.814451037668525 2.8910693694493794 0.05371122186443909
1.4135487422693227;10;12;20;0.37785380541559344 -2.6429585775519584 -2.2297951630953228 1.1155464238445263 2.938232418088923 3.7053226783661897 3.405728469719271 1.1310260675047699 0.7796659829034913 -0.5020119767969575 0.7582869144866167 0.8716170940743136 1.9885575750071864 -0.9797512979834474 -1.1406749531292875 -0.8473048615004908 1.8298306846637191 4.19757801259323 3.581073673125248 1.1469982160090686 -0.23291983919386613 1.1299320283118783 2.2326511229806854 -0.6814059863700022 -1.0810596267768118 -0.7610253812995252 1.2669553826256852 0.8976994826599991 1.8831793605099438 3.266551108739925 2.584204330585281 -0.43754468771592514 -0.05509867944713187 -0.0837550180107271 -0.6216848879189667 -2.3881435952539256 -2.300392516270023 -2.21703466735926 -1.9810740015665664 0.5364107115723488 2.78225552742511 2.090385740903703 1.365588145343621 1.551323201585691 1.1516247812037033 -0.45716056333089533 -3.311742564562419 -3.3281173584288104 -3.5395339550841123 -4.814885320515551 -4.004210515702089 -3.73108861090967 -1.851274975188024 -0.6713383546596459 -0.9582691158110209 0.2001077251381113 -1.3730540446196668 -1.543932482943099 -0.8155212631988027 -0.22409934476879476 -0.6759293504760037 -1.4811347830369268 -1.1696368139315547 -0.9400597657374663 2.3850310883473487 3.4323110012049787 3.2271650987326157 1.7703613799694322 1.5753120888903587 0.445870244502532 0.3357732839587418 0.12340351220888723 -0.6523413862266912 -0.11823574866351502 0.1585557272010015 2.1305731477243133 0.3627021488645126 2.040620661198137 2.4233181168902584 1.7891198463606783 1.8748625659227223 1.0413116337228918 0.1554554253074973 -0.9877666140086854 0.8033897847363701 -1.6062256218580522 -3.2539704059507946 -3.1406288441620487 -1.0517837070850862 0.8812947356329534 2.769624878640483 2.0609882113797218 -0.8209859178285395 -1.8651590139802225 -0.8631873002886304 1.085873999188642 0.23969741663786834 0.18016139127822456 2.1853300714186914 0.5197293471066622 2.553452319136521 2.5000629069918063 4.169975875518856 2.5627977052606044 0.7348104508778391 0.7531988459692037 1.829699489820054 3.7614860527190817 2.340371824406883 0.8431260969575292 0.10430155794784002 0.642429362085827 0.16584834834255727 0.11710593506426117 3.16019192823126 2.2528332630978216 1.9995641634211476 1.2923116317142134 2.080142508789012 2.8990411036258656 1.5598095310622149 -2.757071133695941 0.04845905682845515 -0.06672851825140352 0.507536613530798 0.3952637056312897 0.9008948858385801 0.9086460898697504 -0.41610773481608637 -2.3073546791666626 -1.0268494231472731 -0.07709950059628436 1.4439601408977034 -0.21484778692045986 -2.6824868650723745 -1.9708833372488235 0.1964037172916234 2.4329181048799025 3.282680286688953 0.8856824243713713 -0.5052988119984352 0.4444614724740673 -1.1113703532862356 0.06179540207809338 0.22144493401297186 -2.215586881339043 -1.6862237745040467 0.8528506900954941 2.9648835423125286 -0.0430740556453483
1.355740765957133;10;12;21;-0.18302298430214692 -3.210587745717407 -2.22924552259732 1.1788681542963422 3.384199635499126 4.446460921189518 3.8149188969467445 1.296888474662162 1.434507672224281 -0.5326075204227511 0.4517899250840556 0.1551961245398597 1.23473918580125 -0.9753991037404044 -0.8382160241974094 -0.08326697805968182 2.7035535978064225 4.890390724612027 3.463690531369443 0.9730444117983768 -0.4628046748344011 1.140981000448165 2.2232223173041796 -1.0391274483480997 -1.662792914582365 -1.1499253877340978 1.7271835993549187 1.8021264073115149 2.5512022377081833 3.559406455302881 2.6704158171115617 -0.27034962699958043 -0.07658622510738798 -0.46077504866847824 -0.8670836823094195 -2.6099669682810895 -2.6732472136053995 -2.323137898110135 -1.4700455238995602 1.2786266316745611 3.113564442104212 2.2690865968977607 1.3592797101782579 1.1362807504783212 0.7277615735811063 -0.8916716328271694 -4.293090179251424 -4.458735950174385 -4.265605159035207 -4.6586529293913586 -3.384721044243318 -3.733903009884731 -1.8226613198783608 -0.6854417254707343 -1.0999778932801478 0.017428359300896323 -2.021505975943917 -1.9933188536419688 -1.1682135895030743 -0.7286245981225591 -1.0304134748506046 -2.1218167147216964 -1.8113869502081519 -1.2928546067340767 2.5090138099900754 3.1155772945001687 2.6359924467614264 1.6057774485916592 1.2939530649180588 0.30580780506730765 0.04197557352015677 -0.4438023897154304 -1.0743427802659298 -0.10626860918918993 0.45915361009926325 2.7033379350497126 1.0398088087699733 2.6505508809657528 2.6893605921620765 1.8688404829732124 1.957084890513088 0.5468468794831031 -0.2216409952702845 -1.2442538812660373 0.5145477872865576 -1.7964463136738793 -3.062937833715438 -3.000191952777197 -0.9034420268378105 1.5846113471470353 3.107870945327078 1.8312528607315763 -0.9906153093526949 -1.9534392155470799 -1.0853703358923488 0.8104730332849537 -0.41686611140239777 -0.564240454326349 1.592368017630025 0.6577071214432617 3.0933185017548825 2.3646204056144215 3.664165837501009 2.168647658592382 0.3700441552796968 0.6039543774598128 1.4578879113044572 3.5918469264177135 2.1458568977138786 0.768797403677244 0.1795564310366385 1.3214908026970262 1.0641427564853765 0.7833522435022916 3.2827039496858696 2.086262089276451 2.5149996496151936 1.7910437378694923 2.4535884815157005 3.337930389173501 1.4810596763864807 -3.2901217741390654 -0.16400152916035762 -0.30503059453134107 0.9074733487472402 0.9385431632305408 0.7622724071603516 1.3519543652086874 0.1997448613175121 -1.9827861242295557 -1.1027048290260983 -0.4344426260742325 1.4841292762903144 -0.5052231428263327 -3.059621419767814 -2.013271253016888 0.23855936501954064 2.438889866519513 2.899217228210512 0.19374704042813207 -0.7242454460349275 0.4314409458620759 -1.3176797862842073 -0.11068250694318034 -0.7014834401906522 -3.040022467688613 -1.3920474935562444 1.0341344820156577 3.454045613638818 0.4950878178727921
1.4343207856930669;25;12;15;0.15883234463964224 -2.1811420944790405 -2.2113858007915006 0.516927790549232 2.7043662270549684 4.092816833205461 4.326807928919344 2.4491061407896155 1.4515952015484375 -0.07824752100089225 0.35955747885178946 0.430987979190084 1.3535644973596495 -0.28164505748587426 -0.1925297617999803 -0.03379059066064473 1.7804302846891162 3.9269811592439527 3.8671838674405037 1.9606803181522048 0.3454537336261928 0.9514469099574319 1.7351905284951734 -0.19367921434008195 -0.9190524909272109 -0.7194829683738247 1.0190215399247222 1.4823654844251968 2.450589121773601 3.461898433767507 2.975295860019112 0.5484433080630657 0.26572379281313063 -0.11160395976852795 -0.7080851916817208 -1.977990772974635 -1.9613739575701583 -1.6299032958235238 -1.2154327254359427 0.8963351910751058 2.8368310847317275 2.50702162527497 1.668091854250677 1.4400476590530629 0.8643742700623454 -0.5377337792199979 -3.13461964107162 -3.649815202448827 -3.7362109009131306 -4.372970166678638 -3.2591600905657265 -2.600807890816274 -1.2498168571456212 -0.20420834937321652 -0.3427021605057103 0.16382553652068324 -1.2539899314879526 -1.9838681821581856 -1.72378608632493 -1.2795747231922714 -1.5131159224331288 -1.9481700052906112 -1.738736307870612 -1.3491511228860764 1.308360984490098 2.670086631875973 2.943375076241628 1.7566645484313217 1.2743156230274177 0.2623330950270848 0.004653242678289166 -0.23406386272359925 -0.7591193868042022 -0.2398981393558078 0.3881873088682058 2.357129868963844 1.4667513510736165 2.501903229182395 2.6971256495300495 2.1436620798669486 1.9018439237425393 1.1397456572198876 0.2302963925178694 -0.7959216371734874 0.4556867564022543 -0.9272054417256544 -2.167513406381418 -2.3412917599535783 -0.6701402282334812 1.1032998494623865 2.8982012170011244 2.6186178163924003 0.20251243975832528 -1.3944456933640161 -1.2630291963101514 0.23601684713959234 -0.1681135926585816 -0.20752356519441398 1.3504553592837523 0.7572042574947736 2.44553183012876 2.6577375428014944 3.659604869728207 2.454719363096197 0.8813115842858212 0.5745732472912897 1.344342817789067 2.9128878507330502 2.5797038681970004 2.2931502173382605 1.7933275166035652 1.7367218838336151 1.3008993526395514 1.0387468943418834 2.8150395612926458 2.6440711137214477 2.739852335545112 2.484305897063906 2.5345327047409554 2.795901288824305 1.8578493204369881 -1.6483011261604943 -0.29300629132198014 -0.17401466483904882 0.6322992780355069 1.0572655856820932 1.579217831273852 1.6093859058556605 0.6404279667738207 -1.0782496458929478 -0.8038358612815176 -0.32927056420519196 0.7879128368605856 0.1354898465418903 -1.7874269677035153 -1.6503888614580862 -0.15462089191032888 1.8557585898233309 2.8988736654578093 1.2440575391978437 -0.28417609956114703 0.05519081439712534 -0.9811322135725037 -0.22833562028010626 -0.12768641078693546 -1.846250781785706 -1.5555649426489278 0.6731269336650986 2.9224279324013858 1.054645133422268
1.3553346954744152;25;12;16;0.04379837311176295 -3.0965335982366997 -2.053388419675764 1.2757927631450754 3.1199896945961263 4.181517726913706 4.119495514336869 1.7736909733077437 1.315453144103976 -0.24330327082114384 0.6731160756443615 0.5164718285611747 1.4872764548802424 -0.8176371544674094 -0.7094475363111716 0.044959956681929536 2.282623927855388 4.565972534541404 3.6340218752135276 1.4641813698894934 -0.092525050720459 1.256516107074513 2.1362799736579383 -0.7244169278796723 -1.308429351679397 -0.7914664789406959 1.2462948905329028 1.4743870107875634 2.4719494694650668 3.8341521209343585 2.7506372705702327 -0.1917251263011837 0.26443275542676203 0.05854071972250534 -1.0994951980962067 -2.5817274279479965 -2.2645917498272086 -1.8246744718059238 -1.6113109197081046 1.115310992001785 3.178261771459068 2.322422093353298 1.4116507148607325 1.4285724534406683 0.49724789005336356 -1.0166678196606278 -3.8605875066184585 -3.7457587704032362 -3.7489056494615576 -4.912019826137568 -3.5367420209795424 -2.9756031036646275 -1.3620491036295415 -0.20613139844938694 -0.7202031172388513 0.15050710700526126 -1.8820374702430132 -2.03161786344914 -1.1925869256247377 -0.8093086781475327 -1.0792127148908792 -1.8485318647353202 -1.3710086930444005 -1.1977727163287846 1.8395067536814245 2.9316723763740655 2.572740956471345 1.4272527171822478 1.1732646667669735 0.048796956561721685 -0.2836897163943004 -0.3925353087688633 -1.0811147405924155 -0.2717431977990131 0.3347531916312151 2.6217296502527563 1.0485537837887455 2.5445080058335954 2.894750313362164 1.8438328886746982 2.0386710099711602 0.9265545604445344 -0.025371262660359002 -1.1605325507507362 0.6479889682348373 -1.4731897071734228 -2.8724563996361168 -2.507473542686445 -0.6232950575113795 1.2947159719199193 3.019752041530343 2.406646786733391 -0.5048219202393709 -1.7279281591459843 -1.200926784145663 0.4610743565262084 -0.38732585506789957 -0.21487891948681473 2.076521021900126 0.38861137074016644 2.6606639665974017 2.8131543093610754 3.990743650454794 2.2100827643200387 0.28429529531971887 0.7717793905861644 1.6504433022274692 3.5339399785831453 2.3599797624342798 1.258939916834644 0.7108786243442176 1.214245083515901 0.829766313359679 0.7104832426235832 3.571508430801963 2.499652548690845 2.363528612908579 2.0353761622992077 2.5123071600039952 3.2098755353398474 1.5963718566146605 -2.6537288355283586 0.23161128010840884 0.017356321949523173 0.528571707339011 1.1041851900084205 1.3086405972448043 1.5223024828227385 0.03188600111962135 -1.6788517026038559 -0.6105230298084647 -0.03536004267529332 1.0861929254667066 -0.35040199486635876 -2.6679140533509345 -1.6733139622621231 0.15547753448420512 2.2670674543380667 3.0291076117290494 0.5068754349508093 -0.5957812822609355 0.2626535376839076 -1.3936281218439621 -0.1340533107777504 -0.22292553656493622 -2.566400994704499 -1.5539925514803898 1.0103335507940945 3.197156225199684 0.3360639419414392
1.3761155563972385;25;12;17;0.008891596190121052 -3.1182148940445744 -2.4803645844022415 1.4096392103570052 3.256406572289589 4.168104701572793 3.8193235092209323 1.0654318656370279 0.7093259273788098 -0.08841903401654208 0.7526729433510191 0.07827869190859188 1.1592859011042063 -1.1495522462352492 -0.6309516469963335 -0.3229936172999664 2.3901271693352366 4.448174541510539 3.445632070342683 1.2716869336484125 -0.6238916870301586 1.449358299510788 2.517218280224844 -1.2732522100414008 -1.755776061903525 -0.7461916026658861 1.637774463163008 1.5258970118670354 2.354511663191068 3.1202880280762413 2.700452547083902 0.058055515961359494 0.4579709469922863 0.05095062625420338 -0.7916233586196219 -2.7772065468824567 -2.4462718969457273 -1.8373768584103178 -1.4602282257293708 1.120416283586574 3.2159452438147973 2.4345261403096186 1.54609143278004 0.9212038027081849 1.1882374280660477 -0.4057595917562043 -4.080176224095022 -4.307025887245751 -4.076850225135989 -4.960505606351598 -3.699025849150686 -3.2163174858189323 -1.3962746333535565 -0.29377550720830325 -0.8020015297230596 0.1392297794604377 -1.6638186605689653 -2.1305176585943073 -1.4917868757945465 -1.1056834462044451 -1.6720881291623533 -2.328208518911467 -1.8055019029686346 -1.1300892815054182 2.4382139734493533 3.2444498696196797 2.849214320409352 1.316542390791163 1.0711349474255716 0.6007001537619974 0.32987326013889745 -0.5746427002826625 -1.4376399482168893 -0.3908860503017969 0.43145401292841123 2.7504623441120124 1.0285625201878776 2.99265820959227 2.4317237225988197 2.0160924672358917 2.3419337319691915 1.107605915838022 0.1120814327699739 -0.8932616214775915 0.9869282259418705 -1.4812829014163613 -3.0590316420345345 -2.6860770509083767 -0.5289449602623183 1.6133889960112797 3.1161305293774504 2.489520143270574 -0.7355726081507893 -2.249589859079398 -0.6148590119033037 1.1322969052284222 -0.7682071757466608 -0.9129288667630835 1.7530018759465364 0.7416729446324019 3.2171026339424724 2.896515153587904 4.010560661543557 2.298729293041696 0.6324804946574644 0.7272079642893166 1.8608721934102015 3.911207824843496 2.227149026900131 1.1106743176154297 0.16632960203064187 1.1623453169334175 0.8823683317936984 0.2719558286981004 3.154220765654862 2.5324836090206073 2.8723153960322314 1.3834901011059628 2.392056152881362 3.369675048366339 1.709682416882129 -2.9940668309550373 0.09995279895790961 0.2844534854494234 0.990680757908618 0.5435692923199773 1.2334133840277972 1.58009785513387 0.24936755118561912 -1.6862811348066993 -0.6233477376326799 0.010094515121990316 1.2310776365599894 -0.38600248698874995 -2.5588204488061552 -1.840814283126984 0.6445204671139925 2.8283681187205136 2.845867953301074 0.4609339136441914 -0.5602939382029152 0.3791090674957058 -0.8282057527897058 0.00667745855456886 -0.5855216882322372 -2.97253470188722 -1.6559170167884096 1.4199682582769704 3.481792724010757 0.3345231887988423
