rmse;hl;T;RS;preds
1.4407665907414442;10;12;15;0.033737405979652205 -2.1845284490567916 -1.985859917575881 0.6657806963659719 3.6544169823029145 4.697338410753764 4.049674696852127 1.5158233146416467 1.2423198065824952 0.1014552120548692 0.5029675958460702 -0.5866678833661176 0.21646037238634433 -0.9667667526056918 -0.43977189241781267 1.094040803323888 3.154823123715617 5.256651383395203 3.5934703877251666 1.9214876557969178 0.10585428299433583 0.5014473231770705 1.6394025672103623 -0.7578710888339419 -1.9414429747051067 -1.4817997432034482 1.973680139641894 2.3971576254381675 2.987109985644308 3.805271882494874 2.5677573496017128 0.8679580908517086 0.21659261559063223 -0.10789177096503642 -0.8732079804196614 -2.7537819771245124 -2.9867900101057265 -1.812621919021921 -1.335733904102672 1.203954076109967 3.1024961501793036 2.4341392952397705 0.5677765007243628 0.33815122794162117 0.5497319679173075 0.25654743611876296 -1.3552952649652517 -3.1764279631810277 -4.0414773395931185 -5.004415442212498 -3.6077771395972027 -3.1440743562320916 -1.9814235549514 -0.6520898545600984 -0.924697538466987 0.18661174826291202 -1.0296291513388764 -1.4071253155663128 -0.6264777305966824 -0.5534327548991311 -0.8609297305701298 -1.5491019491745892 -1.5138816749852513 -1.3508346402806408 1.6973730157455171 3.5105720202988375 2.6410119974238433 1.7530262877724696 1.101293961176282 0.7639900711580618 0.014053162275488994 -0.2330148094338651 -1.8239555959502252 -0.9844311798040464 0.3138598137143469 3.368517358707057 2.0471923846456495 2.1742644752782416 2.6166855379986034 1.5847236714994881 1.8755721562986183 0.30698219361365386 0.23792548125719795 -0.899464471751649 0.6758518475727051 -1.388576221768039 -2.6637032380261787 -2.6818332871069015 -0.29464381189421524 2.080627899757412 2.7969116089331685 2.3843700220917126 -0.6285708574631921 -1.2947052627650912 -1.5238183365006475 0.453967669629413 -1.2929393741787278 -1.2650743981196144 1.4262145406339763 0.6083308337629856 2.173497674365496 2.1990279513174245 3.3227591133021916 2.387627727844454 0.540376847016011 0.7348120983016752 0.4631817111440286 3.1704451946547705 1.67885537276593 0.9877957443573154 0.22281388705849195 1.1363754024659882 1.609630323646598 0.7826645189336732 3.206455183924754 2.6886548956970655 2.1237508660879287 1.1324500407622664 1.7763738779075329 2.3961808528692368 0.7865191911782512 -0.7581618591409918 -0.35317835332738867 0.27273255159531246 1.2110474338502712 0.5144222835434169 1.5314061469403437 2.508420138345911 -0.06761001168836603 -0.9763821664730725 0.34291452931464184 -0.2945363174889178 1.2433678676737827 -0.6627673326213724 -2.1891250610907718 -1.489734784758133 0.2092653236656193 2.848106352996756 3.54592573581889 0.6731232644029185 -0.34377474574728334 -0.3884692795344196 -0.4008838162649274 -0.02712921365914902 -1.344546872796129 -3.123452503716553 -1.7753574913837429 1.6001151031016052 4.4181378115382 1.1599849329909717
1.435831900747045;25;12;15;0.4012288401341059 -2.8380363241336535 -2.3911305244343537 0.8778201689970759 3.6968872692627777 4.736766654717595 3.671017023937425 1.3376930663580502 0.9481596254585444 -0.03713920425597154 0.2622545803047202 -0.8387773464280676 0.4155653963008867 -1.0537931897504693 -0.47341752895156386 1.05059127265934 2.763736686319097 4.772387252899075 3.8569671438729913 1.6090400966159086 -0.23887759773087128 0.5261256573570944 1.7233278787497177 -0.8839059763959836 -2.426262886097172 -0.8586677427604327 2.4399211538408343 2.6074213249398923 2.5323149727261245 4.368830116595821 2.376929507219427 0.8245480234763224 0.3719788299263461 -0.6375908773796707 -0.9349741683558074 -3.142029154422629 -3.383127536096519 -1.40150834911465 -1.0538715921484814 1.3016739413740668 2.9858477594543436 2.2663271619725003 1.1103047704958595 0.6960458191882997 0.542266591921679 0.2745125368879086 -2.5618004887596335 -4.059017610940562 -3.878096926210428 -4.506980307913542 -3.913612089266406 -3.842140253566409 -1.9560647598442162 -0.432382747216049 -0.6056643276187608 1.0418143226415697 -1.2365797317406497 -1.218236715687676 -0.9719420597035098 -0.8990906563066856 -1.0287331774208104 -1.8350099596554297 -1.6663194499519773 -1.5764225265388143 1.8634969888783215 3.4540914419746183 2.812130510329918 2.010999231798266 0.7779991643959915 0.7583167178814675 0.5865758531799018 -0.4325741479126288 -1.887658180839758 -0.597463975943582 0.4064902625688045 3.428466513035023 2.3157587132341835 2.902311389706082 3.235551384652555 1.6740447453990759 2.166645589334261 1.0851235976313547 0.5931077389237447 -0.5812545984069027 0.39191131044943034 -1.1043621374050905 -3.1497738436413565 -2.7486303330236113 -0.1156656457946768 2.309738577240116 2.6910918848478844 2.179146091635846 -0.6870508092610734 -1.455925454201407 -1.4543214624483793 -0.1219121528003876 -1.1649985670042649 -0.9744218069911623 1.4838776697408198 0.5315050952447702 2.6514270109148854 2.8691400614712887 3.666330851953089 2.7021122517157465 1.1727806236908032 0.7965000336056122 1.0209886388677798 2.661962735643364 1.6024586383911832 0.5451994556471267 0.9943890340804992 1.589861686912292 1.3618468458121187 0.1265949933954951 2.720360615781053 2.8723438515348527 2.995652327531255 2.3899998684024566 1.9254362312001467 2.4869971885486777 1.638568820983555 -1.5276366156550307 -0.6411595718229036 0.9918894428239132 1.0229408361134116 0.5821146294320779 0.7203575266819171 2.9243976522460002 0.555006944157202 -0.5752606714284078 -1.134789306826557 -0.39484634487913156 1.3822385082880306 -0.5773841258700796 -2.9580496529264964 -1.4398567816369006 0.3995853102090146 2.723036331622285 3.5817646925415385 0.47986367467292823 -0.9516620476339361 -0.5912730320508846 -0.5945954366306391 -0.24587772625863963 -1.4333159099448614 -2.8254961338942013 -1.4331910052649337 1.4839603404642252 4.047252384750028 0.6750694710164196
1.398951652388483;40;12;15;0.18673949849310184 -3.2254286382267012 -2.3364065492166954 0.7735348704492004 3.794110436240331 4.571700477453291 3.66977217058064 1.5894041523833002 0.8854587491441868 -0.14513635463428118 0.4826549348313836 -0.46736684073362933 0.4376433468387235 -0.9336431996621417 -0.21940195906993856 1.2155130756892916 2.8408208457308555 4.747488089042129 3.602011831017294 1.8257455228479076 -0.22838777622109524 0.6984894729173641 2.5091494978078384 -1.4669414778609744 -2.171179823011285 -1.5070286913591961 2.178104470474099 2.532303590525076 2.3755786196739264 4.069591451965867 2.4321876970573517 0.33713596556125 0.13749957257670356 -0.08387218635087956 -0.9493042097101458 -3.357064991479767 -3.4630913923735647 -1.6328494887054625 -0.9216942848140022 1.2492821192449377 3.30578076324862 2.289792318263131 1.2110308847290097 0.7696820702771633 0.8158463307746954 -0.04308710165086758 -2.8672577290729886 -4.154730839089542 -4.3678592588762255 -4.837649123549466 -4.197251447359304 -3.715498889384023 -1.6771804660051595 -0.5709232291169869 -1.0357362263817425 -0.10940418092936434 -1.2312414794488733 -1.4046055059262854 -0.7950968768948763 -0.6254270486038378 -0.7874630143705685 -1.4407013110015432 -1.3850052059548554 -1.4188576690629233 1.8121006600435319 3.485881929503257 3.078275425411173 1.8799719760671012 0.9919244880218786 0.5436737539677585 0.2617038727253689 -0.513920866734173 -1.6988370504554946 -0.7893469932928107 0.35942092988065755 3.3076354629563225 2.0139054372107315 2.470321215651909 2.8686988514148535 1.7564400494922192 1.8922394427787974 0.9087834251113495 0.3984217048005039 -1.0719839688644182 0.7177212741298469 -1.1536460944676503 -3.2203686507974014 -2.5971652869491275 -0.4248206973944095 2.1920857072726205 3.173447699478739 2.335499343763278 -0.6940008411276477 -1.5141473595202533 -0.9316145469739402 0.7607251017638617 -1.09052654785025 -0.9445808209236968 1.3085428001752686 0.529869353141449 2.4576752907553483 2.3602012660573166 3.7666502771474577 2.380956709669373 0.7688853162037639 1.051725449087508 1.4276973718521582 3.446638796072268 2.2012047972679625 1.0751822184931554 0.9622254050530119 2.032518031709592 2.072076272390662 0.5444060713043009 3.0730743585951923 2.714086626750442 2.624505110118967 1.9718943322036957 2.386160322504009 2.9668014431892114 1.294258137859321 -2.0617360660184594 -0.48304630941688653 0.7961832040487933 1.2817058165898043 0.44945604968878855 0.8759836658344705 2.4610093770677577 0.4221764332717581 -1.1717744961245373 -1.031250441042182 -0.5638605733663531 1.350313531068055 -0.14053255384174368 -2.4503921039595045 -1.484932993573672 0.5836123623476852 2.580501820396826 3.3623745645201115 1.0817427843883247 -0.795853343967196 -0.32705786806549625 -0.650658842309848 -0.546486804150696 -1.3854944908341404 -3.137281877990558 -1.3272057899670355 1.486767550680729 3.8481935635857947 0.9780393259861553
1.4195238396421233;55;12;15;0.16774458933994227 -3.4167478622095175 -2.3495841427148667 0.7259750921967932 3.704566361059673 4.375597134650799 4.068875271894627 1.892785039600112 1.0330751136062233 0.04224743589454369 0.31830508740412244 -0.43764840053469 0.3194126055193084 -0.7751354915717609 -0.6582360933605195 1.1536346382835942 2.9634044552394285 4.920417270509746 3.836422870043547 1.9316504636752527 -0.12145428129833863 0.9745545752756556 2.2612526472602834 -1.1120132978796762 -2.280277321466949 -1.3121453407901464 2.150014546178473 2.194386409542463 2.4528925198279024 3.968588196113765 2.58053956137925 0.4145353819888933 0.17374738994228103 -0.3357763906992658 -1.0130547945396269 -3.3093951353619557 -3.504899714482972 -1.3681355858744577 -0.7418879325431029 0.9952318411384043 3.107259900849734 2.313149942707013 1.1195105000083936 0.5643002492231987 0.5826837020430552 -0.12142797867913924 -3.0485399484522175 -4.234769578268222 -4.221612951982508 -4.370184822269411 -4.271108153710581 -3.708654891706164 -2.138910983507 -0.8143097327332454 -1.0993383184172807 0.3824798464299166 -0.7459964578242245 -1.313361139581097 -0.5614476590684101 -0.7341973087793555 -0.9233146759224882 -1.6011987326712753 -1.335980268849052 -1.1345737189527492 1.8110012292817226 3.248756834590135 2.6919880834146555 1.5217049172676889 0.9696533395978227 0.6911341747871396 0.23279641435113974 -0.5641103452847577 -1.7923355419057085 -0.7714443635843543 0.0736819301088081 3.1916960635440454 1.9484881836395536 2.5621986420475222 2.6759301939879845 1.575685305272109 2.037281482848416 0.7539789011555386 0.367352152407359 -1.1882641603620374 0.7650152929643506 -1.2299540177210577 -3.2491656194502676 -2.6460518404527087 -0.4096462015583298 2.044593947958905 3.0447940819636097 2.3689330616854014 -0.21151555395986577 -1.7269636673729218 -1.137566938296915 0.6008988181000358 -0.6881077814176555 -1.0632341264570397 1.1995700566337288 0.5059487964845234 2.17588314407999 2.44627182296272 3.6655424847646723 2.31036564665841 0.5409554297554959 1.0637778521057077 1.2350486768337088 3.5044633727150374 2.1468348684092353 1.2404230226840733 1.1223295417233556 2.3484846379700497 2.1122278851842906 0.7121850314461468 3.2881751940109503 3.0687874622423754 2.5697791879458656 1.9257338158512454 2.2930742860760023 2.86212023874039 1.1732931971524967 -2.2173692441637662 -0.36839826564331013 0.8578706900553206 1.2668071144804474 0.3966566399260585 1.0473043625749607 2.657037237905401 0.574957733549736 -1.1953353527634576 -1.3827695020436324 -0.6424425780180718 1.1700404336712629 -0.12108932075649365 -2.299496167937449 -1.576395868225832 0.5741799622919012 2.446032197677487 3.5486376949845133 1.0697391301390897 -0.7528753509342454 -0.3034692860322453 -0.8149010081245576 -0.35349589427177314 -1.3699502981126874 -2.8808501738462193 -1.3351159703983775 1.3895081403787843 3.7955496856097612 1.3304526385989341
1.3808032531241468;70;12;15;0.22725530427883334 -3.1090692955020534 -2.3498490784208523 0.702260800492422 3.8344552469201783 4.363206710214618 4.110356505489691 1.7665847357083582 0.7815195593676696 -0.2137747336607516 0.11335789607161173 -0.20861440314326063 0.3224743801599212 -0.9850114474088182 -0.42469350878598194 1.0357483583117015 3.0679311013792745 4.845073389731991 3.614888095719285 1.906407287768194 -0.01716519180356787 1.0636075683873891 1.9660494221994549 -0.8552771947401901 -2.3242283429237482 -1.5057116508852348 2.3700675376451756 2.655057933049377 2.4398296469350362 4.038744488997833 2.466024884053486 0.3448162180431208 0.2081949100281937 -0.33560472164726685 -0.9239705752579116 -3.198117945405492 -3.387624104573915 -1.527353857818456 -1.060531228122514 1.225070455307905 2.996470348348719 2.0030447206891555 0.9431315381453413 0.6894162112578227 0.544137878192094 -0.15410683015096535 -3.2249401021764323 -4.437949355275249 -4.3948006292265696 -4.500146494310306 -3.761726201284732 -3.9251802994426317 -2.0751720055272727 -0.6703059440948002 -0.9055700491364822 0.0030552321970294186 -1.5442839832833748 -1.4000879702364317 -0.869510038088206 -0.6458374318051584 -0.7999128958306482 -1.8151183651966383 -1.306644892133428 -1.1361386218311234 1.9777437351820344 3.3885949622935105 2.6854732709723854 1.747491392980999 0.9710824797755322 0.5789037629343092 0.21671778236071562 -0.44945732179822245 -1.8360082985000312 -0.8199756726025778 0.360253403098137 3.4640523655501445 1.9300240070517343 2.543792125293962 2.998317859297865 1.686584486341118 1.9058203555851765 0.9267807816903746 0.23680459654407013 -0.9490681788041915 0.47572527111405405 -1.1932846845021754 -3.088863791919607 -2.8529374224958626 -0.23668463323575648 2.0978954475770997 2.7934759814061416 2.1589760825487745 -0.6322006563541593 -1.9926357718132517 -0.9259020299397906 0.9342577645357565 -0.7718003568987284 -1.0573528982455058 1.2184904947412123 0.3408118923196246 2.4766615509333687 2.638087969880788 3.688611810037259 2.379762177622487 0.2532242452685413 0.9510255438699301 1.208685028069481 3.4664426277703426 1.889446759845211 0.873590782712715 0.7581272641403302 2.0207684551456055 1.9088535623988154 0.77187351839352 3.1047129835993146 2.914717090254197 2.5679858922175036 2.087542137597005 2.338425767559185 2.770310206956249 1.3848649511799866 -1.97982495476729 -0.5765082205696516 0.581857144574805 1.263140398318974 0.7675792835163427 1.024444335012445 2.623542116003937 0.43961624920665765 -0.9346744869834629 -1.1554499486851428 -0.49749092161072705 1.2138278359879895 -0.2850841857885527 -2.551677818116575 -1.6535531133495869 0.6776303913694448 2.795661364007466 3.308384291972675 0.9077405309402748 -0.42659104151342014 -0.03163827822075518 -0.6033121807954948 -0.38331127038687934 -1.1233221136846372 -3.069295092532667 -1.2589003777626864 1.4766537162200637 3.86581590659343 0.9867193775292097
1.4050031688501496;85;12;15;0.5366859436773093 -3.173177446186843 -2.4886319562743835 1.0649461751370215 3.8395382982831814 4.466621495030983 3.936640454491692 1.4497680587485364 0.9197375206112643 -0.0911898324221256 0.607005631052746 -0.3598356679314707 0.15979198774482387 -0.9828949570769984 -0.4000340076557194 0.871446810355995 2.9024240135901413 4.876056939112607 3.4460451244281036 1.699463596593371 -0.3362807270417794 0.6418326202426954 2.079621024262024 -0.5679521751117053 -2.0611636611183592 -1.1823028823286554 2.2801201431563105 2.3707260578821567 2.5928566005718285 3.975982732884446 2.387418055719875 0.3835577483575058 0.13972267743972658 -0.1750074997903803 -0.826495577082159 -2.9552235722187805 -3.402592597547596 -1.7607719495690248 -0.9128008170012872 1.2092914298069237 3.229251935435388 2.086042382843053 1.1100968955609198 0.6046252533755634 0.727849111693118 0.14261263326253726 -2.7790920983456333 -4.129107108276372 -4.348361548480036 -5.010461188158924 -4.1742480190401565 -3.50230367404908 -1.6268459767155583 -0.0657805287977889 -0.9542841473175974 -0.027825662085808014 -1.1005297053822982 -1.3077720295688424 -0.5515457806608235 -0.5723796266708917 -0.6550729647125433 -1.6379750735565948 -1.4793705418743994 -1.0343509675843912 1.8984466362611496 3.4165382658677346 2.882886765021888 1.7544060801180015 0.9484465018547091 0.5824007569992263 0.5179294991244072 -0.19980253897260272 -1.747734087565305 -0.8581494033153132 0.3646184397588104 3.304091704519334 2.0505532790368446 2.572488750858637 2.8708962152804394 1.5635822814124039 2.0151703591851544 0.8015597215033053 0.3867824307506262 -1.0823548763263975 0.4095620715182365 -1.0954153529664112 -2.7243769593103675 -2.8176855477220344 -0.5239613159512357 1.8934246893458806 2.998867499795868 2.123528014572662 -0.6813665230808403 -1.801229533898735 -1.5707029705119109 0.17254954432699754 -0.8599447957649209 -1.1156195086566283 1.402932248389139 0.8097993118189409 2.138542036350537 2.553187233664732 3.4803471844775897 2.727837224211927 0.536845743789399 0.6662832355188464 0.932659838297761 2.8735437751506567 1.7859512512608828 1.0435552003387867 0.801384869927987 1.829554516522488 1.7545937366694995 0.7297214837656066 2.9607907424407505 2.6381062413087872 2.4573013255445817 1.4682004849860626 2.1773878411054493 2.9598373333371297 1.1988791869832418 -1.7331678655392087 -0.4191688355105845 0.4144903773650105 1.222845609417419 0.6807606464236031 1.0721062535426829 2.5736901721324736 0.41982555945781985 -0.8554267358947558 -1.2319878373294721 -0.6448113862869517 1.4773576154954353 -0.23130914542114192 -2.0351798933141274 -1.561789359198656 0.5150393935357933 2.5823256683490547 3.057153055581104 1.2544443967178711 -0.39883565658084985 -0.36722968052184063 -0.5407606209869978 -0.22570715554980603 -1.2194395597366436 -2.9841095017587898 -1.4766096092911063 1.4351266542891985 4.074392943618721 1.1594516169655251
1.4174804447293403;100;12;15;0.15340737794777218 -2.7040863887516635 -2.4236726865296077 1.2537195302300417 4.146798718867914 4.600494450790092 3.8110408612368563 1.4516772732086298 1.1587891279347577 -0.07676601895421431 0.4300452034584958 -0.46972632608125564 0.4827805883403276 -1.134780096229656 -0.6761370007622384 0.9457443523491998 2.907002354196123 4.979734712679516 3.3968892920102416 1.3135100825723438 -0.16939667373665143 0.9019332870355566 2.168716401096083 -0.7495349744580985 -2.343584225104241 -1.0394638223422454 2.699367344073403 2.3644442810297757 2.3352540273775206 3.927218088744727 2.750843947378746 0.2319988927279985 0.3025825984938758 -0.2503559858665856 -0.8424025025791334 -3.188812996048291 -3.345293998405913 -1.48412605542565 -1.0576441178499656 1.0737556992170032 3.0533169542961316 2.363868281750397 1.160865481031301 0.5634107526761238 0.8019953153421178 0.0027985055291355407 -3.2073258465221737 -4.232275378580554 -4.245911854499947 -4.728767587382118 -3.9190057549053927 -3.944929616388316 -2.0630823108240586 -0.5840272127228509 -0.950397724722726 0.227573725097312 -1.4183348366437056 -1.5053776731439414 -0.8461622233044379 -0.962926382995326 -0.701841979523682 -1.6016296088872848 -1.1448807512996333 -1.198330668828869 2.031920615920346 3.5242944617893075 2.7816995967633695 1.856251169550288 1.099470487638561 0.5007818388302377 0.3457133526461624 -0.4939322989177641 -1.6823548745081578 -0.6719416113152197 0.37564472237590163 3.48712348801237 1.9932476409024078 2.5069371573619255 2.809689627268214 1.7078152866127547 1.9752905713244624 0.9732000933508764 0.24931837183997016 -1.0855902669744517 0.694790631991089 -1.4743485949591304 -3.085273905615211 -2.898254457844293 -0.2021906670301045 1.9976654325672834 2.83817747930313 2.31835265694683 -0.36007461927058887 -1.7703470764353257 -1.2805986719892324 0.30348126819640087 -0.6585437123204373 -1.165008226898576 1.5612704964731192 0.7374625786050562 1.8999309651373644 2.3916857820498736 3.6536310113673505 2.7586359625913075 0.44997049522302296 0.6199984884325831 1.1846123467978835 3.3618219287060427 1.8041310225882914 0.7566448073366564 0.932277336436208 2.297726311457193 1.7784067989211276 0.5841980215213749 3.0551872296473745 2.580718381748355 2.321991965966305 1.5055528251507604 2.1740817609982512 3.0733412412566206 1.5079483291740734 -2.0237301478882888 -0.25051031952685593 0.994476721958314 1.4714640316051317 0.38122027858296026 0.8318668536334505 2.6712194604119115 0.22222439013609355 -1.0370299033903936 -0.9184223513099499 -0.5141994311282564 1.485949529863265 -0.27540120882317154 -2.3513703994504747 -1.3993238651081454 0.3397347766625026 2.8005790739236582 3.45759596177115 0.9533212289853631 -0.49201140272501565 -0.041401314368347215 -1.0668890111200549 -0.016930930006164573 -1.1758857171901178 -3.0737212710825257 -1.4556539288000776 1.4102520520239885 4.051604878524677 1.3797212446666587
1.5119044224258475;10;24;15;-0.08886942190860887 -2.4624030218501978 -2.3257794673482217 0.9080864899458299 3.578329963609331 4.563128781468903 4.003683116325766 2.191917969572957 0.575530175891287 0.6408906682230251 0.6449838425093116 0.1096363937072293 -1.126888786289526 -2.178248169862443 -2.400348310094051 0.7155273548777362 2.690610537556173 4.552317487662407 3.046653574177017 1.1583351877850445 0.6161400720429232 1.1141487344855037 2.373756119613927 -0.9743328461040196 -2.3718261616901866 -2.3052103323954345 0.9579361873302443 2.7822573246147493 3.3469373045821933 4.235812922636601 3.081652344743318 0.17940887427896615 0.18221144175556842 0.4188540286920036 0.182868763866123 -3.4996354464980115 -5.3565555820001105 -3.0541714421867976 -0.2574015495949211 1.6473617210593738 3.3723055349349833 2.608944443159154 1.1340155427038539 0.7568529818032025 1.3763790710008725 0.2892079131986003 -1.8739210623005678 -3.6664859335424813 -4.22887839063077 -3.9632962954382065 -2.2000022518507074 -1.3323427570192163 -0.8292388373006662 -1.2295054691402625 -1.5922202727652044 -1.4850644879489434 -2.1883011994069803 -2.0002679869137237 -1.8506892411314326 -1.545677703848611 -0.9896233355547323 -0.9418145716543876 0.12795413678090098 0.553072419276356 1.0347761535997706 2.614807774357197 2.324666783212717 1.2481560301701462 0.6815891508472959 0.7541249228137273 0.5150718178322014 0.23069269155404876 -1.4786606519668968 -0.896741504799485 -0.38694282902603505 2.0369731150594816 2.8443924606072524 2.7573806256282936 3.3021348645338007 1.5718271884140556 2.297862598338169 1.5368350075430988 1.071103871021393 -1.6397244879045982 -1.8225837411922667 -1.7732457935576278 -1.4756821096714516 -1.0177683736659617 -0.8254543303349203 1.3488620009027565 2.231401776649802 2.873920885443292 0.2609108066348749 -0.9495476540233622 -1.0500843893982768 0.5221551412636866 0.3872581618247152 -1.2373031754533481 0.7013654256375689 1.4618089297998842 2.4407481606064945 2.7476188905711174 2.83122445212049 2.163159940028941 0.14292079512349187 0.6744556558717151 0.9881679872613444 3.4123253538217333 1.6057325188506781 -0.7641193181463904 -0.6969486065505208 0.7035824837062848 1.9592331311952011 1.0839294399989767 2.304931843784147 1.343198756817883 1.2316683128880885 0.8256550174111968 1.6987116224951495 3.1570555327791676 0.7838940961785246 -1.2314372982366495 -0.5870767814504971 1.4742131326899663 1.7867554936244459 1.3467374232175602 0.41458720095682494 1.8066541270759908 1.0846901005137881 -0.41188842028199524 -0.44559141711839906 -0.5604197789191133 0.37667922966199313 -1.4717243985542234 -2.357573099958729 -0.5987404298848571 1.2001379685597309 2.218588563350988 2.9709122149573823 1.2287078922548391 0.1577383054467507 0.22638059710483152 -0.08337945685811937 -0.31514368016299 -0.311525525563227 -1.8867167530003992 -2.1045265522657153 -0.05012358582737986 3.4592320034060777 3.053808785194072
1.55035549682632;25;24;15;0.47794337754339294 -2.0483673713553148 -2.7261537808003697 1.632926394345336 4.174344244468652 4.520411081402036 5.122753566512752 3.1349045714122368 0.1847735789557452 -0.4067930132402221 0.8539461520635168 0.31229176575410394 -1.0513760445685838 -1.712843747440572 -1.3938159281612634 0.52739709414396 2.231638706150576 4.2016531401002215 2.9159909981768166 0.5994332473906807 -0.05939552586550362 1.8181546431091384 2.5180249188412596 -1.7035635094409107 -2.977153179728478 -2.848982407163093 0.9598161974586998 1.931799480649507 3.2277144396990125 5.056177874453277 3.4885252959309825 -0.682379239442556 -0.14573641004581017 1.2147767521175117 0.03663595461542553 -4.357965130848958 -5.478376883570037 -3.662650431320722 -1.1550133813686092 1.1776553508214571 3.3313460853985135 1.9216672249950393 1.0413612810866761 1.0688723605526613 1.2914311585567857 0.1975379686026931 -2.4121231970787904 -4.0214284910408935 -4.062502062119456 -4.370460990410642 -2.3028519702913326 -0.8410101299061269 -0.7304628984748037 -1.6514108632996045 -1.6772993800529563 -0.4318557962372415 -1.3222178398891091 -1.3965834504399004 -1.542596422212122 -0.9976349074348885 -0.4603374329913216 -0.5479367243336092 -0.2347542456352258 -0.2798364856455788 0.9211480149464666 2.3130954279546225 2.469051950469191 1.1330201991753175 0.37568298753863727 0.2741577791414115 0.40041755877778923 0.030268361957770457 -1.5337704238937804 -0.9286345819033639 -0.7811214060797809 2.266807910200999 3.4638232238711404 3.7891606764422385 3.5377844667531013 1.9479268614088956 2.25045842675536 0.4453389877568804 0.8317523576768502 -1.8175352857298188 -1.806751399065321 -2.318246996272728 -2.047166399378888 -1.7615571716755725 -0.26774746488847956 1.145792676175642 2.0518119108475306 2.7814360089496133 0.36598872197583454 -1.0976148884361445 -1.750477946847025 1.040327522629601 -0.019340512014984868 -1.4148812372202861 0.9045103820953351 1.4674032816152534 2.845008896653514 2.7119524640538364 3.57849979803024 2.054705386166718 0.4968076534746497 1.2971947457298505 3.047414384457632 3.0846599416045977 1.6939048890391804 0.7320601516665783 0.14928720837544618 1.2595289457389072 1.995599113779559 1.6799712777660991 2.815107255435724 1.6877963912211835 1.4763679630674234 0.3469743807097006 2.5520181618044018 2.7850354802654183 0.6788241745873146 -2.4902404410015095 -1.1148738996050458 0.705062619140008 1.5200645324244662 1.2086979079285622 0.9228044247306392 1.1994762283579798 -0.15281348075500875 -1.396975088015453 -1.396222365088215 -1.0124123741264976 -0.7627223776163841 -1.7801484994303687 -2.1605421077707794 -1.333018949620983 0.5854663881092733 1.0753591667897198 2.43113394486554 0.8947222133738817 0.6933955635336235 0.548904811385844 -0.023241387009871918 0.0466027939401807 -0.04471903876674946 -2.410907997351053 -2.333676618154679 -0.07425761023596084 3.8970870063163265 2.650211811187148
1.610151409543905;40;24;15;-0.13866710843765623 -2.0907762543358372 -2.4756790114811182 0.9851046775212481 3.9299093802294993 4.6416800466895 4.637723533698698 3.2128040558570006 0.8641406354092432 -0.38015424469538645 0.04240588811440395 -0.03142116460782636 -1.9697863027398665 -1.6841992403754351 -1.52765443778562 1.2642272487533084 1.946440435811435 3.8907770734929303 1.9348470649802598 0.8904086587080826 -0.026319111708533068 1.6926754615601323 2.062762187319462 -0.6314508538600853 -2.5474475332373943 -2.867077411045851 0.5504284163439664 2.295667630725436 3.5643241652190736 4.179077442915215 3.051442485502397 -0.273419357948492 -0.6135910197299134 0.7240091164972603 0.3421661495956988 -3.2723176154462594 -4.8463076836997505 -3.890213279226624 -0.965825699180841 1.0389252654135785 3.1361266603669247 2.027778842630898 0.963883162729414 0.9054845337627085 1.4246866299090097 0.3575875717999208 -1.9950498467961701 -3.3380621072975836 -3.3871349694604334 -3.8310683672622217 -1.8373982749201854 -0.9801367202781642 -0.5262165268583349 -0.589488909477973 -0.9468297042256077 -0.5023544163061356 -1.6102983531121924 -2.9637518361202204 -2.2449036870950616 -1.8177660748326587 -1.0621646488558847 -0.39056862168176487 -0.03702530736258426 -0.5017729505749376 0.7941853282331638 1.950573971981703 2.4630527816875816 1.0806146734751891 0.5407141570464271 1.0420826280781288 0.7877006187173512 0.30344427604299307 -1.1381673494022266 -0.994844470988351 -0.6995825377326405 2.5786896541772517 3.3166022411297384 3.3683448285016895 3.433429152692197 2.0335717839014036 1.798493238689974 0.4616763776139053 0.8010221371524656 -1.5157023778556116 -1.8176922402916464 -1.888653973665704 -1.7139615993961834 -1.2442738750007738 -0.6590017710297403 1.1773503527630964 1.674430092810891 2.4562650959517525 0.7669327445436237 -1.0064700414672294 -2.391523060604726 0.08601641701746782 0.01380054480682235 -1.0722262150512085 0.6864129576048379 1.6772235245734939 2.5224484016066593 2.735658893053536 3.108784816258635 1.681295207467011 -0.6113611566850178 0.7608064245950376 2.216096759916172 2.8638030073059384 1.6816028264269287 0.8420847753273888 0.17780203697567615 0.6063298503069383 1.9428837975153654 1.650518484660711 1.5170473505517772 0.629630900718635 1.4588826557697805 1.0182267328067653 2.2605071130916023 2.3924786422123883 1.222064730519166 -1.935961696071207 -2.064684505387447 0.10130188931377095 1.059808309490021 1.9508222836835256 0.9450059320561742 1.295073462892326 0.3082807380109114 -0.85486002209518 -0.993663268097956 -0.839473083467161 -1.3164457160652578 -1.7636068664591336 -2.1436696421401193 -1.4127025940801092 0.7344933217894137 1.055818548490893 2.1236652000484577 0.7907832482460694 0.6772335119907777 0.9196123912826317 -0.048468743903960276 0.12662200740226 0.3557463510145123 -1.7395293177989297 -1.9187588470785322 0.048578598020553185 3.5954778485522056 3.414358574366935
