rmse;hl;T;RS;preds
1.437382983106151;10;12;15;0.12164008539791513 -1.9835798829868898 -2.3884852110511856 1.5481547562516986 3.513989675929472 4.562914017307013 3.7747019862628903 1.3818091297300539 0.7592648851819734 -0.48123197159316516 0.2224682650259943 0.21849827311289785 1.222599843734252 -0.7322394204331993 -1.302641951743612 -0.07580901547131533 2.600533296115872 4.256001053385868 4.079506547205592 1.464376514731155 0.0728487829452139 0.702967320669351 1.5350929317194555 -0.45908804921898766 -1.0726151568423021 -1.3717769916151785 0.8529270706551622 1.7842773188777277 2.9580455352668005 4.257398967393596 2.801593287943407 0.07038453641819983 -0.09935882688224455 -0.4758386054857852 -0.9686466878512456 -2.4659599596778743 -2.1259384193935063 -1.4255882940277063 -1.4180655577294252 0.9954418127945898 2.995136833636398 2.6137707959353516 1.0964480639627576 0.8572860043593522 0.5032446251406699 -0.5218249442090318 -2.407340725682951 -2.776565249712852 -2.7654337566189633 -2.7796713924726837 -2.7626520065890157 -2.7615769876531395 -1.9896241312752836 -0.737028781055989 -0.9985435365633311 0.25492914173152276 -1.5901633892230862 -1.5856629268348055 -0.8574599564399571 -0.3282348962341251 -0.8094824813622282 -1.573888489147476 -1.0812707216765218 -0.8205027733471886 2.425196779126485 3.9532893197780687 2.9941462826135665 1.3363382849016645 1.0776425711092845 0.2121740376552896 0.00723908031683352 -0.24917779701298134 -0.8752648639617795 -0.6335286671732103 -0.20591547360252158 3.0414531064242496 1.3136883038782357 2.832285992134072 2.977224843565237 1.710565735589819 1.5321025579255518 0.8083684493344939 0.05482027507910853 -0.9921284681460392 0.4073193286142596 -1.8979264238435951 -2.3925191529622785 -2.1525273908087543 -0.4507912109250518 1.149235267812521 3.0466910156278346 2.547762416738665 -0.38423862024073074 -1.5482544244938812 -1.5334987487266476 0.16759205286931117 -0.27770653511219007 -0.24956778716469794 1.3292925526868002 0.4366877286895048 2.777833542317743 2.1570625248803865 3.3757462544993215 2.186166363664154 0.8018717585544196 0.597072002294866 1.4064679194727507 3.100288003175882 2.4230263731054875 1.4388365030020138 0.44372544843389405 0.7494029568024093 0.22747141633295276 0.19751597175033775 3.493901289205183 2.496673706863793 2.2864971710595716 1.540950571816974 2.065617771890422 2.6209463751016515 1.5561869958127061 -1.7931586547604836 -0.37223496599149575 -0.5497900387076318 1.115705400244698 1.5106860480578594 1.9136459183376706 1.6943727574085978 0.1479360774605153 -1.7517606909520376 -0.26071620379435634 0.2973170200581364 1.6075270127054662 0.00933834758127718 -2.2636617041888982 -1.34446495090174 0.4998493594976243 2.50847734888276 3.958328040463304 0.8639633126981708 -0.32476347468011646 -0.07891834075446656 -1.2846537308785866 -0.5436405799424402 -0.380316328735976 -2.1334442321560174 -2.018769754718164 1.372208093379787 3.4260600761080715 0.24147391987553854
1.3679536542013069;25;12;15;0.06677943016404676 -2.826946465933074 -2.3599151375902743 1.2939466249885183 3.152138122394582 3.7096976370113297 3.6335210583673905 1.902004173152039 1.1523374417785661 -0.42036778564866706 0.5473226854400937 0.54005672261152 1.5350132563121155 -0.7806727077331822 -0.5443800111546379 -0.05153652789742934 2.342297962402746 3.7845721517616346 3.547867599224096 1.7288462993028286 -1.4171139187509063e-05 1.0244292835492164 2.0560862268728726 -0.5258989859139505 -1.17460776559081 -0.8027999312202951 1.4303041954238858 1.5322512753681994 2.528074803303928 3.5050351785519243 2.8449343132834852 0.07102753717381664 0.09526204039584812 -0.11611711480863594 -0.8492694144248926 -2.4327171931549207 -2.156055124304793 -1.698666317439766 -1.3245194407537713 1.1749192793615069 3.130448140170117 2.550786787369911 1.6070751692769987 1.4720397313529037 0.8756619688890454 -0.8205420868705471 -3.7098506218794767 -3.929327314535194 -3.9810417459361305 -4.40432992775707 -3.5225241542118533 -3.0077066017221017 -1.4093598213511098 -0.27231026729237173 -0.6124541849587373 0.25706418430222266 -1.6155444994349573 -2.1255932092169676 -1.543163136011698 -1.0288800976738188 -1.4393775310664347 -2.156201445494588 -1.8378132759610482 -1.4266234752599125 1.8615224765280023 2.9105616882766516 2.8712984862280244 1.6857687120107032 1.286248363168804 0.17727289567199578 -0.03341969564884515 -0.2909867743477781 -0.9828317559080182 -0.248794639926039 0.45622157008573355 2.6134215420821247 1.1975585521300018 2.5789352700946155 2.7759440969436815 2.1039425414157558 1.924781604874051 1.0668598076883113 0.0925194541234557 -1.078233770717801 0.7056911862163345 -1.2963156944476597 -2.6285645861996234 -2.457293761471622 -0.3938814038086592 1.399688620621905 3.086393031480045 2.550405483634784 -0.3408640848021705 -1.8417399855569994 -1.2385541692080673 0.5750623824047714 -0.29618128890986556 -0.3127792338231304 1.6139333947061683 0.5826490687010489 2.6219965329141846 2.717491402521995 3.5559073270752672 2.3439151335464614 0.8054768460878472 0.597190055189294 1.6129699512937286 3.1984025762145016 2.531053046067767 1.4118346272671487 0.5407867560195625 1.0973923373523786 0.7522736677194998 0.7759137504683503 3.2941757106847893 2.6683649242015743 2.500047331348266 1.8730965275705556 2.431999591208444 2.914756328894654 1.78072397542933 -2.424097572113486 -0.09967874535875591 0.06024290168030248 0.8736804175459724 1.076200101775084 1.5160350834874714 1.5096525142494892 0.22890944885523143 -1.6093997582925688 -0.6033541152204105 -0.035385708789828815 1.1369940101163973 -0.07417400347628504 -2.408904130903293 -1.7379247269826887 0.32229177820428356 2.401157121214508 3.0315844385835384 1.035627721957167 -0.5796968842870854 0.12617988003027988 -1.273422793291326 -0.15452002464182615 -0.1235866468053051 -2.482605979413989 -1.75690918997107 1.1611059300284519 3.206126298220772 0.67995273479786
1.3680086349047031;40;12;15;0.05807284199272536 -2.859558568658455 -2.1852223140233438 1.4178534153689866 3.395720519681518 4.1202662091605 3.87720020436324 1.7626009653413608 1.1113660109778347 -0.4542157932240876 0.6197486041898261 0.5635453546918133 1.7018562550664218 -0.926863676162591 -0.5637542022045802 -0.15632774468911553 2.425743873605832 4.308391527622767 3.668450337600974 1.5605300543417495 -0.14108551726850677 1.0504676409887401 2.2210313933681345 -0.7175679130474039 -1.1766605305733382 -0.804277221103756 1.6080180947743903 1.5439773387010725 2.60158824643411 3.6932123159821244 2.917648905619022 -0.14073301536942134 0.06354139053334716 -0.2008346312851165 -0.9396875228334373 -2.563470676997707 -2.185911985547405 -1.833207977510478 -1.4384296632975353 1.1829581835007599 3.337687469040596 2.533173729842078 1.4909058793567014 1.4577077430431227 0.8865068851183759 -0.8189254399071428 -3.621070352295499 -3.520396880742198 -3.835738065008198 -4.553977116511455 -3.3776071685879656 -3.0440619509344273 -1.3770511441431552 -0.2790967549017746 -0.6937588944724641 0.27504557210247405 -1.7187166636500242 -1.899288543824341 -1.26736746233349 -0.7571096794901144 -1.1723895093956678 -1.8903693911763653 -1.5821103322154242 -1.4050637892842934 2.005990763805291 3.0995751179523143 2.9179532297312676 1.7069876807838815 1.3208847004911901 0.13070560603749987 -0.022488916812427023 -0.26435877022005244 -0.9940123721853797 -0.21498150906205507 0.5306614270334963 2.7857738256755424 1.036339558820112 2.646565313409116 2.890890848611881 2.0893408248942844 1.9116404044660742 1.0081829138591292 0.012153046087944382 -1.158868128496089 0.7684363183255586 -1.5652324750158466 -2.8280978654286177 -2.5015795094987316 -0.47231469101773016 1.3874367295537489 3.2734232623887984 2.565598625313371 -0.6159981680444305 -1.8930966264539224 -1.1627362047800596 0.6933882250092633 -0.25130851509611185 -0.1656431214903691 1.8954051923283308 0.5013831110889183 2.780798306159287 2.8495102576366143 3.7350520889102183 2.3951434251499815 0.7209033481519368 0.5682972738637854 1.6760885993163095 3.4590055575115324 2.6632770803328665 1.3517497851214197 0.5021559026337945 1.1667087436117058 0.7299090654342031 0.736229856278336 3.5128951874391707 2.7740202054348675 2.5766426551781496 1.8715262331232636 2.5274002581259976 3.102742664691487 1.756597752883063 -2.639036211164302 0.03395831989983901 0.04197887772819142 0.9278024840002864 1.0722095919469394 1.5612486306658417 1.534186698843865 0.10267633689219854 -1.869861809968722 -0.6459818060395112 -0.17000776501580891 1.149900527510649 -0.30206856391570647 -2.643349166766888 -1.7818841353244714 0.2619636789525925 2.458986490362982 3.1671901846864876 0.9011128699652404 -0.6729171108748226 0.15761282042433536 -1.3790589045018005 -0.12689672378737785 -0.11843897149819049 -2.527708100834726 -1.6712064578784995 1.2277378591470556 3.403057246852137 0.3678756213312405
1.3734808933607203;55;12;15;0.14946808802434622 -2.6071163259816377 -2.153769847912687 1.557829627142978 3.5207240450393367 4.013386442719666 3.6514668955100906 1.7368044047912172 0.9359385861458621 -0.38025189199911885 0.6285381345350713 0.5775049128903111 1.5969164050753524 -0.756167128407231 -0.7543143756549707 -0.18802218553604413 2.4685945657060024 4.4300411975821445 3.669572382999077 1.535981641996063 -0.21048316211574547 1.2112420545116211 2.459916236469686 -0.41936712543411475 -1.3082620632771438 -0.7704548609221455 1.687285839597834 1.5826804166454678 2.4229534371592947 3.6733956044249685 3.0293056021209734 -0.019434789588143694 -0.14007863241275598 -0.022618361268266322 -0.6797350493029123 -2.3617325456129628 -2.095168136516747 -1.7441051123862554 -1.4209530424164818 1.0948722281807446 3.201020182924065 2.4804697957789332 1.3513129182732795 1.23358157102487 0.8357705741785997 -0.7233200431365185 -3.4873858019169046 -3.5925822007289763 -3.800551488124596 -4.450145383698785 -3.28589538317077 -3.113709639150589 -1.396561584632623 -0.4982504963234646 -0.9975908762887269 -0.12946502946657684 -1.8031748419174163 -2.084878177471435 -1.5207851296870085 -0.9822380093809521 -1.3368842552375932 -2.025023225833727 -1.7132741743591715 -1.371172836364785 1.99161893779184 3.21971814393079 2.9835311820093544 1.5345052507074217 1.1468542910721256 0.2523824304090828 0.05149968640971872 -0.20716480121267933 -0.8956885014366895 -0.19712502594173137 0.5391961683059273 2.7457093765794176 1.1241547375678143 2.4352345325590883 2.874753882841083 2.17449107093859 1.8978411331185268 1.0742368967429117 0.1378306860470094 -0.9736665380452688 0.9390280300186292 -1.237317552970462 -2.80205748615075 -2.543420031255842 -0.3670362579869167 1.4072291790507752 3.182902714170817 2.4685562256603655 -0.610475554048828 -1.9861768220156015 -1.0939608274850474 0.6336013419291413 -0.28333688688252034 -0.41990208888339725 1.6344658370371543 0.6972753215502495 2.651335953306497 2.756221138779373 3.8704844062129804 2.577613736646556 0.6578742600797117 0.5338552202296921 1.9712510880786485 3.9070434369177542 2.8298376207822047 1.3216398196712804 0.4724944483229996 1.2874394506022149 0.9010862116522583 0.751315990290486 3.5420471010457883 2.920464203188902 2.498138416419779 1.77389091065511 2.515392635082976 3.287654608078782 1.9662998306225232 -2.2952206537856803 0.08041901372385708 0.33193145413179415 1.111053075331901 0.9978043683411829 1.4767299470139283 1.501714028081329 0.07959934548255723 -1.9990911272316234 -0.7918042757099727 -0.07180242454004465 1.27705454003763 -0.13737318805957469 -2.5053167653535455 -1.7423339819967776 0.3874137684943133 2.4663013517263237 3.1830237249398596 0.8775060352247159 -0.7911944293590549 0.17532305723776534 -1.096555744675415 -0.1658499574250485 -0.18075008230953643 -2.3303384881655815 -1.7051555199296768 1.2226262025156276 3.4240930520479154 0.5282467904288155
1.357946093909696;70;12;15;-0.14789966474970118 -3.054752833035094 -2.4927454238270133 1.416585048781088 3.5724639366268294 4.063774548166838 3.586216930341166 1.4163651925818868 1.04960079651941 0.04401701246381258 0.5437300284683375 -0.08465888271455314 0.8126855234966699 -1.413995522259744 -0.6852402155824338 0.42807398595584845 3.0993843163189476 4.221676528465891 3.5990584493767983 1.28410236897374 -0.23687006202093086 1.7103893114735662 2.6136518818875545 -0.676246704213134 -1.8709402735180733 -1.16868550154918 1.761618501671906 2.0692844880518955 2.7742286794330204 3.4884240542479716 3.1667178233429722 0.32481248643913063 0.1845791455016492 0.1524332262803987 -0.7559687636007991 -2.8108598214721745 -2.609166619828412 -1.7174409585377655 -1.1831711495731165 1.147846938816203 3.1525541717960675 2.5320612694553843 1.4538241659985134 1.2547785242249678 1.093366333028859 -0.5680155260464888 -3.8152348270088496 -3.9475744804740747 -4.079418409130473 -5.073591667679963 -3.9245186341237823 -3.4476694085475805 -1.7857355127213774 -0.8583780208140057 -1.0916002937767983 -0.028241543000764993 -1.614136251586804 -1.707899229445594 -1.156195632619627 -0.6117876522512815 -1.1470964614761199 -2.0008153809246774 -1.6860256343463198 -1.3324564292638987 1.9857671385606492 3.0392527472425983 3.011401100339976 1.3418295978443835 1.0670991334419377 0.46139260885815836 0.18759524157226448 -0.5926660037871042 -1.5178735327056252 -0.7222796201011978 0.32552447306787896 3.0181315755389555 1.5837617257450813 2.675549788847677 3.0374250053794842 2.568806908351033 2.0817968218519387 1.0057397843103761 0.08181913677718289 -0.9712687875349069 0.7910512541510221 -1.2618211104580692 -2.662424837129461 -2.5544583700200967 -0.047058193406581766 1.5421846420359238 3.1478266644500286 2.3810335395264506 -0.5521257487339888 -1.7090152842115662 -0.6523741849376076 0.6678625159143345 -0.5027305905625006 -0.7831242241669183 1.1471279880776024 0.5811675853750964 3.0251921345683437 2.82439962446545 3.7804092614939253 2.275568910160721 0.49829033492702846 0.4641852917917448 2.0889691061705666 3.7695123016479584 2.6012530705663903 1.228627617784286 0.32195922323812126 1.8302408931988772 1.8923462257965293 1.5650251251611127 3.4153227666083907 2.8006108242739516 2.6738784024831777 1.8837050384794236 2.8098411902611238 3.6918722115744593 2.1475913354815552 -2.551635584160053 -0.1804527597485935 0.6446945698602945 1.425602747327616 1.1543859384357011 1.1418075579164153 1.6149651313248992 0.6162800281860796 -1.4913492601173899 -0.6839558989364869 -0.17987844533450167 1.003608616929836 -0.40080702384930045 -2.652526216128096 -1.50830050256057 0.682099552704842 2.420084223900237 3.0022519074181764 0.5541277440091021 -0.9645124028519614 0.5656448840464127 -0.7546285843102324 -0.29031099360197044 -0.7939776021641336 -2.909540509247157 -1.9479631787162945 1.3465250553085226 3.5623918868252766 0.7440883675075497
1.3732906233387372;85;12;15;0.08724927038926579 -2.6003175575763664 -2.388488655664661 1.2059225229452537 3.3142865622795687 4.043204814150838 3.9108379033094174 1.9641680641787698 1.3012165566108784 -0.07626195406221907 0.6040141340153178 0.5578544039333346 1.3948973130436726 -0.6415413622968911 -0.5746588749894157 0.06751091442830837 2.3896910513161127 4.2754433504348475 3.633826880137669 1.4685819384869927 -0.095803864091099 1.1400848018813938 2.2490462849963215 -0.3538211107135752 -1.3587734259804076 -0.7978433570781538 1.4319975973614663 1.6883554669647924 2.50341826004828 3.626376031424958 2.915828052982858 0.0864658361119947 0.0601192138475264 0.04805628042128435 -0.7696861879368594 -2.3272344421269953 -2.2247482052909078 -1.7042952651556906 -1.3322165044470593 0.9946768839543852 3.1407577185356574 2.448787439160256 1.3550121336140628 1.3560928436504633 0.8749949868841799 -0.7354290576283544 -3.5166638183298757 -3.903105419103762 -3.7976592109318346 -4.546413044851471 -3.469526529408495 -2.7945212709301743 -1.3946790284855117 -0.28793842246728335 -0.6141117554278851 -0.01498070779706325 -1.5528141941402571 -2.156520296889751 -1.5595529064584166 -0.9865367372322273 -1.3438380312492493 -2.0638859541244083 -1.8263329783113422 -1.41134856145274 1.6109473641205594 2.9483823461081764 2.797185081289941 1.4498934127258738 1.1197973764045583 0.21023056426769818 -0.05068739323433599 -0.2744912130817741 -0.9460742106310094 -0.32723655738952345 0.4824806823192783 2.612985723594607 1.37109548322729 2.4766170704897976 2.8430155138119826 2.0950546898206635 1.8436059934827433 1.046105861734288 0.07003512343880687 -1.0092392111697024 0.6271353531387375 -1.0301295188876036 -2.64272284617761 -2.527967195674384 -0.45505294662291934 1.3631337833596229 2.9954875851476577 2.4383465161852476 -0.39262692799901405 -1.8265135958700867 -1.1315459785909294 0.590368484940475 -0.2193161058232137 -0.4913273474185773 1.4472645735810654 0.6833433577010042 2.5241805928872867 2.824108479743892 3.6973350690145566 2.35450672091956 0.5681018294905172 0.49966469826219173 1.7156406995994455 3.5112411739078504 2.6322545918433993 1.3672742087568412 0.7094214030783949 1.3852675216591779 1.0713774182610665 0.9084149263524023 3.305078661162887 2.783224212640664 2.478142435196108 1.993541631174228 2.6127496926886526 3.1558906543613294 1.8358025960691333 -2.232630229751235 -0.26466283224214254 0.3683241324705851 0.9007246021202615 1.0650554292905074 1.486905335219738 1.5556324130431953 0.3570192854594106 -1.4712297221060207 -0.7452094385280377 -0.1069582339114374 0.959548416202452 -0.1356010935527383 -2.412382441684252 -1.8817144254053586 0.21744568160606143 2.2672250079631073 2.9603049021749404 0.7962368950892658 -0.7737240237588373 0.11068864824100838 -0.9665041382696568 -0.25254400809019245 -0.1568785833135447 -2.281660109128546 -1.8934021486925943 1.0005240404456752 3.265673780664366 0.7152261009644574
1.3630431162498473;100;12;15;0.13873899692312003 -2.7346191430644358 -2.208543994674441 1.3994978189885383 3.3137740637007767 3.996725895700634 3.868305613307 1.802841688787935 1.2663006065337863 -0.1369398968699875 0.7543936775476964 0.6625615553075725 1.6148871033413952 -0.7876190703375765 -0.6814356399990497 -0.06708983761215649 2.449136243716073 4.357107947173834 3.6558086061469046 1.398321558369651 -0.07971623679211597 1.2873810419389395 2.355424485762002 -0.5087243677751923 -1.2527739080482971 -0.6851063998372114 1.5252489752362837 1.5234344127638575 2.4593391888296843 3.6713279377450148 2.8822939919725434 -0.07556609533841045 0.13764701701002346 0.08951002263108594 -0.7181246674210623 -2.373293267499025 -2.1557467565158586 -1.7853121247955315 -1.4735819438121884 1.0242713555096674 3.1901933134740283 2.362887016207368 1.3241946745092732 1.3943800219591762 0.8848826000990049 -0.8337786880952072 -3.741136398651093 -3.7860110258166624 -3.711454613632504 -4.628885178801693 -3.5027655517863665 -2.97726730127057 -1.4481249023380591 -0.3525843072687159 -0.75791175024953 -0.013156850484471475 -1.7710598118930905 -2.240814331836759 -1.5702792830544585 -1.0229187447575352 -1.4566801240840876 -2.161628958205114 -1.7850398505651857 -1.3757526746287994 1.8700290243879678 3.0313409193874206 2.8277750461395623 1.4349186295884555 1.2170794013427968 0.2190866280710463 0.049623251939816274 -0.1721495002458425 -0.8746213951880275 -0.18437102629738536 0.46442229617542047 2.6203386254719794 1.123537178278028 2.4907807220367024 2.8411820808483443 2.0640772808379806 1.9090013812466435 1.0750097631706894 0.11815432376824331 -0.9760014618011587 0.8247190560236574 -1.2132218826480625 -2.8172356512490095 -2.5911503927581747 -0.47387536301216204 1.3402139243587003 3.051162722981888 2.3651577653165567 -0.5907164648844803 -1.8610459957250027 -1.0290708993071855 0.7186761808915 -0.2870751723772318 -0.42665218340260536 1.7132532829295093 0.621449719066275 2.6447258898133468 2.8227069713568858 3.8683610266542106 2.3834750216513676 0.5861922280748242 0.6575593025954337 1.8801454048672885 3.695420462985546 2.6122291067564842 1.2790807215900777 0.6146943078610507 1.3129862017925031 0.9178125807418276 0.7995933713892643 3.4718578596850005 2.6938856161420937 2.403008675840342 1.8905741968122318 2.6213809954627427 3.2203723209594757 1.8132522093048793 -2.4980580661664304 0.04881017339386032 0.32162913940771287 0.8615816620116605 0.9552760471325523 1.4184533771768886 1.441905803374241 0.15938428778687055 -1.6839715963544637 -0.6695246158991375 -0.044093579330840724 1.1200596163260852 -0.208745934959983 -2.561293980812972 -1.8026409268287569 0.3285808935810248 2.3798102524453366 3.0408175003551694 0.6945132657234319 -0.7850603215886987 0.2684841076124852 -1.0494605399447532 -0.12114359213945382 -0.06975355346840155 -2.4052631744599817 -1.7417985692500855 1.1310203764042455 3.317205198253706 0.46850775752283846
1.4586897780243502;10;24;15;0.43893099577379313 -1.8394302973389607 -2.3898759363003563 1.0119296798424506 3.6281612397999434 4.346668671622661 3.301004731782321 1.250115865471745 0.8533230514390096 -0.10257579633649652 0.41519356525281664 0.28027075121278117 1.6140487143746867 -0.9054603456855864 -1.272131961832937 -1.4271433123630646 2.347407522312928 4.218301406323385 3.7777401353480373 1.4735597044902968 0.4445270698958998 0.9639584949284591 1.8041145483499317 -0.3546592001486773 -0.9292894328781645 -1.3812408424896494 1.1006221866657118 1.3026628449730624 2.666381425903059 4.021512735205127 2.595066844296496 0.48163004999815223 0.24809626416455685 -0.31634004684096617 -0.9144084031335935 -2.41299138944035 -2.033627570763228 -1.5921489842428476 -2.018885074386682 0.9141065510569956 3.2026798875559095 2.996875614612369 1.5755559076180832 1.3817230143931731 0.8525158137593811 -0.31783665651304904 -2.5606646649076295 -3.0149837221030187 -3.0314193208855382 -3.058823767099595 -3.043414064069479 -3.0453145921129825 -1.9897750952049804 -0.5607771950086186 -0.8254362086727246 0.6024688878986229 -1.4280124033194437 -1.1656574616557538 -0.45539714588028596 0.0021820882035992577 -0.494714375942443 -1.3097288695543758 -0.7974047679232759 -0.7225183467916111 2.562760263809787 4.105541834446149 3.2161782794046863 1.5477381077869998 1.2188519545074057 0.47421214976216064 0.287742192723442 -0.12377222535628274 -0.7081139467159487 -0.5740402673390066 -0.47232337743431985 1.8123247096852246 -0.14193447408470874 1.8387982116661512 2.0836696432218376 1.7370636493966787 1.9407289671379084 1.019450918482699 0.23332358997865216 -0.8779539089595026 -0.007653181862982721 -2.0023748922341342 -2.8184229945373387 -2.4467463550104886 -0.8015549280977068 1.0956896499349955 3.3644266555565245 2.963443993411492 -0.39183773709867975 -1.259179316571278 -1.2155952213324914 0.3828058865836367 -0.29592326115155576 -0.13686845858182742 2.1805249853865583 0.0735066292360799 2.3382295743569004 2.158216769926193 4.029349081095457 2.4932919950259436 0.9682862773455689 0.8343978957087232 1.3254425231821236 3.1661609940864124 2.0520699573265655 0.9543917549471412 0.38980309467824126 0.5055716113089865 0.05705320832297117 -0.17017671020226083 3.0751555041974403 2.391781632163967 2.38071663508673 1.4208370497017428 1.834150229961649 2.1555837373388926 1.508806636992617 -0.6662310412365127 -0.33350069931856935 -0.9478099962909153 0.4251622017672111 1.0437809722872171 1.773591978111782 1.551477160831453 -0.5011867672209367 -2.257378130146878 -0.1313209460214312 0.3184122073949118 1.8696474211212344 -0.06544114076685237 -2.635014400283274 -1.278600346876193 0.49681839917103443 2.636038574628834 4.120278489956367 1.1336365603386775 0.007851173154800363 0.11206885244249917 -1.0564181349843926 -0.5139506326875731 -0.4282785277017713 -2.3258905935742487 -1.5103248869233783 1.3918651545906566 3.4054373249977132 -0.07852969849497941
1.3314578749497905;25;24;15;0.1671331142859139 -2.354988291960082 -2.253629791622622 1.5550426353099156 3.3854310099336167 4.02518948567542 3.9900652113659785 1.724628744516926 0.9007078283502952 -0.32638626204145477 0.19327572744523958 0.1491889994499515 1.0788523792681042 -1.0044768083915014 -0.842619812759679 0.32446854927191976 2.8402676108535743 4.094452874840389 3.879998728163154 1.7297432466986162 0.2972169390601009 0.6368280461606058 1.24572877579654 -0.57256638462757 -1.1334160292934676 -1.150080769754991 1.6606711084644232 2.0728763213117336 3.0315329191472133 3.9792928566683323 3.2771051048964024 0.24482638994029957 -0.08827039145679604 -0.41953119387159765 -0.9482344325773842 -2.418922115249865 -2.610182031974586 -2.3421997900188076 -1.2192749671188494 1.4993192728870326 3.112624511922886 2.7962772009905144 1.541977815461607 1.1436604604344789 0.819487961164121 -0.33130502031827025 -3.069697962543465 -3.8229196099062697 -4.200302176771925 -4.747130372521124 -3.3964129609730453 -3.4085472858856343 -2.0784575677194224 -1.1033151995573276 -1.7131341433331135 -0.7026963934313406 -2.387812163531288 -2.4211512294657442 -1.983338760043624 -1.4025309500193814 -1.455276668741639 -1.5783438720289724 0.00701993550519785 0.2593734419435771 3.0160459369626094 3.74951826737973 3.1031706953572344 1.6387474915868567 1.1761049003430983 0.29249048007468476 -0.06435178175531302 -0.4680127057602337 -1.2294600901018715 -0.9104800461138064 -0.5496642728743353 2.0847528992768933 1.2233007476935582 3.0074068463667496 3.0939864572374693 1.7976244472652014 1.4396182804950863 0.7999564785792939 0.11764798430811091 -1.0333964352372462 0.030899531214928885 -1.7556926423511032 -2.384180642333583 -1.5755944714125312 -0.08344257846401656 1.3636471805332344 3.084696184928989 2.3630212063670983 -0.536779022224148 -1.686018595353566 -1.5466483360196075 -0.15454187172837824 -0.44408080434371044 -0.004673329116758893 2.5714703433963972 1.4677143451886463 3.638738599421731 3.4248275035471547 3.9724500571169 2.3638085251948917 1.0638283980643115 0.6995375340086515 1.0705758716819624 2.215340442609656 1.764598092327974 0.8873907280063772 0.06039313550170827 0.37341047868126037 0.7351281790294777 1.4175854843469355 3.779128763875962 2.92659381798516 2.760369351998361 1.2982501453454982 1.5172107450431453 1.9326149554483152 1.3845941746076735 -1.8189511716339388 -0.23085084334240855 -0.030598725699165996 1.2871852980340648 1.8143399583340336 2.2265745252787847 2.0638387039133708 0.7709574758578155 -1.7866372526228695 -1.1057954710252915 -0.7016467597991188 0.6953729963171066 -0.14360717089998698 -1.8068685159234785 -0.6640046228050923 1.228133839930903 2.887025093697861 3.7857777664779624 1.670763676181024 -0.08755364976379387 0.36914484907250783 -0.7388053030143846 1.02185915259929 0.9888372906361605 -1.1935437044589317 -0.21258795199418473 1.8255045496704452 3.287798682781528 0.9437146513003754
1.387738295359149;40;24;15;0.2127359027869846 -2.714326475784486 -2.0854865261643205 1.408187230894297 3.4427880177385752 4.154747688642304 3.649352801431123 1.4304157709473224 0.8067473842798932 -0.5798005222229486 0.49983921286445276 0.7361488329787667 1.932129414714112 -1.0579762984016197 -1.0833418329699505 -0.6535155501243326 2.198992906119459 4.629628392500317 3.8500320885867443 1.554360302310215 -0.057463921417821376 0.902035052898879 2.1106947326562095 -0.7794056141546115 -1.0536716548011151 -0.7578809733769578 1.5881901507819889 1.3688135016828562 2.385783212211374 3.733049121057278 2.9083664211323113 -0.21649236520617404 -0.0342817756935587 -0.13997610836005459 -0.699759411146303 -2.527028463619484 -2.2668428796161684 -2.2665217817339562 -1.8684131253536858 1.0090682544051632 3.4285315113936425 2.595740490879607 1.5825176212173127 1.5820218964084871 1.11018024023044 -0.5079392954344479 -3.4350082075390858 -3.315648756243322 -3.849123533441309 -4.608029991164658 -3.579600500901483 -3.691811630407142 -1.7980420683077272 -0.6012126139994445 -1.0347943492449738 0.2534963884538094 -1.700559806490516 -1.7753817534438727 -1.134111541683856 -0.5558867424686211 -0.9236248409010615 -1.591506488946817 -1.0574185705502401 -0.8459715714368745 2.606510748856007 3.7286633792743022 3.1639426630083687 1.8081308178962388 1.4133793117620814 0.26117349585381155 0.06773025580756083 -0.1962175013360879 -0.9469404560371264 -0.4518159085510291 -0.13847233801050285 2.070931462590462 0.32597624161344463 1.995074933468112 2.4719566582236236 1.7139889325551745 1.767267667771272 0.9824924623806026 0.07577685416495691 -1.0905377802854952 0.6678364566645655 -1.8185373687195023 -3.1657868033270464 -2.8113324823472965 -0.7829433819594691 1.2810865349932805 3.325084077632164 2.5164155355193136 -0.7124660660760901 -1.7623268181385798 -1.0069787959009395 1.0791679358155954 0.3574981241739174 0.43197456141912893 2.6118379184783413 0.7791497401796177 2.8219740175156796 2.922098148102584 4.093713930367052 2.7186164432361637 0.9480476755205997 0.6665383615647178 1.4765187772313169 3.2869078757836747 2.2479186982634976 0.9087477059672695 0.0656454596638582 0.4756875301316299 0.19840511260362975 0.23321772427646525 3.3034537021974013 2.483253492764323 2.051594301135378 1.3471561684035047 2.0982086078717384 3.0073226779853117 1.7606158196190094 -2.6860294253829364 0.20345982078836414 0.21545310375572266 0.8398131276233807 0.9013436590680804 1.370767346352324 1.3164670585921179 -0.18638507681976807 -2.204894052282934 -0.6570096611975368 0.19932459975280944 1.7964937154505085 0.010435850108369369 -2.6622073771831123 -1.6795639887642106 0.4753841046142037 2.9079824216127257 3.8464188388170384 1.2164612429897976 -0.35429126301149233 0.42359898375412364 -1.3120494906760534 0.045712548564089586 0.2332356212899561 -2.422158704024345 -1.4769870191153482 1.1176817097846565 3.2939300947674255 0.0025849207729462913
