rmse;hl;T;RS;preds
1.4407665907414442;10;12;15;0.033737405979652205 -2.1845284490567916 -1.985859917575881 0.6657806963659719 3.6544169823029145 4.697338410753764 4.049674696852127 1.5158233146416467 1.2423198065824952 0.1014552120548692 0.5029675958460702 -0.5866678833661176 0.21646037238634433 -0.9667667526056918 -0.43977189241781267 1.094040803323888 3.154823123715617 5.256651383395203 3.5934703877251666 1.9214876557969178 0.10585428299433583 0.5014473231770705 1.6394025672103623 -0.7578710888339419 -1.9414429747051067 -1.4817997432034482 1.973680139641894 2.3971576254381675 2.987109985644308 3.805271882494874 2.5677573496017128 0.8679580908517086 0.21659261559063223 -0.10789177096503642 -0.8732079804196614 -2.7537819771245124 -2.9867900101057265 -1.812621919021921 -1.335733904102672 1.203954076109967 3.1024961501793036 2.4341392952397705 0.5677765007243628 0.33815122794162117 0.5497319679173075 0.25654743611876296 -1.3552952649652517 -3.1764279631810277 -4.0414773395931185 -5.004415442212498 -3.6077771395972027 -3.1440743562320916 -1.9814235549514 -0.6520898545600984 -0.924697538466987 0.18661174826291202 -1.0296291513388764 -1.4071253155663128 -0.6264777305966824 -0.5534327548991311 -0.8609297305701298 -1.5491019491745892 -1.5138816749852513 -1.3508346402806408 1.6973730157455171 3.5105720202988375 2.6410119974238433 1.7530262877724696 1.101293961176282 0.7639900711580618 0.014053162275488994 -0.2330148094338651 -1.8239555959502252 -0.9844311798040464 0.3138598137143469 3.368517358707057 2.0471923846456495 2.1742644752782416 2.6166855379986034 1.5847236714994881 1.8755721562986183 0.30698219361365386 0.23792548125719795 -0.899464471751649 0.6758518475727051 -1.388576221768039 -2.6637032380261787 -2.6818332871069015 -0.29464381189421524 2.080627899757412 2.7969116089331685 2.3843700220917126 -0.6285708574631921 -1.2947052627650912 -1.5238183365006475 0.453967669629413 -1.2929393741787278 -1.2650743981196144 1.4262145406339763 0.6083308337629856 2.173497674365496 2.1990279513174245 3.3227591133021916 2.387627727844454 0.540376847016011 0.7348120983016752 0.4631817111440286 3.1704451946547705 1.67885537276593 0.9877957443573154 0.22281388705849195 1.1363754024659882 1.609630323646598 0.7826645189336732 3.206455183924754 2.6886548956970655 2.1237508660879287 1.1324500407622664 1.7763738779075329 2.3961808528692368 0.7865191911782512 -0.7581618591409918 -0.35317835332738867 0.27273255159531246 1.2110474338502712 0.5144222835434169 1.5314061469403437 2.508420138345911 -0.06761001168836603 -0.9763821664730725 0.34291452931464184 -0.2945363174889178 1.2433678676737827 -0.6627673326213724 -2.1891250610907718 -1.489734784758133 0.2092653236656193 2.848106352996756 3.54592573581889 0.6731232644029185 -0.34377474574728334 -0.3884692795344196 -0.4008838162649274 -0.02712921365914902 -1.344546872796129 -3.123452503716553 -1.7753574913837429 1.6001151031016052 4.4181378115382 1.1599849329909717
1.4203808653931935;10;12;16;-0.08093720250327933 -2.4052658702444405 -2.135184211258415 1.0447689024084916 4.287215841166734 4.4776655248957615 4.200055738042537 1.4400091692416224 1.4719849170689068 0.23993515112983502 0.9339211658929059 -0.8720648180432972 0.676225138837357 -1.6028554419870544 -0.398472624273722 0.9327905089611146 2.308323889462422 4.5997357372307235 3.716101922290786 1.5833202161570397 0.04894134951679993 1.3534930590714893 1.593734181287459 -1.3211059785656283 -2.3567510354645766 -0.7945426685398735 2.5205302011983695 1.6427276675745757 2.7520962890256944 3.9610022586465035 2.4184621104850135 0.7099067191638931 -0.006985057893867275 0.2788366500428383 -0.7236132096964206 -3.326671818895643 -2.6885892224924373 -1.4552232023498715 -1.3627726222251417 1.6218131726794462 3.23535698863991 2.285062115132633 1.435051771387563 0.8822282258847388 0.40296836993909363 0.15844813919207698 -2.514053053955728 -3.1007737676588962 -3.983653961076776 -5.074695142118461 -4.057430992020714 -3.662212216580352 -1.9179983363295243 -0.4349383508830581 -1.0427811348846887 0.0674783122850089 -2.0509616145995677 -1.1167464214433378 -0.26153364426933257 -0.8837719360020564 -0.6666145914586886 -1.6939489941683494 -1.2891422120026057 -1.347285640040538 2.1891577858186806 3.4304317399055395 2.6302438361686886 1.7441137248198377 0.6805902878223828 0.6888870886748678 0.4411744500653355 -0.8433244608640671 -1.9178589043666794 -0.5855471109773424 0.2881680330643165 3.3315979914796143 1.4918251418571762 2.5566941497141156 2.8184524244175755 1.531165623060291 1.726224499150774 0.41443129475562024 0.6752527094767211 -1.2192239718628357 0.9998767526439395 -2.14719198406724 -2.8931225828294234 -2.4669295434882477 -0.053626584564971866 1.899237848999828 3.3698937064391137 2.559043675635824 -1.0494013824524613 -1.7389179737899791 -0.6834476686830883 0.6085930736845124 -0.8944315919327412 -1.0371414789138302 1.8207473886953587 0.6922426663800467 2.22204455902726 2.418842216093714 2.8479194452742744 1.877749002249156 0.3571995660450975 0.5959559849703445 1.2849474974015958 3.128394551475671 0.5675337303572612 0.6491569168516429 0.1296775480413117 2.154790128347362 1.219921806523069 0.15907343014145706 3.197279632221579 2.1826673852023437 2.4363758977458136 1.692492597514339 2.06000634677348 2.2752511071261807 1.2001223929161908 -2.1959373084183373 -0.4064747609082721 0.7552857575548776 0.5665999405738691 0.7324791963841294 1.0977627830667684 2.145539993274158 -0.03866494337679052 -1.356409672307388 -0.8740495893511404 -0.02941304855539826 1.2934730655185767 -0.05595136168769019 -2.56149856090024 -1.269586167826042 0.3958410902443486 2.7847437364806473 3.457309909086903 0.5815480653983053 -0.8245271302468722 0.6557431675820731 -0.43807085242426547 -0.6677983403677392 -1.0937290649044862 -3.3398670847586005 -1.5259832011869237 2.0245900291476606 3.8768183015649 0.7154369712154623
1.4155785857862138;10;12;17;0.5304198922342716 -2.676158960352586 -1.9997701653836522 0.6998972714681074 4.137769937651944 4.778946995082327 3.9277084219846348 1.269801382185236 0.6906298384446259 0.1824468923190352 0.24050742498485725 -0.4136999125554545 -0.6915563636866654 -0.32916400583616495 -0.6713698803612342 0.7062928703309741 2.3036386160729054 5.105734180629084 3.5782781446413994 1.3038585751463747 0.5623208320428222 1.0226893044468188 1.5633288776732701 -0.4414657436528029 -2.004846177753902 -0.9885593244053965 1.857290094927576 2.4530288067088786 2.796909811743529 3.5475956245253566 2.794590838045688 0.365171449987387 0.3222827173731857 -0.13741083543837182 -0.9048668986901268 -3.195718996768704 -3.149113076917327 -1.189264146630475 -1.1361562941959094 0.8135555130478687 3.6247351972843256 2.80651698849173 1.0606546360443032 0.8145531779463556 0.8959896064840589 0.08624572718300047 -2.2198505639923534 -3.168540696917586 -3.857387909997386 -4.966983576406263 -4.163377717507172 -3.2233088530472096 -1.2225480987493278 -0.5184694039453037 -1.3113211795747486 -0.22619119862597653 -1.70627756532778 -1.195750054272714 -0.7118958327801373 -0.5130242188699922 -0.8672880377479821 -1.9693256231290062 -1.3383563033179398 -1.083537202460317 1.2639000104731621 2.599310608097971 2.088499141079904 1.3538727153827803 1.0324100036738988 0.9129432451800914 0.43879931419126744 0.0007032444999293674 -1.691508260872449 -1.1730544695621892 0.5014950984683139 3.1451278846750927 1.92657385224179 2.414800486360851 2.768768218245775 1.9565422890078388 1.5803924444689033 1.0431221525186298 0.4501484169973084 -0.31185695728586477 0.08332918793010928 -0.8146163033325402 -3.5993620986430352 -2.447945529797276 -0.19288830113301006 1.6880238854763514 3.575301100003987 2.6742366422846007 -0.8037652467052756 -1.7621261319621973 -0.5430156072453921 -0.37018815419964757 -0.978418007919831 -1.9182608757826576 0.0874116539614619 1.134018612902821 2.066223874096258 2.655322419457953 2.238508763078204 1.853833500188091 1.088318326863821 0.8106252702239782 0.9165915401477626 2.422178548893173 2.061267225071215 0.744512279613707 1.2006459741644246 1.781253697075498 1.3958020482612303 1.0836176275965674 2.214903875293122 2.872620618739297 2.6068794722636595 1.890224493661595 2.1012253404470176 2.5496988885749534 1.7783521344029338 -1.2622818649518313 -0.5102102691923412 0.5616426176027114 1.0558973253034132 1.225005382066384 1.26047696327361 2.334620967327096 0.32339480334537135 -1.9722535445829459 -0.9865484189648824 -0.5134957565015895 0.6762678220912891 -0.2167276098416613 -2.7795336079336748 -1.3675610842531118 0.3556155680268063 2.6978586033712557 2.8380426900801865 0.6887013041959107 0.09666437249477217 0.5312516915056363 -0.3394891972866958 -0.43149366252493326 -1.3507858166287747 -2.923777246506058 -1.6722453832557875 1.2028413910745681 3.706242839461484 1.1668993954792692
1.3925753986915506;10;12;18;-0.12162819683738658 -2.7584160306093106 -2.28557274073899 1.0351590298758317 3.667559830134727 4.6237264217250305 4.031296635601187 1.5734915357858015 0.8966746352682186 0.10783780001357673 0.21241832440114933 -0.28602319865433384 0.18785617104301267 -1.2987616695466748 -0.49374876092585596 0.9323278823948118 2.6747245792716563 5.352058190710691 3.742500840901684 1.6636650766376053 0.35621032547304454 0.7283804058802202 1.8310731417676518 -0.3913043087488808 -2.1229264793239317 -0.8480357186204512 2.030212536934045 1.6761290360831926 2.4782300481910218 3.9543784166994524 2.542029082257861 0.734574794386393 0.42555866928991914 -0.1842419094542407 -1.0601657246796323 -3.098842986923132 -2.7023002817818584 -1.2857655922020672 -1.390663957065631 1.2373638315035669 3.4316139911565573 2.297397575519014 1.4779598237903864 0.6511029736993408 0.36585909967310387 0.3521659373971735 -1.9841415047491544 -3.4971840798300784 -4.215769689402104 -5.055868981584137 -3.850836554699118 -3.316220262548603 -1.2030986878246928 -1.0025806984391943 -1.2851578425723953 0.41622608814201484 -1.6484790479347797 -1.1560579978464214 -0.6310784611902529 -1.2402290750689438 -0.8319610554238138 -2.019863494379449 -1.1610171928901198 -1.3407807121412838 2.6892470696831974 3.510588794068804 2.6269675594563417 1.8194956461116232 0.9533001868900036 0.7318605887337203 0.22213627168159422 -0.4207344872179751 -1.7528965148040416 -0.9753919149818474 0.28770263583065314 3.086304969187722 1.309760845453268 2.3181909098792977 2.545768135302314 1.3380132656454427 1.6350926069238416 0.9355321966386875 0.07622699400741204 -1.3926977766740454 0.4623308916156485 -1.8829675158813235 -3.379850061257746 -2.3131348903438904 -0.39012482816522337 1.755146971546781 3.3463019980447197 2.2364765908936257 0.05622640748529055 -1.1256401139047576 -0.9721840812415949 0.20974916081381031 -0.36045180444612585 -1.049795041866358 1.6075410906909735 0.6423725259634858 2.3027343301527576 2.1143255050248984 3.3476564799694986 1.981128292570146 1.00063554108621 0.42162566953023056 1.055860632681612 2.8686068952116455 1.7509265712106161 0.6543141771701668 0.5533786903440443 1.9285879027641726 0.40085330238240496 0.3747368420764754 3.905616468344192 2.701115710060784 2.0760902954499203 1.7365748138148034 1.638249969588392 3.0407006830286183 1.350359509169659 -0.7402137755112428 -0.3808343312080381 0.6183664904743437 0.24931451537053592 0.5503308064816849 1.1562626537164846 2.053608501423564 0.1234904606180485 -1.0289874048718621 -0.7804422181619488 -0.3219273035014053 1.5173197745479263 -0.15825297472979608 -1.8727807454744656 -1.0493081532399253 0.5042842619055234 2.948545890365348 3.7304246251207642 0.9720498170988568 0.07033129467513714 0.10721329533466385 -0.8422257040483725 -0.12228102597384302 -0.9342554422659118 -2.522991676158129 -1.8006730041737815 1.8074558234208982 3.896339974489613 1.0926110640829656
1.3708737010787262;10;12;19;0.33705891105546726 -2.524676990742333 -2.132732694824679 1.0372070772355568 3.558914025341727 4.5229714775747505 4.021639437074694 1.3394092326977276 1.1057736061179082 0.642483577306611 0.3258228439894447 -0.6654073293185245 -0.1877139862336387 -0.9889755235726854 -0.24630693633008768 0.8845446535639249 2.997180837319435 5.048794420352037 3.286809928948336 1.6631629118992393 0.46200840839975615 1.1806732815231624 1.9865330408785749 -1.1182655708688127 -2.133050497859219 -1.3549398707140905 2.13000793158277 2.4345144585769636 2.8382005432368334 3.8843353467626565 2.222254979980855 0.6833724871497403 0.6436784088851036 0.10369545574200399 -1.1882711244718895 -2.8332713753367966 -2.8930435064852964 -1.4646183107206412 -1.1231343822502375 1.2027731727511783 3.2208971003341356 2.549767780844458 1.2902869478197985 0.4718663305440828 0.690372540794607 -0.06003488544002841 -2.8235677494112896 -3.7127530831468603 -4.019085854346135 -4.784825227077901 -4.368938471254594 -4.002855434714096 -1.8368104441423485 -0.3887530108487157 -0.9193333018083432 0.15162776706968414 -1.948823583256084 -1.4954896855146083 -0.5921268468953301 -0.36654764705374643 -0.694244285440864 -1.7810834873401868 -1.1709032335640106 -1.1524336654072733 2.32817594574915 3.2048700626629385 2.4305220017933764 1.6473909253910115 0.857190977957177 0.7907554666895628 0.28122397310914754 -0.41996285635807423 -1.744513823263381 -1.1557000575766048 0.3849384018564064 3.336484550108727 1.8323525910249923 2.92806601583131 2.8751962910239444 1.7403405251722388 1.940854920178459 0.937475857233533 0.38018300062950827 -0.8926893663432947 0.24532132847865798 -1.4415048045360899 -3.1316932172757133 -2.6086723926776187 -0.45338624043977194 1.8328808150131275 3.41315176152418 2.596709176095161 -0.5228822158972205 -1.5747599763567075 -1.1885213831291546 0.7702927403399991 -0.795761762178496 -1.1531443041437923 1.4420359498572832 0.7852689462525485 2.828241416850947 2.6293063022402148 2.7753126843170928 1.915243020863748 0.7064547671643097 1.2999270730447188 1.3453053626066869 2.731169513334697 1.4967459968552375 0.5839147769459394 0.9811852315667554 2.1401063401656986 1.8395844821333218 0.5102791249202888 3.120841862016736 2.417257544129308 2.5338797258386956 2.2954401364702677 2.3638055298788263 2.692421805180927 1.3100383614867286 -1.742357495227891 -0.526593487385167 0.5019249637651513 0.892867289017474 1.0208753410376055 1.3180691033897034 2.3296855850461173 0.7550985503007893 -1.7485988353133892 -1.1053106791201048 -0.38205836711816854 1.1382233627125438 -0.33557840030734204 -2.706098642084407 -1.6251777354329273 0.4823582862165554 3.014736085247205 3.0706616315045037 0.7807021376134188 -0.07779115651723868 0.36354914936490934 -0.10321202954987804 -0.5555162593127806 -1.1151560583784075 -2.857973147865032 -1.8329147360676743 1.4252265356298002 3.792874568831742 0.7575161447800847
1.3808818151050737;10;12;20;0.6431821598959666 -2.522746958835585 -1.5572182073512315 1.3662743722542068 3.3075578842702282 3.968192514861524 3.5877933651863922 1.4275166045276106 0.8954686461373822 0.2516605030751424 0.8242000426324232 -0.03774214265921347 0.10611495037492825 -1.1281115491903286 -0.3580221538196673 1.3088650961839068 2.7472606507696944 4.792117998885154 3.6711643934878433 1.4555117270697662 0.17670623803459615 1.1988478110474565 2.263386210893676 -1.0086924911048631 -1.8458917931552663 -1.0187925471116275 1.717941851166698 2.2754351692984005 2.0533411694647263 4.0063702143680455 2.3924295190289153 0.7018620490412142 0.0934211004213208 -0.01586008579205455 -1.1004685260516622 -2.7746560352527587 -2.856584219805501 -1.714195533580892 -1.3798877084570997 1.6476991434141424 3.3185911309971714 2.562882772236862 1.2828335530884316 0.9629674197253161 0.9550929584380541 0.17654643792250643 -2.4736450421069005 -3.5124431184621043 -4.287649187618603 -5.6462990947027105 -4.296354774231116 -3.517198182715945 -1.217162295815013 0.1607206854909047 -1.1530826006328447 0.11364427636855318 -2.0430342111008497 -1.1131433557482542 -0.6847705500233773 -0.5087025768508164 -0.5198078609291329 -1.421119731755522 -1.0856935304958069 -1.555091832476396 2.152342056527101 3.6944745421720886 3.1441675863445218 1.7221904074738776 1.099690194071959 0.843411924993071 0.4768989108313839 -0.23114393501940905 -1.6473757232620856 -0.7943714862267353 0.36993108209822756 3.1008807762252273 1.72745108107956 2.323080763356082 3.1687720111006317 1.5815510327230042 2.0336200084900566 0.7447618643248575 0.5737372545774333 -0.756412295027185 0.8726478572153233 -1.3768270945014625 -3.615977116857873 -2.7733527732326984 -0.4236051232521638 2.2773746364507543 2.871381756014643 2.6209658446560766 -0.8432613345779886 -1.4682657070934928 -1.0565687244995812 0.7886690792842004 -0.8092881602324846 -0.8849380125463211 0.9403792170957364 0.22674647496222156 2.2533860486776933 2.6955321413832505 3.520130373395172 2.3155178898225244 0.9635391506793014 0.8709826861316595 1.1697677101435073 2.9360970572658913 1.7313044054319087 0.8103585373283533 1.0290875990941442 1.7481588991661758 1.90788802226513 0.2880871033683741 3.13196856260492 2.5387435200657107 2.3094787335714417 2.299502533883982 2.1076198909492616 3.15604730939155 1.6728964909854005 -1.927993406508196 -0.44047152336779116 0.41879591956033463 0.8820807065685173 1.1198074855962792 0.8880854166848478 2.4700106013759258 0.4032744912409787 -1.154066262428726 -1.203994886391464 -0.43102789087676174 1.292934058392606 -0.5881671139397577 -2.6238912940743684 -1.3874574712176078 0.38045149327332156 2.8476112272511434 3.4591550237831967 0.8004133391621707 -0.02636630665728871 0.2570924338768646 -0.733970338704499 -0.10310076291841071 -0.9343782502245938 -3.0358934244924436 -1.507320734675574 1.674103453593958 3.6694522708248543 0.3209838360028708
1.4070220974250474;10;12;21;0.14043333489697088 -2.2773306792876005 -2.3752062261042 1.1737708002991265 3.591208924095781 4.316724197385136 4.3302240868919455 1.4914056478422153 0.9060993223851342 -0.02358463151024267 0.7413494504973374 -0.33287812287437357 0.2693976415709849 -0.981036887638722 -0.23136918278752802 1.462961227890248 3.188396423366388 5.4091920474687765 3.7429678106762814 1.607140017869815 -0.14178848986797074 1.0718523256232375 1.9799063533812615 -1.1769863460783532 -1.9875772820419848 -1.0802520146826753 2.4045795693508474 2.6989905333123745 2.4867258129131518 3.957126918721074 2.4103395621446335 0.2978300802586906 0.048549019274407246 -0.005125397193931127 -0.9540088028882845 -3.049540983081278 -2.9793481473412116 -1.6930472542668573 -1.0713024595766356 1.1739644474827553 2.983338283654742 2.4986805686276186 1.0981116625054872 0.5005056706890068 0.2890699788937881 0.0751667457238834 -2.6569143541639235 -3.4320362549389847 -3.8603898157581416 -5.136948593095548 -3.974459838413995 -3.7008688671257337 -1.8379134692834362 -0.6649035171563222 -0.41384660815975804 0.36010112871766164 -1.1553436149648206 -1.4254189089042073 -0.9740954673058357 -0.7461748288959198 -0.5726441130794675 -1.7378186927939732 -1.3637827925682018 -1.266217710261782 1.9669234554273418 3.119660509360538 2.611844208642079 1.6786203902205985 0.8605558411421587 0.16567748428175094 0.3571059624180534 -0.4473041388446014 -1.7060930538581507 -0.8658922953444019 0.6009715668389745 3.5517821777899825 1.902951891155135 2.7633149458170867 2.806158748690307 1.5896891567069242 1.8168506322600615 0.5624874464989608 0.1659797865556526 -0.6227569489802283 0.7651216266846727 -1.3730029744807515 -3.2893756409071715 -2.5459696442907203 -0.2267021059431087 1.8051964565127583 2.505182201679201 2.616204190706892 -0.11895085229304392 -1.259011728637418 -1.5728540567442864 0.8576761442768721 -0.797160799429748 -1.2240414884566404 1.5402417302700946 0.7137664834457824 2.8046407225083563 2.493854665148831 3.397820535774978 1.8397707907925904 0.8551900319425805 0.5101829378331383 1.1369851739340044 3.846349347484321 2.125578757716846 1.0390028440996728 1.0967489434615283 2.2039014803216523 2.1829007203238393 0.7209783059364737 3.282895050850843 2.877810902417442 2.609875087860677 1.7444424607580167 1.9916366101566263 2.8906386429991735 1.3003896996110216 -2.0439546717277506 0.5263769643749824 0.8424611367910078 0.9730286115061316 0.7219257244079633 1.0174651736971345 2.3422104991736354 0.40450833681122333 -1.2615707769179025 -0.8628431384727147 -0.41854086749747094 0.9563496432932974 -0.7332865829296672 -2.3882890178489014 -1.716727174719378 0.31021855773942936 3.020765956018485 3.4718306023088052 1.40142665276886 -0.20590323024810422 0.05896934945146573 -0.9394131518818456 0.007406780575045745 -1.3059558196725802 -3.0756020300399975 -1.4753039510181936 1.7094835278953857 3.888732470746681 1.2827839806075492
1.435831900747045;25;12;15;0.4012288401341059 -2.8380363241336535 -2.3911305244343537 0.8778201689970759 3.6968872692627777 4.736766654717595 3.671017023937425 1.3376930663580502 0.9481596254585444 -0.03713920425597154 0.2622545803047202 -0.8387773464280676 0.4155653963008867 -1.0537931897504693 -0.47341752895156386 1.05059127265934 2.763736686319097 4.772387252899075 3.8569671438729913 1.6090400966159086 -0.23887759773087128 0.5261256573570944 1.7233278787497177 -0.8839059763959836 -2.426262886097172 -0.8586677427604327 2.4399211538408343 2.6074213249398923 2.5323149727261245 4.368830116595821 2.376929507219427 0.8245480234763224 0.3719788299263461 -0.6375908773796707 -0.9349741683558074 -3.142029154422629 -3.383127536096519 -1.40150834911465 -1.0538715921484814 1.3016739413740668 2.9858477594543436 2.2663271619725003 1.1103047704958595 0.6960458191882997 0.542266591921679 0.2745125368879086 -2.5618004887596335 -4.059017610940562 -3.878096926210428 -4.506980307913542 -3.913612089266406 -3.842140253566409 -1.9560647598442162 -0.432382747216049 -0.6056643276187608 1.0418143226415697 -1.2365797317406497 -1.218236715687676 -0.9719420597035098 -0.8990906563066856 -1.0287331774208104 -1.8350099596554297 -1.6663194499519773 -1.5764225265388143 1.8634969888783215 3.4540914419746183 2.812130510329918 2.010999231798266 0.7779991643959915 0.7583167178814675 0.5865758531799018 -0.4325741479126288 -1.887658180839758 -0.597463975943582 0.4064902625688045 3.428466513035023 2.3157587132341835 2.902311389706082 3.235551384652555 1.6740447453990759 2.166645589334261 1.0851235976313547 0.5931077389237447 -0.5812545984069027 0.39191131044943034 -1.1043621374050905 -3.1497738436413565 -2.7486303330236113 -0.1156656457946768 2.309738577240116 2.6910918848478844 2.179146091635846 -0.6870508092610734 -1.455925454201407 -1.4543214624483793 -0.1219121528003876 -1.1649985670042649 -0.9744218069911623 1.4838776697408198 0.5315050952447702 2.6514270109148854 2.8691400614712887 3.666330851953089 2.7021122517157465 1.1727806236908032 0.7965000336056122 1.0209886388677798 2.661962735643364 1.6024586383911832 0.5451994556471267 0.9943890340804992 1.589861686912292 1.3618468458121187 0.1265949933954951 2.720360615781053 2.8723438515348527 2.995652327531255 2.3899998684024566 1.9254362312001467 2.4869971885486777 1.638568820983555 -1.5276366156550307 -0.6411595718229036 0.9918894428239132 1.0229408361134116 0.5821146294320779 0.7203575266819171 2.9243976522460002 0.555006944157202 -0.5752606714284078 -1.134789306826557 -0.39484634487913156 1.3822385082880306 -0.5773841258700796 -2.9580496529264964 -1.4398567816369006 0.3995853102090146 2.723036331622285 3.5817646925415385 0.47986367467292823 -0.9516620476339361 -0.5912730320508846 -0.5945954366306391 -0.24587772625863963 -1.4333159099448614 -2.8254961338942013 -1.4331910052649337 1.4839603404642252 4.047252384750028 0.6750694710164196
1.4316259689329365;25;12;16;-0.3958081408677352 -2.4722092373509454 -2.228316974617042 0.6743172722694931 4.419014840082152 4.1584292316183005 3.7379132148158996 1.456496736757877 0.8361291135116294 -0.24873027807208348 0.2298808860174206 -0.47881359084340275 -0.09089764402012605 -1.095520114145799 -0.6741849532824097 1.0163450752544738 2.418092638248345 5.100944670240491 3.716589559746235 1.8759269514865662 0.20257751299984636 1.2289441478094985 2.0993107344180064 -0.6482604178533714 -2.2789713636624294 -0.8626954693906899 2.4071393664603478 1.875325192489025 2.2382975932955924 3.833205900589295 2.6006893520828798 -0.3004626439279615 -0.2439219907959054 -0.17701039276041933 -0.8554530197932297 -3.175386491785084 -2.916556737598777 -1.2093858562459916 -1.3092072352615842 1.5466287924821747 3.563773326594644 2.3652519680068136 0.9657132259624788 0.5590775038071947 0.3455018458904935 0.048647953628011525 -2.416591310053565 -3.885397709588262 -4.114861684600881 -5.679025918033397 -4.045345191228384 -3.61604061755846 -1.754032638187652 -0.8422570051012561 -1.9217462255563704 0.5820846762714238 -1.2085621443280035 -1.3671080426982183 -0.5327144532062862 -0.7900839908107052 -0.7289851592939329 -0.9859198518885558 -0.8908929255330641 -0.8385843731905533 1.5643047516473811 2.724039163440985 2.7307486714275067 2.2451862211828257 1.119169408391445 0.9084822460809724 0.3206291905807261 -0.5553826307748124 -1.890557946322683 -0.5329802126241898 0.3951235248394284 3.5496300431969843 1.4129735962010215 2.248781798587746 2.969029059747058 1.81309929841974 2.0337112158642485 1.030030449708634 0.31784605521709813 -1.0433697144915421 0.801974947192873 -1.2105267721353068 -3.5307181408403934 -2.4487223650188406 0.11991596274993885 2.386712808552274 3.325011890514988 2.606515541361712 -0.8434102766693411 -1.9733405447830838 -1.1078003109507732 0.11031878286910629 -0.17068054108518846 -1.018547530257477 1.0652559657010867 0.6970291814525743 2.606721020043799 2.30596552735832 3.2814776672886903 2.3847570169273635 0.9752946429925171 1.0303209953669792 1.1667339791495568 3.161712949729276 1.325975240144357 0.6056545188585404 0.92627869183491 2.468583183504954 1.7990159213433883 0.6537616162390001 2.9736783893437897 2.5782897794825193 2.3688430524376356 1.7407583717633637 2.260981720922167 3.1825537598491964 1.6006842131540335 -1.9665082288378801 -0.9838816890718466 1.4616080938576983 0.8202525155898174 0.9848841473759321 0.9946059698465365 3.0138470754389908 -0.3353184443143152 -1.907343697553249 -1.3505604190948524 -0.19890076162965978 1.1362691436285677 -0.005524359253299884 -2.5468379864180832 -1.1262537792836589 0.20274540046531267 2.5657241290565116 3.318602812729827 1.0803367830272206 0.12230641217739133 0.07897463487566483 -0.4845411967822318 -0.3921856805011281 -0.5779627460510155 -2.8329379966587163 -1.9831430161387495 1.4432578890461678 4.244570927280257 0.9296686407919394
1.4184265090886186;25;12;17;0.20489306080493813 -3.059842174561835 -2.5320141672103618 0.8367247321112365 3.9764173532455374 4.4132069222313195 4.300521035129292 1.8711813224783316 1.2457069099892626 -0.09172065859109274 -0.11867790411658329 -0.19327924604172247 -0.3702056019157286 -1.2125776650452942 -0.08130220048657513 1.0103004525515717 2.298780363180611 4.793803163703555 3.5505091684621823 1.5857491179544818 0.08576394931460445 1.1363900046318072 2.1212003544582307 -1.087271163467459 -2.3709006090259743 -1.3878309871309646 2.2851435877296122 2.370753914321565 2.714945084334789 3.9063356437314973 2.8831084184107287 0.48801041019053615 0.17774748478183483 0.03999866491698517 -0.8023826088094816 -3.1448441524609025 -3.2463200691881267 -1.6132776442366539 -1.1069238814700337 1.4566631265653105 3.3456786727715073 2.587680394879191 1.1795189615944544 0.856692482480991 0.8564941925574607 0.15958920484719552 -3.067231020231992 -4.032394343156365 -4.216909407164993 -5.041476487889835 -4.3338920751628525 -3.879709304848439 -1.8056422335262992 -0.614393277696583 -1.3171331411022698 -0.12980550329958707 -1.3379919231185824 -1.4604434391886705 -0.7034398308787757 -0.20445117590249434 -0.40748657867516813 -1.3947351906617382 -1.023867960418664 -0.9335147006029356 1.548114019953209 2.7833533107630832 2.813031800934 1.3402888072603358 0.7751570587473258 0.6065291137081897 0.5370976498705 -0.32536834131807546 -1.6840815244540643 -1.0075434878621714 0.4975072844246282 3.3786445223242136 1.9961174532246786 2.6164486084978296 3.1885599676235596 2.1090591403186916 1.9065825137580203 1.0234241303605658 0.519673933759452 -0.8228157564128994 0.5650902638354509 -1.2808880195211512 -3.118539586306065 -2.5523128251224425 -0.4783464713030018 2.183932157410964 3.2901308358700576 2.638902396318974 -0.48351593753449224 -1.83930479359582 -1.0764604687241757 0.5519769573083334 -0.36608314841490275 -1.2084815703258438 -0.09085733361813951 0.5525960891390539 2.2625660933549665 2.928981683952506 2.9023536236626044 1.8658939905596672 0.6249081858783008 0.48731826753072116 1.2854742237316985 2.637488906667706 1.9748330367954707 0.7336593509139016 0.8436403178430586 2.1299622530127724 1.4514566681804122 0.44698641159285674 2.71727364304404 2.6633504655764693 2.9377387900013434 2.086904584572482 2.297959347047082 2.896948875354176 1.5419920432129177 -2.5957898378118904 -0.39474435436710426 0.7731907086332847 1.398520746888001 0.9507874162427299 0.9729157629733672 2.673004668786897 0.45697223373317647 -1.5506602623576196 -1.0003506856284954 -0.01618365481002063 1.141455084098418 -0.10063337130952797 -2.653274146549629 -1.391028786562398 0.1201072698428916 2.6230565752697337 2.9475199946129447 0.7721951404560435 -0.3668104860384863 -0.21824430685210783 -0.8022061846932289 -0.6423159135899557 -1.10228728196658 -2.640987360049311 -1.249396389652939 1.3770537659446065 3.615016594778491 1.1718854734846549
