rmse;hl;T;RS;preds
1.3677202557998345;10;12;15;0.09693640335568776 -2.4612652510427515 -2.569346888054831 0.6881337666844168 2.9009700871719906 4.034773898021523 3.622186482844267 1.6285917227012758 0.5507017763763861 -0.6070742977736516 0.22959895189276375 0.1915717670185286 1.2485795678617955 -0.9503540679910726 -0.3968885513725291 -0.042424720264271285 2.372974641652461 4.230187120002545 3.8516840053968187 1.7055983034269404 -0.2755942756643127 0.6681485685985814 1.6030993364975747 -0.7647702752103059 -1.2253776240705188 -1.0187403537291877 1.2889730524277057 1.4307147034906504 2.5596388449380214 3.6339676599927433 3.016900800167678 0.14325027989068714 -0.2605798794719293 -0.4478793892949637 -1.0112808934827886 -2.621748744492779 -2.4643421894709454 -1.7944839323536248 -1.2788047771976574 1.00690031951992 3.0199961597896743 2.390705864399074 1.2830857587011393 1.0619891242343455 0.8282019346616162 -0.49088808431758474 -3.128342357193337 -4.0142753767450845 -4.126547011635265 -4.370636515932075 -3.701039600141462 -3.5537850698601274 -2.2925025542221227 -1.0488909805949151 -1.0548583241433296 -0.12910819371955928 -1.2989512730536152 -1.6054291673162593 -1.1956123446166065 -0.6439094217367546 -0.9718265902691882 -1.7644039200641395 -1.5439594407876875 -1.216956742250024 1.986813851759707 3.4060846127994484 3.160039167111924 1.751111831509262 1.1163747036195142 0.22427822219997 0.0010340209971778438 -0.3371587290634532 -1.0798624738283686 -0.4858914478230685 0.2504042675173088 2.5248512441543323 1.3230862577992677 2.6688348892922376 3.0348103939859867 2.2345822032480562 1.7801858668981787 0.8788149134623991 -0.05479028357710965 -1.1411813113101452 0.40447044606299587 -1.7788747412735524 -2.8558764266192442 -2.5776469088720866 -0.36934714433138166 1.264127354962527 2.9562174938720798 2.203594610190751 -0.288920137307722 -1.6959982396545008 -1.2551065104342363 0.2916580068572053 -0.42458047304596347 -0.063631108709975 2.1570475483000595 1.0696911301991414 2.689445060075121 2.733088612337806 3.619571571919163 2.519949708944893 0.6964126705234109 0.2621637286243112 1.177584137182002 2.885947978040739 2.291812658949251 0.7493077057515293 -0.14214508224555797 0.5161861502914361 0.18629087502940483 0.3633789030880415 2.729246220889096 2.6625794712212323 2.493509305206489 1.716769035161286 2.192384490050145 2.810189845051138 1.628817120235198 -2.2106330778642627 -0.30654135707183305 -0.6984530789272754 0.6247671064916198 0.8490205794426524 1.5227853277724828 1.604893980118166 0.18948107384632218 -1.98678487117688 -1.098948777562974 -0.23012717498100513 1.4901089755174988 0.10757359441588203 -2.2303142513694585 -1.5830613450661923 0.5546948322231862 2.4812761348637418 3.281403982513481 1.2253335189413497 -0.5760533069422172 0.012659142178646474 -1.4156917697475866 -0.3459303623952075 -0.3672107351477269 -2.3880660165678314 -1.300966970999834 1.5719222896991325 3.5231068189693717 0.9081746271210547
1.3622618136664038;10;12;16;-0.02901019726532582 -2.4017963956458743 -2.3451825257567447 1.5529963851398298 3.327227226276966 4.2599596630979155 3.776138839379468 1.5939324712109895 0.8789467073692773 -0.10651624694489782 0.18718744801068413 0.22352183001055195 0.9559923769695955 -1.0757319329741661 -0.7458387544333807 0.20500194054391585 2.711385450722654 4.469733029359732 4.26534134747264 1.7637737813467727 0.15940169806150076 0.5181265909215113 1.198253540340079 -0.30412862998114404 -1.369570941333003 -1.2894249698391804 1.6208070460130746 1.986545321674443 2.9531985148097517 4.052381264448832 3.2972758628124903 0.14827260122046426 -0.3346946697436932 -0.7753468111201757 -1.2320333661336664 -2.6328421970726374 -2.259844772926744 -1.5595961887755618 -0.9485642917590876 1.7696796460329447 3.322197491539927 2.6384659787682434 1.2988363286994993 1.00767146364096 0.9060540182296449 0.09842739681014798 -2.616217294314784 -3.951540878007892 -4.039966801701332 -4.707197118268663 -3.716857564751294 -3.693112795705957 -2.0870437909867277 -1.1483240917655289 -1.1618720560951883 0.06070910390515838 -0.9293011894937212 -1.3528498889294498 -1.2985124592500326 -1.0083770094402738 -1.1694837532806122 -1.9532157649686002 -1.8270000351991094 -1.4147999143891103 2.158587889586697 3.000440639793422 2.6798555556917063 1.7082762657552215 1.4121545270229345 0.7500909060197327 0.36024879779968644 -0.19827580765333708 -1.1706539483844667 -0.6668584850693148 0.5141983087846257 2.8735117252687568 1.5594045643301713 3.1676319938061357 3.2396495760932513 2.0234919462780807 1.331221386467122 0.42366435652725126 -0.4197751623651254 -1.2396297872071567 0.5367919029831232 -1.1166552889520476 -2.2635559695317893 -2.1393701654598276 0.1468072177183633 1.8528086527963104 3.265793293775376 2.4985128309279556 0.16502330725306508 -1.0694362279020808 -1.1460917575848792 -0.22877142004689824 -0.24600579474116138 -0.21675398734376233 1.3231364293433632 0.7379709586242581 3.117013249021927 2.2454125173115678 2.7248607786377272 1.8908114258446125 0.7385698720715371 0.07455263104757241 0.7099864694541347 2.5225825917663895 1.6655486811453395 0.4950563670541053 -0.3322590659265547 0.4831961135615018 0.7717912220846228 0.9161052505845431 3.016104345625885 2.5102101392266007 2.616961107076621 1.6920743016258042 1.9502420909616554 2.128247734096931 0.92559456164557 -1.9479904360924898 -0.454875623911847 0.0030257564148732305 1.321758583953274 1.264512702374342 1.5218136472408632 1.5432637046484883 0.20843352439425453 -1.9059191252325394 -0.5778856915452327 -0.1865392232727843 1.2671521748911827 -0.32526028529101575 -2.514189340836704 -1.497477826553025 0.679606775792305 2.3700691850690117 2.8356383498744804 1.052994789153128 -0.2600088599055094 -0.020355980323335597 -1.0589803283467456 -0.5827223032789544 -0.4707329769279388 -2.5094914871197127 -1.3224564168137192 1.9407418469969897 3.59452833335947 0.7141565484804006
1.387419120185832;10;12;17;0.18753876114370607 -2.2225927758502375 -2.512970396963885 1.065979259647982 3.3032688911961654 4.489283457318673 3.7208998195643623 1.6969825762963908 0.7955194420086981 -0.329319425298509 0.02316951904492139 0.05139273490545812 1.0260534936856858 -0.9366257107513737 -0.5005107992678749 -0.06179172255565661 2.8557722654029636 4.487006717577354 4.1113964792276025 2.030658839027791 0.3645969858074919 0.4587095170511152 1.0480997687561309 -0.544159668216576 -1.2087664997665661 -1.301225017478869 1.27672026276473 1.8988092192708677 3.2679657965176188 3.8709660530362986 2.962294690637193 0.4808200416511633 -0.049582814273039275 -0.5666312781683096 -1.0867996258358616 -2.6178461471911545 -2.267970765880599 -1.746553483738123 -1.218059318093702 1.6123084357406825 3.30093553998121 2.458416331949931 1.3649715595315561 1.016562085903413 0.6739552883229881 -0.39720908763297896 -2.756372026926274 -3.5156807555972076 -4.025818725797967 -4.744553202578444 -3.78009827190354 -3.7669943631805776 -2.0238378295008403 -1.0094159348175618 -1.31522317781316 -0.22643541048893462 -1.695049023993372 -1.8911354432600942 -1.5707741092684644 -1.1046723772665656 -1.3161816789540917 -1.8886494806916059 -1.661393502916605 -1.4100411059901878 2.1427697752110624 3.1323396822654246 2.8813486702222995 1.75142633969613 1.2103202459924909 0.42400728277529004 0.0464412902420788 -0.3360285588705226 -1.0683886161082032 -0.6064376059024975 0.25049895694642665 3.2739435487893607 1.8492151721126362 3.140782579659 2.8687114317423283 1.932857276518007 1.5657535860282208 0.8777296355689989 0.10036963462986244 -1.0856134806739586 0.4059221634355484 -1.7382967452380127 -2.6001459259658186 -2.3271116341683133 -0.15823019160697355 1.751380361594526 3.3578591255515033 2.43312178637235 -0.014259650976854358 -1.2980757421676956 -1.3984631610367493 -0.22877450896659068 -0.4855163968102282 -0.3230146593953259 1.399340564895104 0.6976681572522282 2.708814870475318 2.339051189553643 3.104678836996169 2.3881231531216733 1.1552336877651141 0.6206334205555487 0.9627256228359357 2.406603654182049 2.222306349651377 1.2432411658042157 0.171932565379699 0.36571566147502144 -0.0776080397416523 0.2167684780851227 3.037191370726382 3.015083541910793 3.051804319683099 1.7976993301668367 1.7650074022683124 2.2147848114795217 1.488223873351732 -1.6837180428495266 -0.0492312390498616 -0.6372710899482371 0.9233688171602643 1.1838191871037624 2.0112785450213653 1.9594520887995828 0.19031335985654757 -2.096991535171566 -0.7023995576092583 -0.24457553131992738 1.5489227552908702 0.2909717799466195 -2.317497418427359 -1.6830123463845157 0.29010111644930603 2.4113680039156926 3.1576084681248426 1.4163717822772308 -0.07104709943197492 -0.05344021974352704 -1.3128305193401093 -0.6282474382110292 -0.5777199756839139 -2.341382368264557 -1.5930832233236494 1.6904237327079592 3.7397071096074748 1.0879672758209546
1.4171577905935682;10;12;18;0.08176737397142748 -2.0746497721712682 -2.402767177582674 0.8591434747344155 3.1638902449772237 3.9487807700364113 3.5962455480597706 1.619299503437353 0.6955360163939667 -0.5263632599040893 -0.05163868689598529 0.06494103620817504 0.8599062319704726 -0.9278856031212077 -0.6453950985051987 0.1583484700500004 2.468479096271681 4.101391224974308 3.918590679881522 1.831147425606074 0.03706879650760289 0.3794148518245335 1.1843545249675531 -0.6103116353771484 -1.2640497753765387 -1.3203168625481956 1.0260390412856701 2.016898057491684 2.750894867751858 3.5475512938475884 2.944938331696166 0.23439370408447124 -0.28303052221120495 -0.530039785725677 -0.988846051035758 -2.209708573560673 -2.07168530786133 -1.4445892312544475 -0.9671619845605228 1.3372416722269926 3.067510858535297 2.4872621242546633 1.370895246348317 1.0065585539568564 0.6550917612207476 -0.28396798125677714 -2.293474684051152 -3.29812136475496 -3.7426238726091765 -4.282601480985172 -3.560739894232406 -3.1760820041754725 -1.8014622699570173 -0.5955272794585885 -0.6981146830947855 -0.22860443117625154 -1.1935534392361444 -1.6735182428177842 -1.58016352653871 -1.163494169510412 -1.2012402439719083 -1.6914224450671749 -1.6384399466099466 -1.3834443467531694 1.5489649892473925 2.9580691982637175 3.0300532330109 1.8078992799643825 1.2452001025109949 0.37562263191991924 0.005002964549651372 -0.34998115295916843 -1.029620015624877 -0.804687055224406 0.20219106106523205 2.8980352764911004 1.637171655804844 2.6151866818394716 2.843352486869341 2.153469493494122 1.7269676370666025 0.8196217769093433 -0.12684493290053434 -1.1002707603084434 0.6068755594526054 -0.7315662980303997 -1.7887013249235446 -2.039223570002433 -0.20424150377791556 1.6260856915151494 3.094170070112279 2.4106656022983537 -0.04386591658914404 -1.4537280903358212 -1.480385504723164 -0.22597416925631206 -0.3237251109245907 -0.22998587094561934 1.2418174920783256 0.5549035308700437 2.4208820263342594 2.5992156565786972 3.416017679935566 2.372473225743111 0.9425792018628795 0.29199775058192456 0.9067102919795765 2.6942049168346665 2.322283709751076 1.1025732606678194 -0.02783588360188123 0.6311389674746681 0.865206893045628 1.2172890734673756 3.259290762128974 2.9564076964422337 2.575099168809643 1.6917427201373632 2.0398146216449344 2.679940023604751 1.6621882360515543 -1.7464757552862256 -0.36593038729556676 -0.21765527794784467 1.1304852631891598 1.489647547077622 1.7384223247639492 1.6504921258793355 0.32263489165957643 -1.4901989089824685 -0.4797950061522348 0.15666016014973122 1.2747572823812625 0.31728450833773514 -2.143029093799531 -1.8570014204418777 0.09056424284103293 2.350632878652163 3.1474585401055895 1.2937457890463324 -0.2367317720223359 -0.1384248996923169 -1.2929558484170875 -0.5976476637012934 -0.473924635961438 -2.1024460057266805 -1.787826393100838 1.1255217249371663 3.3352798339872183 0.9775656916333121
1.4542665222058913;10;12;19;0.10145828225383625 -1.8121494079126024 -2.382723271301957 0.5465913415812726 2.895748951738372 3.4073743958972145 3.1078745397063567 2.0047695734454227 1.0959226855248845 -0.28919192479920725 -0.43216128103446266 -0.36958605822904905 0.7897178143216026 -0.17947814006308485 -0.5299075050799382 -0.3594321614160089 1.9436565890602415 3.6605139481540596 3.266567882509891 2.1342618794588675 0.7100284038790504 0.34635172938260317 0.7670551032048958 -0.43674860758864037 -1.2786797227519264 -1.2587779442185127 1.0147992675160167 1.847880609039692 2.4247757874534908 2.9819211996241957 2.6322860426620864 0.9371969933078431 0.0795971551576844 -0.6425882252617524 -1.2764949392138154 -2.3254935644297783 -2.2117006085099753 -1.508894323970538 -1.0668964994102184 1.0242120482515722 2.8723552337359015 2.381667498171695 1.539867914825131 1.2220022781792024 0.73853931984767 -0.41353618109102896 -2.3978100792602217 -3.5731225308468173 -4.01035720379992 -4.286955472417854 -3.498227647947268 -3.282578969223146 -2.3800331779436106 -1.300325374298623 -1.1803508348488267 -0.6113589850808703 -1.6018094776170129 -2.1560341570923347 -1.7638246259370889 -0.951901672919169 -0.9258596462174651 -1.59286711126953 -1.6462168354763778 -1.3575817394837835 1.3996189795233842 2.775978243546827 2.75991136817196 2.048659939751898 1.5234699072592326 0.5207248029595509 -0.20712647988776747 -0.7736758740530858 -1.3200687006121763 -0.6713461424814159 0.4085142725171047 2.3803046293619325 1.652512766097062 2.174521024099244 2.3486767874956462 1.9975682345609607 1.7673040608614667 1.1212184292288911 0.2596337723511122 -0.8542080915535432 0.12746623723529626 -0.8487654524968871 -1.8470984562322175 -1.951685308224978 -0.12116457807263711 1.5824315058804321 2.883454976479497 2.311331486323702 0.4345177719659174 -1.1783426251927716 -1.8069953675588488 -0.7442250279031402 -0.7372510335080426 -0.7095768590822957 0.826025987305898 0.8433127051484043 2.1253991885187244 2.353703227385013 3.006445649441359 2.498143208925484 1.4447831039866752 0.6968140428761761 0.8208444649272443 2.1801755817675277 2.2535194900084075 1.4809394144464545 0.4890948643720183 0.31829190801343465 0.0906454533478564 0.32737217122427886 2.5024336996575793 2.6481465407600466 2.358702110366578 1.6965088670606459 1.7244884139592613 2.1003006863776252 1.6163109268330886 -0.8609297305701298 -0.5782454664461395 -0.5164218433244393 0.7304478479114689 1.2652612318590886 1.5495230166303786 1.5080416332695108 0.4454943323363228 -1.1653031157652156 -0.7035956621970788 0.0902910700158674 1.1279084676609878 0.6240846986090175 -1.4589998466109455 -1.800443712728974 -0.18328031939361658 2.093710391970507 2.8441318681095615 1.602750681707561 0.24638058456373993 -0.18682460201091639 -1.3690542493117195 -1.1193185742316083 -0.9358623544521035 -2.188602228671554 -1.9454718245788885 0.8600375016970393 3.0538555121246924 1.5035864001538177
1.3454037183671714;10;12;20;0.046060211155656824 -2.370857176943026 -2.241362474676729 1.200206935712137 3.1585319240678094 3.701833135149985 3.400179047644883 1.7471494776521324 0.9860651256176222 -0.5624932115824928 0.13476840594681053 0.10532905432226591 1.0942474801324014 -0.8838773711275589 -0.630504783280825 0.007311117668206666 2.538815108119674 4.06826542554371 3.6699983169435786 1.8981751108598202 0.28323914687505475 0.8733477128140068 1.4601065419141075 -0.8126129610650914 -1.2456655737276656 -0.9567141723585642 1.4013797760724362 1.650168032681058 2.5184820040728413 3.417313154133857 2.833355919032637 0.29375611343667357 0.09436162966586002 -0.39744485644877764 -1.0296935506342828 -2.421723035302631 -2.1039505529863365 -1.650465092251951 -1.2015800625795292 1.563658212674662 3.2706588851920304 2.484204505615091 1.5930368717074312 1.4623248729921514 0.8489959429680144 -0.6849291520090408 -3.115294460880798 -3.6406693043746996 -4.010870001910318 -4.766144339372749 -3.6551450678556203 -3.627102619319631 -1.9341811304361232 -0.8906755404696168 -1.2788539003811301 -0.23298867530119438 -1.800677197616273 -2.1824805514628696 -1.6939028663009421 -1.286160674391095 -1.5991493374193209 -2.147480283238536 -1.7708854844980835 -1.3304613989985314 2.011735031189734 3.169089514603565 3.013959998854657 1.9208065209236433 1.5638377818727835 0.38564773014214665 -0.022873543476313977 -0.41981020756309073 -1.0765010552568621 -0.39437360912110797 0.48574258151451144 2.700615791809467 1.3873655907971953 2.611008515459829 2.836398561091882 2.0267840981655745 1.830390209704738 0.9455873977873722 -0.006375417470928986 -1.0573698217812755 0.6762125585098823 -1.28458154376141 -2.538911181982578 -2.1122781307113936 0.12501951330726485 1.7667118868753349 3.054871223802474 2.379206696258156 -0.15830174221948606 -1.691808840839613 -1.4223981326522397 -0.0557540265211558 -0.6825293796603347 -0.5930733667720002 1.500426042173202 0.8265875341852611 2.573936686644657 2.5801031438285196 3.3755895994691003 2.5350338211186987 1.0286669069527572 0.6547139769819976 1.2662137423678894 2.7270809069054103 2.193579471394441 0.9943896331437122 0.11526878603662913 0.605665901059589 0.21961990665504202 0.287305887497064 2.8479769553427303 2.7699423821434164 2.4919084585353297 1.690336718776259 2.1015630623333927 2.5409828183562126 1.4502258928091345 -1.9941590397983167 0.13840329687508904 -0.053520980952940694 0.8047228501512815 0.9779484930264717 1.4225033440289314 1.4672905079653906 0.1161557365650483 -1.7306365239323294 -0.4871991279343255 0.01045803416797882 1.3365585903982755 0.19398221018071768 -2.1467500251817886 -1.470425030445048 0.5370888885710087 2.385984197919363 2.936157263118806 1.0670407247786622 -0.3468368199195027 0.22205405025559868 -1.427334413528038 -0.6256110358931557 -0.5456120595352433 -2.3842207795688592 -1.4266086484453886 1.7838597718182092 3.4480576772924536 0.9820629340568227
1.3779560811011626;10;12;21;0.025482249380839147 -2.4954979695253234 -2.520721526112154 0.6233192455885016 3.1445671615076476 3.8693491814241896 3.199152603357281 1.6574306257790579 1.0352449205640075 -0.43087962273152386 0.24786532529591362 0.23496075485710446 1.633337651241117 -1.015760688190218 -0.3678023475120965 -0.22595885570292765 2.3337906657137637 4.705408391297196 3.861071625477425 1.934009125310961 0.5842281244478322 0.8742399425869912 1.6058186341875587 -0.7469509901713696 -1.0226989634412356 -1.2261107276775283 1.2989902879452615 1.3190052894259476 2.6328851058751686 3.856962351367287 2.966034941808073 0.6195601239264101 0.2763622756033781 -0.511290118075373 -1.0903767820469794 -2.977961316002926 -2.446701125737901 -1.940004474164693 -1.43102029971233 1.4208055988830561 3.067625579140602 2.1095719384290903 1.31355066910503 1.2391711303345345 0.6755038667288059 -0.7026771485256204 -3.358174157018789 -3.942897593969541 -4.199067207958156 -4.756633312270248 -3.6884203335578833 -4.0159722232961395 -2.039119333003357 -1.3280065877171234 -1.747444140970173 0.037485192242508625 -1.5804217227835484 -1.6515257336707132 -0.8910969065571186 -0.6049163597557767 -1.097941078355668 -1.7131597532854728 -1.2875557428485604 -1.2987874292648374 1.7126038984065282 2.8030621909418847 2.6094910883410916 1.656136050175587 1.3204333063601326 0.25271515386177384 0.05714629713006654 -0.37872851168970134 -1.1303582608880922 -0.502451464546655 0.062366122112906736 2.457134785971345 1.032527420063663 2.737435115480325 3.1019590900087755 2.168265905559845 1.834838853125087 0.9770036205736377 0.2468587867735829 -0.861452862520954 0.7297074057800992 -1.6165918116972284 -2.4718298805712613 -2.3992021524016214 0.19852355863329135 2.148573050321994 3.340825062619115 2.2964935891304727 -0.0877094717217342 -1.4828364220936872 -1.1992095694453626 0.656801188099278 -0.2647995684205286 -0.21217867949529706 2.0280343430912775 0.7797569656289782 2.5206685848005916 2.353451321303912 3.313562294854952 2.2121796353316303 0.9931998187196293 0.7838561305473954 1.3871294101254377 3.268049066304237 2.4155843605751692 1.278299393394415 0.507440950623959 0.7170628287757678 0.2502329728798181 0.3739271707025439 3.1140937144529706 2.371092834334366 2.5158626001736386 1.9936455686416976 2.3935293990881346 2.8934176972446624 1.764890285410155 -1.6610593754095082 -0.06494750331890983 -0.6277359505514094 0.7398523915278448 0.8438391319469003 1.5657848870811042 1.7990725328170245 0.6065577189766145 -1.3752154646924677 -0.7560892501895303 -0.10909842468162474 1.1783302704138958 -0.07963072987881117 -2.197865393369643 -1.4614185643337654 0.3034503789994763 2.0748761440828054 2.7261981872609335 1.107377822519641 -0.1943753070729582 0.12511196560969634 -1.5679039974145872 -0.4601253646138905 -0.46227259437683155 -2.9892180133083492 -1.3788716972477122 2.2512535334049235 4.1160631816575135 1.1766182975167099
1.4529318140886427;25;12;15;0.24572079131743144 -1.8912828128105124 -2.5087878873759477 0.3373056502163555 3.212934651637452 4.130548829681451 3.6812427334531335 1.9287671724306876 0.9911202456583156 -0.6417181233862012 -0.2469983114401609 -0.07787529681758863 0.6470697057343625 -0.7751187178017945 -0.3186404121377514 0.4680113587678982 2.627718784725547 4.26045029586943 3.83542153588288 1.7823615147222904 0.04282819023817616 0.38000769975678006 1.0162531939341675 -0.7613914089227185 -1.3365140341719084 -1.3243635345525666 1.2026331417251204 2.2881979115215123 2.790630131612394 3.440769174710488 2.883624511368799 0.44883032816272406 -0.1341107459633047 -0.6944420511840829 -1.1909171118011723 -2.3470180554416284 -2.1579375306861004 -1.1221470511921763 -0.38251567699845523 1.3362963504767487 2.7241197374431443 2.133853168581742 1.089007174675964 1.0187210348404598 0.8963866356285293 0.024259626885477097 -1.923222766610815 -2.998614918868758 -3.7118248346981892 -3.9899971419084976 -2.8153692698086514 -2.5270994526102344 -1.787667641349371 -0.9878448666408942 -0.6942258642470618 0.03216168252199167 -0.9866185093608131 -1.6294220982976153 -1.5492791221198583 -1.0708639453046593 -1.0183517114697005 -1.4256306777500318 -1.4877406530875854 -1.5175416516855775 0.8249874363431182 2.358505467866884 2.56918042426439 1.8108727302225165 1.4777522483870533 0.6454679604683837 0.2137842072477024 -0.25740836393896993 -1.0876452035611273 -0.8644770833863966 0.39660392236330727 2.837610166440341 2.0216045976252652 2.543709754102163 2.7457620941421688 2.120007020537771 1.504578898132092 0.5898855276663783 -0.2417582867946046 -1.2334901381020793 -0.11531858226632263 -1.1189491019949398 -1.9617512176285967 -1.8432418370321968 0.14819652019240281 1.7729502316447674 2.9153251394154753 2.185823100443058 -0.3384069895922626 -1.6632311293227349 -1.3763834881921748 -0.23406931045469323 -0.28518119658762126 -0.3763869607970167 1.005259784910894 0.9205336756214507 2.425129384515013 2.5637310457465867 3.083603493628327 2.076167574604408 0.9187095281376151 0.3045788268856693 0.6432566683830937 2.0602534603488762 1.695391913699854 0.8481246055245862 0.12907367360179933 0.8046161420164513 0.9043221264806239 1.0871121879671815 2.87472123389597 2.667350710181826 2.5334331242133428 1.9994347657671216 2.358789423829885 2.696168346515544 1.3599689324049091 -1.892448290291564 -0.8644149305780394 -0.5434963929153415 0.9096482477423354 1.6590500434098225 1.962170038597337 1.9479982996970555 0.874057452955706 -0.86009403738788 -0.5059615256779075 -0.36896868614651696 0.7067648572599813 0.4105585757317481 -1.7466737456781491 -1.7917676299797065 -0.035051150706047765 2.061087356341487 2.7207838539410956 1.036785336733547 -0.205700316305398 -0.2731129558357258 -1.367391848895416 -0.870709737055305 -0.6737236746083363 -2.103914309661945 -1.524906834358818 1.4348799900112117 3.3655103609089907 1.4340125464786686
1.4032889074119297;25;12;16;0.014405299120428934 -2.149637809400452 -2.3972938365363476 0.9172183849173516 3.21733836531682 4.005990108759345 3.8287195161865215 1.9386184674382194 0.9381742151741836 -0.48006540831003985 0.10544519770270225 0.16227607824077128 1.0625005744525147 -0.5685060090521998 -0.5216462361642792 0.03701233479976988 2.4339715575401075 4.252586393071298 3.8178318418203574 1.8666631877252648 0.14328888202648013 0.7070464918530317 1.6398909534948276 -0.4038586518567417 -1.1978515680242066 -1.0225039683653772 1.2488672679698782 1.8336305426243 2.671047529269757 3.5859797013087857 2.927491214678357 0.3738198260630497 -0.06530758711178583 -0.35238017647885816 -0.9311486255599655 -2.2025767260089286 -2.2001202673036846 -1.5880073607192031 -1.02793866983446 1.3029339210769821 3.172910339776604 2.4739525870838106 1.3764033330610024 1.108280011718543 0.5909061441742164 -0.7139822950684014 -2.8196798291583853 -3.5051345472625 -3.8190927941011 -4.237128090138127 -3.1915761751186333 -2.7205390608357556 -1.4473359360864297 -0.5134911886445898 -0.8171914514368761 -0.3133859163714541 -1.5048507970480356 -1.9410059580911632 -1.6581582620343538 -1.2585022253746916 -1.468593544436852 -1.966896122268351 -1.8332015375809374 -1.5381223186052169 1.1670593453571623 2.432823153360629 2.60268543070887 1.5603191840907447 1.1354576376235461 0.14477665551617003 -0.17420387521075578 -0.44587896746067857 -1.0207313403178668 -0.5145504821711225 0.37063490649069764 2.703979531750924 1.732325358912804 2.640934418737749 2.8131995386336635 2.084089436768405 1.737249358992734 0.9305155664094346 0.04370896292721041 -0.9829875123434196 0.4153349067296533 -1.0069554324356293 -2.293386621758829 -2.3918204954900215 -0.275128129601633 1.6931716356663677 3.126290042408113 2.4886336794810155 -0.058790977479876536 -1.6158503212052358 -1.4828102130781147 -0.11284130611442404 -0.5594009221594636 -0.5573508529613943 1.1414718578683842 0.6778403630256301 2.412950728924656 2.518094410173977 3.4281259455983855 2.3004128104362604 0.8038398309751982 0.4771598403021321 1.3093031611584733 3.018508386299984 2.4015228493060947 1.2790967465310275 0.4042235945777552 0.842699863481421 0.6441640245022084 0.7372637645012144 3.149125133964384 2.7526570121931395 2.5307657952570937 1.93439327459635 2.3284741294634617 2.7854054017994967 1.6844521208341514 -1.6551341909347144 -0.38301529571816584 -0.13662958212561085 0.870404590131035 1.27295754672336 1.6793901864494094 1.7140701056205472 0.5184019727922751 -1.3148101237277399 -0.8523231391535796 -0.2707487528652965 0.810368871168779 0.15852616717558096 -1.8658668071664795 -1.8063265134814424 0.05214147031818396 2.1045893799200814 2.737476750373634 1.0077848363540358 -0.3973773869544043 -0.09006335021210055 -1.1962537166691127 -0.5743247100408683 -0.48163555299152855 -2.074166477924114 -1.7711582080258392 1.1802547609859229 3.3988242661884973 1.2557825541700938
1.3750662813278778;25;12;17;-0.0030060051496729814 -2.1857888780571164 -2.4399258705637434 0.750931241941884 2.9264734062793307 3.707511355815186 3.6361075137898733 1.8607958128505335 1.1036926102814635 -0.26448886054091836 0.18648972657469734 0.1280840773359636 0.9333923428415575 -0.5050854331702255 -0.4384965617200621 0.23214598146753562 2.39775534075902 3.990694826802928 3.500362785021489 1.6170125796214112 0.09152156457626386 0.8204619630656912 1.71511337420613 -0.3100577645289991 -1.247483431047764 -1.0183414525121766 1.2293610958058037 1.7536313416176827 2.5479891621648165 3.4298024240001963 2.8034755445589115 0.397449275439868 0.14480606577578728 -0.09692715441744185 -0.8662757706836763 -2.2058387749699646 -2.238070921852448 -1.6587123955064549 -1.0813204439232076 1.2382983701159753 3.092827868983368 2.5807402475556325 1.5151295994408975 1.3248150044664198 0.782575857578137 -0.6102086713873999 -2.932052705731577 -3.7552620096839675 -4.030028342996297 -4.6106691641498925 -3.8201983652608433 -3.36420133200561 -2.1350305515442596 -0.9841040912897034 -0.9489061322050527 -0.02449550712573431 -1.1307382167309896 -1.6079384933500578 -1.2493159654165826 -0.8765306096481208 -1.2425148007584594 -1.8904075814561991 -1.7949825027127126 -1.4201544911534432 1.3742279847684973 2.644182839010688 2.60951115695873 1.4485209589047023 1.0536010411247672 0.18064966523833745 -0.17121471826400378 -0.48480362391101267 -1.057357615868309 -0.5182726116798062 0.44866086815632344 2.584382551891173 1.6030804660063627 2.577904282304901 2.8268524887914155 2.145763443852638 1.8021617520410866 1.0239414214450624 0.12319774335555617 -0.9157842266853387 0.4218953228590192 -0.9210919267532479 -2.2672102551315914 -2.302784725445664 -0.2977339109923716 1.4528800423746957 2.9526057417604066 2.5117065991328804 -0.0013261008551123422 -1.5049204381465564 -1.2989617566598441 0.09066217095564648 -0.4840616092387086 -0.6215105979654105 0.9947776763399864 0.7265303489124189 2.48655448083421 2.724820940934057 3.3639764595518935 2.1235683015737417 0.7230038135428066 0.4420205519709126 1.2871081686453805 2.801369238301714 2.2430036841317635 1.199646811607905 0.47133653401501313 1.0105797657746713 0.832607969710935 0.8128830645911838 2.9479821718818378 2.5714979003041987 2.3631862482823025 1.891892734944226 2.3603974592596013 2.7640242366613763 1.667652291618078 -1.6335641711186697 -0.38303843453477115 -0.03189646510523095 0.8084184711127863 1.1413976489128637 1.559704395468319 1.66595304881417 0.6338201497677196 -0.9824661026993331 -0.39445882586316894 -0.12520290063347575 0.7498917175013828 0.11833151543423781 -1.890150583337787 -1.5669450469762456 0.2723657002602012 2.197453463427641 2.747319658496183 0.9204309362804071 -0.47412075428082084 -0.019525865917257614 -1.0029626761204358 -0.44555921747069593 -0.476552127214017 -2.13080535870239 -1.8355729293099237 1.1017127063622265 3.2170202627506734 1.1772974105516403
