rmse;hl;T;RS;preds
6.450481129181001;10;12;15;10.92785139877082 13.761333282551298 13.46771256093319 23.06447450305965 33.17474294954815 35.67995145811565 44.91892107289119 41.11944331052338 32.460744645723835 21.87586330565463 13.688226133598873 8.972729970758627 8.07403317178313 9.45413818396011 13.906116489451726 17.20983597608406 32.69917115749018 41.19078454717979 41.51617953935367 37.611395080433894 30.258865326145017 23.05079340806594 16.82915091796283 13.306681070789134 11.821955205673625 13.58825632642472 14.314695671386549 22.78036817397072 30.751585908710716 36.91553788021944 42.7543770274976 38.583583802829985 32.59698450934502 21.03809351858518 13.945236577134931 9.285677171365727 9.099177661686332 9.299387293205282 14.934713148881638 18.280706523750325 30.872931625199065 37.123991135958214 39.715057004276055 46.74930131849416 31.530108865718468 24.827638361809303 15.228864454240066 11.147915392847374 8.930560039132974 13.71370630390689 13.361707869995099 24.637856118377776 37.416487236060576 40.249915116406925 43.40789148509719 35.259947849690796 27.845497420307897 20.31824259258711 15.187180553521577 11.41752888782334 12.271446039218889 12.319953273839603 14.9945030509778 21.15406386824889 25.960536578873455 34.999405581562684 45.69325201332465 37.59825064456684 28.78185621424511 20.00537268439511 14.021411121145896 9.962679072553964 10.965806362362684 11.44326962470103 16.500587274291416 24.572551453092633 32.61020455001986 37.66129560365514 34.351577685576906 36.47483070523529 34.45818181463383 26.863674485263154 19.875841059857162 14.258950626506666 10.401280113607072 11.711161760214125 15.193394998703996 17.83392396242664 29.05193076353995 38.48645457629103 37.87511410057465 34.36185993943511 31.934124757469373 20.639748493700036 17.119145308979164 12.649918306626674 12.263927411102248 13.99522485593664 17.04073839800988 19.807013345538014 28.207466238245793 37.129742501692974 38.59518374048094 34.22361924857943 28.825206120906483 21.61782527802353 15.931590891275755 12.086534230502894 11.473851769448405 11.287550722389435 16.28115377030832 20.680232674377198 30.14643017628799 40.0484377542718 35.96845130409246 38.04551923679769 28.34537750815328 22.217420513098997 15.116101233520702 12.910218909387055 9.341873144920589 12.6654766959993 14.623637167267116 20.252876160874184 31.737147231483057 39.34420597150975 40.0982991250033 36.42730633311573 32.73915935037701 22.815017283590223 16.54195255474854 12.808691103138274 10.223260493171818 11.689879006823801 15.850494609286837 20.496247024556517 29.74077528031126 39.95602977796159 40.51187092442337 34.3228006056153 26.204228425467395 19.36252052982141 13.558674595294589 12.262802789586507 11.411309042297507 13.263379767218476 17.319264484745943 22.44160665680693 27.410244592170802 34.03284941734627
6.206071270231823;10;12;16;8.159241140238061 13.026092052869334 13.77202258729425 21.98102031143762 33.401279930248016 35.67996900923175 43.957734200113066 40.144100787574146 29.85685431188616 21.70579535337344 10.033824546761647 7.213920476407107 7.901042621151159 9.115282835829518 12.964606442941514 18.692366601602217 31.180281369858676 39.3284896220923 39.18552363075032 38.67620644279086 29.21960028830288 20.459052159300022 15.320807325973835 10.052698746989808 9.058784443043532 12.291918741097275 14.645800176633745 21.24944861510474 31.28832739060685 37.697171435033034 41.87953759563454 38.409085206299956 31.806628049833705 19.00457024242565 11.61446321106235 8.465081488913757 8.27095399416361 10.766436484244446 15.22592194212295 19.699415215771648 29.423156782651986 36.30772112857999 39.209784673532866 43.66608865409823 32.235156100335864 20.43864527410698 13.30504881699258 6.593195553924925 7.699539607384816 13.200780336461742 13.040687155985681 26.522387970032355 36.44159969204388 38.15713758471351 41.57537540367441 34.837357476771146 25.133612200223737 18.64069645334885 14.50103047059185 10.906754957228241 11.487902112922974 12.822603062812888 15.634944627260559 18.343393372566055 25.10389242281511 36.037541947631524 44.5722946305894 36.67012467416263 28.828539145356647 17.08491050695587 11.003249643416178 10.041564588958217 10.504918104044451 11.101980071777064 18.438890682829918 23.230189926215665 31.100919273148232 37.74871366265181 35.93411457058725 37.3698525705183 33.4015330713455 24.675052840002323 16.977927003774187 11.868629023705653 7.598896107369901 10.617632721673097 14.660373003333515 17.190676232697943 30.7803319366977 38.9584526910955 37.38632766818527 34.77814406133432 29.618279290675964 17.454061781632955 16.069697248589033 11.877268223080474 10.07199147383247 15.224802720950622 18.03021496975659 20.482506863306728 29.615632447360703 36.71259837510526 38.20989218942849 35.78240812343146 29.952538946562157 19.846509769652805 14.769221650121436 11.822607297140735 9.387438542467114 11.630541383488472 16.658538543561328 19.397739881953164 31.005449302122898 39.82412639010098 35.60841715918224 38.98759294415162 29.202778218571627 20.269671903931297 16.926505608839275 13.107407048766474 8.54477030640068 14.108431579858788 13.453783050142485 16.784552856930144 31.22151299181633 38.45952306369079 39.57689461839987 38.393128541600625 30.80646554855868 21.38602363753899 15.667346012695162 11.613024019542808 8.777183535776734 12.671425174268634 15.059051330663673 19.07291125079471 31.418925245447387 40.17287651744989 39.60450927444184 35.69179846147775 24.305161043234744 18.867630359289564 14.09218532174394 11.751248509368242 11.578151301953866 15.965134449342191 16.445447742916706 21.23736551547906 29.159040837270375 35.05894301760429
6.361427004744891;10;12;17;7.601841994701651 9.23902495470735 12.83539445122932 19.858212988871532 28.78187984074754 32.73068756164799 37.20230151578899 38.459629720473195 30.068824541272598 23.46059171752623 14.847342342889833 10.257948248998867 8.9428998238315 9.622700452993485 15.34873317680498 23.52128364573308 29.151773325122434 39.46890260108582 41.07041359267747 34.37103647297951 30.07478382022876 19.18761589497102 12.977347878181376 9.191312920654187 9.114671246938004 9.937016640655761 12.312920676630126 19.083226581756318 26.50537992597482 32.47938528109939 37.34067046480072 36.30230188396513 29.7976300957625 23.599522471013636 15.486470285637399 10.902845108597285 10.042979478932402 12.003012519278647 15.455106441181004 22.802261503688168 30.72016671073434 35.54055509376961 37.52025348465401 39.44108408208001 33.07151943546771 19.6462353340129 14.935330138116566 9.181901472171319 5.708493744904015 8.541976978770347 15.137111269568674 24.900471443333522 33.25824980982801 37.13734618521837 39.65622296296398 33.40763005905869 25.583053249353163 19.267602406388583 15.190185844630868 11.828935149534827 11.652237263149884 12.363058814961544 14.333510467837169 19.238449665038313 26.55433538909881 30.82761194327783 39.30061709965236 38.844869968263225 25.608615437376763 21.83048945153853 13.105755893767974 9.342835756133942 9.29285827801906 13.197835799215847 18.474675045891253 23.51428007536945 30.261385936432998 36.29489936323186 33.31640880821347 31.93698558939237 31.11896992100592 25.232466330200925 15.51588055586417 12.190674452877673 9.867746435698216 8.743323382577715 10.458211883951945 17.070544918434575 26.46905485352927 35.74101449117141 37.71006340484553 31.685941175241737 28.086570775389497 18.419343127282456 12.959348533586109 11.56100116136028 11.098306488170424 12.316029924350117 13.881281660181553 18.6820789474006 24.05348900792309 30.537733659644875 35.49333854122459 34.4025420764505 27.394744256489865 23.246933037019595 14.358133333628384 11.266007402429437 10.414354345009755 12.112405925708348 15.700696508484587 22.3932848902303 29.498359264848624 36.079715929514734 36.63643733195283 32.46441147890121 30.401383088983724 23.74251124505439 17.1861149676428 13.82842039868417 12.714631971829567 12.509343317330764 12.772079474970374 21.27884589075517 30.62792884524164 37.2366990031576 40.92453006580666 34.76932260036931 30.25383085599832 23.18771962158276 14.659684459548368 12.16095366290466 11.073167889583273 11.365589734963711 13.394238188628686 19.712054044486663 28.423797919981094 36.128663292123605 39.83490547555317 33.06227404754479 26.127793652408222 19.813473168824256 14.02931587381656 11.823613111101391 13.015531006282439 14.174926683345019 17.02245823555714 23.125214865596487 27.14986635947386 31.450537505700776
6.226474493332902;10;12;18;10.78936229211815 11.23506073450169 14.233194363641664 21.897497418888257 29.216495765883373 35.346680065074025 46.4846007859381 40.40341582766167 30.485881587322783 21.68613270300699 12.409291829962493 10.62096068330131 7.351525276825907 10.786103184868452 13.275319926504446 18.045720705780937 29.539299268261985 40.042226009261086 40.28219971941523 37.11223458834829 29.55671672585451 21.59446423622289 14.704518110562443 11.26007782536205 10.94510819614681 11.37955232285782 14.466209056265331 21.005665806476436 27.965415421006455 37.09530451174877 43.4598886916485 37.729407434950616 31.646096766498275 20.172319238183633 12.286709434832584 9.631952591345673 8.762994133459284 11.088842386339278 14.129783862670553 19.649787747414212 28.869190567918878 36.044265375180615 40.89943602005266 47.003800602343205 32.4535507132549 23.496000672340003 13.58392457596463 12.264380364906007 9.958268342071461 11.420208808242002 15.107314199744952 23.461336880536848 33.244333799895834 37.741964583471514 43.935212067909475 34.5568737655479 26.429010632079528 19.129806568821547 14.578148049571297 11.822350780828621 11.882140682924783 11.637069048588842 14.104140331974296 19.763647575367862 25.134661048170965 36.77444580804174 48.61678597360146 37.380888172282596 28.8960100233933 19.19880203130796 13.733869161081959 10.590203027393015 9.778305948093408 12.084547579169865 14.070631876140043 22.69170727656579 30.980444362035215 39.317092197319326 34.90729462414019 36.48211711858518 33.602246959930625 26.934294101031004 15.839073558011435 11.218954210272651 11.321078754468559 11.157490201718485 14.184291553865952 17.77368515678428 28.844233555878986 36.979530599576705 36.454316150695455 32.96057950569313 31.096447113759407 17.92628941103247 15.431263925012955 11.170818249261576 13.469422444666307 13.33392445322147 17.099328748825446 18.735408688689056 26.506448181406192 35.081583957362966 41.8178535230863 35.184051423365595 29.81790433502046 20.766194328259694 14.79653321188936 10.86562594179543 9.988164643205394 10.909594187777584 15.273728482185838 20.720997841672563 31.112357875539725 39.74725115153218 36.27498559689671 36.98566808986549 28.190133836062024 21.368943870170504 15.409974421193365 11.662749031603136 11.946272461124934 9.95919180079507 13.959138411165643 18.418232344146713 29.84490807721385 40.82861861670732 40.21628447780296 36.001232738694746 29.33891480062504 22.554013708002138 14.237430258006173 10.468862711248079 10.756690214469975 11.115957510615557 15.496147701033355 19.7243992295286 29.225537965885387 41.61811777170183 40.83535824528664 33.51102165882785 24.52257540944397 19.208142600283534 13.540157492774608 11.511278849471658 12.212836787201377 12.567822961106366 18.009483051394383 22.118204306972046 26.542443832903558 35.07630512167684
6.481829717889242;10;12;19;11.695742429684381 14.490806945468263 15.778493855691135 24.71106064227237 32.18570718083252 36.21044474268304 43.942381023790134 41.25379035377834 32.501727851884496 22.72641621186466 13.37525530648934 8.697069441246043 9.028419662118527 11.641568884737659 14.694161601982312 20.550045583157505 29.74928959674466 39.69357443817945 41.84952248694552 40.00073652090546 32.55415708590885 22.2479964136993 15.766792661601187 12.768278308250602 13.419468593053855 14.633828965373151 15.704595556428714 24.224228459155533 30.985560512376033 37.687693832343356 42.48584630137593 39.64948063421295 33.284535981390405 20.837871905054282 14.04654701956134 9.464394786187102 10.428067167021016 12.371684513477833 15.37077467844482 20.225755973775954 29.126838589499123 35.60393352406366 40.463892923457124 44.4850507326678 32.788001406289325 21.950264343136645 12.207608579734742 9.361797711942563 9.037185769563552 13.813200205817777 17.060381472131454 26.670466061457592 35.12517282922036 38.98271373387805 43.19583215004444 37.20495578457644 28.319825445773578 20.036791207328562 16.092551501912517 14.204576593810739 13.373344259964092 13.158775115310185 13.579656279539643 19.0026095802453 26.55914135721485 35.77221227506786 44.47820849756363 37.46048383384565 29.780826927233196 18.396867910562268 12.36435219720894 10.596602434337328 12.709015614680128 13.871345028301777 16.242973342378964 23.88968241630772 30.737710401354143 38.152751155776365 37.013344849856715 37.689566401421786 34.687125323367084 26.840210330655474 19.224782070903135 12.797172170638513 10.86296762275042 11.278628004985435 13.99765771064416 20.419279642628243 30.987732800513882 38.35857984461646 39.20067699436698 36.02535607272027 31.429352633534812 20.986720051698054 16.611612259474743 13.810815954200972 14.013904643801935 14.175100844420086 16.15446508905581 20.69311789376043 28.58424043517168 35.045852585171374 40.06800724871437 36.86921913476681 31.280079716129464 19.969632199124003 14.518291993268328 11.983097402857647 12.51441558988135 12.864529303942032 16.019733271332683 21.7003698646115 30.74308981843634 38.94779241319839 37.19651774799375 37.1335983468898 29.939736082415976 20.372434701214317 16.044624129165765 12.73529436077033 10.695083096815365 11.552995152250624 12.790689058371301 18.39090188117684 30.91768157089024 39.722952306345746 41.52030270154943 38.49049808342146 31.316923559064122 21.310803435465527 16.76086965089278 13.790551840586911 11.813718331883067 11.845358943939374 13.715027362914276 19.985411327533633 30.50752413859299 40.53572154110654 40.497300797895306 36.196772423247374 24.987534598511523 17.761190787255558 15.060807117315798 13.749977710439778 13.385478831612927 13.643674650528123 14.298273227067854 22.069246396817448 28.22935011736227 34.822136608861825
6.054616997407839;10;12;20;11.336407629246137 9.098497218416304 13.66202299231645 21.18845089245213 30.62586861422961 35.06334564757168 42.46866510880771 39.519968248398406 31.567567672759274 20.288724653013546 11.850144998289077 11.088755980844672 7.937395032835241 10.25653740928224 13.338917745749644 18.45425769753285 30.00298760463982 40.16660536866164 41.53293950513567 36.98307322485559 28.46812528880021 19.3445252354837 15.649900878342645 11.981659561423955 10.621321156224122 10.780706891713091 13.695362687419047 20.900855266475528 29.872287818317364 36.378117305139135 40.76739087317746 37.80544021994699 32.29323881887061 18.538886479156744 13.50674556807886 9.977870238574512 10.30443170492559 11.236400019668094 13.339936385525906 19.415346689086608 29.424300980412596 37.192517443610626 40.12448674029841 45.04934476665666 32.06688612488971 21.265693354373003 11.130144212761303 12.749410858451709 11.37900013774385 8.059587253153564 14.728168239496405 21.514662011524294 32.98205329623169 38.821941460217815 42.706430078505974 33.91791053327443 24.94725563088405 17.34790183082174 16.24633438111058 13.313074402347107 11.711988012756303 9.981226552005644 14.204688650936557 21.52260794181348 26.813514070515158 36.70166943012336 43.31448444525559 36.617075750731644 27.500883618491816 17.02047563448167 14.053961016024354 12.236590197703112 8.992765244820566 11.924564430690841 14.901085210449375 24.72358834204559 32.38063662657949 38.97095313601056 34.3660344048933 34.49093692256198 32.36613872964457 25.386477542668914 17.026659702732395 10.80047484877609 10.23450400815752 11.367496056188473 13.076413127833863 17.42923910313546 29.351340315775246 36.18097506867872 37.05891969800422 33.07188463369101 29.480387597013348 18.868733379431653 16.857932723224923 10.55975859140267 13.118826074913096 13.67228769505856 14.413582034663483 20.95494206840618 26.189435197252088 36.082178486111026 38.475747045389056 35.49402168466632 28.172349155117416 19.212852037261065 15.761320088595117 11.754715529839338 10.465351137943827 11.596349109169559 15.399883204483393 22.4542934979501 30.854722342253623 39.24617488762084 36.065932903039105 37.485523876165516 28.46618487790765 21.361185939336377 16.408907669299026 11.789265576909358 11.394235856597554 10.6047407518606 13.505982094528859 19.299029367358614 31.087472418050055 39.11444431074945 40.008382057092305 35.801456484734686 30.612040359877895 21.766209332655254 16.41706353793839 11.09822953327679 9.466568424410802 11.447619601320138 15.074341052951507 20.27503782015496 30.833992449020194 39.137673887940124 39.17314739373376 34.2998774979133 23.765088140115402 18.95248865550851 15.733903895173569 12.9535985179372 10.200361687015176 12.295668604554622 17.339832367676983 23.045752440631077 30.05322497428145 34.84133752986647
6.144511927731768;10;12;21;11.064318076815347 12.096697001763085 14.70515062578468 21.12896813488758 30.469431466244096 34.34776369304153 43.426434914291306 39.39067592657794 32.262654648994456 22.37811161284731 11.727491048608947 10.36343990731273 10.10627015364599 9.994075319070838 13.87743324045692 18.173915407802724 29.93564262210898 40.591824358737526 42.03607194980148 36.39903418526323 28.818746972663167 19.398784848403565 14.672228782253658 11.431025696098082 11.263577247893624 12.399390975357827 14.19047224690204 20.00263774797793 29.613640395684264 35.97282963251449 41.209105212208115 36.99486622478355 32.15152503215751 19.921760179897234 13.701112703067956 10.617368104845864 11.099936041795273 11.55376200101526 13.82352228720865 18.06472653937979 30.50195840966305 37.06027788437257 40.207614226453515 47.062577940049444 31.623924981573595 19.05484203925654 12.510579320929397 11.331082890640996 11.023241714730814 12.480543285909654 16.69064020993651 24.425439348095384 32.497241516594215 38.19807353786931 43.595554768782065 33.565954627067015 25.952844127203214 18.673048560649807 16.424740801142782 12.82834835316131 12.09605368585402 11.105792714226586 13.987320103265976 20.73617483179165 26.112388497779936 35.9427470195328 44.77406091109712 36.30674501650811 27.599926591727723 18.2637811724513 13.326721745194487 12.573350887632417 10.711109965979064 11.905390511403263 17.261174340739 21.49444886365119 31.314116730575257 38.88737607126633 33.65765110813257 34.754763274528074 32.7935070563988 26.82632604774085 17.08537561153231 11.47275954999314 9.380539603757107 11.411982735138269 13.715069215575726 18.79064981402422 30.00763595023249 36.3117362839075 36.14569462516211 33.195360110612825 30.698618665473855 19.045456579926345 15.97817965389903 11.704152114464152 11.88031266667951 13.89101847935505 14.924312087468351 19.46436594376716 27.70053701463923 36.3149548885816 37.84424978788395 34.20094185650272 28.668214425156755 18.841232468122815 15.056970173320918 12.393737490847425 10.81438343323607 11.999692658165554 16.26248883338741 20.694632521327023 30.305097666103038 40.13455028024839 35.49889819476819 37.42331597030622 28.182639171969278 22.939677629608983 15.829610806266144 12.50621111815127 9.920906066169163 13.286391980586789 12.252392277572248 18.304771804084154 32.74766354116651 38.85884605701587 39.5309349957842 35.5682359040184 30.616374135466767 23.04670534810236 16.343151737817436 12.265710874514365 9.65656330636421 11.959771969571385 14.33099930815016 19.840680773981482 31.17930660787264 39.55157915856594 38.969122419593575 33.53086319556985 23.241454219866455 20.238098458646185 14.942458591421621 12.906206454231254 11.360470209408263 13.218371955129333 16.43492854899126 22.766340106912732 29.64163510089392 34.32168813487223
6.021593710705541;25;12;15;9.049728067140062 10.996302101615454 12.330114695013942 19.35828902323592 29.520189478052433 35.30426576790894 42.85775850162287 41.56708587653557 31.867944899029872 21.962717872568305 11.160108018187898 8.722941136451496 8.154852011129208 9.484451661622693 12.154372669413087 19.02720881953408 30.166184632492456 40.85054806122133 40.18211515494355 37.74965737266322 28.160530166036775 18.671257334244032 14.589349711895549 11.52310290137425 9.735254410405597 11.279358401432033 12.196097072707174 19.391384352799086 28.747617699485723 36.67866126701261 41.77196545502085 39.26680014920064 32.81122693322245 19.16022400309483 12.663719559261322 9.67430883481907 9.124998053629364 10.511915599021744 12.976601280704541 19.698589638272395 30.195470019777805 36.52058916505883 40.630130344651235 45.056235604851544 30.57726484847039 20.724865668881336 12.02641760763025 10.256342996919376 7.373295411209249 10.428547797584766 12.873266384541212 20.87479877826891 31.293166773347753 38.14086635001038 40.53660449725455 35.11899078609842 26.08190035276009 17.75028141851853 14.300683130315871 11.741849211658053 11.387615035573313 11.55887342605559 13.740903108377289 19.649213623405128 26.110234942083302 36.58682572710417 44.823375497058066 36.35925525568365 30.14399867166632 18.090454450441875 12.812504420630724 9.648439839785322 10.170199418968156 11.367779574217652 15.08921832401118 22.477784907415945 31.838976781920035 38.01903190244316 34.896002506063766 35.69450403352762 33.538664666672744 25.470797998436076 16.915807528538277 11.710089792046661 9.259779824529062 10.515933454520958 12.579736118675271 16.153219634856207 27.658641825484715 36.904483377253186 37.42715696455866 33.701813091434666 29.914897877931168 17.103412083488543 16.69172770409129 11.32229923207988 11.300921972679829 13.443711409677388 14.941267140656146 19.772211169934902 26.28424497629519 34.78674140804769 39.7947998251971 34.872083035002085 30.311372190105928 18.881020173260442 14.795017740519109 12.251146823372643 10.690245739203242 10.895067263996825 14.31282310230812 21.416228095768922 31.47375493211878 39.689784747189435 36.21135335046226 37.61315019204309 30.29847617003587 19.93472572938873 15.487769068228207 13.532617263284315 10.1288003863647 12.528906736387 13.34391036323489 18.546121926765668 32.110047019531635 40.88528036988154 39.690966072311014 35.65094891381656 29.35748185632159 21.98310990681696 15.095278184363403 11.974631014472038 9.240954227391617 11.28761957676795 14.299611837191332 19.073989294348515 30.86465019857535 40.58087651255369 39.95426656583727 34.93442864961841 23.620473272044798 17.869606056484592 13.923379362214057 12.218939175257978 11.176346850830553 13.045388154926629 16.20135627091021 21.481494452367983 30.580748069971722 35.026076527593254
6.146026680796924;25;12;16;8.965007479678148 11.713250343029072 12.85417887074824 21.508643666312057 30.818452960849513 33.87623203289935 42.601149033585216 41.04472955940561 31.230769855469006 22.304138383820035 12.115924924484792 9.28083036315263 8.625807859654982 10.014480516656562 13.9096159119833 17.665897677477 29.319128617403024 39.69684704628769 41.74182478834748 38.1486252934089 31.193599291757863 21.278020650777385 16.306474630485653 10.677618386217977 11.323969288280326 11.31230724668012 14.099450133720174 21.17805455633933 29.12446581361207 36.59266484841939 41.246734805109355 39.01533315817795 32.47055841979097 19.974596464806332 13.570495271982548 10.159313676733559 10.503173793122077 11.816024278520384 14.184488666400522 19.769342237496787 28.26050739868312 35.80951244702091 40.01988208839012 43.064015167678434 32.33252159189913 20.96338921806838 12.98042269871211 7.251362407374746 6.489588615462171 11.211696148725686 13.553821711695152 22.620110958063492 33.016271222181814 37.96182201441252 41.8673800725262 35.45095934629168 27.26564567198934 19.3055485944224 15.865336778114326 12.120257349987808 12.988041908224815 11.870398986259238 13.016783885954236 19.430700202931007 25.08790318729457 36.03233871675317 43.80991194995702 37.14396160589919 29.72660005389527 18.398302376781324 12.957345006179915 9.723782730910699 12.262646179627533 12.353569736542115 15.048139936797865 22.696466751100253 29.34131255310038 37.89878110558178 35.59365937072058 36.09620452804024 33.7838814352379 26.046712221363688 16.986824744589903 13.032355776185396 8.10358925128205 8.880891730678481 12.410074879757365 16.61709495812471 29.72897282978232 38.20171606950133 38.728325157068966 35.28237952614222 31.074597324310723 18.74342077318505 16.779126861886013 12.60999626794665 11.16569602353442 13.650491234001082 14.158964618302276 21.038181949208564 26.51337074661863 35.453708121088866 38.83258418699883 35.47372989429227 30.274873969149695 19.586253044682653 15.515089405554177 12.020984862156851 12.005704590469989 11.569548554897082 14.658863607349604 21.264118141703744 29.639545843036046 40.18434009642968 37.04646380592231 36.74405537548553 29.558965968885992 21.116568102607854 14.777497001358812 13.451447401616397 10.433899537906973 12.062761918799213 12.787393498803565 17.464269105726302 31.559051331197097 39.957675532616676 41.71624876194388 36.697877038961636 31.879854681384145 22.55747575003165 15.755993999904124 13.45409559501751 10.117440763995619 10.255207574716808 13.916851697113689 18.450891933500746 30.84204706122057 40.888435520520545 40.87955600586385 34.89047390449479 26.12429861765567 19.636084038482462 13.219869200340566 13.51532738880492 12.968584470908057 12.247911342625377 16.158259505346315 20.824430956581715 27.9411378396722 33.89084266200301
6.0857911770311794;25;12;17;10.288529043660388 9.642907187958784 11.104205013263186 20.300532166364437 31.682684093120816 34.64510727639992 44.25753426468141 40.286953371704456 30.715708052204047 21.874298893672197 10.64960950510686 8.841088499553543 9.057231844312318 9.361638401811883 13.774158423114061 17.69982871018331 28.486265379845676 41.988677185923834 42.814654310586775 37.867550919624854 31.950439869962736 18.767547482425208 15.398781534427158 10.773180163081332 10.560274324198604 10.814892415602738 12.153806983440584 19.967519989806625 30.09711018998363 37.562644830359595 42.713848800269474 37.893364561138625 31.84841523211997 20.377900523791123 12.670533442562576 9.140839961031169 10.021122939054456 10.982770191108525 14.703984826650416 18.511284986451837 29.319395934401964 37.31199329119225 40.84096650192096 43.06236266259408 32.245478856769665 20.354722587384323 11.80872571439782 9.606176752235799 9.988264549558535 8.911633185556537 11.862621141658778 20.509497779684512 33.35948802266127 37.80523635698316 43.04533267964143 36.21349458662549 25.570001463127788 18.133538390190164 15.794554477001164 11.70672942835797 12.011381701482822 11.360302798762461 14.23794531575918 20.070152841326273 28.477319710982172 35.14936771779611 41.71168817193167 37.18255245992793 28.209899430474778 17.951838435719004 12.252703472361418 11.73615589961498 9.18446393512075 11.589676984882894 15.7134392938103 21.815279215555304 31.627448030607603 40.395926901433796 36.06090383323583 37.49766789841532 33.907689033279624 26.159039701873922 16.56296866618285 10.870640160654327 9.432245191764125 11.939829851433318 11.811307078549197 16.341923834733926 26.95561701947546 36.12965290505402 38.360564470820705 34.915409990203955 31.734408582329777 17.35677121983454 15.963925447460625 10.846146903105021 12.05516768587479 14.19970008370887 15.555859973192955 19.14391969128829 29.02041739707531 35.1599591413147 38.72497154380954 36.06417104100064 28.552938694664533 20.205785166313508 15.076956169249215 11.384258722142182 10.147112950877917 11.331778184855409 15.115047491512257 20.21122128700154 31.70160892156847 39.85254704739734 37.01763137244072 36.80104249935038 29.42026422371144 21.620068614429403 16.284794276811553 11.75188709997682 10.400008332733329 13.36838066932469 12.777014713806857 20.09155710244339 31.558820466516195 37.895054868626865 40.87616053994297 37.01073513390242 31.58977523495906 23.412628567504367 15.82549101928501 11.224068335484688 9.896690926305622 11.909185602736695 14.44558987007187 21.050763399274818 30.121061388062863 38.354057057008134 40.1884646087113 34.62066667219889 25.45254044992138 19.09904148744106 14.31315589847094 11.74926253307814 11.255482133117653 13.602164235841773 16.44551659729522 25.168396655950023 30.626627362479127 35.36682739626178
