rmse;hl;T;RS;preds
5.998307407559473;10;12;15;12.534387409908188 13.723189306939979 15.505816340871263 20.417669665248265 29.60177449112022 36.05432891513059 36.023073077542456 36.099625645592326 31.828930118043218 25.130629354291756 13.799774277050327 11.84992088403744 11.670827945348867 12.888277314100355 14.547189905913797 17.334668964331303 24.045446040213204 35.21666679740794 36.574053914932605 35.87062543325324 31.360224187591854 21.208433344405062 14.913660585129291 12.219082959401348 12.794497650563263 13.765179677147152 15.802213514046539 21.114570988109463 29.835628937144598 36.66624992776386 36.03721117659748 35.54738517810111 31.59602140715903 23.024702155148606 14.507794400716534 11.771197377935575 11.81510757022604 12.77013940159928 14.074493796723209 17.66765818942961 24.989486991416026 32.75262375659128 36.77895644487739 36.17123149907596 32.85991777951921 20.478422178557782 13.87352406686889 11.96031740425609 12.473890062824934 13.42514165380913 16.046136225321384 20.871492418014352 29.881670914997315 36.76826781517736 35.95005503425634 34.78393052930126 28.202248493944523 19.98288734203102 16.888160470435825 12.40810577954043 11.79447015787356 12.750633361191808 14.070937670585801 18.374499688145946 25.077327458524024 35.83071689543175 36.018242470359596 35.038428463064456 29.86270760910284 18.541220440075513 13.751163085818913 11.775868674987752 12.16685083791157 13.366930002075394 15.485176228347077 19.77252236472407 28.118238726684332 35.80439427155132 36.3509171254541 35.806310043377046 34.49726950025656 28.123234044341288 16.328157009288535 12.228695570676347 12.027894601553683 13.135702148078478 14.711491979037303 18.879560055410174 29.054835135731715 36.15759698204418 36.09060167174933 34.86361394644477 32.019286823005295 19.4136357927891 15.084706337089683 12.151042682656096 12.746385991097545 14.164699783006798 15.702748638981497 20.05463427948632 27.08877969991567 36.250284426126015 35.939448759793365 34.85746970572672 30.256133427421005 20.00335936886648 14.63445945546661 11.846283752748837 11.952384299782507 13.40718281178946 16.16695945858453 21.548140934230506 29.845659399991174 36.6251020111291 35.74790397928045 35.23887975995113 30.14300973377883 23.1890756140616 14.968557101050418 11.915117879975789 11.403998327402263 12.552448858452705 13.515463747476097 17.676328440779056 27.68966916104219 36.30695157964365 35.64758584995616 34.894020580031224 31.45860156850212 22.894988944063396 15.077236312063759 11.973140519690071 11.768481005198876 13.213303732836307 14.835507490300415 19.658080987289143 30.3179531835975 36.31797503063528 35.894012970488745 34.15855793626933 24.91449309748371 19.890215423936507 14.33007179916899 11.874341236950672 11.97048625090262 13.540452486533539 15.2218473830179 20.257004048370433 27.034095822516427 35.2311761700726
6.179174317431212;10;12;16;13.290037887433437 15.370275146679123 17.404151807810734 21.151718431600365 28.800155615421257 35.19973537072257 39.54659734176752 38.09627031410648 33.587373739128516 25.28675952650639 15.259476975919139 11.645303222207692 12.311331625580875 13.182113374412053 15.714421481268527 17.47991322555061 22.599849713381868 35.04245171890709 37.950267979680575 37.47198791540103 30.227816051692425 20.826446803521318 14.199113471405642 12.777522346087672 13.467233955498221 15.361302476098555 17.74334332731878 21.965590517742516 28.903305549822694 36.83125877083153 39.486035190563314 37.42415032336351 33.15345884607197 23.15274767268361 15.423734496209487 11.391807052147593 12.360994533691954 13.403902103166109 15.071244631047122 18.102863089518916 23.39608242156937 30.33511277479206 38.01327378627913 39.615188453540895 33.652315568840606 21.008977060792215 14.253296466953337 12.918552989359046 13.275816758098435 15.301517974345806 17.794407624545514 21.112489493245242 28.655107791693595 36.67979938938688 38.78317239485645 36.11773974748512 27.66463553163013 19.586362401636766 16.721802891600774 12.098755207646334 12.11918605686327 13.222748933465507 15.476869825135077 19.294806636331174 24.35319574780683 36.16724469555137 39.87064764843159 36.42277544499229 28.629739678511395 18.362587205619967 13.883052972820991 11.990101648264206 13.324272689456727 13.95061734430298 16.899197422285983 19.28951632491529 26.35885747097397 34.91894181479601 35.92600595495275 37.313447333656185 35.90403870803483 27.38357195853292 16.250356961910278 11.953094444941307 12.937949672812406 13.295020379274783 16.433594664168268 19.242279521082466 29.331820774509243 36.65177160707381 36.90309278882436 34.10331107306929 30.933824547437318 18.46935942036562 14.448439226265112 12.645913951985992 13.890672182333697 15.437086845297937 17.80253716651074 20.588115810329093 26.736770802838517 36.8106632111405 39.20320570517008 35.89246172184339 29.486781603614247 19.637499603499574 14.911120398596438 11.445969796407491 12.746311736375619 13.610464563667433 17.74751576764819 20.617712054882148 28.03154363866207 37.62040015307494 37.506505560410574 36.56703751875337 29.06838527239766 22.575601665175657 15.07420266915155 11.710920094846397 11.427122597896394 13.041241366228432 14.499499473234286 18.068707942560966 27.377196178091037 36.87236483480484 37.42818978023638 34.60373389542767 28.479469722703442 21.794702219544757 15.12335726993889 11.215588446240549 12.199247498045686 13.331177028510147 16.118032347263462 19.585530748751175 30.275941212016676 38.270597449733145 37.93660511084589 33.22415946699101 22.998029690271455 19.6402801053143 14.577203664516961 11.38843723785793 12.597638257089105 13.802618907943083 16.53162034771377 19.685301418261975 25.32662317397326 35.278300916779614
5.953523632301611;10;12;17;12.362665264935327 14.08282180130886 15.325625782384016 18.788653374568757 27.009111471238008 34.62125328450212 40.24044021388896 38.90783257211448 31.336549757112532 23.968462288493956 14.685439372327517 11.305902439392396 11.18426510435975 12.535107680710887 15.013693846338544 16.192198638567746 22.031476226226744 35.60934061790585 39.04123725544388 37.2654531316597 29.06443627127696 21.367351106385154 15.277705835109455 12.882136448596937 12.907331750789922 14.19768778074463 15.809649786926133 19.667065471120928 27.109266915216978 37.31830629264196 40.12890152103847 37.44519006130026 30.7742626257445 22.759803328732854 14.169546591219895 10.928534542212553 11.679441493092478 12.937298256388223 14.78507570829592 17.738754385503647 23.751300979001847 30.215435089375376 39.92680716966842 39.97787551715271 33.11963176997636 22.39958287197489 14.518848228639857 12.640480531469667 12.02117252409045 13.731133887143313 15.628439238576767 18.6217706123368 26.717402808709537 37.5481854108715 39.4776903099045 35.94878730364016 27.748342204616268 19.97838311810318 16.428242923846064 12.509030772455741 11.85615693059351 13.069007906928896 15.076618647785907 19.173154787875607 24.059569963366773 38.228839294292726 40.282651998176064 36.060917334094356 28.327532410866745 18.69180361580142 12.820058150979548 11.831358553641374 12.025698011870478 13.643201445436565 15.89424211623199 18.630880316631472 25.837866934445284 34.62132618913819 34.51916519262425 36.386806457690525 34.80476505418831 27.612607610625652 17.348285930246988 13.159341476325615 12.244967480422407 12.821002536033884 15.034813239340627 17.631290926801142 27.640522323248508 37.54513961718661 36.95470387082165 33.26557065036715 30.203395698779193 20.075935596557123 15.9179111463679 13.45422317813064 13.685318048671014 14.894722255823101 16.440843950157188 18.82007493519538 24.589790868113266 38.642686511226856 40.09830587543257 35.47809877211333 28.78715260104733 20.04162181451142 13.550056322250493 11.559073238761867 11.798932191618487 13.661458656429799 17.524892685836832 20.918807358065933 28.292522997085165 39.850092591316155 37.762182119123636 35.8633403699892 28.519704981301413 22.564798953221032 14.309308153789233 11.033895242198653 10.95148600171747 12.541041308035835 14.426071678891718 17.72777278717347 28.07985106057651 39.644488016727706 37.92584492659564 34.33331574928319 28.117469177747992 22.880786884691073 14.371092807733543 11.889420345845402 11.567864997838104 13.520457040004269 15.556672724876599 19.319719770580836 30.20035328030894 40.11657253702678 38.48518009524558 32.87800622978078 23.65544218325078 20.09566575121623 13.265964506584485 11.825385773826683 12.169806850887218 14.328678510568457 16.21130775373437 20.370287727186216 25.325490620703132 34.842491853270985
5.998801626449192;10;12;18;12.808176045385268 13.720194141474588 15.37579024738957 19.298564600303642 27.471841921702975 35.70028510115116 40.99656389650576 39.03111566180221 33.44180613234736 25.49154999932535 13.879544774731372 11.639029373247732 12.053606986628457 12.990433585313813 14.90518474614271 16.232628309528586 22.039566446941496 34.747877836676594 39.39431575803825 37.64061228838365 28.783887755932756 20.19852507963776 14.919865579710738 12.638121931484074 13.000281111527276 13.670016850653427 15.595236577188274 19.62671309257519 27.39527247757994 37.48780417117162 40.76185282100751 37.66868462352987 33.40456198895722 22.98632495220614 14.670161800812362 11.527685092760114 12.29421321200484 13.337957834707996 14.61602605826953 17.721793931972442 23.80649907035044 30.763135893185105 39.73965826869362 40.798378043680806 32.13338325350472 18.946657297186945 13.255552644484373 12.317363134130181 12.764789686405855 13.653362191567977 15.942635268598107 19.774261275303033 27.939153213467954 37.600911663783556 40.27785784331124 35.39859491638829 27.404283625607327 19.60245204979264 17.674792718121004 12.931440233871056 12.248719369008535 13.032600816767758 14.237351953026685 18.11999365386763 23.42752946506647 36.97118571891789 40.996477491011156 35.75460040511247 28.914979742195577 17.643999959980526 13.398179764277192 11.967282497172905 12.73320847812709 13.511589676120252 15.720174872132066 18.69105634328166 26.0107191012773 35.28197990072967 36.26725770547282 37.208914236298114 34.866115655530805 28.057401157966066 16.130830486109158 12.240821366767136 12.166712454111615 12.88488387330826 14.759438928028928 17.939162479643024 27.99046187623412 37.45668874251222 37.59253978140768 33.305241573078476 30.518932364052787 19.065663314891644 15.337156865656455 12.545322430276428 13.094900528465073 14.034214660335007 15.861222391476607 18.56434133535501 24.92270955122574 37.70451725216046 40.47368779632231 35.01628705507148 29.915486515363177 19.46461098434952 14.58200254468227 11.744647939631799 12.408596535748078 13.437614421964199 17.293417766128776 20.86571168791228 28.370577873168216 39.52533618975085 37.80584524570296 36.34227792607928 30.519636433825248 23.850700206142278 15.604576471120922 11.624125775513921 11.817683534034003 12.776724445348412 13.628280296586663 16.821847628539782 26.48307684520092 38.60229734284161 38.38965477070026 34.25311524925789 29.739216606193708 23.46114272131508 15.839822180617052 11.791906344838276 12.05798801522219 13.104912765152632 14.772206689942928 18.422069288141593 29.23967268972578 40.01433188544749 38.68048216468804 32.884932170207854 22.72224680922842 20.518512977969458 15.202014621833946 11.963842478418874 12.439923927886436 13.615127760204492 15.359970616404343 19.12804538182601 25.07383006112123 35.132829166094034
6.059041787168731;10;12;19;13.341301322323522 13.95672985800348 15.396550517554694 22.112711567058543 30.05515492200864 35.60015463376047 38.408064541394914 36.81938746592408 33.412015137909975 23.96408480387559 14.96782265434626 12.99833766294155 12.52357592239552 13.045331451320793 14.253408524079155 16.760246586271514 24.51968496001257 33.84937545006397 37.42363864082514 37.25069534319803 31.5194013348165 19.45788215645702 14.895470203385791 13.33031297356408 13.75269543326233 14.02448391654785 16.036622170313667 23.259539294913402 30.703217732932885 36.36689404144123 38.27361759178682 36.44064383125979 33.726262471193735 22.772924475618936 14.958393654747299 12.831581808779797 12.60384392671348 13.323192620774142 14.092370283505833 17.637988702719017 25.080619474116396 32.047677778412876 37.30637423387111 38.35520868024094 32.64246620156865 19.57630966237361 14.258920924617895 12.877903254404131 13.003584096567202 13.630071185470973 15.732532882989613 21.941161051749773 29.788499465137104 36.21784456324459 38.008795551503965 35.31141582258765 27.1764427994947 18.732815511286464 15.32888556467664 13.246070316494208 12.606708808894034 13.269518607593115 14.239402733437743 19.409380322179718 26.376238138726997 35.1769270203181 38.55333647937421 35.618139127411354 28.66819451139042 17.802255336088876 13.81329943712799 12.657331628046762 13.007724809879061 13.57006391955244 15.49344617924104 21.221642246871603 28.815710292057787 35.12646756155361 36.88959868072132 36.95015273141041 34.50182739009706 26.873403878964456 16.132648376710534 13.405871878425971 12.856743358826451 13.31806364461772 14.416397638710395 19.125111982788404 28.788459484153258 35.6940139523629 37.249627425288125 35.24705182962074 31.82940669834941 18.484588051268595 14.772515184560392 13.105781545399184 13.86423682628452 14.51099410418869 16.308405253255774 22.36914417384942 28.70650792277632 35.85782256910706 38.105602107524 35.615698172188715 29.5172388654202 19.331953236018418 14.408148614147157 12.690730051883975 12.79543596023126 13.643361430610172 16.527594391699438 22.33000940398256 30.043035201304193 36.866801131003676 37.221506487051194 36.204714978321924 31.194955452997434 21.677055232012066 14.707746165837516 12.827531551220105 12.07678256038501 12.516428567888518 13.291843627262132 17.066661396477755 26.725090197557833 35.63755606215251 37.36559844999476 35.85279754956133 31.907046085511134 21.799651971804163 14.909385538275036 12.890981536064375 12.486586270188713 13.433257019872897 14.5706786995883 20.235244039630995 29.759622478822358 36.991127837055956 37.47209052192587 34.616955961231284 25.37362556914982 18.187691346327625 14.191454434360265 12.700668033849604 12.901915881389687 13.995619081005783 15.2639221335909 21.279363311158423 27.91710934917787 34.63761092469986
6.0421017440671045;10;12;20;12.934164032079948 13.842875767914707 16.827761679619858 22.077383533015603 29.533503349694065 36.509014879039086 40.60451246558618 36.85804042390206 31.470879249251396 24.181607092572705 13.873977695715578 11.921729250399059 12.299098497664755 13.059892127247883 15.184874606884259 18.906336645658754 25.481454226075623 35.45711843795412 39.768652712477596 38.921398234767736 30.46600089809104 22.8452774328616 16.154217348301742 13.078629968804869 13.12669302517987 13.805794309869881 16.88953823304905 22.42127478575911 29.673941980318798 37.74466070492041 40.27456768408692 36.31605250838028 31.80558848372672 22.805118454114336 14.666337682633086 11.786485750137556 12.600653673842297 13.19671657804352 14.441869708503294 18.997831963932178 25.397725276672908 31.833508259171523 39.73784645347858 39.01369415395213 30.271003948051412 19.93882053978158 13.459339328471456 12.610563304005007 12.835009676761148 14.095088006328385 17.87422233753825 23.00023206000972 29.889680299321604 37.83782607939428 40.37447133705426 35.72246161137632 27.880528772984594 21.17579518766395 17.245441790291306 12.531324065107208 12.480451480071634 12.918858108761876 14.113507227624009 19.42056342082349 25.45991326876587 36.70233907270656 39.826256825577374 34.936495631059714 27.5459508343585 18.714754737784872 13.472252899657605 12.406152205310805 12.710445355598699 13.431249442209143 16.156187123561605 21.11003689353212 28.24601118935552 36.0329354547003 38.23531160587311 38.98208459387044 34.696667730177715 27.615312507632602 17.722957705977926 12.407376733179685 12.49817405706699 13.027850539693166 15.40387473330847 20.238371513510003 28.756179606445446 37.48473677611308 39.65592594407627 36.25675808779225 31.07187217601598 20.865681648502047 15.81852120106771 12.782368479257842 13.073436188527491 13.668112554557446 16.216394202186414 20.8615697932753 27.25896072188707 37.54099485361719 40.074255446043125 35.505421809611 29.08835439225279 20.73723464918644 14.651932266579118 12.094852109444645 12.489752221514538 13.286224569940988 16.512762348515846 21.981078871411505 28.85535691322375 39.32347810340511 38.868027990903684 36.17590144604228 29.18345038949678 23.20900186869089 15.36849708361042 12.100405012558982 12.07311302703593 12.803838894581766 14.056052974053936 18.573029137820548 27.433726297894573 38.17941265120596 39.202272795845495 36.003811402674415 30.019285841060018 23.770403681260667 15.820025196708208 12.109454638033185 12.249620551315566 13.101473421441527 15.074429483574892 20.576450562274985 29.683186018155865 39.50989255767575 38.689391381233506 33.445211048869204 24.473275927568505 20.569453067297694 14.144880522681376 12.06502196251752 12.447670045469346 13.409758775597423 15.424252929177129 20.839085969757797 26.878352618659473 35.52915091856738
6.054099040856243;10;12;21;12.576746353553292 12.925522132533422 14.762343637742154 20.527021556537978 27.970601775811637 33.862368676315455 38.47642613857323 38.93838636505893 32.503649024053644 24.265924004364503 15.98872584954154 13.655591858354587 12.377518234449642 12.324419357842089 13.387386502923542 15.932186279137031 23.00754172015039 32.37594710336829 37.00913393208049 37.38047099575395 28.82236689035714 19.907196466276975 15.69015368805671 13.29695370221661 12.720144372368306 12.940197565758035 15.11286507773051 21.147285424701284 28.280015801740838 35.574014271470226 38.74399830373912 37.61172585146794 32.988774023609075 21.99209793462411 16.41494727836345 13.596070623343218 12.76090211419148 12.554491538348643 13.483481563698922 18.588863957271627 24.99955694427381 30.57247811907776 37.23352090105909 39.61458091490694 29.971765519198012 17.864040665076114 15.14105689547474 12.939677782704543 12.444676905132734 12.820994435518763 15.320259191117424 20.857759513476022 27.97990116716869 35.33510577905428 38.01514230510001 35.68188208088577 26.99362159872243 19.082168451968847 17.838414685495948 14.538748494116474 12.753480692256272 12.454486628942307 12.951761051090955 18.721198697562343 24.809485782469693 34.636491703527525 38.97080597665256 34.834723459271494 26.80043443876906 17.39376829751354 15.416048457447047 13.228648808644124 12.501090242509967 12.675726547797026 15.092143285012202 20.166089604535365 27.001755865988144 33.46201421739851 35.33846479265712 36.97523327630587 35.8448860464614 28.105293090959172 16.77627885577862 13.935092032033758 12.513944409918574 12.388653742567087 13.218336852897151 17.771122693834847 27.038083301083944 35.02643430034436 36.3752200208981 34.39112845064729 31.634087077790863 19.07789104246435 16.020135596916944 13.600532657088145 12.955203770016691 13.15466140371539 16.13424012793149 21.017777089144303 27.155753408836873 36.00720146825188 38.56846959170307 34.61426659021165 29.234711799258086 18.855874486722563 16.007637177130665 13.410347413029431 12.438116837971888 12.564042045674395 16.731915709684397 21.964478215760185 28.805876266702857 37.098822835482295 37.17594648984808 36.31514525068691 30.258556156484627 23.533907117221517 16.80722147344881 14.489199668259992 12.357219693646323 12.116592541939214 12.507854172634651 15.741226085798562 25.376160017817796 35.73674146944594 36.908679444085024 35.12736536864601 29.731123516546518 23.218662745535145 16.52271518142586 13.860979069120674 12.357650371033502 12.364838228116101 13.16693098394955 18.67643052571215 28.138572707241302 37.16380516776998 38.054516208923616 32.96672442145412 21.643360633090797 19.838990804014703 15.978413893794567 13.610039961666592 12.548746923043147 12.715733641885802 14.977726884165559 20.949329086471376 26.56966358883346 33.473456195004644
5.994737950361655;25;12;15;11.423851339874016 12.147410951710905 16.166091353380903 24.550905864129255 32.004115908272546 36.315206004550305 38.92855503987571 37.515135309184416 32.1060716917368 23.44566263692194 14.53347438373083 11.75070442476939 10.605942328269975 11.023947809632052 12.785618135906567 18.03726343047484 26.438632356434038 34.54567277826657 38.007427914534645 37.64428047164688 31.723149541356765 22.34383310179452 16.085874652325366 12.683665052614021 11.795100647967018 12.45269101475751 16.802882297516526 25.494610137672428 32.266417338267416 37.08131897239516 38.80923445216721 36.99342568317815 32.219877178734855 21.840916839625955 14.661748740817956 11.63639130549052 11.0465779487039 11.15565408495809 12.429152267906439 18.382953588237413 26.33206130448052 32.66284034717975 37.97324914107426 39.24777608944277 32.60511607643903 21.02900372805684 14.562769896660075 11.882351296317887 10.943408438057594 11.648371967352086 15.747868508196456 23.422655064473748 31.386188363678254 36.82242515909385 38.47037235360735 35.55648070649432 27.780685873880646 20.410990790532335 16.370432247610736 12.503911921943219 11.20892712264071 11.369251167797673 13.379904327124938 20.66373968807267 27.756090684849422 35.6786108228634 39.324095092640036 36.30448902304736 29.4239256565454 19.181276566847178 13.702308879133918 11.603990595098843 10.915530515274238 11.507302846633895 15.559621987422982 22.463558208976796 30.28611950926418 35.615806179056975 37.06801522639743 37.02650953701156 34.47053780036259 27.188592897130846 17.120010714011084 12.836816091632771 11.33194964575877 11.45485066115004 13.841963109877923 21.001229761884183 30.443854089754645 36.39371349691565 37.515062404548345 35.833573677097185 31.41458876968681 20.12625633400019 15.1911808579047 12.47781746257198 11.926788022091113 12.912713868043824 17.049572684790494 23.639975937237637 29.977317072226498 36.59054521362982 38.650522409519 36.01357522356498 29.71827204930962 20.55397669564065 14.685984131969295 11.813866841326922 10.938549479071817 11.556918501740112 15.929063530558508 22.840433831102406 30.535057789483773 37.50618018971994 37.654828692418164 36.609662429311555 29.711290755362565 21.694511842094332 14.604383592914196 11.752003207360199 10.48687150644432 10.947757064590848 11.970487600988474 18.43959103986628 28.317233955978303 36.1899099368554 37.8494935213379 36.5514629283505 31.43410156052355 23.15804794098266 15.38286604734635 11.993695576805505 10.768710028821285 11.458975173431659 14.31433654854959 21.613837630695283 30.77256354269821 37.884886021980336 38.24427617593856 35.265693815082145 25.70666137221006 19.69872363429333 13.996769354152734 11.613790868307442 10.939682201102677 11.78705953662518 15.41369255763316 22.320834051763278 28.935122348082846 35.07063071083571
6.091723287139422;25;12;16;12.54110611215679 12.814489046834973 15.856744156701442 23.47858532425662 30.639891280944187 36.48146907737563 40.1906179956472 38.404647474100386 31.92879799373545 23.441901635256304 14.77943572464405 13.155177811554251 11.740308763699517 11.533113787975953 13.929560055250146 18.547662374724204 25.921399783877817 34.27866292385856 39.02664687762802 38.35062918902679 31.760078439700177 23.207127612005145 16.445143973599727 14.348070468721332 12.800021526831756 12.881048279399232 15.974795663707908 24.045591005681693 30.94440652035494 37.62790798050475 39.95263161186901 37.42027422687889 32.2825022611228 21.732756399101717 14.896075716890964 13.130819562590268 12.006232474038603 11.618995449271646 13.479517036590911 19.281596046257313 26.431847162457167 32.25070841432215 39.08711317273665 40.3019771270792 31.033508811453512 19.050115051162916 14.5461780165668 13.486534782856003 11.877096762177114 12.753932295974177 16.467061942384 23.554866693810723 30.41245514306607 37.40518836755489 39.608524429769346 36.02003268420098 28.853032402905953 20.93289668526951 17.225724461447804 13.955773322176467 12.715499401990266 11.712398438855685 13.384087568141172 20.187569132938798 26.897748289548446 35.69640090415142 40.43941181668049 36.216772595077124 28.68671937690406 17.983700461855243 14.309552519328667 13.371735632669969 11.775064023819226 12.327910004815617 15.724445193685835 22.61224991442233 29.39658574297456 35.76645820916139 37.733579200237095 37.58332004511597 35.126200244554674 28.391742494046383 17.265349481240115 14.076791642845407 12.696206675147604 11.949145443820608 13.907677188698061 20.068561765148242 28.899309970740056 36.595471676908254 38.33752525573533 36.2551892880308 32.37813221732174 20.815138146893197 15.812411387538916 14.099637120610845 12.76124706112698 12.657985744642652 15.72827943750901 22.821626797645443 28.89872673365146 37.113017638143155 39.66463534791546 35.97051828553376 30.01963213808137 20.202271567880473 15.040371542798376 13.425602708128007 11.982666725470466 11.92286737277333 15.670703676212145 22.8695637897539 29.988140710511843 38.40637153373496 38.245584409130345 36.748719922108435 29.816759462216922 22.302488241385923 15.143491100268115 13.235144746726942 11.916667778535297 11.344034264231036 13.0489179543899 18.46990147983569 27.50409142247909 36.59110009891549 38.66041043830806 36.96501447648277 31.723910989777988 24.456365258453136 15.830887987483301 13.569521860082368 12.152517651450749 11.677632378049148 14.062601565485028 20.923550378429063 29.567593692531062 38.650325296984434 38.972682595988545 35.103968380809526 25.054554547873195 20.02687111400049 14.848730231146954 13.331233057073057 11.860162635320044 11.985292642454999 15.042751069114695 22.447907676244686 28.332363018049602 34.77099805691317
5.992511523886866;25;12;17;12.107811583549804 13.381398872164464 16.736208307654742 23.25653099775358 30.296490868788695 36.37087409453655 39.726958011072284 37.61915537391826 31.81351011247055 24.085393435193158 15.079847378103906 11.85526182367282 10.911192689427809 11.474069133270774 13.95438880913398 18.06490508823388 25.17846525872195 34.99835386468302 39.142230427694784 37.98445350357022 30.13707678149681 21.1237711481563 15.479223699820185 12.926880993944698 12.652995827329113 13.704579723539052 17.458233546919438 23.927928703112602 30.308910308552562 37.9284411416914 39.59436877959823 36.853109910366065 31.81177052684866 22.75960288317383 15.41121380000663 11.754172795326339 11.454113514274177 11.914454987821852 13.506150855260513 18.777679201710775 25.388549249410698 31.476707569879792 39.187076229481534 39.565501243884455 32.62145886569238 20.957893524842074 14.393635866267857 11.862452380927124 11.548985397266529 12.579122504654977 16.591504755819656 22.706603575397956 29.977134810636308 38.00948409528912 39.37225265502477 35.28427099642259 27.48045816961829 19.84927272035144 16.62087317338498 13.12818689517647 11.877709701154481 12.178547981743957 14.30646284785355 20.681103986034728 26.24952616849352 36.691144160811575 39.785038704478254 36.0650728983506 28.937013143320296 18.522639208477507 13.86979107948471 11.916118293593032 11.646330637542002 12.428767493438267 16.312383281222317 21.733001439684077 28.537354991182156 35.65110822394724 36.88117414499717 36.852683283236445 33.649439210930296 27.030587286905345 16.770792106871095 12.797732456267605 11.733178960308607 12.106785518301349 14.961862700347176 20.742157906010974 29.519994390646644 37.399296592891396 38.260569012015345 34.50821262113992 29.906434864760193 19.38774418381731 15.408521053772361 13.104204645122612 13.166117557222979 14.270551914243475 17.76759525702182 22.299566655599534 27.744153225735158 37.58640634137645 39.43694876911157 35.65241375696731 29.2560856834435 20.279053988046858 14.878756140522798 12.015449510158605 11.559382408422257 12.46934567384296 17.38187741636121 22.51627332368057 29.167960854502667 38.80376660446163 38.237327284051986 35.908693804056774 29.384444420896457 22.549078553546018 15.56406376988011 12.13495910988656 10.82211942517508 11.350687487315755 12.858212252234766 18.675131068078414 27.908385769437224 38.10228899684017 38.617306247271976 35.75476781575827 29.65533239691787 22.99467274398758 15.669402868492558 12.277409368432608 11.339115901467718 12.260759434647644 15.129052607110742 21.231811768561062 30.110829762424157 39.09048163694046 38.727632563026255 34.15217000505477 24.79881993546844 19.694273076278154 14.615018894223018 12.111024787880492 11.663298516545401 12.858988551600374 16.090139573535723 21.767797708661583 27.25997429884138 34.826564890460425
