rmse;hl;T;RS;preds
6.159147959506534;10;12;15;12.326761756797445 13.38657712645453 15.15867889107403 19.781196666331077 29.59496803329116 38.14982551973242 42.47945094468918 39.756222472026906 33.510195406285675 24.839791159617157 15.750960204800354 12.577098725960985 11.447954422611739 12.011005027529771 15.006795582671463 19.68140574553248 28.994292560772376 38.473227785186936 41.304047299664845 39.088453807988905 31.941978206877614 22.53412154304064 16.21877845380322 13.141707329953645 12.734501185331558 13.473782546929314 15.246293387562343 19.89072373126025 28.531494268493283 38.50366142049045 42.90357501513809 39.05967132768389 33.17197797372073 23.089794941335157 15.783364290406663 12.24041161571068 11.896794514775745 12.217084832338566 14.564011975645048 20.073412961140363 28.515105913842383 35.09591376860916 41.77945843150627 40.68362479641378 34.23709445548052 23.83464920419395 16.442221037727485 13.032479984083894 12.025981529899656 13.29419547681846 16.33716410705836 22.707605550051966 32.39569953444398 40.508078533261646 40.70710683965902 37.213788046228274 28.16315507045692 20.29263517668743 15.940892307761587 12.696095293064714 12.102862168811862 12.449534514032658 14.23529509722929 19.175702737402116 25.873183661519207 36.98746775430785 42.34798903490257 37.11752557480709 29.57916460333617 20.602676992538377 14.732463537638457 12.360639461112555 11.845718066776334 12.947602786663005 16.37532023344236 22.203662041309823 31.148762265529157 38.50791149075642 38.734046820914955 39.48907558390479 34.99352460758601 25.535279786393676 16.390036844285497 13.070574006518642 12.40297005295474 12.713123925931509 14.35587261486715 17.832867520246488 26.96774112795893 37.6835963217788 39.76840834693816 34.945807173189436 29.536915691688105 18.907568261478364 14.849468053065744 13.068169503614039 13.354427532031554 14.089894901093935 15.666804628268016 19.50892789000327 24.679345353592304 34.85546482823467 41.8881497932923 37.320389475113494 30.752523543335787 21.362175889788258 15.175779753533973 12.334434294701353 11.864220993394856 12.666463608758011 16.00589894159463 21.355165906516824 30.31207625987839 40.25377231168961 39.003638714517265 36.53091462166434 29.773631644678403 21.16829512322779 14.316240169602645 12.10267315679241 11.413104656482302 11.88583046756166 13.722336052680738 19.59862860665629 30.70681031138833 39.94022297279197 39.96059576831722 35.57307191154467 29.228308342056213 21.931998187824632 14.938219996885405 12.264672658493232 11.720920180761274 12.567721029624447 14.738611153571142 20.036524227851086 30.136535397069665 40.05848104293398 40.12110477523607 34.03148785576329 25.16198914849059 19.48332891214017 13.93178094647871 12.079659593338244 11.905466116211045 13.081211332956245 16.008201513017315 22.076445814010167 28.586593297292396 34.836411066588035
6.085180654113695;10;12;16;11.71635824066321 13.872263086681974 16.103331262407636 21.121268595266606 28.621083940584874 36.522656146500125 41.72536589171075 38.680325554729066 32.778249736171446 24.390715477471762 15.017530790333424 12.301536752715688 11.102713168395367 11.811257125372627 14.797092147432597 16.642162677204567 22.403910234655957 33.301904835892216 39.86886148484777 39.388448284920116 31.475173872350524 21.934345649601937 15.605469552912833 12.582702932337744 12.259037400141848 13.885728842982093 16.679335941087412 21.969028005085573 29.15465440833323 38.27895313107879 41.4685255589922 38.043222740761344 32.77358113929097 22.7506750607577 15.519346226249413 12.230177964943195 12.115041293293853 12.492955975244254 14.530087018325075 18.22208512096013 23.682023686093572 30.721504645814893 39.90428908772239 40.01286434212503 31.39760468965317 18.94670792540644 13.999852950241513 11.846360707642472 11.366071715613316 13.36451199831226 16.376525860109293 20.84115548261007 28.29758109373429 37.828789954778614 41.14904529294131 37.18804325909302 28.572501101156377 20.415020796804228 17.765633582277076 13.429221613257592 11.864927088296096 12.318361522618645 14.833682174226848 19.56598555585396 24.52290845874789 36.175246654403466 41.23236044103001 36.554827342296754 27.941341365114578 18.04768913095495 14.26301438492489 12.36980249379843 11.824720181501041 13.225169637400349 16.41825228853216 20.0514507770444 26.635113725869292 35.367538891506435 38.394452975822645 38.7213182114907 35.69226694126883 27.94523366262944 16.89809305205804 12.769699273611128 11.25316538579351 11.75206261113774 14.76721069724305 18.77941271194632 27.541856361487113 37.127238092435235 39.16867590938786 36.097535712691524 31.832449791862594 20.027910005064548 15.546983833750891 12.773316153611932 12.897389043523805 14.614849458448438 17.336225613320078 21.134720850708195 27.14224039953189 38.02210064758755 41.157364521968915 36.73841606687658 30.00440384469986 20.199471489820876 15.302758703244924 12.306333607752215 11.569956280824758 13.04703120941001 17.918072113486783 21.595287282311165 28.601606251980318 39.16749593435213 39.087503347548235 36.35280859573447 29.845455537027334 23.11934148585274 16.121254327152194 12.780270445841921 11.030618583832863 11.53179205392564 13.386129572994184 17.396259880955675 25.500117475389217 37.24239231520067 39.34929444509058 36.45753610545541 30.369955790492227 23.635269537953278 16.12352314642855 12.53536217189422 11.116444891608573 12.471214192663831 15.18895861659028 19.51392995808949 28.481741579672963 39.65213895325796 39.71641789081611 34.36434679757676 23.598385192443022 20.547972863851335 15.358825068557877 12.617591850956925 11.9087697762939 13.795946783656419 16.328787499381992 20.41306688505314 25.778082601453267 34.94649571697459
5.975137099531867;10;12;17;11.40517155200872 12.659380383329038 14.772675169733999 20.66219670870316 28.771963797677024 36.221064518004546 41.650348371275996 40.22406367248927 32.535728414012254 23.688759601936802 15.087926966892564 12.474861449596334 11.552198601597219 11.7705182847514 14.475082495535688 16.82761992060527 23.548489563282992 34.80532398973155 40.05320220724785 38.95837708628772 30.857070141552388 22.17911435842456 15.427096885026959 12.620811130673953 12.008195498869199 12.800138984300988 15.371156752741284 21.208987048365618 28.607519290496004 37.81557261427549 41.68435703391887 39.287182395326866 32.5525376579279 22.62831694864016 15.463107049947247 12.39914728486132 12.68406400298365 12.658770144523379 14.136129941223663 18.07958085897996 24.331307987193526 31.26702776114336 39.86366905465624 40.80280767536526 31.79287202507514 20.60057001480368 14.222943161758085 12.06407690242026 11.170375421101715 12.466604999560904 15.647927727868149 21.21841419159653 29.175019103343356 38.08750960700486 40.891916041850166 37.47172734883135 28.590282744407812 20.20454274980707 16.76137728317359 13.571363377186175 12.35563874311219 12.253140900177865 14.153031666020254 19.19137520902934 24.734517877690053 36.817221928215496 41.431075527509435 36.573774447160986 27.50710278897472 18.260367480371407 14.111987030953271 12.776206012380772 12.096463436910476 12.798590435827332 15.86878624746933 20.158130510909107 27.092389491965747 35.49557428339754 37.030743406247296 37.45687640444582 35.90464219641123 27.557580473898227 17.29473882513616 12.822946659662534 11.494080105787356 11.336442731478321 13.661002327411408 18.232594864284604 28.587793186094455 37.959667277390764 38.40915136050676 34.04736486539728 30.332631992036745 20.07235145613826 15.339871213264376 13.057166978953138 13.060079114138556 13.92059481014177 15.868005897846164 19.385175307960075 25.53471173777093 37.453646999084896 41.443412612036255 37.234225645874474 30.576178029358537 20.669732044132235 15.108835071458616 12.596007353378404 11.941579562699104 12.804341801562094 17.593535775915555 21.817663129650647 28.823878648991297 39.283391354250995 38.82012829491693 37.01947288954453 29.83045945841258 22.35841056941441 15.787543481165338 12.960506907248181 11.52808066791511 11.525537106167624 12.943089449655655 17.446283937032494 27.283990976084496 38.68718804112103 39.31555579961835 35.50503568505698 29.04912427257255 22.339543541517344 15.60359968400611 12.723875334623708 11.561975923346314 12.362807023949916 14.593138052799715 19.40612897792368 29.666193162564184 40.23412991261096 40.141878546259726 33.99323722336956 23.83188659101678 19.56837554533564 15.051560379307023 13.064013939357796 12.424480970854262 13.725483777847545 15.897318286848575 20.133034440026332 25.73030407567183 35.04665453616819
6.3069779045439605;10;12;18;12.06454538221133 13.574231634581363 16.234330092746582 22.529505852649542 30.930291372759413 36.68357962977592 40.47189623239507 38.98449449711846 33.67828041996993 25.717811056228964 15.992204345742387 12.137030141585416 11.207965861513209 12.246281789000527 15.43058483182878 19.506842344881495 25.965992950849287 33.382010829907784 38.34205749394462 38.56644851318079 32.690780373912354 25.199749024676667 17.821632105775905 13.157373726194532 12.354148248330223 13.580028903235135 16.42165045462474 22.93671638505065 31.462882690742717 37.6792922480787 40.27186481220875 38.102158038512414 33.230857917951816 24.377645296326637 16.451422547860176 11.986637327964816 11.590007755916936 12.369533826713637 15.287076781016728 20.63370466561732 26.99315784423185 32.35211538788707 38.3557554650115 40.2870762295171 33.58123084849632 23.050604902328683 15.86979341151584 12.396455888712904 11.8142543159668 13.519233187178315 16.92297108407552 22.79126336680629 30.08716005724532 36.8627792252469 39.85624358246348 36.90255005431136 30.288680622127757 22.800338981433168 18.0835386356587 12.782583142908505 11.403860618645234 12.189949456774489 15.108565729330897 21.066925952066764 27.73520215652824 35.44282372894012 40.12338237007047 36.531276444673004 29.424670228893458 20.36357240015225 14.600445392480323 11.871192836740939 11.5630154894533 13.33585507599159 17.453215952845905 23.233283500282703 30.169347883646573 35.829797486965695 37.62520510862659 37.71333871312547 35.76062718836129 29.28909865776962 19.157697992463433 13.334302477260376 11.778936070046292 12.367373689348469 14.927765607080914 19.364909169217235 27.750138831365454 35.43045424235282 38.073849438341874 36.016599415876215 32.40729474679445 22.671121926899023 16.818620248307635 12.829055798148403 12.349914379094493 13.504298537469882 16.289999532818683 22.023948653791326 29.528032801816778 36.91717148410185 39.74573500511901 36.29808961610305 30.615248838908098 22.151969025977316 15.893734483951174 11.964265055290936 11.420762343441826 12.85694317153273 17.17347951414242 22.95602683177014 30.58354882307425 37.50840378112021 37.79073643491946 35.974533440861265 29.599772313799882 22.809916321715253 16.109366146171574 12.177898590448555 11.148396023411124 12.209644509201414 14.842569789398663 20.290461200942264 27.840880801732776 34.881556587434204 37.853361517307405 36.26701063976168 30.93642211261893 24.08212027861255 16.52269560518099 12.106264385162003 11.227486752865067 12.564306662501627 15.667198178294234 21.31532470422726 29.36222065766643 36.83470013967141 38.43461127952698 34.44345507814679 25.684135864791838 20.75976133792978 14.862166285558303 11.804814515681011 11.584855828301007 13.622692966283068 17.721124964432168 24.24912623617861 29.911566541088323 34.97823218512647
6.2232150825102295;10;12;19;12.384468476422072 14.64928744839264 17.92236167376396 23.289019432083077 30.890629900649063 36.262435198805086 38.65612661589576 36.59437540719543 31.45933601520628 25.221369974573225 17.18189729943731 13.360572447792533 11.59543375096107 12.166621323316521 15.391206877747608 18.366641175915756 24.123006953634704 33.61895494740728 37.66866167207037 37.47413590199352 31.555049001685195 23.246894390812045 17.233062853103036 13.256605036406965 12.595617853609747 14.734554820625112 18.47589417341672 24.346886121571757 31.515208643199294 37.04503946534715 38.58664714763096 36.24493538597551 31.485777446641798 24.001493151457627 17.33546146472715 13.017156509649729 12.023861895110084 12.166039436313778 14.864148211590845 19.079478405906286 24.823409892916985 31.818544582617246 37.677734249004075 38.262737249895636 32.05683001041193 23.262196938915487 16.826874673214284 13.325503967754873 12.417079800206851 14.593245384625046 18.100750542680075 22.78936717122543 30.383487700999154 36.8826943416679 38.33180494197519 34.83027762655681 27.82806544929245 21.69235423614014 17.737638539545955 13.139622797396258 11.499851722809916 12.049678236795556 15.49452489783777 20.72572111703009 26.280456297869563 35.375354538510784 38.61341800001467 36.122759366687426 30.26589117292523 21.97693005758453 15.698071941585905 12.604766035351236 11.701048267087577 13.320006418160519 17.201676057187136 21.398801018814694 28.447048761023964 35.41684672703811 36.84754080622149 36.5294349275692 32.6700700569238 26.10503052987983 18.1029552328784 13.57667528997571 11.932002053656289 12.719598937683601 16.35184831584102 20.786079067748997 29.014556674386437 36.08646230852333 37.30510515316907 35.20809645241163 29.893150019964406 20.258357171916835 15.829581104377372 12.692018033787956 12.626278303336608 14.991438356090967 19.08178570262946 23.87874030798875 29.770803889858815 36.73878194014281 38.456712184944365 35.79639906312848 29.840165900654377 22.603949755357398 16.66800062026369 12.70443207320841 11.573625814173838 12.89161067607198 17.487113908448816 22.023881993302325 29.426307883033424 37.10987733844854 37.40152423454923 35.612641577817 28.844531587331087 22.743664064921873 16.36733515066343 12.66324905434147 10.983713901119934 11.518945987032154 14.211461356619287 18.582037923197692 26.077744957264578 35.52064537769203 37.43875825229547 36.1099146498798 30.688761013616492 23.523304217973173 16.603331507893955 12.552429957250759 11.154991192804156 12.475664075636079 16.119756406898038 20.910241400848648 29.259070048222068 37.25080740032385 37.9567969948668 34.84788814642634 26.9893040241638 21.42207582388146 15.390319871342037 12.206282795426871 11.308880728784622 13.013613884370852 16.67884180966513 21.526656174244394 27.398276418603377 34.83076095729226
5.9709478752712775;10;12;20;11.329052361517737 13.018827915936027 15.018711440412075 20.757808945025282 30.011255530405002 37.745200739261705 42.647712144577284 37.7153989441375 30.39439166939277 20.826194506227495 13.44368103274569 11.9996076027568 11.744170009239756 12.520257411368279 15.372841659886115 18.78780147039537 27.16894341010147 38.2824053006055 41.8443327569257 39.587199823717576 30.261780836545068 18.703836931011264 13.774622177604645 11.061572002189877 11.411032274697595 12.704965357120436 14.579397554028462 20.374506070434638 29.238752606216806 38.400390653405154 42.10451995247441 36.721031011344536 31.878737485340594 18.64158042206125 13.736957482471224 11.643311845574178 12.520549029912576 13.004827525638028 14.80906335869319 19.22853969735414 26.858474967120898 34.57363508141576 41.33685438589834 40.97607094333958 30.561048292244312 20.095570232642118 13.559661508053301 12.48977787314575 12.300406730856533 14.102844249555194 17.493248023522966 23.547524420658664 32.52708718950865 40.96236622184344 41.75784355699606 34.853465351086044 25.06277572691571 16.29402683891887 14.81410727944086 11.760383190251199 11.700968612022235 12.147718771285442 13.777249444675032 18.117192225722178 24.441637340640977 36.683323113463814 42.1730125079805 35.09425046283798 29.36814010908992 20.71093801445868 13.580042404093666 12.400448092580907 12.239698770380176 13.230537578752793 15.884196127398102 20.303744020609273 29.34340653625874 37.73852996506089 38.692989360032364 38.15384607540334 33.29646398990369 25.767785496650678 13.476806739240551 10.746191946875255 10.879381966553995 11.85047711940897 14.546261046846775 19.489941970170758 29.789728043263544 38.65910895554555 40.190711151571065 36.362367203575346 30.98304395234561 16.34984208826312 12.66303574077666 11.079881866531387 12.052603872839507 13.512800028087673 15.325426644720663 19.15040955398477 25.556251682516297 36.23098224868238 41.16001069024125 35.64023733265703 29.33794408889657 20.071323365761025 13.85594999931739 11.92345195994778 11.691411354267217 12.668333477664737 16.356475060060042 20.92551053432722 29.81760191578934 40.01881822073777 38.656747655388244 36.99316511660848 30.331069267661633 21.773734036158235 13.932300054489277 11.879298752203733 11.327773830214728 11.97879872950096 13.421014441355805 18.241643814715882 28.8859751727677 39.97479462123564 40.57410043165632 37.360171104864776 31.529066599439776 23.777357973490655 13.744158840412354 10.909652241469272 10.686260285764504 12.085934792384059 14.335842066105696 19.316532892924286 29.9903994041443 40.87054283270768 39.70229194253376 34.509763869785274 26.555851535511987 20.374723434257007 13.814879037576269 11.800391634425829 11.889108476013305 13.075280405803003 14.879599944181066 19.38184599624601 26.36569936855668 35.16705384247342
6.10865889823626;10;12;21;12.515999915630116 13.682093368610573 15.257025895052598 20.38677700075465 30.068478244251246 37.58042411096079 41.670320191302835 40.21472512864248 32.501837883881535 22.74406094797254 14.564257016227408 12.51079600970884 11.676712969583098 12.35311610769543 15.145159131339781 19.049639145899654 28.535760877310956 38.445467319872805 40.41396809869052 38.27593433911096 30.694594734588303 21.009138902333873 15.745507883082084 13.362632678804562 13.010387854224557 13.70975122739985 15.412044102806366 20.319109010183425 29.101200459146277 37.4006129265983 41.308528234611714 39.12796272039784 32.71354349644074 21.196430912409113 14.77444378220173 12.25923046241886 12.202817800084555 12.5700735542237 14.584066150908932 19.73176867315846 28.635604113936367 35.71768635771345 40.36450365319986 41.79823947581056 33.10699496639012 22.084137337496387 15.350900739642341 12.823411764238973 12.179142694562305 13.655057224356707 16.72509642603973 23.348341487240912 33.65113761893366 40.227356531885306 39.6782361128009 36.94339960197256 26.87103987863545 18.561180109329673 15.426744512619265 12.872660195993111 12.162743876746044 12.428047897678496 14.045568882360675 18.307735242531997 25.001792517686027 35.88171908870923 41.48887135280037 36.94635088964772 29.76262371967409 19.52999564222147 14.203781393243185 12.527474295296722 12.116643170158712 13.030451480089415 15.728405670536286 20.970225715307674 31.196213057969718 37.92611089350872 37.58995031674118 37.886851746982636 36.00543285578415 25.739469808529414 16.467614802540893 13.298739190757507 12.402793866750894 12.609648620839444 14.572229273190734 18.315218430894987 27.82997582077477 37.381124437306916 38.9754637728462 34.40884697738508 29.538920569180153 18.541357473789617 15.102896718833183 13.352007503139639 13.44621176867757 14.211341874021276 15.756217439112833 19.321421891320295 25.64516023629493 35.204322962451855 40.38281081736966 36.82325411180773 30.94656935789181 20.413029420170712 14.8810236097133 12.51753698837402 12.037520713687217 12.89804856046311 16.24556820738887 20.904411055091472 30.28044914868061 39.083031863202336 38.56664022537194 37.41286225554465 30.85647542873404 20.882671635161294 14.39442701657785 12.227675580814232 11.281769654765903 11.91457514546279 13.527366779401103 18.24344887950165 28.7049691624251 38.339396474727906 39.23701995545009 35.80524887589641 29.787471374759868 21.09455073375264 14.781889505682297 12.495949790623792 11.779477454473437 12.695195460843536 14.59834600897855 19.066710306470824 28.92089784353321 38.94981079154897 39.619453374751245 34.4495095381556 24.789813681502274 18.472081868488658 13.918866700249634 12.299503523420723 12.01067830675329 13.264067635960696 15.345698183806919 20.4025541040355 27.58679531919774 34.71593953068965
6.5364869846522895;25;12;15;10.466007279668498 11.676827726880623 15.398504766827246 24.37456288156298 34.05550318292055 40.33033973068386 45.721659169762475 41.78814893414352 34.75568403307997 26.03684258749438 15.910829946067704 11.538033500825124 10.155910110297565 10.953125005943292 14.515391333812662 19.95717428191332 27.96502895893097 37.028545466478235 42.64132488840565 42.12607407312123 33.260357968887824 24.771787841472136 17.46379252542011 12.309514410022427 10.77351363428708 11.681409918266487 15.441986981902236 25.091162463305004 34.39144639586573 41.117437082945486 44.77770884307255 40.459818364352074 34.38206599935748 24.401163285607716 15.900836610582093 11.241974524156083 10.540047337945506 11.092722533081462 14.0340445495175 19.9480659277045 27.44131580551851 34.258986772633584 41.89392006022901 45.94317585621711 33.877252697804394 23.128846427780946 15.662892079465355 11.480029762312787 10.276358019693516 11.758264905547481 16.048228183350965 23.761524672886164 32.84708723861303 40.89383856410517 44.74888991044949 38.1704224295093 30.369637845273793 22.748821561641947 17.01671024503701 11.716236732936418 10.324145658554459 11.03727450708929 14.394665306730946 21.41987990924118 28.902072921438695 37.91652123369323 45.326054312877204 39.156788403450165 30.61533051910222 20.731917504814223 14.132310548344874 10.965462090470112 10.35500997124516 11.992842322546263 16.66398613997911 23.716307766250505 32.1147662446316 39.058234836336055 40.475583316860245 39.070914842669595 35.110201727193896 28.168576002679103 18.61092132242024 12.791406629002292 10.54099374812862 10.747729694662086 13.693542096645967 20.23695999875045 30.29563491435775 38.75817015494047 41.60357329680498 38.046425144405205 31.913956499950892 21.649099004249223 15.839149837862143 11.691954088780216 10.920218013356655 12.005836898883606 15.536826462834114 22.95343719834291 30.75772204891365 39.02537644684013 43.25380213641044 38.05347394264492 30.49138453726055 21.948440545909662 15.230709346558506 11.132606769357595 10.288055163525904 11.502358832239365 15.958843724309064 22.81351227538533 31.284627480326073 40.08579462983069 40.44879356327459 37.523785309246065 29.021787059173413 21.640630928256297 14.499904498990256 11.062835682548501 10.121555825676266 11.214932304515878 14.23320718945727 20.74501148122251 29.397148728775356 38.06865430797865 41.659169832241005 39.319568254774154 31.9260066912339 23.820921699999037 15.67240613447307 11.247547678558218 10.081020848018875 11.382205241559419 15.283174357857964 22.368539504147904 31.216924725044127 40.24174304673733 42.45199829894959 36.98751500731271 26.610521574531237 20.1442212514062 13.584641471552697 10.742398205627678 10.474171248822982 12.36561250235293 16.635875327386074 23.66738031740797 30.40926151498025 36.848387310051464
6.040458522767352;25;12;16;10.321450887191412 12.78707555358513 16.86238125611132 24.638739749568717 33.268731876392486 38.72734634482537 41.60087177501266 38.490496733335604 31.505760742398387 23.427866480247584 13.950769904004396 10.23783466995744 9.085314980145363 10.212200589862155 13.883481625079392 18.132794492885033 26.175912399824668 36.74127419862787 40.83056679059352 38.58467197202769 30.350344443388202 21.539910810869213 15.275283106045833 11.394285809774125 10.95184107429687 13.06216229661009 17.539542467430238 25.54969499057008 33.49409968274346 39.6081275045285 41.42616391517538 37.59887978457445 31.692269027635824 22.08150382627893 14.352766742361794 10.046065775192886 9.824951414322518 10.575503292623042 13.356142141065156 18.49711718550804 25.85225564318682 33.602032296279965 40.73517107429012 42.228631994876025 32.2740919013001 21.020139570626725 13.807887617985315 10.431682696935967 9.779009342822942 12.167548157254764 16.65300319156308 23.70869564468853 32.58685549023116 39.75949102987757 40.68243672086294 34.99593181066233 26.88276031144881 19.855829412297656 15.898465184780894 11.36181894517564 10.086444142891303 11.059610327445133 14.431057545947699 20.682923564243417 27.576386832312263 37.9296967215349 43.21020381395208 37.599367165567465 29.41774496350931 19.34155470908513 12.926733834586695 10.330361453822732 10.00135633207731 11.939088654299894 16.312345478818425 22.39294720000626 30.7108727197207 38.055073794381 38.34602539626727 36.90498155893303 33.2848147741191 25.997946951584275 16.52552943538692 11.43397023334398 9.852414860748931 10.761106345295891 14.642486390906992 20.82700607658602 30.734432392902498 38.94478307183154 39.22303846635403 35.01246091176343 29.621129321912132 19.202499916459956 14.457656937428043 11.324402665839212 11.511559667329129 13.62351854378232 17.454051655989055 23.234555112395714 30.2330199576137 39.13152424687866 41.57010601858925 36.46433243764057 29.513137304598086 20.664956621708626 14.244725446914105 10.408812242582245 9.808755784427166 11.59619924963985 16.644644810045733 22.331197648294136 30.463472187287937 39.98549945196591 39.2557483464061 36.73602641491637 29.271523915175194 21.928788527469308 14.313182900188005 10.327450668723168 8.959978409874864 10.080727879388725 12.891115869606772 18.612404391730013 28.048538519382532 38.87882462747197 40.161349484435014 36.66511450556129 30.159474030758975 22.542356813604247 14.799387968426016 10.557429693305847 9.458484110321658 11.293847522808901 15.028065510246181 21.181444790677524 30.785394083604388 40.85411768821728 40.642335120764436 35.217640209308115 25.30497252218793 19.457299594411353 13.310903464295112 10.385015629333205 10.142125733736084 12.389939699342287 15.993197333887439 21.840305588255905 28.663783443386453 36.66806984349401
6.298834595484338;25;12;17;9.777197527607905 11.445225899102361 16.78881170275416 26.063283175126237 34.544020948225146 39.232968347804544 41.06308802683784 37.51001848380068 31.29437982548688 23.999431021887368 15.399349920571368 10.995679712037115 9.038519654386544 9.658508780078716 13.805130742673018 19.389101020099808 27.417415573180236 35.76651491276723 40.02618968949641 39.886774423948424 33.522193619263334 23.596660499955703 16.95472037804301 11.818417980738161 10.081830899530814 11.667279919726578 17.292428828241285 27.333649158895092 35.19476840486854 39.66472580366762 40.71771851446541 37.16541717027874 31.41205803375493 22.69818659171654 15.487495675842927 10.797046980794738 9.480420305264946 9.895782318526399 13.341298622151815 19.359427145610194 26.960730807166033 34.11261113946927 39.56381498665377 40.59269921437043 32.98166514654889 23.015857363012447 15.468972497936605 11.105206776966284 9.404179607047173 11.270106263079844 16.698413329236487 24.743777188373336 33.355570073515196 39.241118816100496 40.90122218363649 35.950496512330346 28.25653072080243 21.31027217668228 16.11135954793387 11.404366900840195 9.578575597052355 10.27534410521774 14.496185687507532 21.638385735482377 29.06998141139764 36.67393461644045 40.565773102113596 37.82792860000425 31.554716205522375 21.774362669883644 13.929959005619775 10.470069688000867 9.368725002455488 11.311707808561287 16.69462161311769 23.807520030586762 32.05209188411001 38.058687974210095 39.84245650573028 38.65725528766906 33.759243718502304 26.661672277252578 17.795688518498764 12.199566793349975 9.723288599488416 9.924243478398349 14.113294589102125 21.540335412870053 30.89726759774647 37.685991374082434 39.97484592449806 38.31400406000035 31.84971941505419 20.623622393226125 14.994083849320372 11.120465447279495 10.271947289211012 12.325308389376442 17.715414101273 25.692877839452237 32.74124860823488 38.5138991215155 40.36247852442001 37.274906432804016 29.65714556221876 21.958781697263213 15.048603691288449 10.777929765112995 9.326406561385982 10.707887311047402 16.11592283811779 23.190411988105385 31.393714417267088 38.234369245947555 39.38097825989419 37.26835716632999 28.87244089961053 21.34084065181039 14.387291812843527 10.60648776295468 8.95862697393578 9.792029570791495 13.197172232018984 19.46913647212955 27.91498566413074 36.03896628820668 39.51914064577038 38.877164021872495 33.16460582991917 23.52693810061769 15.459665006064435 10.864894195262979 9.154493379264888 10.569804580236557 15.291885111783007 22.322540644662126 30.80051234498886 37.957971569559106 39.841330534128694 37.10500757877594 28.430964175690043 19.960439802070823 13.475651740793111 10.283441920165416 9.48518205806929 11.675717956309267 16.453776422545282 23.325090472163538 30.356095134080036 36.478008807333794
