rmse;hl;T;RS;preds
6.155843538507463;10;12;15;11.540604064289676 14.623419803444746 16.36595671300728 21.91983425180849 29.360788216576154 35.22289879370645 42.57200878052909 44.64226823027648 32.312424213887944 20.11441506850297 12.758940439446734 12.131735104869048 10.37602405755069 11.161987337695594 14.6594265931504 16.919612745515607 24.20219387670569 34.869273506341514 38.47461162318649 35.57263718389993 28.747684191213995 16.35536663957454 13.581152174665021 12.116476434555837 12.508787081959234 14.464717211397511 17.75157851350202 22.989206204177666 29.651035073647037 37.71952885676253 44.199726288617796 42.098725383992345 33.30438359351874 18.318163643183812 14.214156127982335 11.547439548964581 12.611809433247538 11.252999325233562 13.31662580318403 17.762458855393206 24.318509510826367 30.96673289010981 40.29821713797796 47.3941860273199 33.98070640152281 21.449130194294344 12.46565048886267 10.860190496150324 10.366478950568352 12.76794011174437 15.590729315567263 20.591929634103735 28.380967796373213 37.181273928624925 36.57360568642933 36.64123958733276 24.922254066011007 16.08336349263836 17.42662466188068 12.131550143107155 11.86596530431723 12.298832530751667 15.869148070477996 21.70765172142163 26.834359396089035 37.884237980770784 48.42985308636318 38.637591287216765 31.159518399521843 16.77107832507198 13.70450411873127 11.97470661927982 11.01855961699181 12.279978581811305 15.916502331780052 20.44197289821373 28.614421266899182 35.455850707337945 34.34885591249679 36.61906712736516 35.37274887281405 24.238656657908273 13.481839859301394 12.287021979707609 11.86041105111704 12.969185259112745 17.26094077588639 20.44169950582845 28.998420110747166 36.393185613347036 35.64461566107906 29.78391997392295 27.294325545769514 15.049316536618955 14.832978779497315 12.549438167000002 13.975031621829872 15.237384171016876 17.84710383804734 22.088585532861316 27.41790970460252 37.745268243554364 43.729777604138526 37.304363956035644 31.55311297857166 17.371551959755706 14.786761290483678 11.823929031191048 11.605200272023337 12.686970062782729 18.20628742887002 21.935310623465533 29.713963925351962 39.88903176749503 36.72536748710511 38.02715266885034 30.501811925347972 20.671156722228858 14.24125775140008 12.892431528270745 10.851922570385142 11.892231224591827 14.31398957648531 20.310491412182255 28.805202573862097 38.95304694733916 37.32685908652218 32.92050828252633 26.405894799621983 18.692889759870344 13.650911110701436 12.344499184737186 11.213482312309509 13.916822670267843 16.71311643922109 22.553202728306175 31.063937721456544 41.93092591346605 40.13599487211135 33.599092484334555 22.393579040185575 19.862237594800014 13.447678636957106 12.491321021275992 11.725698134595858 13.752715684550129 16.58207035587728 22.451208129873642 28.402386908434714 35.04927640289517
6.3751809874194185;10;12;16;10.900425754748296 14.295451547634602 16.882234943625996 20.981806751756686 27.464841726553978 33.27901413025069 41.96226410629123 43.81766954326968 33.183382148922966 22.934447312633203 11.462771614850944 7.471226588745022 8.622436695279466 11.023375373230282 15.83853622384185 17.59399142989102 22.875327390641704 32.9705640656207 38.1529118159929 35.50234226377978 26.680618369552423 19.783519151520096 14.445045110430092 11.371003579235166 11.838021227327067 14.415582186855044 17.090380379790236 21.218999960096102 27.430458752608295 35.15987003564838 43.07553004992063 41.27885739781527 33.24087420489693 22.01989645548322 12.454398873361846 7.9390839902376324 9.103115862120205 11.407805569508373 14.873768923380965 18.65775546314734 24.66139950614897 30.548625477265812 38.33638443318935 49.54095484236986 37.3737408177756 20.2912547139025 12.800560886130121 8.476626073044729 9.65995742219923 13.380559118763756 17.010455297278995 21.28261499293593 27.89425442081146 35.27204056867818 38.42364048188363 34.348768156916336 26.355903820648564 19.626928768790243 16.905928275307264 12.708036802436537 10.654649375596968 12.034541074209137 15.21455219410997 19.733202801856052 24.987238760948934 35.4202475933024 48.88068185498899 41.1178205073278 27.730933185060326 18.007517663913543 11.716123325724746 9.861915414898114 10.103757643873129 12.904410840046458 16.79432207816412 20.354911261882314 26.510970969014515 33.01645753402956 33.61314620302376 32.45007626731161 32.107494682226104 26.268736877620597 16.41331434952397 11.403861968731087 10.841999439363898 12.649888604737903 16.71436729376411 20.59303805458924 28.62743609452432 36.2050160474672 34.835254043011815 28.465878070897507 26.485252171031938 18.919649167214533 14.8424388310709 12.89720273167606 12.594397375998426 14.653118317001182 16.91432108401387 19.965167802728836 25.172311904924392 35.95209231380886 44.099968444922595 37.07820972467517 29.458279266123775 20.496267950887244 13.993744486798573 10.493250662100833 10.136021995593628 12.944066911813394 17.98256672725999 22.46678263589614 28.26695372111083 38.066221453271126 37.837125384836455 35.04761444720984 30.602425723474116 23.419932110068515 15.699753473516104 10.76174088564691 9.158296571113437 11.022562621546639 14.653621899024436 18.42999800483615 27.440461538694876 38.64179680464957 37.70076671366019 30.72197177552011 26.398484853416527 22.28706156976435 15.727531489946319 11.126885105511604 10.129976311142864 12.6249160667107 16.188644537559117 20.588833212199354 29.440838182028816 41.621457884102725 41.409740120770834 32.351447095389716 22.97868017544259 19.81473583661849 14.815928545256869 11.188559727458875 10.6940313799357 13.254856000184105 16.28276239760244 20.65756777059463 25.965960211267344 33.421724955366415
6.192267945272363;10;12;17;8.571025425988452 12.88815445628771 14.06460576793415 19.680044858992424 26.96734994058296 34.6625058327905 47.420080673984856 41.01464154608052 31.602998650848527 25.09932963891339 12.03453837403743 11.84612174244645 9.296812679483171 9.27627922374139 14.733092677646063 14.995969244214407 22.489919732205877 35.72137479226447 40.415465343901744 36.108892634888896 23.930964244583045 19.53627927930387 14.119257918315842 10.42098461663497 10.732831497271688 12.212127992128432 14.922081070595889 19.810799323791933 26.36798236373449 38.28390254581673 46.13809855153481 38.09760419892946 30.94783236320751 22.956523578983763 16.161506461823333 10.930255901675423 13.680212699017023 11.78145533024842 13.67934189364169 18.1397710615316 23.1287803579545 28.906362144194407 42.75196847433544 47.32850975090365 31.965572982291597 17.694593077244484 13.660446092039876 10.17840119052653 7.721822774392383 11.883768886463779 15.79728165042469 20.258220475724194 27.574505150154323 38.753964637507664 43.21494126521106 33.84701077469203 24.09611653427262 20.358345880292934 21.482644050472008 11.38429112420266 10.122600792126665 10.287785146355258 12.556736731122564 18.38343590640848 22.47953622190868 38.637325320303674 49.507672525916014 37.50626659521455 26.211593481318232 16.55241504506815 14.469911666717815 11.531050856792216 9.746087499291917 11.612226118803548 15.56707108611818 18.376384407997055 24.929368343414602 34.27620036726227 33.842605444552945 35.67060076349618 34.06422338744657 27.561805230054446 13.489887046029574 10.115939468526827 8.67107353814209 8.038566416418767 13.934759235870937 18.366642863523072 28.675546066382722 39.30465790661108 36.25924359584805 29.20371720328255 29.640725143028845 17.2019643005168 16.849127463290156 12.900522592789153 13.710775267519526 14.699324330285064 15.683381657416906 18.009672063413834 23.73651070409934 39.69049219217653 44.711593788754 33.5441244138632 26.392270070712645 18.46974115714062 16.228581427183528 10.9886106625096 10.58083478165745 12.535778673379943 19.04368864250154 20.658502030005064 26.827196853116185 43.1356547733084 37.80869527693913 32.85593637633803 28.72726448020535 25.59381984651121 17.862366221096643 12.740469239845764 9.541425284629014 9.113701885295384 10.804062026888124 17.004672204526685 27.368452347062593 42.54770318491339 38.40812124500075 31.06378111149757 26.597367688063212 23.895395557736762 16.095336729027732 11.379502369681251 9.863380258048869 11.519280808323755 14.167212967822588 18.919603601816988 29.63741338243087 46.25242382158636 40.32490158486705 29.29978458729794 20.135614454091858 24.403334983083003 16.780241357757852 11.481548608897672 12.109210947536678 13.864519669270772 15.011021351392074 18.824188309268706 23.68678636708194 34.48184544442633
6.207666669930777;10;12;18;11.167128464624696 12.735166102614274 14.701923245552534 19.903444240169385 29.07814774320237 34.92945088307755 40.87406250652705 41.723504123319145 32.80769038332991 20.803159341399677 13.688500201027077 12.585935712913304 11.350414769973403 11.790137732370544 14.954493256717317 18.01060227256671 23.898590535908433 34.74509125947553 40.40769829998811 36.23956879470892 28.361971075853873 20.439930893360717 15.603145380116498 11.668989128416767 11.498446283436703 12.729730656969169 15.224359217747836 21.23778809235112 28.30536062594207 35.477464231762305 41.52746085674326 39.75088018230567 32.24964927197029 19.85719333653088 13.831555973078297 12.379974715659595 12.309141111284008 12.957124267142913 15.4362666681421 19.685594386892127 25.863866044003135 32.27459345819457 39.13959371002342 45.48216203991453 33.822535068258816 17.300000784749127 13.119022512404742 11.14735375713243 11.040883286574974 12.80223836780276 16.25611710320309 21.249844359020468 28.767710352196424 37.75797660169083 39.352309186800845 34.85082863341468 26.42438220025319 18.955711310440172 16.25135400031289 13.413293975404107 11.649271124530337 11.5051319085819 13.627177276444574 18.640153381314384 24.85556657529069 35.81074102514735 46.364699661312706 39.384578938864756 26.451627270292846 15.314611781993362 13.801814931817486 11.589784991751152 11.631938722346565 13.031775239268507 16.41593621625094 20.664832582570863 27.945291378799666 35.47648406943286 34.95948489296852 34.27271984593264 33.64467880821181 27.12930725210087 16.66040436221049 13.322342066686607 11.100046748835238 11.14379223065161 13.87306166246416 18.19273290442505 26.75072056491702 37.9693743946755 36.923303574047225 31.104729890468974 28.142732321755105 20.411611492503358 16.026195457269168 12.086078576527427 12.051723616863201 13.37573796218187 16.042366110576236 20.425535265429186 24.990095880135833 34.58799594463657 41.5516354940312 36.42481947497408 28.9969093646774 18.576998390229047 14.70714335250405 11.826576549549232 11.71428180862094 12.838512474507356 17.078942452441666 21.758972534960478 28.961852697890954 38.73970233055414 37.81737362880369 35.94714829941434 29.631194211947964 21.580958314868635 15.236046235936325 13.09259998217117 11.332836652164342 11.254269756021452 13.140683289833971 17.477186052127085 25.77779132043043 38.502315384894786 40.51275793082894 34.03842189670548 27.230705112586275 21.669287344294773 15.819843610160948 12.769655395820898 11.291240507026314 11.82876503871732 14.083895794605105 18.691034404386542 28.08747432034677 41.45153472852929 41.321459356913955 33.35505636584804 21.43396096716891 17.483060950717416 15.475384055653597 12.051367194197947 11.88859679347493 13.525735875690401 15.86378687955482 20.590525207294913 27.439387207877168 33.70417844184952
6.115439049626062;10;12;19;8.403491922375238 11.904634463325454 14.604684662059467 19.767889545118713 27.011857208342015 34.51337264927096 44.27271868027269 41.20246548998193 31.356933353324607 22.35466239356438 13.731225017938407 10.514353854072677 9.313040711439001 11.028482748013053 15.403107884543834 17.168841969236574 23.130761946465583 34.33081404019715 39.920414513153375 37.52206259969734 28.384122947012212 19.841250510211545 14.369303943978013 10.209955397088232 9.65042851624713 11.765740330916817 14.67407907491551 19.470743074294894 26.269069336261957 36.61737816996277 44.138206926543646 38.832836653053384 31.87009153553651 21.48596897440705 14.482446538822133 10.49131868924486 12.012587328149758 13.12144389138251 15.345569925650862 19.355779213634765 24.216669075322198 29.340252060662667 40.19113102827143 47.00040648650818 31.853368022072544 18.39526907139058 12.363926245122245 9.043059993110957 8.156869039393936 11.78800864698 16.035760815539305 20.999757493261235 27.885862962190707 37.590331040951796 41.16806125218406 34.6061390733752 26.23124296834761 19.330973411210437 17.796323058849783 13.074456853432533 10.386167252566011 10.53215473604752 13.491259408299383 19.06389639003123 23.728635990838914 36.52117240214743 48.35997804294338 37.23072757342875 26.39446261013829 17.01163527231472 12.895048669697232 11.039642557675856 10.997419972701929 12.859268019371992 16.510663640057 19.93642244978478 25.57570608213988 33.57165468953935 34.975945139691106 36.37912311909979 34.202275741325714 27.291696928613273 16.75314513468352 11.582819898834337 9.014339616755187 9.506282549869427 13.884960644131606 18.439370638350738 27.524730522438887 37.998953425633914 37.244034019598196 32.30798580664545 29.533055796233718 19.100777360326852 14.946726887846609 11.095311997747958 11.52971022153996 13.42294776429763 15.354815313573782 17.658241340603325 23.080841171956536 36.56814863941058 43.964575085131386 34.978052623707995 28.48561160077125 19.401588301677798 14.83055267521906 10.822359740456955 10.171842473451537 12.480830854196391 18.808931664084277 22.124036002815075 27.47086074680914 40.66145503661789 38.60441967780289 35.82481296999557 29.600490559473798 23.239003898423206 16.328738896291277 12.17966045248702 8.877694727378032 9.578501342330428 12.447028754689063 18.03614083408788 27.60376218563675 41.07184873393945 39.580398091189 33.72372025953211 28.344460799858936 23.37889456295226 16.58225801781088 12.06065038452476 9.140862912490674 11.025212840076529 14.387065673463113 19.279158128727843 28.804730043813464 43.571700101841344 41.160581776557166 32.70427245688661 22.944477016056485 20.29961107029107 15.500951306499148 11.631215076329234 10.741501748621133 13.364316910906467 15.944256046664911 19.947355782545703 24.465910787337304 33.38855064578083
6.028425461208144;10;12;20;8.424087482066268 11.935548729192725 14.729711387626647 20.446389029039647 27.765816028293166 35.313208736600735 45.64793233140342 43.90812394535027 31.22703146774141 21.68497230421614 11.50121125926412 10.127241037204218 9.73770481622921 11.157089226220075 15.674961846993234 17.779107439092314 24.05068487960593 35.01896022506088 40.36167792350905 37.626954819892376 26.32518194201538 18.178873598098715 13.224639728702956 9.619327938532116 9.787424427946126 11.928863104047528 15.120792781860679 20.610628998213905 27.334140927667132 37.66341793861642 45.38248520137053 40.409146942108634 32.6378792848823 20.070742491322672 13.787370363273773 9.895145078003674 12.613775833292769 13.06165196415757 15.318911805435901 19.30150137455588 24.42182145553019 30.044672855444162 41.523521306223536 48.81973897957417 27.766301046635938 14.50334384270136 11.055641075036636 9.201052439999392 8.764413073691028 12.453260075944646 16.812270119496965 21.811786205931533 28.895935093628445 38.709201190957955 41.905652306293575 35.5037706546125 24.678587702287544 18.62448901020228 18.350668985229113 12.082309811868136 10.13541580704553 10.252465550348898 13.224971174779924 18.869764845023525 23.40299066321471 36.54675517898029 48.490828363838475 35.368342192589104 24.09673799566694 15.758349224675083 13.230421471369416 11.25237963582693 10.419780340053888 12.256400682470488 16.0878106754389 19.97127559112885 26.099236973962153 34.4419942852536 35.55704909263853 36.92924935214485 35.717198976720425 25.814131075059638 14.342730879171805 10.145608955237417 8.938861717044489 9.765461231285775 14.346847290938305 19.078583298985595 28.423452298002665 37.863604618675865 36.811170843421316 31.640570865101 30.87033811027501 17.66209786084308 14.782928396746357 10.8297973634224 11.503708918092595 13.387944088380925 15.47869176599401 18.9991894752576 24.402498351755828 37.47144383080217 44.3467155358024 34.600842011530055 28.181753178128094 18.26285130081989 14.82998226394607 10.512728350705387 9.89704059854161 12.098831487497042 18.49817464025258 21.355573969965963 27.539540289205895 41.11586288284062 37.51708888341405 37.91457035963531 29.407907562939748 22.629492620277226 15.419969106764828 11.357128746921518 8.724281771703755 9.745416506622862 12.488442638236904 18.22705309937856 27.659647976966834 40.30631090266807 38.37298526067043 33.79651891386707 28.454687884303006 22.99650523239224 15.356085069318747 10.776020743716527 9.029410625134798 11.21708569145178 14.729546677152554 19.74003558635925 29.20755009701987 43.627904175911326 40.685069388276744 31.809370749244543 20.20687097286097 21.06442829323829 14.828419539570955 11.209252493331338 10.564011361840345 13.07366772825132 15.592771320420274 19.845984248734435 24.63909212197641 33.94655530482242
6.15453975932467;10;12;21;9.802031006792227 11.500854836598865 15.057386674806638 22.49079197204743 31.354642257631674 36.52279115508545 41.87981706340616 39.46081828699668 32.876380726413494 25.233442104751347 16.49934182009181 12.696140520940796 11.328486675545234 10.784942111034674 14.14571960103916 18.969953028584435 26.16226606954168 36.03701946440633 41.30347621334893 37.223291300549164 27.735587268517875 18.816235966071716 14.676412023269892 11.684844536677105 10.370675017400192 11.426204539516197 15.047836167480888 23.124437891187952 30.951564675548767 36.883413937427676 41.489161621258816 38.0876527161053 33.21700063675426 24.173951430741962 16.51718522977103 12.598886411460418 12.009460529313676 11.658702824301004 13.335147631004498 19.387928133014814 27.11641696989569 32.752417193455734 39.76855010595275 45.81324359370221 32.67389214997429 20.743619880229293 14.7521869418683 12.182342398034463 9.93651440871836 11.124803273125924 15.655037955014187 22.954945413001703 31.243312828088442 38.405515579304016 40.27482285031318 32.99867420317081 26.257564579663654 19.38827645516495 16.59220207516285 13.157965738841172 10.635360699011866 10.914806869256907 13.541681064659977 20.077363649868378 27.93000638181232 36.997916068726 47.01330790692165 39.118394661955996 30.636347980622382 20.490092658194566 14.945417304568975 12.517519437257928 10.767415296488037 11.266137010671347 15.948116617162222 23.03897273137798 30.45847011920172 36.33407210426334 35.326093955983964 33.01185104109834 31.141439399861234 25.186118895423913 17.039664404713633 12.475462912843948 10.98255957771542 10.631086327200538 13.720007154583916 19.505039980267433 29.273437661872148 38.15271470345833 38.76433194677462 32.250954804990364 26.767103181703046 18.82043338298941 14.257397352732525 12.447145537115366 11.572138019563578 12.337152017523906 15.017214870243768 21.234926585385196 26.81133671955536 35.39332013095972 41.56065136735908 35.232011873215754 29.824558908191037 21.496461166615433 15.721504031654572 12.604342783436248 10.733468737794412 11.584641164650344 16.64369569969091 23.474523253445714 30.48237608940487 39.35732340565974 38.36271785775661 35.80713629591922 29.79063800112862 23.65885722541653 16.972453080682264 12.940788228318825 10.925183629124836 10.620658264070187 13.126367654489242 19.445712482576003 29.434814098951705 39.7911370422773 41.23479194565168 35.921552021722945 29.088353042166936 22.329162731391854 16.43567649655395 12.249149371352788 10.71129627782681 11.420065699141558 14.743145416909217 20.817488140081476 30.663824927907328 41.79272842535768 42.1423790599707 35.20120156395918 25.270676122497587 19.2244374614891 15.600428332336872 11.898328212305016 10.755361729990396 12.182839904671377 15.737171102938385 22.789622674973153 29.53742332396892 34.870950312971225
6.010672696148845;25;12;15;8.756902546089508 11.601831807819527 15.907775376824771 22.813271875723093 30.994888255536 36.01478760066118 41.63597805745421 39.94877846684389 31.62386827796776 23.430308363654248 14.984010183726493 11.538673441519556 9.495666824805477 9.982555036485223 14.777509827174418 19.413699921867128 26.625983095243896 35.50430258843868 39.46303377788183 36.987263891344014 26.40934190632674 18.749517423376776 14.279739248474709 10.287389571200261 9.745562315895011 11.756004861829172 16.159549512379076 22.97547827808092 30.343457655450873 36.722907630680524 41.729613261805014 38.48166447168377 32.14300936563826 22.384029629804576 16.128255872387047 11.721118643381699 11.388518243009123 11.645257319288683 14.533547288366904 20.009983565105355 26.411571573113353 32.27300508218825 38.876310767613255 45.02455314013379 32.032402907069425 19.591682077419957 13.677690063600261 10.13756514372387 8.554794693860917 11.464416019420177 16.98936425607983 23.796559991440056 31.640660645810243 37.83090148905306 39.66487836336904 33.35080359541036 24.07245003554769 18.926997346992202 17.694939374265836 13.155202788142537 10.203119912413326 10.13587213606392 13.78054635432862 20.40632388125918 26.597409878246125 36.09754651337835 45.80719790925145 38.96560814611762 28.389780819301638 18.65192140465407 14.544264269869847 11.50452166977624 10.023677301488767 11.61937752356811 16.77469182985815 22.53429486031205 29.43312379146346 35.51622114635099 35.59188535790943 34.77101560802926 31.055787928203518 23.910079597758692 16.042482893002543 11.570222247737844 9.212591623786953 9.50379704181363 14.232330308695596 20.531326305281006 29.84989799452739 37.51195450691421 37.7463699136106 31.533658241426615 25.52787456548871 17.471637199270308 14.61902932425004 11.333657504363106 11.273038649553062 13.123789665552499 16.35095320892033 21.07858799366697 26.83227216335994 35.802583806422135 41.44091630329363 35.67702852224341 28.25791320871614 20.084454300769544 15.851771115461068 11.691952738694363 9.921107228961294 11.572930519959424 17.732020832310663 23.428548526744564 29.950762233579308 38.37477817468352 38.208886375467834 36.4540407331814 29.16085062735663 22.9728476357959 17.116388433666867 13.048560181638795 9.701702076781116 9.65382533225386 12.858589601230744 19.589497638509428 28.915515051236383 38.82817210643047 39.79798872798244 35.502957902928856 27.572683209295388 21.6773763836844 16.29565031715738 12.01682254747134 9.335638448450371 10.745809872578791 15.030067012523595 21.363672797478028 30.253005953541997 40.42283411248868 41.28023178521386 34.88530172559106 22.95162226105434 20.169868832360017 15.784998569331998 11.991852709615845 10.464029403893514 12.46192897720824 16.421531647069656 21.961566418096233 27.528352127740177 34.38211257731942
5.841817979372962;25;12;16;10.831750937652025 12.21663727887822 12.978057348297249 20.46739130209396 30.26385659354441 37.75638755064157 41.81613486379513 37.95778930796892 31.589540320020596 21.29575942880298 10.279487518701304 10.589642741763925 10.17613574646481 10.488418704832121 12.979431735695838 17.957022765395408 28.808572725673223 39.70904102171406 40.678933248073804 37.67149820244801 27.93966725865657 18.95614097526296 13.921555396226342 11.694607007481814 12.085936817512838 12.265911362263571 14.00104035074943 20.672806527141503 29.472133847149625 38.04584865774588 41.67923615827757 36.97714904813161 33.05490730408664 18.59992419810275 12.251858318617295 9.797070791367457 11.932768902420923 11.39852237918156 13.305534847899741 19.761470224408065 28.03721737446027 35.2004563165682 41.64057374969861 43.259236231969695 29.38989809270058 21.42753455850753 14.090016408820725 11.075418482700607 10.612586100753722 11.55465305767839 14.453578328065435 22.066738865486172 32.949411595515215 41.291723715996554 38.652453032289124 33.64180447543028 24.455872561497074 17.48188570098218 16.552017444784376 12.059424506570027 11.622509722747605 12.089700856871644 13.333956855281949 18.37106034443484 25.248268072548598 37.035742774161804 44.0444259129207 35.68668298617986 30.95028546920283 19.58903017128275 13.15604591675788 11.318138267480222 11.27817032588119 11.66330661706052 15.014813067510872 21.245326634234093 30.38791395746897 38.0838684254587 36.412067914090315 35.983785579213446 33.09662630703731 23.375306456656205 13.523120759392693 11.966662807766273 11.629168346175737 11.682622295362687 13.881669809864357 18.11294620571377 27.94834999830016 36.3002416529531 39.176106781924034 33.08553535175302 29.23752065287573 15.699440928641081 14.663150804976537 12.581441277107901 13.632321103545381 13.800771315452938 15.652676654856887 20.130864177017266 25.175154510688365 34.761986233842855 39.983898250143966 34.677354077004324 29.934935177121886 19.4100823668234 14.554300808102761 11.11152382867355 10.848849774983188 11.902042298487252 16.029972322443584 20.6221310546405 29.741189756668206 39.96446376428672 37.80809448873444 37.01043946510056 30.40559603188873 21.394765274677923 14.217941093671866 11.907854418085408 11.178334177206509 11.384034607890547 12.330696582016685 19.383856274081474 30.617174061334808 39.516741543209186 40.182238012756194 36.67595434487688 30.00446527360618 21.69938919599986 13.837045422157532 11.372841046081412 11.038297872166039 12.365936522957705 14.006650632512528 20.428167932842985 30.82951016398747 39.51299370488062 40.18148601493594 35.72913103549128 25.50243186006312 20.437287425260095 13.490099009508532 11.81592302208139 11.973768309611824 12.948468866737851 14.111602931528026 20.321711300665527 27.76410006917371 34.411936648860205
6.136765360505732;25;12;17;6.07240128612715 10.618780294648342 16.16792341988374 23.324088924685128 29.987977350123604 34.96196770085261 43.056777357419264 39.59904952725138 30.053195947435604 23.625615074016824 11.917488630734061 7.346723021445968 7.271976868267721 9.174201932550346 15.765407473515772 20.13246672892505 26.731557108794807 36.44107990899039 40.12910808417402 36.66402093602017 26.562177362777298 18.050929674524166 10.869056509948487 7.089496564173391 7.092802924427954 10.179166689205312 15.579800370585364 22.559399622372503 28.95303359957619 36.695345627986825 43.20012947331527 37.48538481732263 30.345836506724268 22.689872931793076 13.537174478081894 8.085014770113306 9.905991667748527 11.263070965698661 15.040302013376936 20.526139612954356 26.160133271415038 31.074768110171156 39.22578724115121 43.23486313206133 29.795136487191584 16.020233478141304 7.521036656214104 5.571306121013862 6.493787382465715 11.83750009418772 19.240482219290353 25.80285330164541 31.65817935984176 37.4638482477919 39.52291143555845 33.96713668861199 25.105180911001288 18.049728773157717 16.538179064788764 12.055127183299195 9.270846478267991 8.94426206045741 12.8429927344113 20.09464306118241 25.639877012829775 36.95061311068636 46.159081585865714 35.22722311869434 25.36767675335902 15.957909464898629 10.945298558252116 9.608362541232179 9.327089704827715 11.805629967536364 17.43331298719758 22.385467386857904 27.850694575799906 34.39307527444765 34.412286996139116 34.38273496689776 32.6810219533652 26.049007704835645 14.565667180901109 6.375880334645547 5.0757733096158795 6.601139459085331 13.545808277113304 21.688307353795082 31.645928680809547 39.45279337668508 37.05878063916133 30.577053560034358 27.334852422911784 18.24044055069919 12.52784354377758 8.953981328514816 9.341553174573374 12.065148870587723 15.76840736428165 20.050127017865307 25.329816295776883 36.38322332983605 42.65095100053918 34.65452345018328 27.514250481003184 19.45885759348598 13.092461598371214 9.028562771218969 8.249356670769483 10.535945777123391 18.582235035732264 23.821750146430727 29.107879333862208 39.71384867743741 37.81572922423446 34.34252400984514 28.67239125326519 24.22023642404826 17.326124270966208 11.088782982561735 7.698973921412312 7.829524523247985 11.654683618715937 19.417509864144947 29.980623432481057 41.68856255135169 40.23014850942978 33.764152630664654 26.81187979158982 22.659125739050147 15.595497818800872 9.638411402067527 6.957439266525515 8.806258984711905 13.98078568773634 21.235144961771958 31.230630121583197 43.50060593089608 41.26813501596891 31.461917379357654 21.47288968018242 19.71061721561736 15.439556152323496 11.618670078581017 9.688210668849784 11.739427157637357 15.998368837748238 20.977277888762025 26.020554645478814 34.141816196646346
