rmse;L;r;method
0.31377968681200963;325;12;recurrent
0.31562626180280356;247;12;recurrent
0.31860487362811535;325;16;recurrent
0.3205883505055528;208;12;recurrent
0.3211884007836798;247;16;recurrent
0.3212103647209393;286;12;recurrent
0.3266933348219634;286;16;recurrent
0.3267133876273273;208;16;recurrent
0.32759810801479505;364;12;recurrent
0.3327315916951002;364;16;recurrent
0.3420208363233185;169;16;recurrent
0.34878047361544573;130;12;recurrent
0.35112350011196974;91;8;recurrent
0.3552645661656778;91;12;recurrent
0.3554517486072162;130;16;recurrent
0.36150714387532074;52;8;recurrent
0.36764632948011067;91;16;recurrent
0.37810750133467874;52;12;recurrent
0.3783022367177585;169;12;recurrent
0.3807409698384645;13;4;recurrent
0.3995320072163195;52;16;recurrent
0.42862545245953093;130;8;recurrent
0.43936976134668887;13;8;recurrent
0.5248940979205;52;4;recurrent
0.7080882396447236;169;8;recurrent
0.8063406752362148;325;8;recurrent
0.8153401563868987;208;8;recurrent
0.8729735051812615;364;8;recurrent
0.9343639075312883;247;8;recurrent
0.9895465252481837;91;4;recurrent
1.0294826331894489;286;8;recurrent
1.0898538304229812;247;4;recurrent
1.1002360184508355;286;4;recurrent
1.106003637657635;325;4;recurrent
1.1136450549149997;130;4;recurrent
1.119669253008317;208;4;recurrent
1.1696528320294854;169;4;recurrent
1.210934710965041;364;4;recurrent
10.75988558004993;13;12;recurrent
