rmse;L;r;method
9.735189247876505;234;8;recurrent
9.740108855248028;221;8;recurrent
9.751974145492296;169;8;recurrent
9.757806409712432;208;8;recurrent
9.758835989478026;182;8;recurrent
9.760678453857537;247;8;recurrent
9.762384947659994;351;8;recurrent
9.763433685333569;156;8;recurrent
9.764080784409977;91;8;recurrent
9.76755760260937;312;8;recurrent
9.770704648767316;299;8;recurrent
9.774663000349863;195;8;recurrent
9.776277003023186;338;8;recurrent
9.777295033149207;78;8;recurrent
9.779491783657015;260;8;recurrent
9.78137863244618;325;8;recurrent
9.787464626747113;273;8;recurrent
9.78900059288883;104;8;recurrent
9.797574944075643;286;8;recurrent
9.798543259614023;364;8;recurrent
9.803465867012116;117;8;recurrent
9.81911407912488;143;8;recurrent
9.827397344469198;130;8;recurrent
9.908272569019383;182;12;recurrent
9.91124353474161;169;12;recurrent
9.917129031294703;195;12;recurrent
9.922037293796654;65;8;recurrent
9.939090409310618;130;12;recurrent
9.944233128472497;156;12;recurrent
9.969731019271306;299;12;recurrent
9.989524672181112;351;12;recurrent
10.003462420120654;208;12;recurrent
10.006608298598005;273;12;recurrent
10.007317212487527;117;12;recurrent
10.010052257002306;364;12;recurrent
10.014389888011104;286;12;recurrent
10.018904156480925;143;12;recurrent
10.019644590396005;312;12;recurrent
10.025353186602334;325;12;recurrent
10.029586064393417;338;12;recurrent
10.031917582000261;221;12;recurrent
10.035768028325155;234;12;recurrent
10.036799638611084;247;12;recurrent
10.04403990021489;169;16;recurrent
10.054869620744153;260;12;recurrent
10.067066270288858;52;8;recurrent
10.083539582506432;104;12;recurrent
10.088697938697472;182;16;recurrent
10.096723428347984;338;16;recurrent
10.098030592558246;156;16;recurrent
10.113410200391929;195;16;recurrent
10.115587896812803;325;16;recurrent
10.133819574735444;91;12;recurrent
10.139586277384883;351;16;recurrent
10.147996186899041;299;16;recurrent
10.15115226775549;286;16;recurrent
10.173086974481617;78;12;recurrent
10.175347898659451;143;16;recurrent
10.178006745449917;364;16;recurrent
10.188069199506055;234;16;recurrent
10.193728659650494;312;16;recurrent
10.198559154755458;247;16;recurrent
10.19902176374973;260;16;recurrent
10.201538537094201;221;16;recurrent
10.211227689586392;273;16;recurrent
10.211355440611795;208;16;recurrent
10.212108772431744;130;16;recurrent
10.258381917236333;117;16;recurrent
10.327373846274572;104;16;recurrent
10.332865422152391;65;12;recurrent
10.336614604803337;91;16;recurrent
10.371743645206472;78;16;recurrent
10.483324513769348;39;8;recurrent
10.549113318345578;52;12;recurrent
10.667109247196704;65;16;recurrent
11.096566489980257;39;12;recurrent
11.14528880163632;52;16;recurrent
11.237176991717305;26;8;recurrent
11.551881945765453;39;16;recurrent
11.874970667478797;26;12;recurrent
12.621600904324318;13;8;recurrent
12.88878962502684;26;16;recurrent
20.928947322338;13;12;recurrent
