rmse;L;r;method
0.3415526524873974;65;6;recurrent
0.34302080408620805;130;6;recurrent
0.34315490766241064;143;6;recurrent
0.34425538952520696;117;6;recurrent
0.34499719263398504;91;6;recurrent
0.34518359573898927;78;6;recurrent
0.3452615303247026;169;6;recurrent
0.34567860477514906;104;6;recurrent
0.34573283467491894;156;6;recurrent
0.34645128366809397;52;6;recurrent
0.35424977407149755;39;6;recurrent
0.36609157992889974;117;12;recurrent
0.3697189698176597;26;6;recurrent
0.36982004714522315;91;12;recurrent
0.3701854913967343;169;12;recurrent
0.37254845759188315;156;12;recurrent
0.37324147294571974;104;12;recurrent
0.37335052937152097;143;12;recurrent
0.3741780369683978;78;12;recurrent
0.3748003391625394;130;12;recurrent
0.37843328466535;39;12;recurrent
0.38515093689548335;52;12;recurrent
0.38650699632484736;65;12;recurrent
0.3889135634715253;156;18;recurrent
0.3903949665452255;169;18;recurrent
0.3913590787099262;117;18;recurrent
0.3929730729293215;130;18;recurrent
0.39421222926264404;143;18;recurrent
0.3947576907144997;78;18;recurrent
0.3961585344074561;13;6;recurrent
0.3983436909177105;104;18;recurrent
0.4007491854062783;65;18;recurrent
0.4008782728349533;91;18;recurrent
0.4128941867878567;26;12;recurrent
0.41478255892073607;52;18;recurrent
0.4551666494322211;39;18;recurrent
0.5572450492895676;26;18;recurrent
1.4499442852890274;13;12;recurrent
