rmse;L;r;method
10.633393266542475;143;4;recurrent
10.643936968424383;104;4;recurrent
10.645597119299996;117;4;recurrent
10.645796517879123;91;4;recurrent
10.670033436422608;78;4;recurrent
10.670105182608776;130;4;recurrent
10.674059946447565;65;4;recurrent
10.712750927143164;156;4;recurrent
10.990683281430595;39;4;recurrent
11.129548085342428;52;4;recurrent
11.591076138794122;130;8;recurrent
11.605213445936919;117;8;recurrent
11.68275342324249;91;8;recurrent
11.688438828246458;143;8;recurrent
11.73676811405103;78;8;recurrent
11.758159521630166;104;8;recurrent
11.770110247850925;65;8;recurrent
11.81408085044779;156;8;recurrent
12.013912819593019;39;8;recurrent
12.21996179896084;117;12;recurrent
12.22875101564088;52;8;recurrent
12.324786554435537;104;12;recurrent
12.444209877149747;143;12;recurrent
12.446457648456555;156;12;recurrent
12.504179581169328;91;12;recurrent
12.606134994944096;130;12;recurrent
12.699882596808976;156;16;recurrent
12.73716371566369;117;16;recurrent
12.784055448259753;65;12;recurrent
12.79767397915924;143;16;recurrent
12.810532690931062;130;16;recurrent
12.895956957940392;26;4;recurrent
12.935343866426571;52;12;recurrent
12.993705748586972;104;16;recurrent
13.012065595891103;78;12;recurrent
13.02464720787678;39;12;recurrent
13.261205511815762;13;4;recurrent
13.304005495206553;91;16;recurrent
13.368540377529543;78;16;recurrent
13.496117904021565;65;16;recurrent
13.949024069339531;26;8;recurrent
14.014046734188938;52;16;recurrent
14.37824704243539;39;16;recurrent
14.719251501387042;13;8;recurrent
15.413454574111105;26;12;recurrent
17.177585636515886;26;16;recurrent
169.8156639450685;13;12;recurrent
