rmse;L;r;method
1.6377899736645978;132;4;recurrent
1.6380955780735256;60;4;recurrent
1.6393833514408658;72;4;recurrent
1.6400518363090697;120;4;recurrent
1.641828632764912;144;4;recurrent
1.6425358999628294;108;4;recurrent
1.6425425390945347;48;4;recurrent
1.6436685682938108;84;4;recurrent
1.6459964118969208;156;4;recurrent
1.6462396016516332;96;4;recurrent
1.647939393875047;168;4;recurrent
1.6677117482743697;132;2;recurrent
1.6697313021738232;144;2;recurrent
1.6730092219922443;120;2;recurrent
1.6731418637732065;168;2;recurrent
1.6733499571295765;156;2;recurrent
1.6739134521358823;36;4;recurrent
1.6764683154325677;72;2;recurrent
1.677348273595671;108;2;recurrent
1.6792690400374868;60;2;recurrent
1.6793831507886505;84;2;recurrent
1.6803878308768523;96;2;recurrent
1.6842827318898337;48;2;recurrent
1.688967582971741;24;4;recurrent
1.7061017002209014;36;2;recurrent
1.7065246754015804;132;6;recurrent
1.7070519218185265;24;2;recurrent
1.711248134646553;144;6;recurrent
1.714035620111553;120;6;recurrent
1.7195679132250639;168;6;recurrent
1.719640582215666;108;6;recurrent
1.7204313604226995;60;6;recurrent
1.7258618049315178;156;6;recurrent
1.7262923011873748;96;6;recurrent
1.732218332548294;48;6;recurrent
1.7423868928202106;84;6;recurrent
1.7678297035879342;72;6;recurrent
1.774202113407454;36;6;recurrent
1.7765206527324868;12;2;recurrent
1.834088104027723;24;6;recurrent
1.870304202068863;12;4;recurrent
2.291545597862008;12;6;recurrent
