rmse;L;r;method
0.3283208776006466;132;4;recurrent
0.3285324821354483;144;4;recurrent
0.3285903211084531;72;4;recurrent
0.32867056569433734;60;4;recurrent
0.32915219819793756;120;4;recurrent
0.32938518177131526;84;4;recurrent
0.32943429333855356;48;4;recurrent
0.3296445934057247;156;4;recurrent
0.32965464725997995;168;4;recurrent
0.32973132325037624;108;4;recurrent
0.33007228981895587;96;4;recurrent
0.33602494977363956;36;4;recurrent
0.3381989858573095;24;4;recurrent
0.3421375088830687;132;6;recurrent
0.3425487602550425;144;6;recurrent
0.34401172171639455;120;6;recurrent
0.3441114208641615;168;6;recurrent
0.34499868720968785;60;6;recurrent
0.3451683486561679;108;6;recurrent
0.34573283467491894;156;6;recurrent
0.3461197500592967;96;6;recurrent
0.34751587503210773;48;6;recurrent
0.3492244921101333;84;6;recurrent
0.35432332682250905;72;6;recurrent
0.356384357626567;36;6;recurrent
0.367774423917402;24;6;recurrent
0.36865918888091337;12;4;recurrent
0.456830211714613;12;6;recurrent
0.7317643988436322;168;2;recurrent
0.7318471778961756;132;2;recurrent
0.7318874507743186;144;2;recurrent
0.7320854740812991;156;2;recurrent
0.7322795497568213;120;2;recurrent
0.732890718658005;72;2;recurrent
0.7329696551228979;108;2;recurrent
0.7331978360307358;60;2;recurrent
0.7333210067218641;84;2;recurrent
0.7333308107226811;96;2;recurrent
0.7341380188854241;48;2;recurrent
0.736578141184087;36;2;recurrent
0.7376097946578541;24;2;recurrent
0.7453372276483291;12;2;recurrent
