rmse;L;r;method
0.01356286784858869;13;4;recurrent
0.00914251614471088;13;8;recurrent
0.04982601706485594;13;12;recurrent
0.014392208720873932;26;4;recurrent
0.014050805509137034;26;8;recurrent
0.00989322854038862;26;12;recurrent
0.019293882879664125;39;4;recurrent
0.013246812557169084;39;8;recurrent
0.013447513175681996;39;12;recurrent
0.026754590551943833;52;4;recurrent
0.014117836521730725;52;8;recurrent
0.01336324111608497;52;12;recurrent
0.03493649376697263;65;4;recurrent
0.01449287316213058;65;8;recurrent
0.01441598819053966;65;12;recurrent
0.041888368517347584;78;4;recurrent
0.014698448774705332;78;8;recurrent
0.013851833250395103;78;12;recurrent
0.04598823517796561;91;4;recurrent
0.018058612763701437;91;8;recurrent
0.015743576072424253;91;12;recurrent
0.0464340221160704;104;4;recurrent
0.021601250506921608;104;8;recurrent
0.015514622738912595;104;12;recurrent
0.04492123875312393;117;4;recurrent
0.024698081749418215;117;8;recurrent
0.016583990355185044;117;12;recurrent
0.044503458155480353;130;4;recurrent
0.02909007588976534;130;8;recurrent
0.01968353375052772;130;12;recurrent
0.04662054385483117;143;4;recurrent
0.036078136793894516;143;8;recurrent
0.026637661608985536;143;12;recurrent
0.04859771460795992;156;4;recurrent
0.04020314121535861;156;8;recurrent
0.031681951412785556;156;12;recurrent
