rmse;L;r;method
0.008991662729307773;39;18;recurrent
0.00914251614471088;13;8;recurrent
0.009168692844726139;26;16;recurrent
0.00989322854038862;26;12;recurrent
0.010517292362418013;26;18;recurrent
0.01059320253055365;39;16;recurrent
0.010612892114802559;13;6;recurrent
0.012384967249998532;65;18;recurrent
0.012449853952275384;65;16;recurrent
0.012485676371389401;78;18;recurrent
0.012660100056680428;26;6;recurrent
0.01274414201786424;52;16;recurrent
0.012789325158087604;52;18;recurrent
0.013246812557169084;39;8;recurrent
0.01328891664249978;104;18;recurrent
0.01336324111608497;52;12;recurrent
0.013447513175681996;39;12;recurrent
0.013724860218917815;39;6;recurrent
0.013851833250395103;78;12;recurrent
0.013855059250716064;91;18;recurrent
0.014050805509137034;26;8;recurrent
0.014117836521730725;52;8;recurrent
0.014284074150788419;78;16;recurrent
0.01441598819053966;65;12;recurrent
0.01449287316213058;65;8;recurrent
0.014553393284517761;91;16;recurrent
0.014698448774705332;78;8;recurrent
0.014791085841737316;104;16;recurrent
0.015060076388990483;52;6;recurrent
0.01546808035294915;117;18;recurrent
0.015514622738912595;104;12;recurrent
0.015692315098607634;117;16;recurrent
0.015743576072424253;91;12;recurrent
0.016583990355185044;117;12;recurrent
0.017153739243621107;65;6;recurrent
0.018058612763701437;91;8;recurrent
0.018502424608530663;130;18;recurrent
0.01926893453080683;130;16;recurrent
0.01968353375052772;130;12;recurrent
0.019710861930943364;78;6;recurrent
0.021601250506921608;104;8;recurrent
0.022565841419280003;143;18;recurrent
0.022736070466089362;91;6;recurrent
0.024235474356100743;143;16;recurrent
0.024698081749418215;117;8;recurrent
0.02568666402792744;160;18;recurrent
0.025780800862895876;156;16;recurrent
0.025998184599114904;156;18;recurrent
0.026050418539013034;160;16;recurrent
0.026637661608985536;143;12;recurrent
0.028353513373265235;104;6;recurrent
0.02909007588976534;130;8;recurrent
0.03163815134175844;160;12;recurrent
0.031681951412785556;156;12;recurrent
0.0344471487173442;117;6;recurrent
0.036078136793894516;143;8;recurrent
0.03905591413131877;130;6;recurrent
0.04020314121535861;156;8;recurrent
0.04031155069319324;160;8;recurrent
0.042501730000429616;143;6;recurrent
0.04425693316200581;160;6;recurrent
0.04443342805196897;156;6;recurrent
0.04982601706485594;13;12;recurrent
