rmse;L;r;method
0.0091425161447108;13;8;recurrent
0.0098932285403886;26;12;recurrent
0.013246812557169;39;8;recurrent
0.0133632411160849;52;12;recurrent
0.0134475131756819;39;12;recurrent
0.0135628678485886;13;4;recurrent
0.0138518332503951;78;12;recurrent
0.014050805509137;26;8;recurrent
0.0141178365217307;52;8;recurrent
0.0143922087208739;26;4;recurrent
0.0144159881905396;65;12;recurrent
0.0144928731621305;65;8;recurrent
0.0146984487747053;78;8;recurrent
0.0155146227389125;104;12;recurrent
0.0157435760724242;91;12;recurrent
0.016583990355185;117;12;recurrent
0.0180586127637014;91;8;recurrent
0.0192938828796641;39;4;recurrent
0.0196835337505277;130;12;recurrent
0.0216012505069216;104;8;recurrent
0.0246980817494182;117;8;recurrent
0.0266376616089855;143;12;recurrent
0.0267545905519438;52;4;recurrent
0.0290900758897653;130;8;recurrent
0.0316819514127855;156;12;recurrent
0.0349364937669726;65;4;recurrent
0.0360781367938945;143;8;recurrent
0.0402031412153586;156;8;recurrent
0.0418883685173475;78;4;recurrent
0.0445034581554803;130;4;recurrent
0.0449212387531239;117;4;recurrent
0.0459882351779656;91;4;recurrent
0.0464340221160704;104;4;recurrent
0.0466205438548311;143;4;recurrent
0.0485977146079599;156;4;recurrent
0.0498260170648559;13;12;recurrent
