rmse;L;r;method
243.71974559269796;192;11;recurrent
244.25528354685082;180;11;recurrent
244.8538181174381;204;11;recurrent
244.88934250089025;372;11;recurrent
244.92025927128685;360;11;recurrent
245.1022462804245;180;9;recurrent
245.14503215881115;348;11;recurrent
245.33378052874778;168;11;recurrent
245.54238625618194;168;9;recurrent
245.71951438435516;336;11;recurrent
245.90175347797023;276;11;recurrent
246.0113401279275;216;11;recurrent
246.13632862180162;264;11;recurrent
246.23566357279944;192;9;recurrent
246.35414859984422;252;11;recurrent
246.35964316319175;240;11;recurrent
246.4369381295053;228;11;recurrent
246.8250686717848;288;11;recurrent
246.8669344008737;300;11;recurrent
247.1856900941956;324;11;recurrent
247.27065108339033;312;11;recurrent
247.29185593990607;156;9;recurrent
247.53191886253026;156;11;recurrent
247.65466827443979;276;9;recurrent
247.8389261839149;144;9;recurrent
247.84736349948398;204;9;recurrent
247.91241036248152;264;9;recurrent
247.92775973457242;372;9;recurrent
248.06953428526094;360;9;recurrent
248.1543893431461;216;9;recurrent
248.16856343769064;252;9;recurrent
248.23381898445865;348;9;recurrent
248.35721736098066;240;9;recurrent
248.56470577481053;288;9;recurrent
248.6663427848367;228;9;recurrent
248.70535713945324;132;9;recurrent
248.79989223745295;336;9;recurrent
248.82356090378485;144;11;recurrent
249.1425170324282;300;9;recurrent
249.1967190223182;132;11;recurrent
249.72945386498372;324;9;recurrent
249.75111688983006;120;11;recurrent
249.80435681939426;312;9;recurrent
250.02777567161013;180;7;recurrent
250.02824865793815;120;9;recurrent
250.2722988779068;192;7;recurrent
250.5294352591823;204;7;recurrent
250.6353229793162;108;11;recurrent
250.74210614041272;168;7;recurrent
250.8050450915815;216;7;recurrent
250.86767208000703;108;9;recurrent
251.3893884624513;96;11;recurrent
251.54257573725755;240;7;recurrent
251.59004920140245;144;7;recurrent
251.6037987014368;84;11;recurrent
251.70220383846012;156;7;recurrent
251.70350598667787;360;7;recurrent
251.73601377360882;228;7;recurrent
251.76262882156038;372;7;recurrent
251.84289367348669;348;7;recurrent
251.85212532818682;264;7;recurrent
251.85675285522294;276;7;recurrent
252.06233724296786;252;7;recurrent
252.16874619279952;132;7;recurrent
252.34186457099565;336;7;recurrent
252.36320162495673;120;7;recurrent
252.62466996920776;288;7;recurrent
252.70444581658913;108;7;recurrent
253.01725891223043;300;7;recurrent
253.24051212657588;84;9;recurrent
253.33406272304904;96;7;recurrent
253.38336760040693;324;7;recurrent
253.45424657519152;312;7;recurrent
253.61429770089282;84;7;recurrent
253.9718904724777;72;11;recurrent
254.1072793083273;72;7;recurrent
254.282774544922;96;9;recurrent
254.6965119476138;72;9;recurrent
256.26909141147536;60;7;recurrent
258.2056347385164;60;9;recurrent
258.3710168526493;48;7;recurrent
259.5003658229156;36;7;recurrent
261.19706832213825;60;11;recurrent
264.8938681051921;48;9;recurrent
264.9770729000587;36;9;recurrent
266.7218720596458;24;7;recurrent
267.95597791178255;48;11;recurrent
270.7645719690327;180;5;recurrent
271.05074741467706;168;5;recurrent
271.26307491830676;144;5;recurrent
271.2671773129717;192;5;recurrent
271.4700734107508;132;5;recurrent
271.5128167009671;156;5;recurrent
271.5329041858005;120;5;recurrent
271.5723497511348;204;5;recurrent
271.58658041088364;108;5;recurrent
271.82924186810266;216;5;recurrent
271.9298542588255;372;5;recurrent
272.0144821478622;36;11;recurrent
272.0555194367909;348;5;recurrent
272.07288357340104;360;5;recurrent
272.20168330133936;96;5;recurrent
272.2785679665804;240;5;recurrent
272.46340255053656;228;5;recurrent
272.5070775317046;336;5;recurrent
272.55801183581735;264;5;recurrent
272.5617205083268;276;5;recurrent
272.62013684281055;84;5;recurrent
272.8156965940812;252;5;recurrent
272.87860690663;72;5;recurrent
273.0041723629136;288;5;recurrent
273.09039643301844;300;5;recurrent
273.14906602050473;324;5;recurrent
273.31974894654974;312;5;recurrent
274.2931664288042;60;5;recurrent
275.0293755157799;48;5;recurrent
275.3219127317232;36;5;recurrent
281.03264295174074;24;9;recurrent
281.0520357331023;24;5;recurrent
307.7403526469178;24;11;recurrent
309.8231093881396;12;7;recurrent
311.43271891731644;12;5;recurrent
479.50835052232406;12;9;recurrent
1121.200122937511;12;11;recurrent
