rmse;L;r
0.7403462706022728;168;2
0.7406311110137097;175;2
0.7435823481507813;156;2
0.7574051189343595;144;2
0.7644919668804672;132;2
0.7727570622210581;84;2
0.7735125895339771;72;2
0.7747212507505938;96;2
0.7757291314483451;120;2
0.7791535229214255;108;2
0.789873190017283;60;2
0.8369640012815854;48;2
0.9873151689265033;36;2
1.2343735922602013;168;6
1.2359705802083703;175;6
1.2373146139119668;156;6
1.3078552578669265;144;8
1.312759079484875;144;6
1.3140297824441043;156;8
1.3141357137971303;132;8
1.3270320354779033;168;8
1.3276442010635428;175;8
1.3316024199661511;108;8
1.3391519821517162;120;8
1.346570900924967;96;8
1.3793157005920458;132;4
1.3806819414703515;108;4
1.3829629394532303;96;4
1.3846462314911399;144;4
1.3869454022476044;84;8
1.3879808927012425;120;4
1.395878906369402;84;4
1.4005709492913174;156;4
1.4103926627938925;175;4
1.4121925186483053;168;4
1.4128440045764203;72;4
1.4160252240405455;72;8
1.4179283156660576;132;6
1.4607745676716533;60;4
1.4618970561549347;120;6
1.4688176309906007;60;8
1.4755433543931116;96;6
1.479377642472515;108;6
1.479648833556451;156;12
1.4829004462128936;168;12
1.487916033284121;175;12
1.4946745477057275;144;12
1.4961700705363923;120;12
1.5060319513769875;132;12
1.5073448216455776;48;4
1.5134267163850348;108;12
1.5253893624895276;72;6
1.5362838181928433;84;6
1.5490330265336403;96;12
1.5509180744485245;48;8
1.5654522586998294;36;4
1.5975150778673588;84;12
1.6002298917719353;60;6
1.6271611652842788;132;16
1.62964813276647;144;16
1.6365446526057081;156;16
1.6467362089322066;168;16
1.6478717197633428;175;16
1.6494969297082767;24;2
1.6496075132266559;72;12
1.6524727824891459;120;16
1.6657483253684862;132;18
1.6658163331840998;175;18
1.6672693556318803;168;18
1.6684697739499907;156;18
1.6714474179842231;108;16
1.6752032364117704;48;6
1.6752730138941316;144;18
1.6857829678140943;24;4
1.6971009230850669;36;8
1.7031289082266146;120;18
1.7197108218459523;96;16
1.724949807074199;60;12
1.7345328871857393;108;18
1.742264288466617;84;16
1.747578704614624;36;6
1.7493270594238193;96;18
1.7718914752686792;72;16
1.77693788895563;84;18
1.8063017687169363;48;12
1.815474053246511;24;6
1.8205874754826317;72;18
1.8326455680034797;60;16
1.8406341961380315;24;8
1.8617067691931604;60;18
1.8700985792143097;36;12
1.8807469624461006;48;16
1.8875268513475074;12;4
1.8955021456981629;48;18
1.9214837591964937;12;2
1.9225058247249407;36;16
1.9255557838320578;12;6
1.9351581478219326;24;12
1.9371683856291708;36;18
1.9686749879517693;12;8
1.9750149968420672;24;16
1.9874657859418632;24;18
