rmse;L;r;method
0.0;12;12;recurrent
1.6110256945435375;36;16;recurrent
1.6145661725494822;24;10;recurrent
1.6532066128557694;24;12;recurrent
1.6635349768893026;96;16;recurrent
1.6675476590815015;24;8;recurrent
1.6692820829266584;12;6;recurrent
1.6813617571225445;96;14;recurrent
1.7005609101819228;84;14;recurrent
1.7034952214569814;84;12;recurrent
1.7057892142831663;96;10;recurrent
1.7076713353710964;72;14;recurrent
1.7141636968311693;96;12;recurrent
1.7224587885891987;108;16;recurrent
1.7315568335703508;60;12;recurrent
1.7343980647259818;24;14;recurrent
1.738553196859832;48;16;recurrent
1.7428103838595561;120;16;recurrent
1.7434288666480062;84;16;recurrent
1.7438630674472575;84;10;recurrent
1.754556621965782;36;10;recurrent
1.7680822471405953;36;14;recurrent
1.8060057842561361;108;14;recurrent
1.8094355244793732;36;12;recurrent
1.8237463069456423;48;14;recurrent
1.8302408182105507;60;14;recurrent
1.8430771281648264;84;8;recurrent
1.848030843230178;60;8;recurrent
1.8584967671533974;72;10;recurrent
1.8607837419854312;72;12;recurrent
1.8659994535404407;72;8;recurrent
1.8709526200921613;48;12;recurrent
1.87617711377074;36;8;recurrent
1.8878023966268096;120;14;recurrent
1.8941670142497542;48;10;recurrent
1.894864013457829;108;12;recurrent
1.9005496953536463;120;12;recurrent
1.9063155545259165;108;10;recurrent
1.9123779894791444;72;16;recurrent
1.9211196921263727;60;10;recurrent
1.9359871898266723;48;8;recurrent
1.9391118046480345;132;14;recurrent
1.9522746574985983;132;16;recurrent
1.9685554196930957;48;6;recurrent
1.9704803423304083;60;6;recurrent
1.9706628157119657;60;16;recurrent
1.9834714807751679;12;4;recurrent
1.983574700184169;72;6;recurrent
1.9846421537741923;132;12;recurrent
1.9869053454947312;96;8;recurrent
1.9887865833167535;36;6;recurrent
1.9976001757234318;144;14;recurrent
2.0045290763933683;120;10;recurrent
2.0065906705083405;84;6;recurrent
2.007494410870684;24;6;recurrent
2.0216409544745924;144;16;recurrent
2.030719975495604;132;10;recurrent
2.0433373751446364;156;16;recurrent
2.055739696422209;156;14;recurrent
2.061991283291677;60;4;recurrent
2.063679005737141;48;4;recurrent
2.069210885579282;144;12;recurrent
2.0946043621589974;96;6;recurrent
2.0981949688945787;72;4;recurrent
2.1150137867484298;156;12;recurrent
2.135087259218382;84;4;recurrent
2.1672660021529038;120;8;recurrent
2.1683742229456953;12;8;recurrent
2.16908606895083;108;8;recurrent
2.17406015923769;96;4;recurrent
2.2127438780725317;168;16;recurrent
2.2142001175905803;108;6;recurrent
2.2154097227551754;120;6;recurrent
2.222140376615897;132;6;recurrent
2.2235077905258716;108;4;recurrent
2.226237638679322;24;16;recurrent
2.230595087929686;36;4;recurrent
2.23554003736371;144;10;recurrent
2.2456718939464375;24;4;recurrent
2.2528738773988968;132;8;recurrent
2.264095317649001;120;4;recurrent
2.2695556323700514;144;6;recurrent
2.270513460056989;168;6;recurrent
2.2713116024871614;168;14;recurrent
2.275063727560931;156;6;recurrent
2.282636367074309;156;10;recurrent
2.2838217095869897;168;12;recurrent
2.340564450316454;132;4;recurrent
2.3601271730092335;144;4;recurrent
2.367218220247841;156;4;recurrent
2.3714348780285897;168;4;recurrent
2.3754815462195387;168;10;recurrent
2.3883338393251012;144;8;recurrent
2.392754926428799;156;8;recurrent
2.442779225024514;168;8;recurrent
2.5111609232555745;132;2;recurrent
2.5156178133049187;48;2;recurrent
2.5518047566343967;120;2;recurrent
2.562656152394939;36;2;recurrent
2.564582841321174;168;2;recurrent
2.5680522885210286;144;2;recurrent
2.575111095149416;108;2;recurrent
2.591168279260869;156;2;recurrent
2.5977784396348045;96;2;recurrent
2.610054640411808;24;2;recurrent
2.627527443741727;84;2;recurrent
2.6351241931750966;60;2;recurrent
2.6629715861837826;72;2;recurrent
2.7320600112767353;12;2;recurrent
3.4271397629095297;12;10;recurrent
