rmse;L;r;method
1.5973756990039514;39;16;recurrent
1.65919800748298;26;12;recurrent
1.681499381147809;91;12;recurrent
1.682570169548457;78;12;recurrent
1.7080149257353532;26;8;recurrent
1.715639649353574;117;16;recurrent
1.729132924331479;104;16;recurrent
1.7360426305585863;65;12;recurrent
1.7362608074256074;39;12;recurrent
1.7466918689459026;91;16;recurrent
1.778828992964043;52;16;recurrent
1.8165920994091498;39;8;recurrent
1.8169931928287308;78;16;recurrent
1.8349731854798454;78;8;recurrent
1.8384012325218226;65;16;recurrent
1.8598980301150214;52;8;recurrent
1.860022347116301;65;8;recurrent
1.8614974718201986;104;12;recurrent
1.8765250741467892;52;12;recurrent
1.918397865359153;13;8;recurrent
1.9184425053508825;117;12;recurrent
1.918691805924013;91;8;recurrent
1.9399340626742319;130;16;recurrent
1.941223327475088;26;16;recurrent
1.956701660035177;130;12;recurrent
2.0280320682018447;13;4;recurrent
2.0433373751446364;156;16;recurrent
2.0463729319198753;143;16;recurrent
2.0739922067044545;65;4;recurrent
2.0818920797322664;52;4;recurrent
2.09617964260972;104;8;recurrent
2.1065111900158815;143;12;recurrent
2.1108419074586866;117;8;recurrent
2.1150137867484298;156;12;recurrent
2.126493790486977;78;4;recurrent
2.1738945863710546;91;4;recurrent
2.179673505911041;39;4;recurrent
2.1875761940279292;130;8;recurrent
2.1909853405750486;104;4;recurrent
2.243607325992176;169;16;recurrent
2.263299679928185;26;4;recurrent
2.2723422929453214;117;4;recurrent
2.320328993847044;169;12;recurrent
2.3407454269885246;130;4;recurrent
2.3597913103530983;143;4;recurrent
2.367218220247841;156;4;recurrent
2.37022302007799;169;4;recurrent
2.382691758658922;143;8;recurrent
2.392754926428799;156;8;recurrent
2.453393682638851;169;8;recurrent
20.875851756341273;13;12;recurrent
