rmse;L;r;method
5.899789184417491;120;5;recurrent
5.905572443061727;108;5;recurrent
5.907978766970222;132;5;recurrent
5.909655173622592;72;5;recurrent
5.916835518839975;84;5;recurrent
5.923386549432211;144;5;recurrent
5.9236571913827625;60;5;recurrent
5.926982195218694;96;5;recurrent
5.954017009010791;156;5;recurrent
5.9929705597068885;168;5;recurrent
5.993997037397924;240;5;recurrent
6.000093811457871;180;5;recurrent
6.000361482216039;252;5;recurrent
6.002750886730045;264;5;recurrent
6.023477591286586;48;5;recurrent
6.028359121910751;228;5;recurrent
6.038658351515953;192;5;recurrent
6.040981509573781;216;5;recurrent
6.044642236613494;204;5;recurrent
6.099230643407838;144;7;recurrent
6.112745129657135;132;7;recurrent
6.136695879928465;36;5;recurrent
6.144235912069754;120;7;recurrent
6.16197873483143;264;7;recurrent
6.171451279587417;252;7;recurrent
6.176954323072281;156;7;recurrent
6.182990274755644;228;7;recurrent
6.183092610141604;240;7;recurrent
6.18697031040379;108;7;recurrent
6.20312370501123;216;7;recurrent
6.207978954833704;84;7;recurrent
6.231645642604302;60;3;recurrent
6.2337276290743535;144;9;recurrent
6.234333643622631;120;3;recurrent
6.236974580581736;96;7;recurrent
6.238632071566224;72;3;recurrent
6.239875745605582;132;3;recurrent
6.2438483382675;84;3;recurrent
6.246115615039399;60;7;recurrent
6.247541120702245;144;3;recurrent
6.250403210965962;156;9;recurrent
6.2514041796698026;108;3;recurrent
6.25688419947485;96;3;recurrent
6.263522261212139;156;3;recurrent
6.264257086737838;264;9;recurrent
6.276606406169651;264;3;recurrent
6.2779819506890115;240;3;recurrent
6.2789667052968205;168;7;recurrent
6.27923349833514;72;7;recurrent
6.283013528640029;240;9;recurrent
6.288716337977853;180;7;recurrent
6.289325076294165;168;3;recurrent
6.290621056355418;252;3;recurrent
6.290630230809513;252;9;recurrent
6.294124516250018;180;3;recurrent
6.294642480468138;48;3;recurrent
6.2958496585236885;228;9;recurrent
6.29609010764075;132;9;recurrent
6.305075881807361;192;7;recurrent
6.308943469689316;204;7;recurrent
6.3103832522415395;228;3;recurrent
6.312318317611089;192;3;recurrent
6.314307441223745;48;7;recurrent
6.321148512217813;120;9;recurrent
6.322892180195438;168;9;recurrent
6.326991503256235;216;3;recurrent
6.327677624918716;204;3;recurrent
6.3316891872322465;204;9;recurrent
6.335502080510216;216;9;recurrent
6.342423179506615;180;9;recurrent
6.350568447790992;108;9;recurrent
6.352903305171197;36;3;recurrent
6.36361926146621;96;9;recurrent
6.377665091818053;192;9;recurrent
6.402413641288938;36;7;recurrent
6.464771207390981;24;7;recurrent
6.476813356077393;48;9;recurrent
6.48040921870357;24;3;recurrent
6.514020605275014;24;5;recurrent
6.514950713610466;36;9;recurrent
6.535271678000702;60;9;recurrent
6.563873430044256;84;9;recurrent
6.689490938099841;72;9;recurrent
6.83947591183979;12;5;recurrent
6.883063956157154;24;9;recurrent
6.928470963764293;12;3;recurrent
9.41773125493317;12;7;recurrent
18.213935633767527;12;9;recurrent
